"SNR","outMy","outGt","outEp"
0,0.0344,0.05,0.034
0,0.0436,0.05,0.042
0,0.046,0.0528,0.0424
0,0.0396,0.0476,0.0376
0,0.0392,0.0508,0.0388
0,0.0416,0.0544,0.0404
0,0.0432,0.0484,0.0432
0,0.046,0.0528,0.0448
0,0.034,0.0424,0.0412
0,0.0464,0.05,0.0436
0,0.04,0.0552,0.0444
0,0.0452,0.0548,0.0372
0,0.0352,0.048,0.0364
0,0.0424,0.044,0.0388
0,0.0396,0.0472,0.0376
0,0.0456,0.0452,0.044
0,0.0432,0.0528,0.04
0,0.0456,0.0552,0.0448
0,0.0496,0.0496,0.0508
0,0.0392,0.0532,0.0448
0,0.042,0.0476,0.048
0,0.0444,0.0504,0.0408
0,0.0376,0.0488,0.04
0,0.0388,0.0468,0.046
0,0.0444,0.0592,0.0492
0,0.0428,0.0528,0.0472
0,0.0368,0.0512,0.0448
0,0.0372,0.0516,0.0396
0,0.0464,0.0552,0.0436
0,0.044,0.0552,0.0392
0,0.0384,0.0452,0.0364
0,0.0404,0.0576,0.0328
0,0.0436,0.058,0.0436
0,0.0448,0.0512,0.044
0,0.0424,0.054,0.0404
0,0.0396,0.0516,0.044
0,0.04,0.0484,0.0388
0,0.0452,0.0492,0.0448
0,0.0432,0.0588,0.0432
0,0.038,0.0488,0.0368
0,0.0436,0.052,0.0456
0,0.0456,0.0508,0.046
0,0.0408,0.0484,0.0368
0,0.0456,0.0552,0.046
0,0.0412,0.0524,0.0396
0,0.044,0.054,0.0432
0,0.0396,0.0516,0.044
0,0.0376,0.0528,0.0432
0,0.0392,0.0504,0.0408
0,0.0444,0.056,0.0556
0,0.0476,0.0524,0.044
0,0.0472,0.0508,0.0472
0,0.0436,0.0536,0.0424
0,0.0388,0.0512,0.0384
0,0.0456,0.0568,0.0456
0,0.0376,0.0444,0.0408
0,0.038,0.0468,0.042
0,0.044,0.0528,0.0384
0,0.0432,0.044,0.0436
0,0.0384,0.0484,0.0404
0,0.0456,0.0548,0.0416
0,0.0404,0.0556,0.0368
0,0.0396,0.0444,0.0428
0,0.0472,0.0532,0.042
0,0.0428,0.044,0.046
0,0.0396,0.0508,0.0396
0,0.0368,0.0444,0.0392
0,0.0436,0.0512,0.0368
0,0.0432,0.0608,0.0444
0,0.0412,0.0464,0.0336
0,0.038,0.05,0.0428
0,0.0416,0.0432,0.0416
0,0.0484,0.0516,0.0528
0,0.0416,0.0504,0.034
0,0.036,0.0516,0.0428
0,0.042,0.052,0.0408
0,0.0336,0.0452,0.036
0,0.04,0.0484,0.0432
0,0.042,0.0484,0.0408
0,0.0384,0.0524,0.0444
0,0.0388,0.0516,0.0404
0,0.0428,0.0456,0.0412
0,0.0396,0.0476,0.0424
0,0.0444,0.0504,0.0388
0,0.0388,0.0464,0.0424
0,0.0432,0.046,0.0448
0,0.0428,0.042,0.0444
0,0.046,0.0528,0.0424
0,0.0388,0.052,0.04
0,0.0476,0.0516,0.048
0,0.0428,0.0488,0.0404
0,0.0396,0.0528,0.0356
0,0.0384,0.05,0.038
0,0.0408,0.0524,0.0444
0,0.0392,0.048,0.0448
0,0.0364,0.0492,0.0368
0,0.0472,0.0452,0.0472
0,0.0444,0.0512,0.038
0,0.0384,0.0412,0.0468
0,0.0428,0.0512,0.0416
10,0.3552,0.1412,0.3
10,0.0776,0.0304,0.0892
10,0.9952,1,0.318
10,0.1996,0.05,0.2148
10,0.5384,0.5388,0.4072
10,0.8336,0.9872,0.1728
10,0.17,0.096,0.1516
10,0.0568,0.04,0.244
10,0.9992,1,0.4568
10,1,1,0.5104
10,0.2144,0.1236,0.1148
10,0.7548,0.7936,0.4464
10,0.156,0.0124,0.1944
10,0.38,0.3388,0.2724
10,0.9776,0.9988,0.452
10,0.4932,0.6228,0.2836
10,0.7552,0.9212,0.3196
10,0.07,0.014,0.1048
10,0.6456,0.8832,0.2112
10,0.4976,0.1712,0.372
10,0.066,0.0444,0.0948
10,0.3576,0.0104,0.6636
10,0.2284,0.0372,0.2468
10,0.182,0.1388,0.158
10,0.162,0.0128,0.2188
10,0.9484,0.996,0.4044
10,0.1104,0.0724,0.1664
10,0.9916,0.9996,0.6948
10,0.1928,0.182,0.1564
10,0.4264,0.12,0.4436
10,0.0948,0.1304,0.0796
10,0.2148,0.1184,0.224
10,0.2336,0.356,0.1032
10,0.1408,0.024,0.2112
10,0.1372,0.1412,0.1196
10,0.4952,0.6344,0.2156
10,0.1992,0.0824,0.2436
10,0.0296,0.0156,0.0748
10,0.5216,0.5872,0.264
10,0.9992,1,0.5228
10,0.9088,0.9476,0.4796
10,0.178,0.0176,0.1856
10,0.2968,0.1636,0.4888
10,0.956,0.9988,0.156
10,0.9156,0.9932,0.3908
10,0.9956,1,0.4408
10,0.164,0.3416,0.0824
10,0.3308,0.128,0.4004
10,0.8148,0.7548,0.662
10,0.72,0.716,0.3668
10,0.4992,0.0092,0.7504
10,0.3344,0.2216,0.278
10,0.2364,0.0116,0.308
10,0.4812,0.5212,0.3268
