"SNR","outMy","outGt","outEp"
0,0.0472,0.0428,0.0392
0,0.04,0.0468,0.0364
0,0.0408,0.0508,0.0356
0,0.0428,0.0484,0.0408
0,0.0516,0.048,0.0376
0,0.0468,0.0512,0.0384
0,0.0464,0.0548,0.0356
0,0.0464,0.0448,0.0404
0,0.0492,0.0492,0.0324
0,0.0488,0.0424,0.034
0,0.0452,0.0488,0.0392
0,0.0392,0.0456,0.0396
0,0.0436,0.0488,0.0372
0,0.0432,0.05,0.0392
0,0.0368,0.0472,0.0316
0,0.0504,0.0592,0.038
0,0.0492,0.042,0.038
0,0.0488,0.0524,0.0388
0,0.0444,0.0628,0.0336
0,0.0452,0.0492,0.0412
0,0.0472,0.0488,0.044
0,0.0408,0.0548,0.0348
0,0.0456,0.048,0.0388
0,0.0432,0.0448,0.0376
0,0.0468,0.0492,0.0356
0,0.0452,0.05,0.0348
0,0.0456,0.0536,0.0324
0,0.034,0.0468,0.0336
0,0.0392,0.0552,0.034
0,0.054,0.0572,0.0344
0,0.0428,0.0536,0.0332
0,0.0416,0.0392,0.0392
0,0.054,0.05,0.0404
0,0.044,0.0516,0.032
0,0.0468,0.0544,0.0388
0,0.0568,0.0508,0.044
0,0.0508,0.062,0.0408
0,0.0528,0.0484,0.0376
0,0.044,0.05,0.0324
0,0.0456,0.042,0.0368
0,0.0492,0.0492,0.036
0,0.0468,0.0508,0.0408
0,0.0472,0.0524,0.0412
0,0.0408,0.0524,0.0384
0,0.0496,0.0504,0.0376
0,0.0472,0.0472,0.0412
0,0.042,0.046,0.0352
0,0.0432,0.0488,0.0364
0,0.0356,0.05,0.0336
0,0.0444,0.0576,0.0372
0,0.0412,0.0476,0.0364
0,0.0444,0.0516,0.034
0,0.0492,0.0508,0.0348
0,0.046,0.0516,0.046
0,0.0392,0.0472,0.0344
0,0.0436,0.0488,0.0356
0,0.0452,0.0476,0.04
0,0.0452,0.0472,0.0368
0,0.046,0.0528,0.036
0,0.0464,0.044,0.04
0,0.0524,0.0492,0.0396
0,0.0408,0.0504,0.0352
0,0.0344,0.0484,0.0312
0,0.0384,0.048,0.0352
0,0.0448,0.0488,0.0356
0,0.0452,0.0456,0.0416
0,0.05,0.052,0.0384
0,0.05,0.0484,0.04
0,0.0468,0.0488,0.042
0,0.042,0.0536,0.0308
0,0.038,0.0472,0.0388
0,0.046,0.0556,0.04
0,0.0408,0.0476,0.0368
0,0.0476,0.054,0.0308
0,0.0412,0.0424,0.0316
0,0.044,0.0496,0.0372
0,0.0424,0.048,0.0348
0,0.0444,0.0492,0.0456
0,0.0512,0.0456,0.0408
0,0.0452,0.0528,0.0388
0,0.0496,0.0552,0.0404
0,0.044,0.0488,0.0388
0,0.0484,0.0512,0.0416
0,0.0556,0.0492,0.0428
0,0.0456,0.0532,0.0368
0,0.0428,0.0448,0.0424
0,0.0436,0.0404,0.0336
0,0.042,0.054,0.0344
0,0.048,0.0408,0.0412
0,0.0544,0.0564,0.0372
0,0.038,0.0484,0.0352
0,0.0416,0.054,0.0376
0,0.0436,0.0496,0.0356
0,0.0428,0.0496,0.0316
0,0.0476,0.0528,0.0412
0,0.0448,0.0492,0.0368
0,0.0432,0.0624,0.0376
0,0.0392,0.0476,0.0388
0,0.0468,0.0496,0.0376
0,0.032,0.044,0.0364
10,0.2936,0.0424,0.4128
10,0.9768,0.1736,0.3228
10,0.2984,0.0488,0.2644
10,0.1028,0.0532,0.0924
10,0.9724,0.0876,0.1864
10,0.3604,0.2432,0.1692
10,0.1504,0.0072,0.3208
10,0.678,0.0416,0.244
10,0.1432,0.0164,0.1316
10,0.4204,0.0176,0.3512
10,0.9596,0.0404,0.6376
10,0.4248,0.1144,0.1028
10,0.2824,0.0088,0.144
10,0.038,0.0072,0.0332
10,0.164,0.0076,0.1264
10,0.8464,0.1068,0.1584
10,0.2128,0.0244,0.374
10,0.0824,0.0108,0.1884
10,0.8392,0.3384,0.1144
10,0.262,0.0032,0.3416
10,0.5456,0.0444,0.3628
10,0.992,0.4152,0.186
10,0.9948,0.3984,0.1672
10,0.3244,0.0352,0.0552
10,0.0248,0.0064,0.1812
10,0.4744,0.1404,0.1452
10,0.0872,0.0528,0.0528
10,0.6048,0.0052,0.5796
10,0.1068,0.0076,0.326
10,0.9912,0.1168,0.3772
10,0.214,0.0188,0.2612
10,0.0392,0.0544,0.054
10,0.6348,0.0832,0.288
10,0.25,0.0216,0.314
10,0.76,0.008,0.3364
10,0.0172,0.0136,0.056
10,0.0632,0.0448,0.1092
10,0.464,0.0064,0.3932
10,0.1044,0.0476,0.192
10,0.1548,0.012,0.1392
10,0.3944,0.0476,0.232
10,0.08,0.0028,0.1628
10,0.0964,0.0048,0.276
10,0.3564,0.0268,0.1028
10,0.1532,0.0372,0.2536
10,0.1032,0.002,0.2976
10,0.0924,0.0144,0.1276
10,0.3424,0.0072,0.338
10,0.3516,0.2548,0.0792
10,0.3148,0.028,0.2064
10,0.9928,0.0228,0.5028
10,0.2948,0.02,0.3012
10,0.9984,0.166,0.404
10,0.9044,0.0284,0.5708
10,0.4688,0.3548,0.066
10,0.4868,0.2012,0.1388
10,0.6792,0.0952,0.2116
10,0.5484,0.0156,0.2596
10,0.1332,0.0068,0.2372
10,0.1712,0.0472,0.212
10,0.2324,0.1888,0.066
10,0.1136,0.0052,0.1532
10,0.0508,0.0032,0.2404
10,0.148,0.0116,0.3268
10,0.348,0.136,0.252
10,0.282,0.0348,0.4116
10,0.9476,0.4004,0.1956
10,0.9844,0.2168,0.2236
10,0.1364,0.0812,0.1252
10,0.0116,0.0048,0.0492
10,0.0916,0.0068,0.1112
10,0.504,0.1232,0.3836
10,0.944,0.4852,0.2312
10,0.2752,0.1932,0.1996
10,0.8432,0.1372,0.3268
10,0.4936,0.0684,0.2604
10,0.1716,0.012,0.1844
10,0.6608,0.0056,0.096
10,0.3512,0.0184,0.0752
10,0.0528,0.0068,0.1136
10,0.696,0.016,0.5412
10,0.1524,0.0604,0.1492
10,0.0756,0.0592,0.0836
10,0.9164,0.0588,0.16
10,0.9656,0.1172,0.2892
10,0.6832,0.1072,0.1576
10,0.894,0.0052,0.0116
10,0.342,0.0188,0.366
10,0.556,0.1048,0.1404
10,0.154,0.068,0.1404
10,0.9084,0.1924,0.4932
10,0.098,0.0764,0.098
10,0.0616,0.0084,0.0348
10,0.496,0.0368,0.2016
10,0.7648,0.124,0.2068
10,0.1296,0.018,0.102
10,0.2036,0.0084,0.1688
10,0.4468,0.0384,0.1672
10,0.0352,0.0172,0.184
10,0.7016,0.044,0.5776
20,0.8896,0.002,0.1132
20,0.4716,0.0032,0.4184
20,0.0788,0.0132,0.0988
20,0.0212,0,0.1656
20,0.4672,0.6248,0.2704
20,0.9704,0.008,0.3104
20,0.992,0.022,0.33
20,0.3204,0.0012,0.4564
20,0.21,0.0012,0.4928
20,0.3088,0.002,0.052
20,0.4324,0.0028,0.604
20,0.2292,0.02,0.4972
20,0.1,8e-04,0.2192
20,1,0.2564,0.214
20,0.6156,0.0016,0.3488
20,0.0672,0.0056,0.1492
20,0.6744,0.1576,0.0592
20,0.1408,0.0016,0.076
20,1,0.2396,0.414
20,0.1692,0.1532,0.1564
20,0.066,0.0068,0.3444
20,1,0.0388,0.094
20,0.0656,0.02,0.1124
20,0.5996,0.0096,0.3364
20,0.2008,8e-04,0.5292
20,0.9908,0.0228,0.5104
20,0.5184,0.018,8e-04
20,0.3768,0.0108,0.138
20,0.1672,0.0648,0.1648
20,0.6752,0.1848,0.0884
20,1,0.0472,0.4056
20,0.6016,0.0028,0.5344
20,0.8896,0.0988,0.2972
20,0.128,0.0452,0.0768
20,0.9996,0.0672,0.4976
20,0.6084,0.0276,0.1004
20,0.414,0.0064,0.6712
20,0.752,0.0248,0.4288
20,0.1504,0.004,0.4856
20,1,0.1252,0.774
20,0.2768,0.0416,0.618
20,0.5776,0.0036,0.2676
20,0.8456,0.0136,0.4232
20,0.556,0.0516,0.3248
20,0.246,0.0016,0.5448
20,0.3348,0.016,0.3948
20,0.7932,0.004,0.5208
20,0.8416,0.0192,0.498
20,0.5728,0.0036,0.3856
20,0.7816,0.0032,0.2136
20,0.0668,0.0032,0.408
20,0.4468,0.0036,0.5492
20,0.908,0.0172,0.5752
20,0.9092,0.0016,0.8688
20,0.0916,0.19,0.066
20,0.3224,0.1312,0.1256
20,0.5244,0.0636,0.2856
20,0.9292,0.0692,0.0964
20,0.2144,0.0224,0.1052
20,0.8196,0.2048,0.702
20,0.9756,0.244,0.5332
20,0.2904,0.0408,0.5256
20,0.552,0.0016,0.6424
20,0.2032,0.0816,0.118
20,0.4152,0.0852,0.1088
20,0.986,0.0052,0.2844
20,0.2264,0.0012,0.6576
20,0.9888,0.0096,0.2724
20,0.9992,0.0204,0.1772
20,0.15,0.0032,0.4304
20,0.1744,0.0032,0.3836
20,0.4512,0.0012,0.59
20,0.6436,0.0036,0.5092
20,0.6048,0.0668,0.5256
20,0.034,0.0108,0.0968
20,0.396,0.04,0.2088
20,0.4504,0.0704,0.4956
20,0.038,4e-04,0.0668
20,0.528,0.026,0.5028
20,0.8708,0.0188,0.2148
20,0.9368,0.0356,0.4512
20,0.9264,0.0944,0.1928
20,1,0.0256,0.5488
20,0.8384,0.004,0.6156
20,0.5216,4e-04,0.366
20,0.0168,0.004,0.1084
20,0.0788,0.0028,0.2276
20,0.1276,0.012,0.194
20,0.2716,0.004,0.3128
20,0.1112,0.002,0.3248
20,0.998,0.0932,0.3936
20,0.7292,0.0744,0.7576
20,0.6688,0.0124,0.5204
20,0.2848,0.0256,0.594
20,0.1204,8e-04,0.2776
20,0.2288,0,0.19
20,0.072,0.0128,0.0864
20,0.6924,0.036,0.6904
20,0.996,0.614,0.286
20,0.9532,0.0576,0.184
30,0.7124,0.0012,0.8732
30,0.43,0,0.2136
30,0.4272,0.0172,0.014
30,0.1664,0.134,0.0964
30,0.0172,0.0472,0.0292
30,0.06,8e-04,0.258
30,0.8188,0,0.6392
30,0.2844,0.0748,0.276
30,0.4996,8e-04,0.598
30,0.8948,0.1996,0.1248
30,0.7132,0.002,0.8712
30,0.958,0.0192,0.4328
30,0.01,0.006,0.0736
30,0.62,0.5384,0.1568
30,0.9516,0,0.9036
30,0.1492,0.002,0.1568
30,1,0.01,0.4396
30,0.9984,0.0048,0.4536
30,0.1716,0.0512,0.354
30,1,0.4408,0.4212
30,0.4804,0,0.6092
30,0.5944,0,0.6888
30,0.8192,0.0176,0.33
30,0.9256,0.0228,0.3644
30,0.376,8e-04,0.6524
30,0.742,0.0012,0.1308
30,0.4756,0,0.73
30,0.7464,0.0052,0.0564
30,0.9312,0.7888,0.0876
30,0.1592,0.1368,0.1956
30,0.9988,0.0032,0.192
30,0.998,0.0328,0.2484
30,0.7688,0.002,0.6896
30,0.5504,0.1392,0.288
30,0.7244,0,0.578
30,0.8116,0.046,0.0936
30,0.6216,0.5216,0.0652
30,0.392,0.0272,0.6564
30,0.7816,0.0092,0.3484
30,0.0368,0,0.32
30,0.8556,4e-04,0.9748
30,0.0056,4e-04,0.0396
30,0.4468,0.0068,0.4728
30,0.4208,4e-04,0.9764
30,0.5448,0.0348,0.2624
30,0.9392,0.2596,0.416
30,0.7464,4e-04,0.43
30,0.592,0.1984,0.5656
30,0.97,0.1268,0.0316
30,1,0.022,0.9524
30,0.8676,4e-04,0.4672
30,1,0.6992,0.5248
30,0.1428,4e-04,0.3744
30,0.1964,0.0148,0.2816
30,0.5472,4e-04,0.794
30,0.0152,0.0012,0.156
30,0.986,0.2144,0.4628
30,0.0388,0.0124,0.1224
30,0.0412,0.0052,0.1064
30,0.7844,0.5196,0.336
30,0.0864,0.0064,0.006
30,0.794,0.0072,0.916
30,0.382,0.0032,0.1688
30,0.8896,0.0064,0.3364
30,0.5608,0.0192,0.036
30,0.0308,0.0196,0.0864
30,1,0.0152,0.2976
30,0.9064,0.0088,0.4352
30,0.9856,0.0328,0.7488
30,0.9948,0.3716,0.3172
30,0.6276,0.0036,0.112
30,0.6216,0.122,0.838
30,0.744,4e-04,0.2392
30,0.1856,0.002,0.2036
30,1,4e-04,0.7508
30,0.2148,0.0044,0.4712
30,0.2176,0.1036,0.0072
30,0.5688,0.2344,0.3436
30,0.7132,0.0152,0.784
30,0.0424,4e-04,0.3328
30,0.9848,0.03,0.778
30,0.93,0.014,0.6368
30,0.9832,0.042,0.9432
30,0.8324,0.0032,0.7828
30,0.9716,4e-04,0.7692
30,0.1868,0.0132,0.1428
