"SNR","outMy","outGt","outEp"
0,0.0364,0.0504,0.0296
0,0.0372,0.0496,0.0308
0,0.0396,0.0476,0.0344
0,0.0436,0.0556,0.0324
0,0.0424,0.0452,0.03
0,0.0404,0.044,0.0276
0,0.0396,0.0536,0.0356
0,0.0344,0.0424,0.0272
0,0.0396,0.052,0.024
0,0.0396,0.0508,0.0308
0,0.0388,0.05,0.0304
0,0.046,0.0552,0.0236
0,0.046,0.0488,0.0336
0,0.0432,0.0492,0.032
0,0.0392,0.0492,0.0312
0,0.0444,0.0512,0.0324
0,0.034,0.0424,0.0336
0,0.0428,0.0488,0.0308
0,0.0412,0.056,0.0292
0,0.0416,0.0528,0.0292
0,0.0348,0.0476,0.036
0,0.0368,0.0468,0.0224
0,0.0384,0.05,0.0332
0,0.0404,0.0496,0.0264
0,0.0368,0.0508,0.0356
0,0.0316,0.0424,0.0276
0,0.038,0.05,0.0324
0,0.0396,0.0516,0.0328
0,0.042,0.0572,0.028
0,0.0344,0.0536,0.0304
0,0.0384,0.0436,0.0312
0,0.042,0.0424,0.0336
0,0.038,0.0472,0.0264
0,0.0376,0.0448,0.04
0,0.0432,0.0456,0.0328
0,0.0432,0.0532,0.026
0,0.042,0.0464,0.0276
0,0.0392,0.0508,0.028
0,0.0444,0.052,0.0292
0,0.0472,0.0512,0.032
0,0.0412,0.0476,0.0268
0,0.04,0.0456,0.0308
0,0.0468,0.0576,0.0304
0,0.0464,0.0528,0.0264
0,0.0368,0.0464,0.03
0,0.0408,0.048,0.026
0,0.0432,0.0508,0.0288
0,0.0392,0.0524,0.0348
0,0.036,0.0528,0.032
0,0.0368,0.0488,0.0348
0,0.046,0.0548,0.0336
0,0.0344,0.0576,0.0364
0,0.0408,0.0556,0.0296
0,0.0432,0.0536,0.0372
0,0.0392,0.0476,0.034
0,0.0416,0.0512,0.0288
0,0.0456,0.0528,0.038
0,0.0408,0.0504,0.0288
0,0.0384,0.0496,0.0272
0,0.0416,0.052,0.03
0,0.04,0.052,0.0284
0,0.0536,0.056,0.0336
0,0.0444,0.0552,0.0328
0,0.0444,0.0496,0.0328
0,0.0388,0.0552,0.028
0,0.0404,0.0524,0.0308
0,0.046,0.0524,0.0288
0,0.0472,0.046,0.0296
0,0.0348,0.0476,0.032
0,0.0392,0.0484,0.0312
0,0.0424,0.0516,0.0344
0,0.042,0.054,0.0308
0,0.0352,0.0516,0.0336
0,0.0424,0.0536,0.0296
0,0.046,0.056,0.0348
0,0.046,0.0528,0.0336
0,0.042,0.052,0.032
0,0.0396,0.0456,0.0416
0,0.0444,0.0572,0.0316
0,0.0464,0.056,0.0324
0,0.0416,0.0524,0.0348
0,0.0384,0.0536,0.0348
0,0.0408,0.0504,0.0324
0,0.0432,0.054,0.0312
0,0.038,0.0452,0.0376
0,0.0372,0.0476,0.0348
0,0.0408,0.0524,0.0288
0,0.0368,0.0488,0.036
0,0.0472,0.0544,0.034
0,0.0432,0.0524,0.0332
0,0.0416,0.0508,0.03
0,0.0432,0.0568,0.0268
0,0.0436,0.0492,0.0336
0,0.0332,0.0472,0.028
0,0.046,0.0536,0.0276
0,0.048,0.0436,0.0356
0,0.0424,0.0496,0.0284
0,0.036,0.042,0.0332
0,0.0364,0.04,0.0268
0,0.0388,0.0504,0.0216
10,0,8e-04,0.0024
10,0.2872,0.2364,0.0368
10,0.0092,0.056,0.0172
10,0.0268,0.0108,0.0164
10,0.4392,0.0112,0.1628
10,0.1968,0.0024,0.004
10,0.016,0.0024,0.0636
10,0.002,0,0.2104
10,0.0448,0.0144,0.0388
10,0.3172,0.104,0.3604
10,0.6424,8e-04,0.3296
10,0.1876,0.2396,0.184
10,0.3608,0.0012,0.1348
10,0.9292,0.006,0.3988
10,0.0548,0.0292,0
10,0.0148,0.048,0.0036
10,0.0028,0.0024,0.0116
10,0.594,0.0052,0.0336
10,0.0048,0.0104,8e-04
10,0.0148,0.0068,0
10,0.772,0.1472,0.2344
10,0.0016,0.0044,8e-04
10,0.6468,0.1968,0.022
10,0.0152,0.0152,0.0168
10,0.092,4e-04,0.1292
10,0.0048,0.0064,0.0492
10,0.0232,0.0228,0.05
10,0.0052,0.0048,0.1984
10,0.586,0.0292,0.076
10,0.108,0.052,0.1016
10,0.8156,0.0964,0.0456
10,0.0028,0,0.008
10,0.0088,0.0068,0.0152
10,0.0564,0.0104,0.036
10,0.0444,0.0012,0.238
10,0.476,4e-04,0.022
10,0.8504,0.6424,0.0524
10,0.0896,0.0084,0.4328
10,0.7692,0.0508,0.5156
10,0.9644,0,0.2796
10,0.318,4e-04,0.3012
10,0.558,0.004,0.0428
10,0.0088,4e-04,0.2556
10,0.3224,0.028,0.0816
10,0.8444,0,0.008
10,0.0516,0.068,0.0148
10,0.0856,0.2148,8e-04
10,0.0084,0.0012,0.188
10,0.174,0.0112,0.0108
10,1,0,0.5668
10,0.146,0.008,0.1804
10,0.1552,0,0.4308
10,8e-04,4e-04,0.0356
10,0.1652,0.018,0.0128
10,0.0344,0.0176,0.2244
10,0.006,0.0032,0.242
10,0.0028,4e-04,0.1016
10,0.0632,0.146,0.0072
10,0.6848,0.046,0.1392
10,0.9992,0.0284,0.1288
10,0.6568,0.132,0.0472
10,0.8744,0.002,0.0256
10,0.1228,0.1824,0.0144
10,0.002,0.0016,0.1104
10,0.9788,0.0028,0.1572
10,0.014,0.012,0.2596
10,0.0916,0.1544,0.1752
10,0.2664,0.0204,0.0324
10,0,0.0044,0.0048
10,0.0332,0.0056,0.0072
10,0.0128,0.0332,0.0032
10,0.0304,0.0064,0.0788
10,0.006,0,0.0148
10,0.002,4e-04,0.088
10,0.004,4e-04,0
10,0.106,0.0168,0.3388
10,0.0204,0.0028,0.0176
10,4e-04,0,0.0764
10,0.0296,0.0368,8e-04
10,0.0024,8e-04,0.1544
10,0.1984,0,0.186
10,0.0648,0.02,0.6508
10,0.3532,0.0036,0.1232
10,4e-04,0.0032,0.0336
10,0.8176,0.0048,0.3264
10,8e-04,4e-04,0.1216
10,0.3088,0.5176,0.0204
10,0.964,0.0016,0.0888
10,0.0508,0.0024,0.0472
10,0.9408,0.0092,0.6096
10,0.1096,0.0124,0.1452
10,0.418,0.1796,0.3872
