"SNR","outMy","outGt","outEp"
0,0.046,0.0556,0.0284
0,0.0384,0.0436,0.0312
0,0.044,0.0484,0.028
0,0.0424,0.0564,0.0324
0,0.0388,0.0472,0.034
0,0.0356,0.0396,0.0352
0,0.0392,0.056,0.03
0,0.0428,0.0472,0.0348
0,0.0392,0.0496,0.0292
0,0.0332,0.0432,0.038
0,0.046,0.0552,0.0352
0,0.044,0.0508,0.0292
0,0.0392,0.0504,0.028
0,0.044,0.0468,0.0376
0,0.0444,0.0476,0.028
0,0.038,0.0516,0.0352
0,0.036,0.0428,0.0284
0,0.044,0.0568,0.0248
0,0.0412,0.0488,0.0332
0,0.042,0.0528,0.038
0,0.0436,0.052,0.0388
0,0.0428,0.0444,0.0288
0,0.0416,0.0496,0.03
0,0.0392,0.0488,0.0356
0,0.038,0.0484,0.032
0,0.0456,0.0556,0.03
0,0.0436,0.048,0.028
0,0.0352,0.0484,0.0336
0,0.0372,0.0456,0.0388
0,0.0344,0.0424,0.0244
0,0.0448,0.0488,0.0324
0,0.0384,0.0444,0.0376
0,0.0436,0.054,0.0292
0,0.0464,0.058,0.0324
0,0.0412,0.0508,0.0292
0,0.0436,0.0504,0.0296
0,0.0464,0.0452,0.032
0,0.0404,0.0476,0.0324
0,0.038,0.0472,0.0336
0,0.0388,0.0496,0.0244
0,0.0496,0.0516,0.0304
0,0.0444,0.0496,0.0308
0,0.0368,0.0496,0.0276
0,0.0356,0.0516,0.0328
0,0.0416,0.0452,0.0328
0,0.044,0.0512,0.0312
0,0.0408,0.0436,0.03
0,0.042,0.0464,0.026
0,0.0404,0.0468,0.0288
0,0.0408,0.0536,0.0328
0,0.0428,0.0572,0.0312
0,0.0384,0.05,0.0348
0,0.0432,0.0536,0.0364
0,0.0436,0.0464,0.0296
0,0.0504,0.0564,0.0304
0,0.0376,0.0484,0.0284
0,0.042,0.0548,0.0276
0,0.0396,0.042,0.0252
0,0.0396,0.0496,0.0392
0,0.0428,0.0576,0.034
0,0.048,0.0552,0.0292
0,0.0396,0.0468,0.034
0,0.0432,0.0524,0.026
0,0.0424,0.0476,0.034
0,0.0364,0.0508,0.024
0,0.0396,0.046,0.0272
0,0.042,0.0564,0.0296
0,0.0444,0.048,0.0276
0,0.0448,0.056,0.03
0,0.0412,0.0568,0.0296
0,0.0452,0.0556,0.036
0,0.0432,0.0496,0.032
0,0.0368,0.0448,0.0272
0,0.0464,0.0484,0.0324
0,0.0464,0.0472,0.03
0,0.0432,0.0532,0.0324
0,0.0456,0.0528,0.0308
0,0.0388,0.048,0.0284
0,0.0412,0.0484,0.0312
0,0.0392,0.048,0.028
0,0.0388,0.0552,0.0328
0,0.0376,0.0516,0.028
0,0.0452,0.0556,0.03
0,0.0424,0.0536,0.0296
0,0.0452,0.05,0.0356
0,0.038,0.0416,0.024
0,0.036,0.0496,0.0352
0,0.042,0.0616,0.0304
0,0.038,0.0452,0.0316
0,0.0476,0.0616,0.0264
0,0.0428,0.0488,0.0276
0,0.0392,0.0532,0.0344
0,0.046,0.0564,0.03
0,0.0388,0.044,0.0332
0,0.044,0.0548,0.0328
0,0.0368,0.0504,0.0284
0,0.0372,0.0448,0.028
0,0.0376,0.0436,0.038
0,0.0444,0.048,0.0324
0,0.0384,0.048,0.0284
10,0.1016,4e-04,0.2872
10,0.0084,0.0052,0.0228
10,0.0332,0.0588,0.2536
10,0.0104,0,0.3432
10,0.0252,4e-04,0.0436
10,0.202,0.274,0.2632
10,0.0712,0.0984,0.2408
10,0.3752,4e-04,0.3036
10,0.6888,0.0088,0.172
10,0.5892,0.118,0.13
10,0.4008,0.1184,0.0272
10,0.1292,0.2024,0.1096
10,0.3228,0.0056,0.1124
10,0.0732,0.0024,0.2284
10,0.1784,0.0036,0.0324
10,0.0112,0.0192,0.0556
10,0.0548,0.0184,0.2776
10,0.162,0.3032,0.0304
10,0.1304,0.0704,0.5552
10,0.1324,0.0744,0.0788
10,0.48,0.1004,0.0852
10,0.0936,0.0996,0.5076
10,0.002,4e-04,0.1048
10,0.1524,0.008,0.0708
10,0.012,0.0472,0.0112
10,0.0088,0.0032,0.04
10,0.1836,0.0044,0.0232
10,0.0424,0.0076,0.3616
10,0.0016,4e-04,0.042
10,0.0316,4e-04,0.2072
10,0.536,0,0.26
10,0.0736,0.03,0.1908
10,0.0984,0.27,0.0132
10,0.2376,0.38,0.0012
10,0.3912,0,0.506
10,0.0628,0.0508,0.0296
10,0.0484,0.016,0.14
10,0.0084,8e-04,0.2448
10,0.0196,0.0036,0.2864
10,0.064,0,0.508
10,0.0556,0.0068,0.0052
10,0.9972,0.03,0.6608
10,0.0024,0.0012,0.0284
10,0.0668,0.0012,0.7084
10,0.1956,0.0016,0.0252
10,4e-04,4e-04,0.064
10,0.2024,0,0.1772
10,0.3252,0.5768,0
10,0.3304,0.0012,0.1596
10,0.2956,0.0444,0.8512
10,0.018,0.004,0.2652
10,0,0.0012,0.0024
10,0.0864,8e-04,0.0768
10,0.0244,0.0052,0.0964
10,0.0024,0.0076,0.0112
10,8e-04,4e-04,8e-04
10,1,8e-04,0.57
10,0.0196,0.0072,0.2976
10,0.0128,0.0056,0.096
10,0.9932,0.0036,0.1096
10,0.0824,0.102,0.016
10,0.0156,0.0108,0.1364
10,0.042,0.0036,0.1636
10,0.0808,0.0056,0.2132
10,0.9936,0.0528,0.4452
10,0.0608,0.0172,0.0292
10,0.202,0.2552,0.1216
10,0.0356,8e-04,0.1388
10,0.0344,0,0.0236
10,0.6348,0.084,0.0328
10,0.992,0.002,0.066
10,0.0052,0.0212,0.0052
10,0.1328,0.1416,0.2272
10,0.1692,0,0.0476
10,0.1452,0.302,0.022
10,0,0,0.0448
10,0.262,4e-04,0.3028
10,0.0056,0.0036,0.1568
10,0.1688,0.0128,0.222
10,0.024,0.0076,0.3632
10,0.006,0.008,0.0684
10,0.276,4e-04,0.0128
10,0.1996,0.064,0.5124
10,0.0844,0.0028,0.2784
10,0.8632,0.1596,0.04
10,0.9896,0.0016,0.6048
10,0.0112,0.0044,0.0356
10,0.248,0.1152,0.1808
10,0.0892,0.0932,0.0092
10,0,4e-04,0.0504
10,0.2176,0.0256,0.1868
10,0.9296,0,0.264
10,0.0016,0.002,8e-04
10,0.9552,0,0.4168
10,0.0528,0.0116,0.0548
10,0.048,0.0016,0.3788
10,0.1168,0.0144,0.358
10,0.9956,0.0164,0.6832
10,0.0524,0.0636,0.0272
10,0.0092,0.002,0.006
20,1,0.1736,0.42
20,0.0028,0.0036,0.066
20,4e-04,8e-04,0.006
20,4e-04,0,0.0032
20,0.0028,0.0076,0
20,0.61,0,0.7204
20,4e-04,4e-04,0.066
20,0.004,0.002,0.0016
20,0.0184,0.0028,0.3984
20,0.0312,0.0244,0.0504
20,8e-04,4e-04,0.9564
20,0.2896,0.1276,0.7224
20,8e-04,0,0.0228
20,0.002,4e-04,0.0016
20,0.8784,0.0044,0.1552
20,0.5156,0.6064,0.0976
20,8e-04,0,0
20,0.0024,0.0064,0.0016
20,0.0116,0.0032,0.006
20,0.434,0.0184,0
20,0.11,0.018,0.25
20,0.0032,0.0144,0.1536
20,0.0016,0,0.1688
20,0.0012,0.0056,0.0044
20,4e-04,0,0.4772
20,0.0032,0,0.6588
20,0.0744,0.1472,0.068
20,0.0088,0,0.154
20,0,0,0.0068
20,0.0024,4e-04,0.5404
20,0.8416,0.1868,0.9716
20,0.284,0.0172,0.0312
20,0.002,0.0032,0.0956
20,0.1136,0.0576,0.5144
20,4e-04,0,0.4288
20,0.4164,0,0.018
20,0.4348,0.004,0.0032
20,0.9964,8e-04,0.754
20,0,0,0.1408
20,0.7828,0,0.4288
20,0.4216,0,0
20,0.0152,0,0
20,0.0676,0,0.0576
20,0.9416,0.6644,0.136
20,0.7748,0,0.4776
20,0,0,0.008
20,0.0228,0.0088,0.0632
20,0.0016,0.0012,0.0124
20,0.0012,0,0.0128
20,0.0092,0,0.0804
20,0.0024,0.0036,0.0228
20,0,4e-04,0.0108
20,0.0096,4e-04,0.58
20,0.0932,4e-04,0.0108
20,0.0704,0.074,0.5984
20,0.0036,4e-04,0.0688
20,0.8712,0.0032,0.1528
20,0.0152,0,0.1084
20,0.8668,0,0.2848
20,0.0292,0.0048,0.9456
20,0.0428,0.0256,0.2484
20,0.002,0.0036,0.1676
20,0,4e-04,0.0016
20,0,0.0512,0
20,0.1368,4e-04,0.0912
20,0.0372,0,0.0736
20,0.0012,0,0.0452
20,0.126,0,0.072
20,0.0344,0,0
20,0.2916,0.0152,0.0156
20,0.9996,0,0.3292
20,0.012,0,0.002
20,0.1728,0.1776,0.0404
20,4e-04,0,0
20,0.7852,0,0.5144
20,0.1516,0.0104,0.71
20,0.962,0.4872,0.0344
20,0.9164,0,0.0452
20,4e-04,0,0.0976
20,8e-04,0,0.3
20,0.0112,0,0.3116
20,0.7604,0,0.0056
20,0.0364,0.1204,0.0708
20,0.07,0.3748,0.0016
20,0.8232,0.0048,0.524
20,0.0028,0.0012,0.1892
20,0,0,0.3904
20,0.0012,4e-04,0.1952
20,0.0788,0.0028,0.4124
20,0.9996,0,0.7884
20,0.0076,0.0048,0.014
20,0.008,8e-04,0.5992
20,0.0148,8e-04,0.2652
20,0.1784,4e-04,0.2524
20,0.846,0.7192,0.6236
20,0.0372,0.11,0.19
20,0.0404,0.1352,8e-04
20,0.0064,0.0072,0.0752
20,0,0,0.01
20,0.4392,0.0308,0.7628
30,0.0132,0,0.358
30,0.286,0.8352,0
30,0,4e-04,0.022
30,0.0384,0.0056,0.5292
30,0.9584,0,0.9936
30,1,0.0048,0.8676
30,0.0056,0,0.0024
30,0.7332,0.222,0.4532
30,0.9968,0.2832,0.3488
30,0.992,0.5312,0
30,0.5436,0,0.0176
30,0.0052,0,0.0684
30,0,0.0032,4e-04
30,0,0,0.0696
30,0.0112,0,0.3264
30,1,4e-04,0.0604
30,0.8332,0.14,0.0456
30,0.9844,0.318,0.0248
30,0.014,0,0.4184
30,0,0,0.1388
30,0,0.0032,0
30,0.96,4e-04,0.0476
30,0.0212,8e-04,0.374
30,0,0,0
30,0.0072,0.0144,0.0416
30,0.9004,0,0.0212
30,0.41,0.0348,0.0748
30,4e-04,0.0144,0.0104
30,0.9504,0.0064,0.0424
30,0.006,0.0196,0.002
30,0.0288,0,0.558
30,0.0548,0,0.0036
30,0.0016,0,0.0016
30,0.0064,0,0.0024
30,0.6536,0.0832,0.5408
30,0.2696,0,0.0532
30,0.198,8e-04,0.2896
30,0.9624,0,0.0056
30,0,0,0
30,4e-04,0,0.002
30,4e-04,4e-04,0.0148
30,0.0236,0.0012,0.606
30,0.0104,8e-04,0.0856
30,0.0168,0.1752,0.0076
30,0.96,0.854,8e-04
30,0,8e-04,0.0012
30,1,0,0.9324
30,0.0276,0.2572,0.0024
30,0.0092,0,0.2464
30,0.0552,0.0552,0
30,0.0012,0,0.3328
30,0.896,0,0.7792
30,0.0304,0.0012,0.0016
30,0.0376,0,0.234
30,1,0,0.5552
30,0.0532,0,0.7024
30,0.002,0,0.0796
30,0.8928,0.0096,0.376
30,1,0,1
30,0.0372,0.0156,0.2744
30,0.12,0.0496,0.2356
30,0.8952,0,0.6228
30,0.002,0,0.5756
30,1,0.1944,0.1036
30,0,0.0032,0.0036
30,0.0048,8e-04,0.5292
30,0.9992,0,0.288
30,0.0468,0.0408,0
30,8e-04,0.0044,0.0096
30,0,0,0.0224
30,4e-04,0,0.1768
30,0.1508,0,0.6016
30,1,0.0884,0.2432
30,0,0,0.5964
30,0,0,0.0016
30,0.5076,0.506,0.054
30,4e-04,0,0.1944
30,0.3452,0.0132,0.1044
30,0.6376,0,0.1
30,0.1148,0,0.0016
30,0.004,0,0.158
30,0.9544,0,0.4776
30,0,0,8e-04
30,0.998,0.1388,0.0816
30,4e-04,0,0.724
30,0.1636,0,0.5096
30,0,0,0.5404
30,0.0064,0.0012,0.168
30,0.0032,8e-04,0
30,0,0.0012,0
30,0.8956,0.0368,0.3708
30,4e-04,0,0.0132
30,0.5048,0.0196,0.9864
30,0,0,0.1016
30,0.3116,0,0.2888
30,0.8664,0.1308,0.0048
30,0.4664,0.6816,0.0016
30,0.382,0.1248,0.2352
30,4e-04,0,0.4392
30,0,4e-04,0
