"SNR","outMy","outGt","outEp"
0,0.0464,0.0528,0.0232
0,0.05,0.0512,0.0316
0,0.0496,0.0508,0.0292
0,0.04,0.0404,0.0248
0,0.0488,0.0528,0.0328
0,0.0448,0.048,0.024
0,0.0472,0.0456,0.024
0,0.0536,0.05,0.0296
0,0.0448,0.0496,0.0304
0,0.0428,0.0512,0.0196
0,0.0372,0.0424,0.0224
0,0.044,0.0516,0.0228
0,0.0428,0.0416,0.0236
0,0.0472,0.0496,0.0308
0,0.054,0.0564,0.0312
0,0.0424,0.0476,0.026
0,0.0488,0.0488,0.0272
0,0.0424,0.0464,0.0228
0,0.048,0.0508,0.0268
0,0.0512,0.0532,0.0304
0,0.058,0.0584,0.0336
0,0.04,0.0456,0.0244
0,0.0376,0.0372,0.0204
0,0.0496,0.0608,0.0284
0,0.0432,0.0456,0.026
0,0.0432,0.0512,0.0264
0,0.0424,0.0496,0.0232
0,0.0492,0.052,0.0276
0,0.0512,0.0528,0.028
0,0.0392,0.046,0.0248
0,0.0536,0.06,0.032
0,0.0428,0.048,0.0308
0,0.0448,0.0552,0.024
0,0.0476,0.0508,0.0232
0,0.0508,0.0536,0.0312
0,0.05,0.0572,0.0292
0,0.0448,0.0548,0.032
0,0.0548,0.056,0.0244
0,0.048,0.0472,0.0252
0,0.0388,0.0396,0.0284
0,0.0444,0.0464,0.0292
0,0.0468,0.0508,0.028
0,0.0496,0.0468,0.0224
0,0.0412,0.0472,0.0268
0,0.0484,0.0548,0.0252
0,0.0452,0.0496,0.0264
0,0.0524,0.0612,0.0284
0,0.0444,0.0472,0.0276
0,0.0464,0.0528,0.0192
0,0.0476,0.05,0.0284
0,0.0444,0.0504,0.0284
0,0.0464,0.0508,0.0272
0,0.0536,0.056,0.0236
0,0.0504,0.0552,0.0252
0,0.0468,0.048,0.0264
0,0.046,0.0496,0.0236
0,0.05,0.05,0.0312
0,0.046,0.0472,0.026
0,0.038,0.0476,0.026
0,0.0464,0.0552,0.0284
0,0.0452,0.0508,0.0296
0,0.0452,0.048,0.026
0,0.0448,0.0492,0.0256
0,0.046,0.0452,0.0288
0,0.0468,0.0512,0.026
0,0.0524,0.0516,0.034
0,0.0504,0.048,0.0276
0,0.0488,0.05,0.0304
0,0.0536,0.0584,0.0272
0,0.05,0.0532,0.0296
0,0.046,0.0488,0.0292
0,0.048,0.0548,0.0244
0,0.0492,0.0552,0.0276
0,0.0424,0.0508,0.0264
0,0.0516,0.0552,0.0244
0,0.048,0.0532,0.0308
0,0.04,0.0444,0.0256
0,0.044,0.0524,0.0284
0,0.0488,0.0544,0.0324
0,0.0492,0.0576,0.0324
0,0.0532,0.0528,0.0296
0,0.046,0.0496,0.0264
0,0.0472,0.0436,0.0272
0,0.044,0.0476,0.0224
0,0.0464,0.0476,0.0252
0,0.0428,0.0452,0.0252
0,0.0408,0.0444,0.026
0,0.0432,0.0504,0.0272
0,0.0436,0.048,0.026
0,0.0484,0.0484,0.0312
0,0.0424,0.0452,0.0252
0,0.04,0.0452,0.0292
0,0.0476,0.0468,0.028
0,0.0504,0.058,0.0268
0,0.044,0.0472,0.0244
0,0.0496,0.0536,0.034
0,0.0432,0.0492,0.0268
0,0.0424,0.044,0.0284
0,0.0556,0.0624,0.0288
0,0.0428,0.048,0.0216
10,0.0844,0.0284,0.0644
10,0.1868,0.2592,0.0024
10,0.0584,0.0128,0.176
10,0.2636,0.1712,0.2184
10,0.3072,0.304,0.5764
10,0.1556,0.232,0.1232
10,0.0024,0.0028,0.0096
10,0.3092,0.4308,0.4424
10,0.08,0.1108,0.0564
10,0.0068,4e-04,0.0064
10,0.3372,0.152,0.0916
10,0.2916,0.1448,0.4808
10,0.0248,0.0744,0.002
10,0.9776,0.994,0.7644
10,0.088,0.146,0.1468
10,0.9368,0.8584,0.7916
10,0.6032,0.7176,0.2664
10,0.0016,0,8e-04
10,0.8908,0.9332,0.7608
10,0.0716,0.1068,0.102
10,0.8444,0.9584,0.7916
10,0.0532,0.0856,0.2692
10,0.0016,0.0012,0
10,0.6568,0.6596,0.5016
10,0.6368,0.4676,0.724
10,0.9504,0.822,0.8396
10,8e-04,0.0048,8e-04
10,0.534,0.5712,0.3824
10,0.0352,0.0252,0.012
10,0.9892,0.9736,0.994
10,0.9496,0.9612,0.8832
10,0.2628,0.2096,0.6604
10,0.318,0.5196,0.0224
10,0.0592,0.0176,8e-04
10,0.006,0.0032,0.0584
10,0.0164,0.0096,0.0764
10,8e-04,0.0024,0
10,0,8e-04,0.0032
10,0.0976,0.0176,0.0016
10,0.12,0.0364,0.0836
10,0.8284,0.8712,0.7932
10,0.0028,0.0068,0
10,0.6972,0.922,0.1572
10,0.6992,0.7996,0.752
10,0.8664,0.996,0.0552
10,0.7256,0.8772,0.124
10,0.0816,0.0212,0.3488
10,0.0288,0.04,0.0068
10,0.0016,0.0012,0.0084
10,0.5512,0.5804,0.5488
10,0.258,0.2428,0.0436
10,8e-04,0,0.2124
10,0.4124,0.6848,0.08
10,0.2248,0.3344,0.0876
10,0.9812,0.9984,0.8944
10,0,0,0.0112
10,0.8964,0.9184,0.3504
10,0.006,0,0.4732
10,0.9236,0.8784,0.3136
10,0.112,0.04,0.3252
10,0.0256,0.0156,0.2996
10,0.0764,0.0508,0.2664
10,8e-04,4e-04,0.0052
10,0.4584,0.2964,0.0968
10,0,0.0012,0.0476
10,0.1916,0.1952,0.0936
10,0.5056,0.458,0.1212
10,0.2848,0.112,0.0276
10,0.056,0.2236,8e-04
10,0.772,0.8972,0.5984
10,0.6424,0.702,0.546
10,0.3592,0.398,0.1568
10,0.9356,0.8444,0.7696
10,0.0032,0.008,0.1072
10,0.068,0.046,0.0264
10,0.9808,0.9988,0.9032
10,0.0012,4e-04,0.0016
10,0.348,0.4164,0.3688
10,0.2184,0.3484,0.0036
10,0.0028,8e-04,8e-04
10,0.2728,0.136,0.2004
10,0.5016,0.524,0.1996
10,0.9036,0.8168,0.8036
10,0.0072,0.0088,0.0972
10,0.2808,0.3356,0.1892
10,0.032,0.0316,0.012
10,0.0196,0.0396,0.052
10,0.0012,0.0012,0.0036
10,0.8604,0.8712,0.6068
10,0.4388,0.4532,0.0628
10,0.0736,0.0276,0.1196
10,0.9,0.8952,0.7428
10,0.6936,0.6332,0.3544
10,0.0068,0.008,0.0076
10,0.0016,0.0028,0.0308
10,0.0016,0.002,0.0056
10,0.0472,0.1596,0.3024
10,0.4392,0.3668,0.6012
10,0.0108,0.0112,0.0424
10,0.0048,0.0036,0.0204
20,0.0144,0.0068,0.0564
20,0.308,0.2424,0.1928
20,0.2424,0.464,0.8704
20,0.0176,0.0044,0.948
20,0.1892,0.2832,0.352
20,0,0,4e-04
20,0.0124,4e-04,0.9208
20,0.9612,0.2172,0.9956
20,0.9692,0.9764,0.8576
20,0.6692,0.9312,0.2656
20,1,1,0.9456
20,0.5928,0.7188,0.1192
20,0.5068,0.6136,0.3308
20,0.7912,0.88,0.3432
20,0.0204,0.0924,0
20,8e-04,0,0.0676
20,0,0,0
20,0.936,0.8364,0.8832
20,0.0032,0.0016,0.1372
20,4e-04,0,0.2764
20,0.0584,0.0032,0.6096
20,0.7224,0.8316,0.9696
20,0.8708,0.8448,0.3668
20,0,0,0.0512
20,0.9992,0.9988,0.4516
20,0.1688,0.2072,0.0072
20,0,0,0.0976
20,0.9372,0.794,0.8016
