"SNR","outMy","outGt","outEp","outLassoTest"
0,0.035,0.035,0.045,NA
0,0.065,0.065,0.07,NA
0,0.03,0.035,0.05,NA
0,0.045,0.07,0.06,NA
0,0.05,0.05,0.055,NA
0,0.045,0.045,0.045,NA
0,0.075,0.05,0.065,NA
0,0.04,0.055,0.08,NA
0,0.035,0.035,0.025,NA
0,0.055,0.05,0.045,NA
0,0.025,0.04,0.045,NA
0,0.055,0.045,0.055,NA
0,0.025,0.045,0.05,NA
0,0.045,0.065,0.04,NA
0,0.055,0.055,0.065,NA
0,0.035,0.03,0.04,NA
0,0.04,0.025,0.045,NA
0,0.025,0.02,0.025,NA
0,0.05,0.06,0.05,NA
0,0.035,0.045,0.03,NA
0,0.045,0.045,0.045,NA
0,0.06,0.055,0.065,NA
0,0.06,0.055,0.035,NA
0,0.06,0.055,0.075,NA
0,0.045,0.035,0.035,NA
0,0.05,0.045,0.035,NA
0,0.06,0.05,0.055,NA
0,0.095,0.08,0.06,NA
0,0.035,0.045,0.055,NA
0,0.02,0.03,0.045,NA
0,0.035,0.04,0.025,NA
0,0.03,0.04,0.035,NA
0,0.045,0.05,0.06,NA
0,0.055,0.06,0.07,NA
0,0.07,0.06,0.05,NA
0,0.05,0.045,0.03,NA
0,0.085,0.085,0.115,NA
0,0.06,0.04,0.03,NA
0,0.045,0.05,0.035,NA
0,0.045,0.06,0.04,NA
0,0.065,0.07,0.075,NA
0,0.06,0.07,0.07,NA
0,0.045,0.05,0.05,NA
0,0.065,0.075,0.075,NA
0,0.035,0.045,0.045,NA
0,0.04,0.04,0.04,NA
0,0.07,0.075,0.08,NA
0,0.05,0.055,0.045,NA
0,0.03,0.035,0.05,NA
0,0.035,0.045,0.03,NA
0,0.055,0.045,0.04,NA
0,0.05,0.05,0.03,NA
0,0.06,0.075,0.075,NA
0,0.055,0.055,0.055,NA
0,0.04,0.045,0.055,NA
0,0.035,0.06,0.035,NA
0,0.045,0.04,0.065,NA
0,0.04,0.06,0.065,NA
0,0.07,0.075,0.05,NA
0,0.05,0.055,0.06,NA
0,0.02,0.025,0.03,NA
0,0.085,0.08,0.07,NA
0,0.065,0.045,0.075,NA
0,0.04,0.05,0.055,NA
0,0.03,0.025,0.04,NA
0,0.04,0.04,0.03,NA
0,0.04,0.05,0.04,NA
0,0.055,0.05,0.045,NA
0,0.055,0.075,0.06,NA
0,0.05,0.04,0.055,NA
0,0.035,0.04,0.055,NA
0,0.075,0.075,0.07,NA
0,0.03,0.02,0.02,NA
0,0.05,0.05,0.045,NA
0,0.045,0.045,0.06,NA
0,0.065,0.075,0.05,NA
0,0.06,0.06,0.08,NA
0,0.055,0.045,0.05,NA
0,0.035,0.04,0.045,NA
0,0.055,0.05,0.055,NA
0,0.05,0.045,0.04,NA
0,0.045,0.05,0.065,NA
0,0.045,0.05,0.06,NA
0,0.05,0.04,0.045,NA
0,0.05,0.06,0.065,NA
0,0.045,0.05,0.04,NA
0,0.025,0.025,0.04,NA
0,0.04,0.04,0.045,NA
0,0.06,0.07,0.055,NA
0,0.055,0.055,0.06,NA
0,0.05,0.035,0.05,NA
0,0.03,0.05,0.045,NA
0,0.05,0.035,0.035,NA
0,0.05,0.065,0.045,NA
0,0.04,0.04,0.045,NA
0,0.04,0.055,0.06,NA
0,0.025,0.02,0.05,NA
0,0.07,0.055,0.06,NA
0,0.065,0.06,0.055,NA
0,0.045,0.03,0.03,NA
20,0.98,0.98,0.97,NA
20,0.19,0.16,0.22,NA
20,0.555,0.86,0.975,NA
20,0.775,0.515,0.735,NA
20,0,0,0,NA
20,0.89,0.905,0.985,NA
20,0.88,1,1,NA
20,0.82,0.74,0.975,NA
20,0.195,0.03,0.06,NA
20,0,0,0,NA
20,0.065,0.01,0.005,NA
20,0.925,0.95,0.975,NA
20,0.485,0.59,0.81,NA
20,0.005,0,0.015,NA
20,0.55,0.525,0.825,NA
20,0.16,0.465,0.56,NA
20,0,0,0,NA
20,0.485,0.385,0.585,NA
20,0.255,0.2,0.84,NA
20,0.725,0.615,0.835,NA
20,0.905,0.925,0.795,NA
20,1,1,1,NA
20,0.82,0.88,0.855,NA
20,0.005,0.025,0.095,NA
20,0,0,0,NA
20,1,1,1,NA
20,0.345,0.22,0.16,NA
20,0.46,0.42,0.725,NA
