"SNR","outMy","outGt","outEp","outLassoTest"
0,0.03,0.03,0.015,NA
0,0.04,0.04,0.02,NA
0,0.045,0.04,0.025,NA
0,0.065,0.09,0.05,NA
0,0.035,0.07,0.045,NA
0,0.035,0.04,0.065,NA
0,0.05,0.07,0.035,NA
0,0.045,0.065,0.04,NA
0,0.04,0.06,0.015,NA
0,0.035,0.04,0.035,NA
0,0.05,0.075,0.02,NA
0,0.01,0.04,0.025,NA
0,0.035,0.06,0.01,NA
0,0.03,0.06,0.025,NA
0,0.02,0.045,0.02,NA
0,0.045,0.05,0.04,NA
0,0.025,0.035,0.025,NA
0,0.055,0.07,0.04,NA
0,0.03,0.065,0.03,NA
0,0.05,0.045,0.025,NA
0,0.065,0.06,0.055,NA
0,0.035,0.045,0.03,NA
0,0.04,0.06,0.03,NA
0,0.03,0.055,0.025,NA
0,0.06,0.055,0.05,NA
0,0.035,0.055,0.02,NA
0,0.045,0.055,0.02,NA
0,0.02,0.04,0.03,NA
0,0.04,0.05,0.03,NA
0,0.055,0.06,0.04,NA
0,0.035,0.04,0.02,NA
0,0.02,0.05,0.035,NA
0,0.04,0.05,0.025,NA
0,0.035,0.035,0.035,NA
0,0.04,0.055,0.02,NA
0,0.04,0.05,0.05,NA
0,0.02,0.045,0.04,NA
0,0.04,0.06,0.035,NA
0,0.04,0.045,0.025,NA
0,0.035,0.04,0.01,NA
0,0.055,0.085,0.025,NA
0,0.06,0.085,0.035,NA
0,0.05,0.055,0.085,NA
0,0.045,0.055,0.055,NA
0,0.03,0.02,0.045,NA
0,0.03,0.055,0.02,NA
0,0.015,0.025,0.03,NA
0,0.025,0.035,0.03,NA
0,0.04,0.065,0.025,NA
0,0.05,0.04,0.03,NA
0,0.04,0.065,0.035,NA
0,0.025,0.055,0.045,NA
0,0.025,0.06,0.02,NA
0,0.045,0.06,0.025,NA
0,0.045,0.035,0.025,NA
0,0.04,0.075,0.025,NA
0,0.055,0.055,0.04,NA
0,0.025,0.04,0.04,NA
0,0.04,0.045,0.035,NA
0,0.02,0.04,0.035,NA
0,0.03,0.04,0.03,NA
