"SNR","outMy","outGt","outEp","outLassoTest"
0,0.048,0.052,0.025,NA
0,0.062,0.054,0.034,NA
0,0.052,0.06,0.029,NA
0,0.035,0.035,0.023,NA
0,0.052,0.051,0.02,NA
0,0.046,0.054,0.034,NA
0,0.051,0.062,0.019,NA
0,0.043,0.044,0.024,NA
0,0.065,0.06,0.028,NA
0,0.047,0.044,0.025,NA
0,0.043,0.044,0.028,NA
0,0.039,0.05,0.019,NA
0,0.037,0.042,0.028,NA
0,0.038,0.046,0.027,NA
0,0.054,0.055,0.038,NA
0,0.057,0.065,0.028,NA
0,0.044,0.044,0.025,NA
0,0.046,0.05,0.02,NA
0,0.039,0.039,0.031,NA
0,0.041,0.045,0.021,NA
0,0.051,0.053,0.024,NA
0,0.043,0.046,0.023,NA
0,0.044,0.048,0.027,NA
0,0.045,0.049,0.025,NA
0,0.045,0.04,0.023,NA
0,0.041,0.046,0.027,NA
0,0.041,0.055,0.025,NA
0,0.051,0.049,0.028,NA
0,0.049,0.052,0.028,NA
0,0.043,0.045,0.031,NA
0,0.048,0.044,0.021,NA
0,0.054,0.053,0.032,NA
0,0.043,0.044,0.029,NA
0,0.039,0.039,0.025,NA
0,0.039,0.04,0.03,NA
0,0.06,0.063,0.031,NA
0,0.063,0.058,0.04,NA
0,0.031,0.039,0.014,NA
0,0.041,0.043,0.028,NA
0,0.052,0.056,0.023,NA
0,0.054,0.046,0.03,NA
0,0.043,0.039,0.022,NA
0,0.058,0.058,0.031,NA
0,0.044,0.049,0.023,NA
0,0.048,0.053,0.031,NA
0,0.053,0.058,0.03,NA
0,0.041,0.042,0.034,NA
0,0.049,0.045,0.026,NA
0,0.055,0.052,0.043,NA
0,0.055,0.057,0.031,NA
0,0.055,0.07,0.02,NA
0,0.049,0.047,0.027,NA
0,0.049,0.044,0.028,NA
0,0.03,0.037,0.029,NA
0,0.04,0.042,0.021,NA
0,0.044,0.047,0.023,NA
0,0.042,0.048,0.025,NA
0,0.048,0.051,0.027,NA
0,0.05,0.047,0.034,NA
0,0.038,0.048,0.03,NA
0,0.052,0.052,0.031,NA
0,0.044,0.047,0.023,NA
0,0.05,0.051,0.029,NA
0,0.053,0.046,0.028,NA
0,0.046,0.051,0.032,NA
0,0.034,0.03,0.017,NA
0,0.046,0.047,0.024,NA
0,0.045,0.051,0.015,NA
0,0.049,0.049,0.03,NA
0,0.041,0.057,0.022,NA
0,0.051,0.057,0.027,NA
0,0.044,0.053,0.027,NA
0,0.045,0.049,0.019,NA
0,0.053,0.053,0.031,NA
0,0.042,0.051,0.022,NA
0,0.052,0.044,0.02,NA
0,0.045,0.041,0.033,NA
0,0.046,0.055,0.023,NA
0,0.039,0.041,0.023,NA
0,0.04,0.046,0.02,NA
0,0.053,0.048,0.035,NA
0,0.041,0.043,0.025,NA
0,0.039,0.04,0.029,NA
0,0.048,0.052,0.03,NA
0,0.05,0.056,0.018,NA
0,0.059,0.058,0.026,NA
0,0.038,0.05,0.025,NA
0,0.036,0.036,0.023,NA
0,0.05,0.048,0.03,NA
0,0.045,0.047,0.034,NA
0,0.044,0.045,0.024,NA
0,0.047,0.053,0.028,NA
0,0.056,0.056,0.032,NA
0,0.05,0.047,0.028,NA
0,0.05,0.052,0.024,NA
0,0.042,0.037,0.024,NA
0,0.039,0.055,0.018,NA
0,0.053,0.05,0.026,NA
0,0.054,0.061,0.026,NA
0,0.05,0.055,0.028,NA
10,0.126,0.035,0.025,NA
10,0.02,0.04,0.008,NA
10,0.791,0.857,0.238,NA
10,0.148,0.323,0.026,NA
10,0.057,0.01,0.561,NA
10,0.702,0.894,0.087,NA
10,0.341,0.124,0.094,NA
10,0.145,0.274,0.007,NA
10,0.724,0.451,0.856,NA
10,0.125,0.115,0.107,NA
10,0.23,0.141,0.899,NA
10,0.345,0.271,0.283,NA
10,0.667,0.757,0.747,NA
10,0.005,0.006,0.002,NA
10,0.007,0.003,0.003,NA
10,0.67,0.791,0.645,NA
10,0.005,0.002,0.002,NA
10,0,0,0,NA
10,0.999,1,0.995,NA
10,0.322,0.162,0.04,NA
10,0.241,0.092,0.008,NA
10,0.127,0.095,0.001,NA
10,0.904,0.951,0.769,NA
10,0.007,0.009,0.007,NA
10,0.039,0.041,0.154,NA
10,0.498,0.403,0.793,NA
10,0.669,0.749,0.196,NA
10,0.081,0.043,0.097,NA
10,1,0.999,0.72,NA
10,0.387,0.199,0.028,NA
10,0.003,0.021,0.033,NA
10,0.455,0.35,0.077,NA
10,0,0,0,NA
10,0.004,0,0.029,NA
10,0.101,0.093,0.033,NA
10,0.001,0.001,0.003,NA
10,0.029,0.014,0.25,NA
10,0.024,0.036,0.007,NA
10,0,0,0.069,NA
10,0,0,0,NA
10,0.693,0.855,0.439,NA
10,0.511,0.507,0.421,NA
10,0.519,0.293,0.756,NA
10,0.012,0.007,0.046,NA
10,0.002,0,0.019,NA
10,0.174,0.067,0.235,NA
10,0.277,0.405,0.244,NA
10,0.255,0.043,0.637,NA
10,0,0,0,NA
10,0.885,0.858,0.259,NA
10,0.107,0.132,0.153,NA
10,0.77,0.837,0.708,NA
10,0.094,0.015,0.142,NA
10,0.984,0.989,0.97,NA
10,0.93,0.935,0.832,NA
10,0.073,0.015,0.014,NA
10,0.206,0.256,0.391,NA
10,0.058,0.099,0.116,NA
10,0.243,0.169,0.379,NA
10,0.578,0.709,0.678,NA
10,0.338,0.405,0.001,NA
10,0.176,0.054,0.536,NA
10,0.072,0.004,0.311,NA
10,0.377,0.075,0.272,NA
10,0.146,0.14,0.02,NA
10,0.001,0,0,NA
10,0.797,0.886,0.71,NA
10,0.092,0.169,0.68,NA
10,0.052,0.038,0.031,NA
10,0.087,0.044,0.337,NA
10,0.013,0.007,0.001,NA
10,0.056,0.036,0.233,NA
10,0.028,0.013,0.09,NA
10,0.12,0.067,0.035,NA
10,0.035,0.037,0.022,NA
10,0.026,0.042,0,NA
10,0.068,0.236,0,NA
10,0.027,0.043,0.002,NA
10,0.016,0.009,0.037,NA
10,0.193,0.022,0.064,NA
10,0.952,0.911,0.367,NA
10,0.782,0.874,0.178,NA
10,0.308,0.04,0.372,NA
10,0.004,0.006,0.014,NA
10,0.015,0.004,0.141,NA
10,0.022,0.026,0.079,NA
10,0.979,0.986,0.737,NA
10,0.387,0.055,0.777,NA
10,0,0.001,0,NA
10,0.995,0.996,0.844,NA
10,0.519,0.298,0.505,NA
10,0.483,0.563,0.72,NA
10,0.875,0.99,0.704,NA
10,0.008,0.036,0.017,NA
10,0.007,0.003,0,NA
10,0.085,0.054,0.027,NA
10,0.137,0.037,0.416,NA
10,0.901,0.973,0.458,NA
10,0.554,0.722,0.027,NA
10,0.586,0.697,0.232,NA
20,0.718,0.886,0.14,NA
20,0,0,0,NA
20,0.946,0.884,0.948,NA
20,1,0.998,0.982,NA
20,0.42,0.306,0.524,NA
20,0,0.001,0,NA
20,0.002,0.003,0,NA
20,0.362,0.298,0.21,NA
20,0.001,0.002,0.003,NA
20,0.006,0,0.154,NA
20,0.003,0,0.007,NA
20,0.132,0.484,0.04,NA
20,0.108,0.137,0.002,NA
20,0.011,0.253,0,NA
20,0.007,0,0.083,NA
20,0.681,0.756,0.652,NA
20,0.027,0.014,0.091,NA
20,0.761,0.974,0.007,NA
20,0.423,0.738,0.247,NA
20,0.242,0.405,0.121,NA
20,1,1,1,NA
20,0.814,0.965,0.65,NA
20,0,0,0,NA
20,0.354,0.056,0.729,NA
20,1,1,0.855,NA
20,0.963,0.866,0.954,NA
20,1,1,0.993,NA
20,0.001,0.003,0.019,NA
20,0.529,0.03,0.942,NA
20,0.002,0,0.79,NA
20,0.203,0.032,0.034,NA
20,0.428,0.494,0.671,NA
20,0.477,0.349,0.423,NA
20,0.081,0.091,0.314,NA
20,0,0,0.75,NA
20,0,0,0.001,NA
20,0,0,0,NA
20,0.141,0.173,0.076,NA
20,0.002,0.003,0,NA
20,0,0,0,NA
20,0.044,0.001,0.168,NA
20,0,0,0,NA
20,0,0.053,0,NA
20,0.052,0.029,0.032,NA
20,0.327,0.388,0.006,NA
20,0.852,0.913,0.604,NA
20,0.648,0.421,0.425,NA
20,0.01,0.016,0.002,NA
20,0.204,0.139,0,NA
20,0.625,0.784,0.33,NA
20,0.584,0.263,0.057,NA
20,0.004,0,0.224,NA
20,0.988,0.849,0.87,NA
20,0,0,0,NA
20,1,1,0.975,NA
20,0.998,0.993,0.999,NA
20,0,0,0,NA
20,0.005,0.007,0.009,NA
20,0.031,0.006,0.819,NA
20,0.856,0.878,0.889,NA
20,0.27,0.584,0.162,NA
20,0.864,0.797,0.989,NA
20,0.211,0.084,0.005,NA
20,0,0,0.13,NA
20,0.052,0.016,0.647,NA
20,0,0,0.002,NA
20,1,1,0.988,NA
20,0.928,0.916,0.86,NA
20,0.003,0,0,NA
20,0.809,0.831,0.995,NA
20,0.996,0.998,0.901,NA
20,0.007,0.002,0.205,NA
20,0.988,0.96,0.943,NA
20,0.106,0.069,0.108,NA
20,0.032,0.023,0.008,NA
20,0.768,0.886,0.295,NA
20,0.284,0.135,0.84,NA
20,0.055,0.199,0.09,NA
20,0.661,0.494,0.703,NA
20,1,1,1,NA
20,0.001,0.016,0.218,NA
20,0.215,0.072,0.089,NA
20,0.002,0.001,0,NA
20,0.021,0.132,0,NA
20,0.049,0.026,0.155,NA
20,0,0,0.282,NA
20,0.995,0.999,0.997,NA
20,0.939,0.976,0.014,NA
20,0.127,0.167,0.182,NA
20,0.975,0.989,0.746,NA
20,0,0,0,NA
20,0.004,0,0.095,NA
20,0.061,0.171,0.08,NA
20,0.637,0.727,0.109,NA
20,0.158,0.388,0.018,NA
20,0.028,0.013,0.608,NA
20,0.954,0.848,0.908,NA
20,0,0,0,NA
20,0.238,0.398,0.342,NA
20,0.282,0.332,0.01,NA
30,1,0.967,1,NA
30,0.93,0.923,0.996,NA
30,0.006,0,0.19,NA
30,0.002,0.004,0,NA
30,0,0,0,NA
30,0.655,0.094,0.934,NA
30,0,0,0,NA
30,0.001,0.001,0.02,NA
30,0.233,0.136,0.443,NA
30,0.167,0.075,0.719,NA
30,0,0,0,NA
30,0,0,0,NA
30,0.97,0.957,0.303,NA
30,0.918,0.861,0.8,NA
30,0.043,0,0.747,NA
30,0.122,0.075,0.477,NA
30,0.002,0.002,0.011,NA
30,0.195,0.061,0.992,NA
30,0.101,0.024,0.374,NA
30,0.492,0.811,0.367,NA
30,0.645,0.203,0.161,NA
30,0.004,0.024,0.002,NA
30,0,0,0,NA
30,0,0,0,NA
30,0.287,0.485,0.655,NA
30,0.607,0.433,0.745,NA
30,0.627,0.113,0.95,NA
30,0,0,0,NA
30,0,0,0.009,NA
30,0.018,0,0.024,NA
30,0,0,0.001,NA
30,0.94,0.878,0.219,NA
30,0.036,0.226,0.173,NA
30,0,0,0.511,NA
30,1,1,0.992,NA
30,0,0.006,0.003,NA
30,0,0,0,NA
30,0.869,0.996,0.045,NA
30,0.623,0.183,0.474,NA
30,0.008,0.001,0.14,NA
30,0.001,0,0.001,NA
30,0.016,0,0,NA
30,0.006,0.016,0.001,NA
30,0.746,0.7,0.911,NA
30,0.037,0.364,0.001,NA
30,0.96,0.99,0.62,NA
30,0.005,0.002,0.218,NA
30,0,0,0.038,NA
30,0.411,0.416,0.511,NA
30,0.017,0.014,0.181,NA
30,0.002,0.066,0.205,NA
30,0.097,0.1,0.746,NA
30,0.278,0.12,0.001,NA
30,0.375,0.09,0.092,NA
30,0.53,0.625,0.143,NA
30,0.722,0.797,0.487,NA
30,0,0,0,NA
30,0.007,0.036,0,NA
30,0.272,0.231,0.095,NA
30,0,0,0,NA
30,0.017,0.071,0,NA
30,0.993,1,0.39,NA
30,0.457,0.477,0.025,NA
30,0,0,0.009,NA
30,0.006,0.003,0.004,NA
30,0.001,0.044,0,NA
30,0.283,0.064,0.079,NA
30,0.524,0.624,0.025,NA
30,0.331,0.002,0.736,NA
30,0,0.001,0,NA
30,0,0,0,NA
30,0.899,0.154,0.973,NA
30,0,0,0.038,NA
30,0.263,0.091,0.047,NA
30,0.109,0,0.214,NA
30,0,0,0,NA
30,0,0.01,0,NA
30,0.972,0.967,0.881,NA
30,0.999,0.997,0.999,NA
30,0.394,0.184,0.775,NA
30,0.868,1,0.06,NA
30,0.999,0.993,0.978,NA
30,1,1,0.939,NA
30,0.272,0.246,0.653,NA
30,0.134,0.144,0.005,NA
30,0.942,0.899,0.636,NA
30,0.968,0.986,0.602,NA
30,0.331,0.038,0.29,NA
30,0,0,0,NA
30,0.949,0.937,0.585,NA
30,0,0,0,NA
30,0.691,0.539,0.187,NA
30,0,0,0.009,NA
30,0.588,0.244,0.998,NA
30,0,0,0.402,NA
30,0,0,0,NA
30,0.002,0,0.328,NA
30,1,0.999,1,NA
30,0.969,0.999,0.936,NA
30,0.022,0.013,0.137,NA
