"SNR","outMy","outGt","outEp"
0,0.06,0.04,0.06
0,0.04,0.06,0.08
0,0.04,0.08,0.02
0,0,0.06,0.08
0,0.04,0.02,0.04
0,0.02,0,0.04
0,0.04,0.08,0
0,0.04,0.08,0.08
0,0.08,0.04,0.1
0,0.04,0,0.06
0,0.08,0.04,0.06
0,0,0.06,0.02
0,0.02,0.02,0.04
0,0.02,0.04,0
0,0.08,0.06,0.08
0,0.06,0.04,0.04
0,0.12,0.16,0.06
0,0.04,0.1,0.02
0,0.02,0.08,0.02
0,0,0.02,0.02
0,0.02,0.1,0
0,0.1,0.04,0.04
0,0.04,0.08,0.04
0,0.06,0.1,0.06
0,0.02,0.02,0.02
0,0.02,0.04,0.04
0,0.08,0.06,0.02
0,0.02,0.06,0.02
0,0.02,0.02,0.1
0,0.02,0.06,0
0,0.06,0.06,0.08
0,0.1,0.12,0
0,0.04,0.06,0.04
0,0.06,0.12,0.08
0,0,0.04,0
0,0,0.02,0.04
0,0.02,0.08,0.02
0,0.02,0.02,0.02
0,0.04,0.08,0.02
0,0.04,0.06,0.06
0,0.04,0.02,0.02
0,0.06,0.06,0.06
0,0.02,0.04,0.02
0,0,0.02,0
0,0,0.06,0.02
0,0.06,0.06,0.04
0,0.06,0.12,0.04
0,0.02,0.1,0
0,0.06,0.02,0.04
0,0,0.02,0.02
0,0,0.12,0
0,0.06,0.04,0.08
0,0.06,0.08,0.04
0,0.04,0.04,0.06
0,0.02,0.02,0.06
0,0.02,0,0.06
0,0.02,0.04,0.02
0,0.02,0.04,0.02
0,0.08,0.08,0
0,0.06,0.08,0
0,0.04,0.06,0.04
0,0.12,0.06,0.06
0,0.04,0.12,0.02
0,0.02,0.1,0.02
0,0.02,0.04,0.02
0,0.06,0.04,0.08
0,0.06,0.08,0.06
0,0.04,0.06,0.08
0,0.06,0.1,0.04
0,0.02,0.04,0.1
0,0.02,0.1,0.04
0,0.04,0.04,0.04
0,0,0.02,0.02
0,0.06,0.1,0.04
0,0.06,0.08,0.04
0,0.02,0.06,0.02
0,0.06,0.06,0.04
0,0.02,0.04,0.02
0,0.06,0.06,0.02
0,0.08,0.02,0.06
0,0.04,0.08,0.06
0,0.06,0.08,0.06
0,0.04,0.1,0.04
0,0.02,0.02,0.02
0,0.16,0.16,0.12
0,0.02,0.1,0.06
0,0.02,0.08,0
0,0.06,0.08,0.06
0,0.02,0.06,0.02
0,0.14,0.1,0.08
0,0.06,0.06,0.06
0,0.02,0.02,0.08
0,0.06,0.04,0.1
0,0.1,0.08,0.08
0,0.06,0.04,0.04
0,0.04,0,0.06
0,0.02,0.1,0
0,0.06,0.04,0.1
0,0.04,0,0.02
0,0,0.1,0.02
10,0.98,1,0.32
10,0.06,0.1,0.02
10,0,0.02,0
10,0.12,0.06,0.16
10,0.26,0.18,0.18
10,0.38,0.04,0.36
10,0.98,1,0.68
10,0.28,0.06,0.32
10,0.36,0.44,0.3
10,0.52,0.7,0.22
10,0.3,0.06,0.38
10,0.44,0.06,0.56
10,0.2,0,0.34
10,0.64,0.42,0.44
10,0.2,0.16,0.28
10,0.46,0.04,0.4
10,0.66,0.74,0.52
10,1,1,0.52
10,0.66,0.76,0.2
10,0.96,0.98,0.32
10,0.24,0.1,0.3
10,0.04,0,0.12
10,0.44,0.34,0.3
10,0.36,0.1,0.38
10,0.98,1,0.56
10,0.1,0.14,0.14
10,0.28,0.14,0.42
10,0.14,0.16,0.04
10,0.4,0.28,0.26
10,0.04,0.12,0.04
10,0.42,0.64,0.2
10,0.36,0.6,0.2
10,0.82,0.86,0.56
10,0.7,0.3,0.9
10,0.84,0.98,0.38
10,0.14,0.04,0.3
10,0.28,0.04,0.42
10,0.2,0.02,0.3
10,0.76,0.94,0.28
10,0.24,0.3,0.32
10,0.3,0.18,0.7
10,0.1,0.06,0.18
10,0.76,0.96,0.2
10,0.06,0,0.18
10,0.14,0.16,0.08
10,0.42,0.02,0.56
10,0.16,0,0.18
10,0.44,0.72,0.24
10,0.06,0.02,0.2
10,0.18,0.04,0.18
10,0.98,1,0.5
10,0.74,0.76,0.64
10,0.08,0.02,0.08
10,0.52,0.32,0.28
10,0.02,0,0.08
10,0.06,0.24,0.1
10,0.24,0.34,0.26
10,0.9,0.88,0.64
10,0.04,0,0.12
10,0.02,0.04,0.02
10,0.04,0,0.18
10,0.96,1,0.12
10,0.32,0.28,0.34
10,0.5,0.54,0.5
10,0.38,0.16,0.5
10,0.2,0.22,0.2
10,0.06,0.1,0.02
10,0.54,0.14,0.52
10,0.28,0.28,0.3
10,0.84,0.98,0.14
10,0.84,1,0.22
10,0.04,0.26,0.02
10,0.38,0.26,0.44
10,0.18,0.04,0.2
10,0.46,0.6,0.18
10,0.74,0.88,0.24
10,0.78,0.96,0.32
10,0.24,0.02,0.4
10,0.2,0,0.46
10,0.82,0.74,0.74
