"SNR","outMy","outGt","outEp"
0,0.06,0.08,0
0,0.04,0.08,0.04
0,0.04,0.04,0.04
0,0,0,0.04
0,0.06,0.08,0.06
0,0.08,0.1,0.04
0,0.04,0,0.06
0,0.04,0.06,0
0,0.08,0.12,0.06
0,0.1,0.12,0.04
0,0.06,0.08,0.06
0,0.04,0.08,0.02
0,0.02,0.1,0
0,0.02,0.02,0.02
0,0.06,0.08,0.06
0,0,0,0.02
0,0.06,0.06,0
0,0,0.02,0.06
0,0.02,0.04,0.02
0,0.06,0.06,0.02
0,0.04,0.02,0.04
0,0,0.06,0.02
0,0.06,0,0.04
0,0.06,0.04,0.08
0,0.02,0.02,0.04
0,0.04,0.02,0.08
0,0.04,0.04,0.04
0,0,0.06,0
0,0.04,0.06,0.04
0,0.08,0.08,0.1
0,0.04,0,0.02
0,0.08,0.04,0.02
0,0.02,0.06,0.02
0,0.08,0.02,0.06
0,0.06,0.1,0.06
0,0,0.1,0.02
0,0.04,0.12,0.08
0,0.02,0.02,0
0,0.04,0.06,0.1
0,0,0.06,0.06
0,0.08,0.04,0.02
0,0.04,0.1,0.04
0,0.04,0.06,0.02
0,0.02,0.06,0
0,0.1,0.06,0.02
0,0.06,0.06,0
0,0.04,0.06,0.02
0,0.06,0.04,0.06
0,0.02,0.04,0.04
0,0.04,0,0.08
0,0.04,0.04,0.1
0,0.04,0.06,0.02
0,0.02,0.02,0.06
0,0.04,0.04,0.04
0,0.04,0.02,0.04
0,0.02,0.02,0.02
0,0,0.04,0
0,0,0.04,0.02
0,0.06,0.02,0.08
0,0.02,0.04,0.06
0,0.02,0.02,0.02
0,0,0.04,0
0,0.06,0.06,0
0,0.08,0.02,0.04
0,0.06,0,0
0,0.04,0,0.06
0,0.06,0.08,0.04
0,0.08,0.02,0.04
0,0.04,0.06,0.06
0,0.02,0.04,0.06
0,0.02,0.1,0.06
0,0.08,0.04,0.04
0,0.06,0.02,0.02
0,0.02,0.02,0.02
0,0.02,0.04,0.02
0,0.08,0.04,0.06
0,0.04,0.04,0.06
0,0.1,0.14,0.08
0,0.1,0.06,0.06
0,0,0.02,0.02
0,0.04,0.04,0.02
0,0.06,0,0.04
0,0.04,0,0
0,0.06,0.02,0.06
0,0.06,0.08,0.02
0,0.02,0.04,0.04
0,0,0.04,0.02
0,0.04,0.08,0
0,0.06,0.02,0.04
0,0,0.04,0
0,0.04,0.04,0.02
0,0.02,0.02,0.02
0,0,0.08,0.06
0,0.02,0.04,0.06
0,0.06,0.1,0.04
0,0.02,0.02,0.02
0,0.02,0.06,0.02
0,0.06,0.06,0.06
0,0.06,0.04,0.06
0,0.04,0.08,0.04
10,0.48,0,0.52
10,0.62,0.02,0.12
10,1,0.06,0.72
10,0.46,0.06,0.32
10,0.36,0,0.34
10,0.96,0.1,0.34
10,0.08,0.02,0.08
10,0.18,0,0.38
10,0.86,0.06,0.52
10,0.06,0.04,0.04
10,0.32,0.06,0.26
10,0,0,0
10,0.26,0.04,0.14
10,0.14,0,0.22
10,0.48,0.04,0.64
10,0.5,0.04,0.22
10,1,0,0.26
10,0.18,0.06,0.26
10,0.6,0,0.28
10,0.5,0.14,0.58
10,0.1,0.08,0.08
10,0.36,0.36,0.12
10,0.96,0.24,0.54
10,0.26,0.02,0
10,0.48,0.04,0.18
10,0.38,0.04,0.54
10,0.04,0,0.18
10,0.82,0.08,0.54
10,0.12,0.02,0.24
10,0.38,0.02,0.04
10,0.24,0.1,0.26
10,0.62,0,0.08
10,0.1,0,0.06
10,0,0,0.06
10,0.16,0,0.18
10,0.72,0.12,0.04
10,0.92,0.02,0.6
10,0.66,0,0.24
10,0.08,0.08,0.06
10,0.14,0.44,0
10,0.22,0.02,0.08
10,0.98,0.14,0.2
10,0.12,0.04,0.02
10,0.68,0.22,0.08
10,0.32,0.02,0.54
10,0.02,0.02,0.02
10,0.3,0.18,0.18
10,0.44,0.04,0.06
10,0.64,0,0.08
10,0.54,0.02,0.26
10,0.64,0.18,0.48
10,0.96,0.06,0.3
10,0.44,0.18,0.5
10,0.12,0.02,0.36
10,0.14,0.02,0.24
10,0.46,0,0.54
10,0.96,0.02,0.52
10,0.16,0,0.36
10,0.94,0.02,0.64
10,0.12,0.06,0.04
10,0.14,0.06,0.18
10,0.1,0.02,0.18
10,0.82,0.04,0.34
10,0.02,0.04,0.04
10,0.54,0,0.08
10,0,0.02,0.02
10,0.4,0.2,0.16
10,0.36,0.02,0.52
10,0.08,0.02,0.4
10,1,0.12,0.36
10,0.82,0.1,0.26
