"SNR","outMy","outGt","outEp"
0,0.04,0.04,0.06
0,0.04,0.02,0.02
0,0.06,0.08,0.04
0,0.04,0.02,0.02
0,0.06,0.06,0.02
0,0.04,0.02,0.02
0,0.04,0.06,0.04
0,0.02,0.08,0.04
0,0.02,0.06,0.1
0,0.06,0.06,0.02
0,0.02,0.08,0.02
0,0.04,0.06,0.04
0,0.06,0.12,0.04
0,0.04,0.1,0.04
0,0.02,0.04,0.04
0,0.08,0.08,0.08
0,0.06,0.06,0
0,0.04,0.02,0.04
0,0.02,0.02,0.04
0,0.04,0.06,0.08
0,0.04,0.12,0.04
0,0.02,0.08,0
0,0.02,0.06,0.04
0,0.12,0.08,0.06
0,0.1,0,0.08
0,0.04,0.02,0.02
0,0.08,0.06,0.06
0,0.04,0.06,0.04
0,0.02,0.08,0.02
0,0.08,0.02,0.02
0,0.02,0.06,0.06
0,0.04,0.04,0.02
0,0.04,0,0
0,0.04,0.08,0.06
0,0.06,0.04,0.04
0,0.02,0.06,0.04
0,0.06,0.08,0.06
0,0.06,0.06,0.02
0,0.06,0.06,0.08
0,0.04,0.08,0.04
0,0.04,0.04,0.1
0,0.04,0.04,0.04
0,0.06,0.06,0
0,0.08,0.08,0.08
0,0.04,0.08,0.1
0,0.06,0.14,0.04
0,0.08,0.08,0.04
0,0.02,0.08,0.06
0,0.08,0.06,0.02
0,0.02,0.04,0
0,0.02,0.06,0
0,0.02,0.02,0.02
0,0.02,0.02,0.04
0,0.04,0.08,0.04
0,0.04,0.08,0.02
0,0,0.04,0.04
0,0.06,0.08,0.04
0,0.04,0.04,0.04
0,0.06,0,0.04
0,0.06,0.12,0.02
0,0.02,0.04,0
0,0,0.08,0.02
0,0.06,0.06,0.12
0,0.04,0.08,0
0,0.06,0.04,0.04
0,0.02,0.06,0
0,0.02,0,0.04
0,0.06,0.08,0.02
0,0.04,0.04,0.06
0,0.06,0.08,0.04
0,0.02,0.04,0.02
0,0,0.04,0.02
0,0.04,0.02,0.02
0,0.06,0.04,0.08
0,0.06,0.02,0.06
0,0.04,0,0.04
0,0.06,0.06,0.02
0,0.02,0.06,0.02
0,0.02,0.04,0.06
0,0.04,0.12,0.02
0,0.02,0.02,0.02
0,0.1,0.12,0.08
0,0.06,0.14,0.04
0,0.04,0.1,0
0,0.04,0.06,0.04
0,0.06,0.06,0.08
0,0.08,0.06,0.04
0,0.06,0.06,0.04
0,0.06,0.1,0.04
0,0.04,0.06,0.02
0,0.08,0.02,0.04
0,0.02,0.02,0
0,0.06,0.08,0.04
0,0.06,0.06,0.02
0,0.06,0.02,0.04
0,0.08,0.06,0.06
0,0.02,0.04,0.02
0,0.08,0.06,0.1
0,0.04,0.04,0.04
0,0.04,0.06,0.02
10,0.08,0.08,0.16
10,0.12,0,0.28
10,0.84,0,0.56
10,0.26,0.06,0.18
10,0.1,0.02,0.24
10,0,0,0.08
10,0.66,0,0.1
10,0.14,0.02,0.24
10,0.78,0.06,0.08
10,0.16,0.04,0.22
10,0.26,0,0.32
10,0.4,0,0.34
10,0.04,0.04,0.08
10,0.08,0,0.2
10,0.7,0,0.5
10,0.1,0,0.12
10,0.62,0.02,0.32
10,0.22,0.06,0.48
10,0,0,0.14
10,0.52,0.02,0.82
10,0.16,0.02,0.12
10,0.96,0.04,0.22
10,0.26,0.12,0.26
10,0.24,0.04,0.32
10,0.5,0.02,0.26
10,0.42,0.02,0.34
10,0.28,0.04,0.04
10,0.36,0.04,0.42
10,0.14,0,0.2
10,0.86,0.02,0.42
10,0.12,0,0.5
10,0.04,0.06,0.1
10,0.22,0.3,0.12
10,0.2,0.08,0.2
10,0.1,0.04,0.12
10,0.18,0,0.3
10,0.04,0,0.02
10,0.54,0.36,0.3
10,0.66,0,0.26
10,0.66,0.16,0.28
10,0.6,0,0.16
10,0.58,0.02,0.08
10,0.46,0,0.22
10,0.24,0.02,0.06
10,0.44,0,0.64
10,0.16,0,0.38
10,0.32,0.08,0.26
10,0.44,0.02,0.38
10,0.2,0.02,0.2
10,0.06,0.12,0.02
10,0.22,0,0.32
10,0.2,0.04,0.1
10,0.3,0,0.1
10,0.26,0.12,0.16
10,0.26,0.02,0.46
10,0.18,0.2,0.28
10,0.04,0.02,0.14
10,0.74,0,0.18
10,0.82,0,0.32
10,0.32,0.02,0.48
10,0,0,0.06
10,0.32,0.06,0.12
10,0.22,0.16,0.22
10,0.28,0,0.16
10,0.04,0.02,0.06
10,0.44,0,0.3
10,0.46,0.14,0.2
10,0.54,0.02,0.62
10,0,0,0
10,0.18,0,0.52
10,0.1,0,0.24
10,0.18,0,0.26
10,0.94,0,0.7
10,0.52,0.06,0.42
10,0.4,0,0.38
10,0.26,0.02,0.24
10,0.98,0.08,0.34
10,0.42,0,0.12
10,0.62,0.02,0.74
10,0.46,0,0.2
10,0.2,0.06,0.46
10,0.86,0.08,0.26
10,0.14,0,0.28
10,0.84,0.08,0.08
10,0.14,0,0.3
10,0.18,0.04,0.32
10,0.7,0.26,0.22
10,0.96,0.18,0.16
10,0.44,0.02,0.46
10,0.06,0.02,0.1
10,0.96,0,0.3
10,0.1,0.02,0.06
