"SNR","outMy","outGt","outEp"
0,0.02,0.06,0.06
0,0.04,0.04,0.04
0,0.04,0.02,0.06
0,0.02,0.02,0.02
0,0.02,0.02,0
0,0.02,0.04,0.02
0,0.1,0.08,0.06
0,0.12,0.08,0.08
0,0.1,0.1,0.04
0,0.02,0.02,0
0,0.02,0,0
0,0.04,0.04,0.02
0,0.02,0.02,0.02
0,0.04,0.08,0
0,0,0.04,0
0,0.04,0.08,0.02
0,0.06,0.06,0.06
0,0.06,0.04,0
0,0.02,0,0.02
0,0.1,0.08,0.08
0,0.06,0.02,0.08
0,0.04,0.02,0.04
0,0,0,0
0,0.04,0.08,0.08
0,0.08,0.06,0.04
0,0.08,0.04,0.04
0,0.04,0.06,0.04
0,0.06,0.08,0
0,0.08,0.08,0.04
0,0.06,0.06,0.06
0,0.02,0.04,0.02
0,0.06,0.04,0.04
0,0.08,0.12,0.02
0,0.06,0.06,0
0,0.02,0.06,0.02
0,0.06,0.02,0
0,0.1,0.06,0.06
0,0.12,0.12,0.04
0,0.04,0.04,0
0,0.06,0.06,0.02
0,0.04,0.02,0.02
0,0.06,0.02,0.08
0,0,0,0
0,0.04,0.08,0.06
0,0.02,0.02,0
0,0.04,0.06,0.04
0,0.04,0.04,0
0,0.1,0.04,0.06
0,0.06,0.02,0.04
0,0,0.04,0.02
0,0.06,0.08,0.06
0,0.06,0.04,0.04
0,0.06,0,0.06
0,0.06,0.02,0.06
0,0.06,0.04,0
0,0.02,0,0.04
0,0.08,0.04,0.04
0,0,0,0.02
0,0.06,0.02,0.04
0,0.1,0.1,0.06
0,0.1,0.14,0.04
0,0.08,0.08,0.08
0,0.02,0.02,0.04
0,0.06,0.06,0.04
0,0.08,0.06,0
0,0.04,0.06,0.02
0,0.04,0.02,0.04
0,0.1,0.1,0.1
0,0.06,0.04,0
0,0.06,0.04,0.04
0,0.06,0.06,0.06
0,0.04,0.04,0
0,0.06,0.04,0.04
0,0.08,0.06,0.02
0,0.04,0.02,0.06
0,0.02,0.06,0.02
0,0.04,0.06,0
0,0.12,0.12,0.06
0,0.04,0.06,0
0,0.04,0.02,0.02
0,0.04,0.02,0.04
0,0.06,0.06,0.04
0,0,0,0
0,0.02,0.04,0.02
0,0.02,0.02,0.02
0,0.02,0.02,0.02
0,0.02,0.04,0.02
0,0.08,0.08,0.06
0,0.08,0.04,0.08
0,0.08,0.04,0.04
0,0.08,0.08,0.02
0,0.12,0.12,0.1
0,0.02,0.02,0.02
0,0.04,0,0.04
0,0.02,0.02,0.02
0,0.04,0.04,0.02
0,0.06,0.06,0.04
0,0.06,0.04,0.02
0,0.02,0.02,0.04
0,0.06,0.04,0.06
10,0.88,0.92,0.4
10,0.42,0.38,0.66
10,0.7,0.44,0.52
10,0.86,0.88,0.48
10,0.96,0.96,0.72
10,0.8,0.8,0.84
10,0.72,0.66,0.36
10,0.32,0.12,0.42
10,0.8,0.64,0.74
10,0.96,0.86,0.7
10,1,1,1
10,0.72,0.48,0.38
10,0.36,0.3,0.24
10,0.38,0.56,0.16
10,0.36,0.48,0.28
10,0.86,0.94,0.38
10,0.96,0.9,0.96
10,0.34,0.42,0.28
10,0.38,0.34,0.18
10,0.36,0.28,0.28
10,0.66,0.54,0.72
10,1,0.96,0.98
10,0.36,0.24,0.42
10,0.58,0.74,0.48
10,0.88,0.72,0.82
10,0.58,0.82,0.22
10,1,1,0.9
10,0.68,0.88,0.54
10,0.62,0.44,0.46
10,0.44,0.3,0.52
10,0.5,0.74,0.24
10,0.48,0.14,0.48
10,0.82,0.8,0.42
10,0.58,0.86,0.28
10,0.82,0.78,0.52
10,0.24,0.14,0.4
10,0.1,0.1,0.16
10,0.94,0.72,0.9
10,1,1,1
10,0.98,0.98,0.72
10,0.88,0.74,0.88
10,0.8,0.46,0.84
10,0.34,0.4,0.16
10,0.9,0.88,0.78
10,0.28,0.38,0.26
10,0.32,0.18,0.42
10,0.98,1,0.9
10,0.82,0.68,0.94
10,0.36,0.8,0.06
10,0.56,0.52,0.5
10,0.54,0.48,0.14
10,0.64,0.7,0.48
10,0.3,0.3,0.32
10,0.62,0.72,0.5
10,0.96,0.96,0.68
10,0.84,0.68,0.76
10,0.74,0.5,0.68
10,0.68,0.6,0.56
10,0.48,0.24,0.52
10,0.14,0.2,0.24
10,0.06,0.02,0.04
10,0.68,0.48,0.74
10,0.52,0.46,0.48
10,0.38,0.28,0.48
10,0.7,0.84,0.68
10,0.6,0.56,0.54
10,0.3,0.76,0.1
10,0.88,0.92,0.8
10,0.72,0.74,0.8
10,0.86,0.62,0.84
10,0.2,0.08,0.52
10,0.84,0.82,0.72
10,0.86,0.98,0.8
10,0.82,0.74,0.8
10,0.04,0.06,0.06
10,0.94,0.88,0.64
10,0.46,0.7,0.14
10,0.92,0.88,0.86
10,0.28,0.1,0.12
10,0.6,0.5,0.3
10,0.98,0.96,0.96
10,0.78,0.7,0.78
10,0.68,0.38,0.66
10,0.14,0.12,0.24
10,0.64,0.48,0.46
10,0.42,0.4,0.36
10,0.92,0.78,0.88
10,0.28,0.18,0.42
10,0.4,0.34,0.52
10,0.14,0.12,0.12
10,0.96,0.98,0.96
10,0.66,0.62,0.9
10,0.5,0.44,0.52
10,0.72,0.64,0.88
10,0.72,0.64,0.74
10,0.82,0.88,0.68
10,0.4,0.34,0.32
10,0.82,0.88,0.56
10,0.52,0.28,0.54
10,0.1,0.16,0.38
20,0.96,1,0.96
20,1,1,0.98
20,1,0.8,0.9
20,0.98,1,0.98
20,0.96,1,0.9
20,0.4,0.68,0.1
20,0.88,0.96,0.44
20,0.6,0.32,0.62
20,0.9,1,0.66
20,0.62,0.6,0.6
20,0.9,0.96,0.46
20,0.9,0.92,0.86
20,0.98,0.98,0.96
20,0.76,0.66,0.8
20,0.8,0.94,0.88
20,1,1,1
20,0.8,0.72,0.84
20,0.96,0.98,0.98
20,0.94,0.84,0.62
20,1,1,1
20,0.82,0.8,0.7
20,1,1,0.84
20,0.98,1,0.9
20,0.84,0.96,0.94
20,0.7,0.34,0.82
20,0.96,0.94,0.7
20,1,1,0.98
20,0.94,0.84,0.94
20,0.98,0.98,0.78
20,0.4,0.22,0.56
20,0.98,0.98,1
20,0.5,0.54,0.7
20,0.98,0.98,0.96
20,0.96,0.76,1
20,0,0,0.02
20,0.8,0.62,0.64
20,0.94,0.82,0.9
20,0.74,0.86,0.64
20,1,1,0.98
20,0.58,0.1,0.6
20,0.28,0.34,0.28
20,0.8,0.76,0.9
20,1,1,0.96
20,0.72,0.54,0.96
20,0.62,0.24,0.8
20,0.86,0.88,0.58
20,1,1,0.98
20,0.88,0.64,0.96
20,1,1,0.94
20,0,0,0.04
20,0.94,0.84,0.98
20,0.92,1,0.86
20,0.06,0.06,0.08
20,0.92,0.7,0.96
20,1,1,0.96
20,0.58,0.68,0.28
20,0.96,0.94,0.96
20,1,1,1
20,1,1,1
20,0.66,0.62,0.62
20,0.96,1,0.5
20,0.94,0.96,0.96
20,0.74,0.68,0.82
20,0.94,0.96,0.44
20,0.98,0.98,1
20,0.98,1,0.98
20,1,0.98,0.96
20,0.68,0.28,0.94
20,0.98,0.98,0.98
20,0.94,1,0.94
20,0.26,0.22,0.3
20,0,0.02,0.04
20,0.6,0.98,0.34
20,0.84,0.7,0.84
20,0.36,0.58,0.18
20,0.3,0.06,0.4
20,0.92,0.92,0.9
20,0.36,0.06,0.66
20,1,1,1
20,0.92,0.92,0.94
20,0.6,0.34,0.82
20,0.96,1,0.96
20,0.64,0.66,0.66
20,1,1,0.94
20,0.12,0.08,0.06
20,1,1,1
20,0.86,0.48,0.8
20,0.88,0.98,1
20,0.98,0.96,0.94
20,1,1,0.86
20,0.98,0.98,0.96
20,0.82,0.9,0.74
20,0.48,0.38,0.56
20,0.98,1,0.88
20,0.72,0.74,0.26
20,1,1,1
20,0.58,0.54,0.18
20,0.84,0.32,0.92
20,1,1,1
20,0.64,0.38,0.96
30,0.18,0.02,0.02
30,0.3,0.06,0.7
30,0.12,0.16,0.14
30,0.22,0.52,0.3
30,0.36,0.16,0.76
30,0.02,0.02,0.04
30,0.98,1,0.98
30,0.94,0.96,0.92
30,1,0.98,0.98
30,0.64,0.24,0.76
30,0.96,0.94,0.8
30,0.26,0.08,0.34
30,0.96,1,0.96
30,1,1,1
30,0.22,0.14,0.26
30,1,1,1
30,0.8,0.82,0.58
30,0.58,0.5,0.64
30,1,1,1
30,0.92,0.96,0.66
30,0.62,0.3,0.7
30,0.2,0,0.72
30,0.8,1,0.7
30,1,1,1
30,0.32,0.12,0.7
30,1,1,0.96
30,1,0.66,1
30,1,1,1
30,1,1,1
30,1,0.98,1
30,0.94,0.98,0.48
30,0.24,0.14,0.64
30,0.96,0.98,0.98
30,0.94,0.94,0.9
30,0.9,0.9,0.34
30,1,0.98,0.86
30,0.98,1,0.92
30,1,1,1
30,0.82,0.78,0.5
30,0.86,0.86,0.86
30,1,0.82,1
30,1,1,1
30,1,1,1
30,1,0.98,1
30,1,1,1
30,0.98,0.98,0.86
30,1,1,0.98
30,1,0.98,1
30,0.94,0.9,0.86
30,0.7,0.76,0.6
30,0.78,0.1,0.48
30,1,1,0.8
30,0.94,0.78,0.98
30,0.16,0.02,0.78
30,1,1,0.96
30,0.2,0.02,0.04
30,1,1,1
30,0.98,1,0.98
30,1,1,0.58
30,0.72,0.38,0.38
30,0.98,1,1
30,0.26,0.36,0.06
30,0.82,0.62,0.9
30,0.94,1,0.86
30,1,1,1
30,0.58,0.58,0.8
30,0.98,1,0.76
30,0.94,1,0.86
30,1,1,0.98
30,0.98,0.98,0.98
30,1,1,1
30,0.98,1,0.98
30,0.98,0.94,0.98
30,1,1,0.94
30,1,1,1
30,0.9,0.94,0.88
30,0.94,1,0.6
30,1,1,1
30,0.92,0.84,0.9
30,1,1,1
30,1,1,0.98
30,0.44,0.02,0.64
30,1,1,0.96
30,1,1,1
30,1,1,1
30,0.54,0.66,0.92
30,0.94,0.86,0.5
30,0.96,0.6,0.7
30,0.92,1,0.38
30,0.74,0.76,0.96
30,0.8,0.82,1
30,1,0.96,1
30,0.8,0.78,0.92
30,0.96,0.98,0.98
30,1,1,1
30,0.34,0.1,0.8
30,0.56,0.54,0.9
30,0.98,1,1
30,0.96,1,0.96
30,0.96,0.9,0.88
