"SNR","outMy","outGt","outEp"
0,0.04,0.08,0.02
0,0.02,0,0.04
0,0.04,0.04,0.1
0,0,0,0.02
0,0.02,0,0.04
0,0.1,0.08,0.08
0,0.02,0.04,0.04
0,0.02,0.04,0.04
0,0.04,0.04,0.02
0,0.02,0.06,0.02
0,0.1,0.1,0.04
0,0.04,0.04,0.02
0,0.02,0,0.02
0,0.06,0.02,0.04
0,0.06,0.02,0
0,0.06,0.06,0.04
0,0.02,0.04,0
0,0.1,0.14,0.04
0,0.06,0.06,0.06
0,0.04,0,0.02
0,0.02,0.04,0
0,0.06,0.04,0.06
0,0.04,0.06,0.02
0,0.02,0.04,0
0,0.06,0.06,0.04
0,0.04,0.04,0.08
0,0.08,0.08,0.02
0,0.04,0.06,0
0,0.02,0.06,0.02
0,0.04,0.08,0.06
0,0,0.02,0
0,0.06,0.08,0.04
0,0.02,0.02,0.08
0,0.02,0.02,0.02
0,0.02,0.06,0.06
0,0.04,0.06,0
0,0.08,0.18,0.06
0,0.02,0.02,0.02
0,0.04,0.04,0.04
0,0.04,0.04,0.04
0,0.06,0.1,0.04
0,0.1,0.06,0.04
0,0.06,0.08,0.02
0,0.08,0.04,0.04
0,0.04,0.04,0.06
0,0.02,0.12,0.08
0,0.04,0.04,0
0,0.04,0.04,0
0,0.04,0.04,0.06
0,0.06,0.04,0.08
0,0.02,0.02,0.02
0,0,0.02,0
0,0.04,0.04,0.06
0,0.06,0.08,0
0,0.02,0.04,0
0,0,0,0
0,0.04,0.06,0.06
0,0.02,0.04,0.02
0,0.1,0.1,0.08
0,0.06,0.06,0.04
0,0.12,0.1,0.08
0,0,0,0.02
0,0.08,0.1,0.06
0,0.08,0,0.1
0,0.02,0.02,0.02
0,0.04,0,0.02
0,0.08,0.1,0.04
0,0,0,0
0,0.02,0.08,0.06
0,0.02,0.02,0
0,0.1,0.06,0.06
0,0.06,0.02,0.02
0,0.02,0.04,0.04
0,0.04,0.1,0.08
0,0.08,0.08,0.04
0,0.02,0.06,0.08
0,0.02,0.08,0.02
0,0.04,0.08,0
0,0,0.06,0.04
0,0,0.04,0
0,0,0.04,0.04
0,0.1,0.1,0.06
0,0.04,0.04,0.04
0,0.02,0.02,0
0,0.02,0.04,0.04
0,0,0.02,0.02
0,0.02,0.04,0.02
0,0.02,0.04,0.04
0,0.04,0.06,0.02
0,0.04,0.06,0.02
0,0.04,0.04,0.04
0,0.04,0.04,0.08
0,0,0.06,0
0,0.02,0.06,0.02
0,0.02,0.04,0.04
0,0.06,0.02,0.04
0,0.06,0.08,0.06
0,0.04,0.1,0.04
0,0.02,0,0.02
0,0.02,0.04,0.02
10,0.88,0.98,0.46
10,0.78,0.88,0.64
10,0.98,1,0.94
10,0.94,0.96,0.74
10,0.44,0.4,0.44
10,0.62,0.6,0.74
10,0.96,1,0.86
10,0.56,0.72,0.5
10,0.64,0.68,0.56
10,0.84,0.82,0.64
10,0.32,0.12,0.68
10,0.52,0.6,0.72
10,0.88,0.84,0.92
10,0.72,0.68,0.58
10,0.32,0.54,0.38
10,0.86,0.88,0.86
10,0.76,0.86,0.64
10,0.84,0.8,0.9
10,0,0,0
10,0.94,0.98,0.92
10,0.32,0.66,0.4
10,0.74,0.88,0.68
10,0.02,0.02,0.18
10,0.7,0.62,0.92
10,1,1,1
10,0.24,0.22,0.34
10,0.42,0.4,0.4
10,0.74,0.6,0.66
10,0.92,0.94,0.98
10,0.22,0.2,0.58
10,0.96,0.96,0.88
10,0.26,0.44,0.18
10,0.62,0.56,0.32
10,0.9,0.96,0.54
10,0.64,0.32,0.8
10,0.7,0.8,0.66
10,0.82,0.96,0.74
10,0.74,0.72,0.88
10,1,1,1
10,0.18,0.18,0.16
10,0.58,0.34,0.46
10,1,1,0.98
10,0.12,0.04,0.2
10,0.98,0.98,0.86
10,0.76,0.76,0.64
10,0.7,0.8,0.48
10,0.84,0.68,0.86
10,1,1,1
10,0.54,0.56,0.5
10,0.16,0.16,0.24
10,0.34,0.36,0.22
10,0.58,0.64,0.6
10,0.16,0.16,0.18
10,0.58,0.52,0.7
10,0.68,0.86,0.4
10,0.88,0.9,0.62
10,0.78,0.7,0.7
10,0.8,0.78,0.78
10,0.56,0.86,0.32
10,0.66,0.58,0.66
10,0.06,0.02,0.3
10,0.96,0.98,0.88
10,0.92,1,0.9
10,0.76,0.84,0.44
10,0.2,0.22,0.34
10,0.8,0.78,0.78
10,0.76,0.86,0.62
10,0.46,0.72,0.42
10,0.5,0.42,0.52
10,0.86,0.86,0.86
10,0.6,0.54,0.56
10,0.38,0.24,0.52
10,0.32,0.26,0.22
10,0.58,0.78,0.38
10,0.78,0.6,0.72
10,0.78,0.76,0.7
10,0.94,0.96,0.92
10,0.64,0.76,0.4
10,0.86,0.68,0.86
10,0.98,0.98,0.92
10,0.84,0.78,0.76
10,0.66,0.56,0.74
10,0.56,0.24,0.48
10,0.74,0.84,0.72
10,0.26,0.14,0.18
10,0.72,0.88,0.76
10,0.76,0.56,0.74
10,0.16,0.46,0.12
