"SNR","outMy","outGt","outEp"
0,0.0464,0.0572,0.0376
0,0.0364,0.0532,0.0356
0,0.042,0.0556,0.04
0,0.0388,0.0536,0.0424
0,0.0384,0.048,0.0316
0,0.0392,0.0504,0.0428
0,0.0388,0.0516,0.0428
0,0.0428,0.0592,0.0384
0,0.04,0.0488,0.0428
0,0.0424,0.052,0.038
0,0.0492,0.0504,0.0448
0,0.0496,0.0472,0.042
0,0.044,0.0528,0.0424
0,0.0412,0.0552,0.0404
0,0.0376,0.0436,0.0352
0,0.0404,0.0504,0.0376
0,0.042,0.0536,0.046
0,0.0408,0.0496,0.0384
0,0.042,0.0488,0.0336
0,0.0368,0.0528,0.0388
0,0.0392,0.0512,0.0376
0,0.0372,0.0472,0.042
0,0.0512,0.0532,0.046
0,0.0364,0.044,0.0344
0,0.0388,0.0472,0.048
0,0.0468,0.0508,0.0444
0,0.0424,0.0544,0.0436
0,0.0328,0.0512,0.038
0,0.0428,0.0516,0.0376
0,0.0388,0.0504,0.038
0,0.0428,0.0544,0.038
0,0.0472,0.0496,0.0396
0,0.0424,0.0564,0.0476
0,0.0408,0.0572,0.0356
0,0.0392,0.0496,0.0432
0,0.0416,0.0468,0.0384
0,0.05,0.0484,0.0448
0,0.038,0.0468,0.0376
0,0.0404,0.0484,0.0436
0,0.0356,0.052,0.0432
0,0.0464,0.0504,0.0416
0,0.0328,0.0504,0.038
0,0.0396,0.0476,0.0404
0,0.046,0.0496,0.0496
0,0.0464,0.0544,0.0392
0,0.038,0.0468,0.0376
0,0.0376,0.0528,0.0312
0,0.0456,0.0596,0.0448
0,0.0356,0.0472,0.04
0,0.046,0.0532,0.046
0,0.0424,0.0544,0.0416
0,0.044,0.0572,0.0472
0,0.0372,0.0496,0.0376
0,0.0472,0.054,0.042
0,0.0404,0.0484,0.0396
0,0.0496,0.0548,0.0448
0,0.0364,0.0428,0.04
0,0.0444,0.0416,0.0428
0,0.0376,0.0456,0.0408
0,0.0424,0.0564,0.046
0,0.0404,0.0488,0.0444
0,0.04,0.0468,0.0408
0,0.038,0.0396,0.042
0,0.0352,0.048,0.0332
0,0.0468,0.0484,0.0452
0,0.0428,0.0564,0.0396
0,0.0376,0.0448,0.0376
0,0.0416,0.048,0.0368
0,0.0368,0.0456,0.0332
0,0.0416,0.0376,0.0412
0,0.0416,0.0524,0.0432
0,0.0412,0.0512,0.038
0,0.0404,0.0528,0.0336
0,0.0424,0.0472,0.0428
0,0.0404,0.052,0.04
0,0.0436,0.0508,0.0412
0,0.0436,0.0564,0.0436
0,0.042,0.05,0.0444
0,0.034,0.0528,0.0352
0,0.0456,0.0504,0.0488
0,0.0428,0.0528,0.0428
0,0.0412,0.0576,0.0384
0,0.038,0.0512,0.0416
0,0.0524,0.0636,0.0456
0,0.0288,0.0436,0.0376
0,0.0404,0.0496,0.0444
0,0.0408,0.05,0.0352
0,0.036,0.0428,0.034
0,0.036,0.0516,0.0416
0,0.0412,0.0416,0.0364
0,0.0344,0.0512,0.0412
0,0.0384,0.0544,0.046
0,0.0348,0.05,0.0392
0,0.0404,0.0536,0.0412
0,0.0444,0.0492,0.0408
0,0.0412,0.0424,0.042
0,0.034,0.0492,0.0368
0,0.0388,0.0508,0.038
0,0.0532,0.0544,0.0464
0,0.0392,0.0564,0.0404
10,0.0916,0.0176,0.1636
10,0.4928,0.45,0.498
10,0.1252,0.1132,0.21
10,0.4924,0.928,0.0244
10,0.8388,0.9512,0.3584
10,0.0576,0.11,0.07
10,0.762,0.882,0.2844
10,0.56,0.486,0.5256
10,0.0172,0.02,0.0148
10,0.096,0.0184,0.1628
10,0.6584,0.5472,0.5068
10,0.4048,0.0652,0.4068
10,1,1,0.588
10,0.0776,0.0188,0.19
10,0.998,1,0.702
10,0.7116,0.9256,0.1416
10,0.2308,0.0076,0.3464
10,0.8208,0.8692,0.488
10,0.086,0.034,0.1656
10,0.242,0.0124,0.4688
10,0.9136,0.9964,0.1576
10,0.3324,0.0836,0.294
