"SNR","outMy","outGt","outEp"
0,0.0352,0.0428,0.034
0,0.0356,0.0456,0.0388
0,0.0436,0.0556,0.0412
0,0.0396,0.0536,0.0372
0,0.0404,0.0512,0.046
0,0.0432,0.0568,0.0376
0,0.0428,0.0524,0.042
0,0.0396,0.0504,0.0472
0,0.0388,0.0468,0.0396
0,0.0436,0.0436,0.034
0,0.0388,0.0456,0.042
0,0.046,0.05,0.0448
0,0.0468,0.0492,0.0444
0,0.0364,0.0524,0.0424
0,0.0388,0.0436,0.0376
0,0.0392,0.0528,0.038
0,0.0416,0.0532,0.0464
0,0.0416,0.0472,0.0444
0,0.0444,0.0568,0.044
0,0.0448,0.052,0.0472
0,0.0376,0.046,0.046
0,0.0448,0.056,0.0396
0,0.0416,0.0488,0.0356
0,0.0352,0.0488,0.0372
0,0.0464,0.0544,0.044
0,0.0492,0.0504,0.0472
0,0.0384,0.0536,0.0356
0,0.0428,0.0508,0.0448
0,0.0432,0.0488,0.044
0,0.0404,0.0448,0.0344
0,0.0376,0.0548,0.042
0,0.0372,0.0448,0.0408
0,0.0452,0.0504,0.0516
0,0.0392,0.0472,0.0396
0,0.044,0.0512,0.0452
0,0.0408,0.05,0.0404
0,0.0436,0.0536,0.0436
0,0.0412,0.0524,0.0384
0,0.0412,0.0488,0.0376
0,0.0428,0.0512,0.0376
0,0.0484,0.0492,0.0456
0,0.0432,0.056,0.048
0,0.04,0.0572,0.0436
0,0.0408,0.0532,0.0368
0,0.0448,0.0536,0.048
0,0.0408,0.0464,0.0384
0,0.0376,0.0532,0.0356
0,0.0444,0.0468,0.0384
0,0.0372,0.0536,0.0432
0,0.0412,0.0436,0.04
0,0.0312,0.046,0.0376
0,0.0456,0.0476,0.0408
0,0.0416,0.0508,0.0464
0,0.0316,0.046,0.0344
0,0.0464,0.0564,0.0456
0,0.044,0.0488,0.0452
0,0.046,0.0612,0.0464
0,0.0496,0.0464,0.0452
0,0.0384,0.0488,0.04
0,0.0432,0.0468,0.0424
0,0.0436,0.0548,0.048
0,0.0452,0.0568,0.0464
0,0.0408,0.0476,0.0432
0,0.0376,0.05,0.0416
0,0.0424,0.0524,0.0424
0,0.0456,0.0632,0.0368
0,0.0444,0.0512,0.04
0,0.0464,0.0536,0.042
0,0.046,0.0512,0.044
0,0.0436,0.054,0.0448
0,0.0404,0.0464,0.0428
0,0.0416,0.0528,0.0412
0,0.0424,0.0468,0.0388
0,0.0424,0.0528,0.0492
0,0.0444,0.0476,0.0368
0,0.0476,0.0588,0.044
0,0.0448,0.0452,0.042
0,0.04,0.0568,0.0428
0,0.0332,0.044,0.0372
0,0.0388,0.0548,0.0428
0,0.0396,0.0524,0.0396
0,0.0412,0.0484,0.0428
0,0.0468,0.0584,0.0448
0,0.0388,0.0496,0.0412
0,0.0392,0.0396,0.0364
0,0.0408,0.0512,0.0468
0,0.0416,0.0424,0.0476
0,0.0392,0.0524,0.0384
0,0.04,0.0516,0.04
0,0.038,0.0548,0.0372
0,0.0444,0.0588,0.0392
0,0.0404,0.0408,0.0524
0,0.0372,0.052,0.0444
0,0.0428,0.05,0.04
0,0.0412,0.054,0.0416
0,0.0452,0.0456,0.052
0,0.0424,0.0424,0.044
0,0.04,0.0468,0.0432
0,0.044,0.0496,0.0452
0,0.0336,0.0428,0.038
10,0.2284,0.0492,0.3368
10,0.1788,0.2184,0.154
10,0.99,1,0.5492
10,0.57,0.8616,0.13
10,0.2016,0.016,0.2052
10,0.7308,0.8648,0.2736
10,0.9076,0.9832,0.3172
10,0.2432,0.1268,0.3172
10,0.7896,0.862,0.458
10,0.1516,0.0352,0.2832
10,0.2728,0.0676,0.5444
10,0.1256,0.044,0.1632
10,0.44,0.4728,0.382
10,0.0784,0.0212,0.1088
10,0.0556,0.032,0.0704
10,0.2732,0.1368,0.1572
10,0.784,0.8072,0.3692
10,0.5228,0.614,0.1956
10,0.05,0.0088,0.1324
10,0.2848,0.0236,0.3024
10,0.8464,0.95,0.3352
10,0.2172,0.4408,0.0644
10,0.264,0.0324,0.3056
10,0.4812,0.5876,0.1396
10,0.1196,0.104,0.1664
10,0.7768,0.9588,0.1432
10,0.2672,0.0864,0.388
10,0.8484,0.9776,0.2644
10,0.2512,0.2952,0.1448
10,0.1172,0.1316,0.1032
10,0.2884,0.5688,0.0632
10,0.1276,0.0604,0.2112
10,0.896,0.9924,0.15
10,0.7044,0.8472,0.3092
10,0.75,0.9872,0.0776
10,0.6444,0.7116,0.3488
10,0.4248,0.7564,0.098
10,0.4108,0.34,0.204
10,0.2568,0.0168,0.3744
10,0.2604,0.1276,0.294
10,0.1292,0.0536,0.1692
10,0.894,0.926,0.6564
10,0.2416,0.1612,0.2156
10,0.2204,0.0564,0.3344
10,0.9988,1,0.3472
10,0.8716,0.9868,0.2324
10,0.8932,0.9776,0.3332
10,0.2156,0.0116,0.2812
10,0.678,0.936,0.1564
10,0.0228,0.0784,0.0276
10,0.9616,0.9324,0.8024
10,0.252,0.0228,0.2152
10,0.9104,0.996,0.2684
10,0.2864,0.5072,0.16
10,1,1,0.23
10,0.334,0.2548,0.2424
10,0.3332,0.56,0.0896
10,0.1072,0.0176,0.1676
10,0.4428,0.8232,0.1128
10,0.3108,0.2164,0.2768
10,0.4012,0.7716,0.0788
10,0.9104,0.9928,0.2812
10,0.7084,0.9816,0.1316
10,0.194,0.0916,0.2048
10,0.1296,0.0312,0.1332
10,0.81,0.9536,0.2484
10,0.2368,0.346,0.1052
10,0.154,0.0404,0.1628
10,0.1296,0.0176,0.2208
10,0.3508,0.076,0.3488
10,0.8272,0.8268,0.4892
10,0.1176,0.0448,0.2964
10,0.1372,0.0128,0.2072
10,0.3648,0.4296,0.1948
10,0.2064,0.0332,0.3192
10,0.1808,0.0216,0.21
10,0.8384,0.9876,0.1448
10,0.1484,0.0164,0.2256
10,0.612,0.0208,0.6336
10,0.7964,0.9776,0.0904
10,0.0456,0.0076,0.0668
10,0.9856,0.9996,0.272
10,0.5824,0.7852,0.1844
10,0.8472,0.9716,0.4416
10,0.322,0.014,0.3756
10,0.2776,0.3344,0.1656
10,0.7704,0.838,0.5336
10,0.3788,0.332,0.2088
10,0.0868,0.216,0.0588
10,0.2356,0.3024,0.082
10,0.2024,0.1168,0.1912
10,0.9076,0.9616,0.4564
10,0.49,0.7864,0.2372
10,0.4968,0.4108,0.31
10,0.2,0.5256,0.082
10,0.204,0.136,0.2808
10,0.2812,0.3692,0.1736
10,0.9096,0.986,0.6456
10,0.172,0.012,0.2344
10,0.3596,0.2884,0.3964
20,0.3428,0.0968,0.4516
20,0.252,0.1784,0.2836
20,0.9996,1,0.4484
20,1,1,0.69
20,0.5344,0.2344,0.632
20,0.8148,0.3112,0.8492
20,0.652,0.6532,0.4348
20,0.3212,0.0028,0.5664
20,0.4384,0.4456,0.2912
20,0.8716,0.8408,0.6336
20,0.2324,0.5512,0.1652
20,0.2184,0.3528,0.0988
20,0.9484,0.9192,0.756
20,0.5448,0.2568,0.8276
20,0.5096,0.0196,0.744
20,0.1656,0.5284,0.0288
20,0.4556,0.048,0.4708
20,0.1144,0.0044,0.194
20,0.872,0.8648,0.676
20,0.9196,0.9804,0.5744
20,0.934,0.9388,0.5872
20,0.458,0.02,0.4652
20,0.1752,0.5332,0.048
20,0.8244,0.0168,0.8672
20,0.9956,1,0.5236
20,0.1888,0.3588,0.0564
20,0.182,0.0196,0.3076
20,0.3144,0.0072,0.5436
20,0.0804,0.0024,0.2148
20,0.0996,0.312,0.0336
20,0.3776,0.0428,0.6416
20,0.986,1,0.2664
20,0.3868,0.4576,0.4408
20,0.9028,0.5508,0.976
20,0.386,0.0044,0.3816
20,0.5208,0.0496,0.4172
20,0.6168,0.648,0.3552
20,0.514,0.4068,0.4392
20,0.6064,0.8224,0.144
20,0.1328,0.2352,0.0356
20,0.294,0.222,0.1952
20,0.0268,0.0152,0.0972
20,0.6156,0.4728,0.5936
20,0.998,1,0.2376
20,0.144,0.3832,0.0964
20,0.628,0.422,0.5436
20,0.9196,0.9848,0.2424
20,0.2656,0.446,0.122
20,0.0596,0.1144,0.0356
20,0.9948,1,0.7276
20,0.3184,0.2184,0.4664
20,0.9856,0.9996,0.552
20,0.8812,0.8772,0.6796
20,1,1,0.5068
20,0.2492,0.6688,0.0972
20,0.9964,1,0.3844
20,0.9376,0.9948,0.276
20,0.2248,0.0296,0.3516
20,0.2956,0.0228,0.3388
20,0.9824,0.998,0.6976
20,0.3596,0.5004,0.3548
20,1,1,0.5044
20,0.3176,0.104,0.2908
20,0.2552,0.474,0.1364
20,0.5256,0.8376,0.0672
20,0.1704,0.0012,0.5308
20,0.728,0.2788,0.7504
20,0.5576,0.9096,0.0608
20,0.7632,0.2024,0.7612
20,0.9424,0.9912,0.4104
20,0.9452,0.9992,0.1524
20,0.724,0.816,0.4496
20,0.4904,0.3308,0.3948
20,1,1,0.656
20,0.0572,0.0444,0.1312
20,0.98,0.9996,0.6632
20,0.9648,0.9996,0.2484
20,0.9928,0.9944,0.8276
20,0.0512,0.2152,0.066
20,0.0884,0.0288,0.1148
20,0.106,0.1136,0.0672
20,0.9044,0.988,0.3096
20,0.7408,0.4492,0.7084
20,0.8968,0.7224,0.7392
20,1,1,0.8636
20,0.7756,0.9412,0.4876
20,0.0872,0.0032,0.1484
20,0.1252,0.1352,0.058
20,0.4204,0.0968,0.3828
20,0.6316,0.354,0.5736
20,0.9548,0.9932,0.4944
20,0.6372,0.2892,0.4508
20,0.4112,0.0212,0.3708
20,0.0744,0.06,0.104
20,0.322,0.1784,0.3848
20,0.2616,0.0112,0.5632
20,0.9768,0.9568,0.8448
20,0.9784,0.9996,0.334
20,0.936,0.9528,0.8456
20,1,1,0.3736
30,1,1,0.7496
30,0.7372,0.714,0.5892
30,0.7068,0.4388,0.6376
30,0.014,0.0128,0.01
30,0.9976,1,0.5136
30,0.9996,1,0.636
30,1,1,0.91
