"SNR","outMy","outGt","outEp"
0,0.0436,0.0492,0.0348
0,0.048,0.048,0.0312
0,0.0468,0.0556,0.042
0,0.0516,0.0568,0.04
0,0.0492,0.0468,0.0344
0,0.0532,0.0512,0.0404
0,0.0472,0.0456,0.0396
0,0.0504,0.0408,0.0312
0,0.0496,0.0436,0.0444
0,0.0548,0.0468,0.0428
0,0.048,0.048,0.0428
0,0.048,0.0488,0.0416
0,0.0436,0.0512,0.0352
0,0.0504,0.05,0.042
0,0.0452,0.0476,0.046
0,0.0424,0.046,0.0416
0,0.048,0.0484,0.0372
0,0.0484,0.0548,0.0436
0,0.0456,0.048,0.0372
0,0.058,0.0556,0.0364
0,0.0516,0.0504,0.034
0,0.0408,0.0524,0.0336
0,0.0444,0.05,0.0368
0,0.0448,0.0448,0.044
0,0.0472,0.056,0.0364
0,0.0384,0.05,0.0304
0,0.0492,0.0544,0.0352
0,0.0512,0.0508,0.0436
0,0.0496,0.05,0.0392
0,0.0432,0.0484,0.034
0,0.0436,0.0456,0.038
0,0.048,0.0536,0.0408
0,0.0568,0.0504,0.042
0,0.0432,0.0448,0.0316
0,0.0464,0.0464,0.0392
0,0.0452,0.0504,0.0344
0,0.0468,0.0376,0.036
0,0.0496,0.0436,0.0384
0,0.0476,0.0572,0.0392
0,0.0448,0.0464,0.0384
0,0.0556,0.052,0.0452
0,0.0436,0.0484,0.04
0,0.048,0.044,0.0344
0,0.0444,0.0604,0.0372
0,0.0432,0.0416,0.0392
0,0.0464,0.05,0.044
0,0.042,0.0456,0.0408
0,0.0476,0.0464,0.0324
0,0.0396,0.0444,0.034
0,0.0488,0.0476,0.036
0,0.0448,0.0508,0.0376
0,0.048,0.0588,0.0396
0,0.042,0.052,0.0312
0,0.0436,0.0456,0.0356
0,0.0448,0.0464,0.036
0,0.0432,0.0472,0.0384
0,0.0512,0.0552,0.0336
0,0.0476,0.0508,0.0368
0,0.0476,0.0452,0.0332
0,0.0484,0.046,0.0408
0,0.0468,0.0504,0.0432
0,0.0408,0.0544,0.0364
0,0.0472,0.052,0.0432
0,0.042,0.0476,0.0356
0,0.0476,0.0496,0.0436
0,0.0524,0.054,0.0364
0,0.0516,0.0456,0.0384
0,0.0432,0.0448,0.042
0,0.0448,0.0452,0.0392
0,0.0436,0.0484,0.0376
0,0.0504,0.046,0.0424
0,0.0568,0.0496,0.0448
0,0.0516,0.0536,0.04
0,0.054,0.0464,0.0448
0,0.0512,0.052,0.0412
0,0.0408,0.0496,0.0316
0,0.0408,0.0468,0.0312
0,0.0464,0.0524,0.0332
0,0.04,0.0452,0.0336
0,0.0484,0.0436,0.0384
0,0.0536,0.0584,0.04
0,0.0532,0.0496,0.0416
0,0.0444,0.0496,0.042
0,0.0468,0.0472,0.0352
0,0.0464,0.046,0.04
0,0.0484,0.0432,0.038
0,0.0504,0.0532,0.0396
0,0.0452,0.0524,0.0376
0,0.0472,0.0496,0.0408
0,0.044,0.0452,0.04
0,0.0492,0.05,0.0384
0,0.0484,0.0492,0.034
0,0.0584,0.0564,0.0344
0,0.0496,0.0624,0.038
0,0.046,0.0552,0.0328
0,0.046,0.0448,0.0348
0,0.0492,0.0496,0.0468
0,0.0436,0.0556,0.0356
0,0.0472,0.0512,0.0428
0,0.0536,0.0552,0.0348
10,0.3196,0.0344,0.1888
10,0.3184,0.0524,0.1052
10,0.3864,0.0888,0.1284
10,0.6536,0.2256,0.3864
10,0.3992,0.0044,0.1092
10,0.5384,0.0084,0.13
10,0.5912,0.0708,0.1472
10,0.3152,0.0068,0.1008
10,0.162,0.004,0.2844
10,0.0848,0.0172,0.1456
10,0.4148,0.0356,0.368
10,0.6228,0.3608,0.0672
10,0.2996,0.1904,0.2688
10,0.0028,0.0076,0.0108
10,0.084,0.0516,0.154
10,0.0996,0.0552,0.0572
10,0.138,0.0484,0.126
10,0.6992,0.082,0.2516
10,0.9916,0.0796,0.1772
10,0.3992,0.0168,0.4472
10,0.2388,0.0116,0.2744
10,0.5864,0.1232,0.2216
10,0.8544,0.3304,0.146
10,0.4656,0.188,0.3048
10,0.2912,0.0344,0.0784
10,0.9524,0.2984,0.3376
10,0.1644,0.006,0.0452
10,0.62,0.0164,0.238
10,0.9824,0.0068,0.4844
10,0.9884,0.2444,0.2528
10,0.9432,0.3648,0.3188
10,0.1304,0.0132,0.0832
10,0.0892,0.0192,0.1536
10,0.5364,0.1536,0.0372
10,0.1308,0.0256,0.1992
10,0.4612,0.0892,0.2996
10,0.162,0.0648,0.186
10,0.2668,0.0556,0.258
10,0.3908,0.0664,0.3712
10,0.1372,0.0272,0.2384
10,0.1752,0.038,0.242
10,0.3512,0.2676,0.1172
10,0.8876,0.0088,0.0652
10,0.9772,0.5188,0.1672
10,0.0336,0.0116,0.0512
10,0.3808,0.0508,0.4136
10,0.7252,0.0504,0.374
10,0.5432,0.05,0.1304
10,0.9832,0.1684,0.32
10,0.204,0.1368,0.2164
10,0.1628,0.0972,0.1444
10,0.2612,0.008,0.1692
10,0.4528,0.008,0.4664
10,0.5812,0.2832,0.3832
10,0.5424,0.0116,0.2824
10,0.0484,0.0532,0.0908
