"SNR","outMy","outGt","outEp"
0,0.0524,0.0516,0.0304
0,0.0476,0.0524,0.0232
0,0.048,0.0508,0.0244
0,0.0432,0.0536,0.0284
0,0.0504,0.05,0.0284
0,0.0448,0.0476,0.0268
0,0.0524,0.0532,0.0252
0,0.0432,0.0488,0.0252
0,0.046,0.0532,0.0268
0,0.0456,0.0532,0.0264
0,0.05,0.0548,0.0324
0,0.048,0.0552,0.0256
0,0.042,0.046,0.0336
0,0.044,0.0476,0.0296
0,0.052,0.0576,0.0292
0,0.0468,0.054,0.0292
0,0.0468,0.0484,0.0252
0,0.048,0.052,0.03
0,0.05,0.05,0.0272
0,0.05,0.0532,0.0224
0,0.052,0.0468,0.0252
0,0.042,0.0504,0.0268
0,0.0492,0.0532,0.0288
0,0.0488,0.0484,0.0272
0,0.0536,0.054,0.0352
0,0.0456,0.048,0.0308
0,0.0512,0.0504,0.0292
0,0.0416,0.048,0.0344
0,0.0456,0.0536,0.0272
0,0.0472,0.0444,0.0304
0,0.0476,0.0556,0.0264
0,0.0472,0.0504,0.0276
0,0.0408,0.0468,0.0256
0,0.0448,0.0512,0.0268
0,0.0496,0.0528,0.03
0,0.0496,0.0552,0.0272
0,0.0456,0.0468,0.0244
0,0.0472,0.0548,0.0248
0,0.0416,0.0524,0.0276
0,0.0424,0.0472,0.0296
0,0.0464,0.0512,0.03
0,0.0484,0.0484,0.0312
0,0.0484,0.0452,0.026
0,0.0452,0.0468,0.028
0,0.0484,0.0536,0.0272
0,0.0444,0.048,0.03
0,0.0448,0.048,0.0232
0,0.0424,0.0448,0.0188
0,0.052,0.0508,0.0312
0,0.0512,0.056,0.03
0,0.04,0.0432,0.0232
0,0.0512,0.0516,0.0332
0,0.0472,0.0464,0.0296
0,0.0516,0.054,0.0312
0,0.048,0.05,0.0248
0,0.0512,0.0568,0.0284
0,0.0508,0.0504,0.03
0,0.0452,0.0452,0.0316
0,0.0464,0.0568,0.0304
0,0.0484,0.0512,0.0288
0,0.0516,0.0516,0.03
0,0.046,0.052,0.0268
0,0.0432,0.0512,0.0216
0,0.0508,0.0556,0.0244
0,0.0504,0.0548,0.0296
0,0.046,0.052,0.032
0,0.0452,0.0496,0.0264
0,0.042,0.0488,0.0264
0,0.0468,0.0492,0.0276
0,0.0488,0.0484,0.0248
0,0.0496,0.048,0.0288
0,0.0476,0.0512,0.0292
0,0.0416,0.0404,0.0232
0,0.0416,0.0468,0.0236
0,0.0444,0.0488,0.0216
0,0.0452,0.0516,0.032
0,0.046,0.0528,0.0224
0,0.0412,0.044,0.0256
0,0.0472,0.0476,0.028
0,0.0524,0.0552,0.0272
0,0.0468,0.0532,0.028
0,0.0532,0.0536,0.0312
0,0.0436,0.046,0.0268
0,0.0456,0.0468,0.0244
0,0.0384,0.048,0.026
0,0.0476,0.0484,0.0276
0,0.0464,0.0516,0.0268
0,0.0456,0.0504,0.0272
0,0.0512,0.0532,0.0268
0,0.0528,0.056,0.03
0,0.054,0.0536,0.032
0,0.0468,0.0444,0.024
0,0.0472,0.0564,0.024
0,0.0524,0.054,0.03
0,0.042,0.042,0.024
0,0.046,0.0508,0.0308
0,0.0412,0.042,0.0252
0,0.046,0.0516,0.02
0,0.0524,0.0524,0.0288
0,0.0464,0.0512,0.0248
10,0.3392,0.4016,0.5112
10,0.1516,0.0248,0.0308
10,0.1828,0.2004,0.1604
10,0.1828,0.4756,0.282
10,0.7036,0.7984,0.4444
10,0.1812,0.292,0.0068
10,0.9584,0.99,0.72
10,0.0616,0.0548,0.0176
10,0.024,0.0032,0.0588
10,8e-04,0.0012,0.008
10,0.0644,0.0708,0.0224
10,0.0748,0.138,0.0132
10,0.8048,0.6252,0.6484
10,0.0748,0.0644,0.1
10,0.0252,0.0128,0
10,0.9092,0.952,0.3568
10,0.0292,0.0184,0.0124
10,0.0244,0.0144,0.1412
10,0.044,0.3216,0.002
10,0.8644,0.9392,0.7764
10,0.0892,0.3452,0.0324
10,0.1216,0.0304,0.208
10,0.3532,0.1388,0.1024
10,0.2172,0.2164,0.0124
10,0.0388,0.002,0.3392
10,0.0528,0.0316,0.0076
10,0.792,0.7656,0.3848
10,0.6028,0.8896,0.4744
10,0.6916,0.7812,0.52
10,0.0456,0.0464,0.0096
10,0.08,0.016,0.0044
10,0.0524,0.0188,0.0656
10,0.1268,0.11,0.1168
10,0.3556,0.1112,0.358
10,0.014,0.0028,0.0032
10,0.2176,0.2844,0.4808
10,0.2056,0.3452,0.002
10,0.654,0.6988,0.354
10,0,0,0.0028
10,0.1684,0.0148,0.9472
10,0.0032,0.0076,8e-04
10,0.3176,0.5932,0.0732
10,0.0188,0.1212,0.0124
10,0.0744,0.0304,0.2204
10,0.3904,0.436,0.1756
10,0.0192,0.0072,0.0136
10,4e-04,4e-04,4e-04
10,0.132,0.0064,0.4448
10,0.1964,0.0764,0.7544
10,0.002,0.0028,0
10,0,0,0
10,0.3496,0.4968,0.0328
10,0,0,0
10,0.62,0.6636,0.556
10,0,0,0.0016
10,0.0144,0.02,0.0124
10,0.428,0.238,0.0868
10,0.8532,0.9848,0.1536
10,0.0272,0.0216,0.064
10,0.034,0.0316,0.1768
10,0.1712,0.1464,0.0632
10,0.0296,0.0156,0.0512
10,0.0096,0.0104,0.0836
10,0.3708,0.5564,0.0268
10,8e-04,8e-04,0.0032
10,0.0108,0.016,0.0036
10,0.1872,0.0648,0.1236
10,0.0976,0.0324,0.2116
10,0.0824,0.1532,0.1376
10,0,0,8e-04
10,0.084,0.0012,0.9408
10,0.6872,0.7016,0.3652
10,0.6512,0.7376,0.7868
10,0.012,0.006,0.0576
10,0.0532,0.3324,0.0504
10,0.014,0.1304,0.0048
10,0.2956,0.6672,0.1308
10,0.1628,0.102,0.006
10,0.14,0.1688,0.1748
10,0.4548,0.4848,0.0376
10,0.0948,0.0568,0.0688
10,0,0,0.05
10,0.0068,0.0092,0.0124
10,0.98,0.9964,0.8168
10,0.0256,0.0276,4e-04
10,0.6416,0.3808,0.864
10,0.1116,0.2452,0.1068
10,0.2668,0.2672,0.3352
10,0.1208,0.3584,8e-04
10,0.0024,4e-04,0.5176
10,0.0796,0.0228,0.2016
10,0.1516,0.03,0.2212
10,0.7328,0.7412,0.2804
10,0.0016,4e-04,0
10,0.0432,0.1684,0.006
10,0.0228,0.0012,0.3736
10,0.0476,0.0656,0.0252
10,0.6028,0.5132,0.5144
10,8e-04,0.0024,8e-04
10,0.4484,0.5488,0.316
20,8e-04,0.0092,0.0012
20,0.7628,0.8288,0.044
20,0,0,0.0012
20,0.9336,0.9388,0.8656
20,0.0352,0,0.7244
20,0.7656,0.8584,0.97
20,0.0416,0.0564,0.0016
20,0,0,0.0012
20,8e-04,0.0012,8e-04
20,1,1,0.936
20,0,0,0
20,8e-04,0,0.3172
20,0.8616,0.5992,0.8364
20,0.0028,4e-04,0.002
20,0.0064,0.0056,0
20,0.0788,0.2864,0.0156
20,4e-04,4e-04,0.0104
20,0.0692,0.0952,0.0024
20,4e-04,8e-04,0
20,0.0348,4e-04,0.112
20,0.2664,0.0812,0.012
20,0.0148,0.0296,0
20,0.004,0,0.0084
20,0.9748,0.7948,0.9756
20,0.3752,0.0252,0.4508
20,0.926,0.546,0.6256
20,0.1424,0.212,0.0696
20,0.138,0.1224,0.0112
20,0.0032,0,0.2444
20,0.2892,0.2812,0.002
20,0.0164,0.0048,8e-04
20,8e-04,4e-04,0.0188
20,0.9,0.8872,0.9504
20,0.3516,0.2468,0.2016
20,0.976,0.998,0.902
20,0.0384,0.0524,0
20,0,0,0.0188
20,0.0224,0.1296,8e-04
20,0.9788,0.9916,0.18
20,0.164,0.08,0.0816
20,0.1848,0.5168,0.032
20,0.002,0.0016,0
20,0.7712,0.5496,0.5976
20,0.94,0.8788,0.9328
20,0.9972,0.9652,0.8548
20,0,0,0.1308
20,0.5228,0.262,0.3724
20,0.9832,0.9956,0.7072
20,0.038,0.0504,0.0748
20,0.0196,0.02,0.0504
20,0.0312,0.0432,0.026
20,0.43,0.1636,0.4596
20,0.284,0.2104,0.4952
20,0.0276,0.034,0.5944
20,0.958,0.7032,0.1308
20,0.4576,0.0464,0.5324
20,0.092,0.0024,0.0012
20,0.7888,0.7864,0.1772
20,4e-04,0,0.0524
20,0.12,0.0412,0.4484
20,0.0752,0.0028,0.3116
20,0.6456,0.1452,0.01
20,1,1,0.9952
20,0.1724,0.1852,0.0012
20,0.7808,0.954,0.4092
20,0.2368,0.3808,0.2872
20,0.1432,0.0312,0.002
20,0.9272,0.9556,0.5724
20,0.1404,0.0952,0.5044
20,0.0532,0.0704,0.0056
20,0.2148,0.3656,0.1116
20,0.0012,4e-04,0.0032
20,0.0744,0.186,0.4468
20,1,1,0.6608
20,0.6604,0.2348,0.156
20,0.548,0.4944,0.9736
20,0.0324,0.0204,0.016
20,4e-04,4e-04,0
20,0.0352,0.012,0.084
20,0.8344,0.474,0.6988
20,4e-04,0,0.0028
20,0.1236,0.096,0.0972
20,0,0,0
20,0.0036,0.0096,0
20,0.0184,0.0252,0.0024
20,0.9416,0.9692,0.7544
20,0,0,0
20,0.2552,0.4904,0.8512
20,8e-04,4e-04,0.0064
20,0.8824,0.858,0.854
20,0.0084,0.0032,0.0544
20,0.022,4e-04,0.2876
20,0.9428,0.9864,0.6248
20,0.9888,0.9856,0.996
20,0.0104,0.002,0.0132
20,0,0,4e-04
20,4e-04,0,0.0068
20,0.0216,0.0036,0.0392
20,0.002,0,0.0016
20,0,4e-04,0
30,0,0,0.01
30,0.018,0.1292,0
30,1,1,0.9976
30,1,1,1
30,0.138,0.0068,0.764
30,0.0244,0.0036,0.0272
30,0.5064,0.4488,0.7508
30,0.5748,0.8292,0.0264
30,0.9584,0.8208,0.0768
30,0.0336,0.008,0.1272
30,0.9924,0.9632,0.9988
30,0.1552,0.1528,0.1108
30,0.0296,0.022,0.1092
30,0.8544,0.7136,0.912
30,0.0108,0.0016,0.42
30,0.0072,8e-04,0.4976
30,0.0484,0.0124,0.9588
30,0.1084,0.2104,0.0052
30,0.0248,0.0044,0
30,0.298,0.154,0.0256
30,0,0,0.0876
30,0.9052,0.8368,0.3712
30,0.9336,0.9988,0.8708
30,0,0,0
30,0.5888,0.3612,0.2676
30,0,0,0
30,0.1356,0.7704,0
30,0.0116,0.0024,0.0124
30,8e-04,0,0.0816
30,0.8548,0.82,0.6568
30,0.542,0.8684,0.2444
30,0.9716,0.9276,0.71
30,0.8876,0.8268,0.96
30,0.0012,0,0.8528
30,0.7368,1,0.0424
30,0.1492,0.264,0.0104
30,0.1764,0.288,4e-04
30,0.024,0.0924,0.7568
30,0,0.0012,0
30,0.3008,0.1688,0.6236
30,0.998,0.9984,0.3724
30,0.48,0.4148,0.2708
30,0.1916,0.0056,0.6792
30,0.9992,1,0.8416
30,0.1644,0.3628,0.0092
30,0,0,0
30,0.0244,0.0096,0.7192
30,8e-04,0.0052,4e-04
30,0.228,0.2384,0.226
30,0.0216,0.0136,0
30,0.0188,0.014,0.0036
30,8e-04,0.0292,0
30,0.004,0.026,0
30,0.9956,0.9868,0.9836
30,0,4e-04,0
30,0.984,0.9792,0.5212
30,0,0,4e-04
30,0.1884,0.0356,0.19
30,0,0,0
30,0.7536,0.5732,0.4368
30,0.0068,0,0.3176
30,0.3516,0.0652,0.1968
30,0.1236,0.0036,0.9988
30,0.9316,0.9076,0.7924
30,0.052,0.0152,0.2668
30,0.5648,0.2888,0.2432
30,0.8256,0.916,0.5508
30,0.3348,0.0752,0.0088
30,0.0224,0.0012,0.4268
30,0,0,0
30,0.1828,0.0644,0.1456
30,0.0252,0.03,0
30,0,0,0.0032
30,0,0,0
30,0.0052,0.002,0
30,0.0464,0.018,0.172
30,0.688,0.2872,0.9992
30,0,4e-04,4e-04
30,0.0832,0.0404,0.7432
30,0.5,0.6892,0.002
30,0.9224,0.9464,0.638
30,0.0228,0.0592,0.068
30,4e-04,0.0032,0.0028
30,0.4204,0.4536,0.0484
30,0.066,0,0.3596
30,0.038,0.254,4e-04
30,0,0,0.0024
30,0.1256,0.1504,4e-04
30,0.0436,0.0248,0.0044
30,0,0,0.0056
30,0,0,0.0492
30,0.96,0.9984,0.9724
30,0.9196,0.8504,0.9636
30,0,0,0
30,0.8996,0.316,0.9268
30,0.0272,0.0356,0.0044
30,0,0.002,0
30,0.3712,0.6052,0.1532
30,0.9772,0.9864,0.4904
30,0.0016,0,0.0292
