"SNR","outMy","outGt","outEp"
0,0.0488,0.0448,0.0308
0,0.0472,0.05,0.0284
0,0.0524,0.0512,0.0268
0,0.0536,0.0552,0.0308
0,0.0488,0.0484,0.0252
0,0.054,0.0552,0.0244
0,0.0468,0.05,0.0256
0,0.0484,0.0532,0.0312
0,0.0484,0.0532,0.0288
0,0.0432,0.0472,0.0252
0,0.0444,0.0492,0.0292
0,0.0532,0.0584,0.0268
0,0.0408,0.0452,0.0248
0,0.046,0.0512,0.0252
0,0.0516,0.0556,0.0316
0,0.0484,0.0516,0.0272
0,0.0484,0.05,0.0272
0,0.038,0.0404,0.0292
0,0.0488,0.0492,0.03
0,0.0484,0.0568,0.0296
0,0.0436,0.0432,0.0264
0,0.0492,0.0552,0.0308
0,0.0416,0.0476,0.0272
0,0.0492,0.0512,0.0228
0,0.0428,0.0452,0.0248
0,0.0544,0.0512,0.0252
0,0.0528,0.056,0.0256
0,0.0504,0.056,0.0288
0,0.048,0.0536,0.0248
0,0.0472,0.0492,0.028
0,0.0496,0.0476,0.0288
0,0.0436,0.0436,0.0256
0,0.046,0.0484,0.03
0,0.0448,0.052,0.0232
0,0.0484,0.0476,0.028
0,0.0488,0.0524,0.0256
0,0.0436,0.0504,0.0244
0,0.0352,0.0408,0.02
0,0.0404,0.0428,0.0328
0,0.044,0.052,0.022
0,0.0444,0.0496,0.0256
0,0.0532,0.0488,0.0348
0,0.0544,0.0516,0.028
0,0.054,0.0572,0.0264
0,0.0404,0.0428,0.026
0,0.05,0.0524,0.0292
0,0.0472,0.0464,0.0248
0,0.042,0.0496,0.0276
0,0.0488,0.0476,0.0328
0,0.0432,0.0444,0.0252
0,0.052,0.052,0.0304
0,0.0468,0.048,0.0324
0,0.0456,0.046,0.0208
0,0.038,0.0424,0.0244
0,0.0408,0.0424,0.0256
0,0.0452,0.052,0.032
0,0.0472,0.0536,0.026
0,0.0472,0.0444,0.0252
0,0.0464,0.0504,0.028
0,0.0504,0.0564,0.0284
0,0.0488,0.0552,0.0276
0,0.044,0.0476,0.0264
0,0.042,0.0496,0.0292
0,0.0468,0.0484,0.0264
0,0.052,0.0544,0.028
0,0.0456,0.0452,0.026
0,0.048,0.0576,0.0256
0,0.0448,0.0408,0.0268
0,0.0568,0.0592,0.0272
0,0.0456,0.0468,0.0328
0,0.0536,0.0508,0.0316
0,0.0552,0.0552,0.0348
0,0.0444,0.046,0.0248
0,0.046,0.0496,0.0268
0,0.0476,0.0504,0.0244
0,0.054,0.0504,0.0292
0,0.0464,0.0468,0.024
0,0.0492,0.0504,0.0292
0,0.044,0.0532,0.0264
0,0.0504,0.0484,0.0252
0,0.0452,0.0452,0.0228
0,0.0516,0.056,0.0236
0,0.0488,0.05,0.0248
0,0.0472,0.0524,0.0268
0,0.0468,0.0564,0.0236
0,0.0476,0.0432,0.0288
0,0.0436,0.0448,0.022
0,0.0424,0.0464,0.028
0,0.052,0.0508,0.032
0,0.0436,0.0512,0.026
0,0.0512,0.0548,0.0228
0,0.0444,0.0492,0.0276
0,0.0488,0.0532,0.0288
0,0.0524,0.0584,0.0284
0,0.052,0.0552,0.0228
0,0.0468,0.0484,0.0264
0,0.0536,0.0552,0.0296
0,0.0536,0.056,0.024
0,0.0484,0.0496,0.0288
0,0.0464,0.0444,0.0224
10,0.0068,4e-04,0.0112
10,0.424,0.3904,0.0032
10,0.1532,0.1944,0.1216
10,0.6072,0.5236,0.6804
10,0.004,8e-04,0.0116
10,0.8476,0.8768,0.8188
10,0.3352,0.1984,0.1288
10,0.8012,0.5152,0.2084
10,0.026,0.062,0.0012
10,0.022,0.0516,0.0348
10,0.0684,0.0048,0.2556
10,0.462,0.518,0.5528
10,0.2728,0.2664,0.0028
10,0.5028,0.366,0.4964
10,0.0136,0.032,0.0056
10,0.6724,0.6728,0.6216
10,0.2932,0.1104,0.7084
10,0.0184,0.0068,0.0256
10,0.27,0.1376,0.714
10,4e-04,8e-04,0.032
10,0.0936,0.0396,0.2252
10,0.7844,0.5788,0.7676
10,0.0048,0.002,0.056
10,0.0788,0.0832,0.1424
10,0.076,0.052,0.4532
10,0,0,0
10,0.4024,0.0664,0.7272
10,0.3708,0.314,0.0992
10,0.0576,0.0212,0.1104
10,0.5728,0.5304,0.9344
10,0.0156,0.0072,0.084
10,0.0076,0,0.0104
10,0.75,0.8428,0.6136
10,0.2324,0.1536,0.022
10,0.5724,0.5236,0.2924
10,0.13,0.0836,0.4544
10,0.0836,0.0432,0.0316
10,0.1884,0.0316,0.1584
10,0.042,0.0548,0.024
10,0.046,0.016,0.0564
10,0.2632,0.0968,0.036
10,0.0104,0.0156,8e-04
10,0.0916,0.1736,0.0028
10,0.018,0.0164,0.0012
10,0.0868,0.06,0.0288
10,0,0,4e-04
10,0.0612,0.0588,0.0404
10,0.1156,0.0924,0.012
10,0.0736,0.0912,0.4052
10,0.1788,0.0504,0.2072
10,0.654,0.5948,0.136
10,0.136,0.1264,0.456
10,0.0752,0.0692,0.0136
10,0.8512,0.8844,0.6284
10,0.6316,0.48,0.3184
10,0.6308,0.6836,0.3528
10,0.0072,8e-04,0.6124
10,0,8e-04,4e-04
10,0.6884,0.8952,0.1372
10,0.2964,0.3772,0.0608
10,0.0648,0.0348,0.01
10,0.0632,0.0568,0.022
10,0.8112,0.8836,0.0712
10,0.2616,0.2812,0.4968
10,0.0036,0.002,4e-04
10,0.086,0.1544,0.0024
10,0.2864,0.098,0.078
10,0,0,4e-04
10,0.0672,0.0728,4e-04
10,0.0824,0.086,0.018
10,0.1424,0.2648,0.0976
10,0.522,0.8152,0.496
10,0.134,0.144,0.3348
10,0.2524,0.2784,0.1148
10,0.0676,0.1236,0.3712
