"SNR","outMy","outGt","outEp"
0,0.0434,0.0484,0.0416
0,0.0426,0.052,0.0414
0,0.043,0.0544,0.04
0,0.0436,0.0472,0.0418
0,0.0384,0.0496,0.0388
0,0.046,0.051,0.0416
0,0.0432,0.0514,0.0446
0,0.0428,0.052,0.0388
0,0.0436,0.0502,0.0406
0,0.0502,0.0524,0.0396
0,0.0428,0.0494,0.0404
0,0.0462,0.0486,0.0432
0,0.0458,0.0488,0.0452
0,0.0406,0.0448,0.0416
0,0.045,0.0498,0.0428
0,0.0448,0.0488,0.0438
0,0.0418,0.0472,0.0442
0,0.042,0.05,0.0424
0,0.0464,0.0494,0.0458
0,0.0434,0.0538,0.0422
0,0.0402,0.0436,0.044
0,0.04,0.0466,0.0388
0,0.0458,0.0486,0.0474
0,0.0448,0.0512,0.0388
0,0.0436,0.0504,0.0386
0,0.042,0.0484,0.0434
0,0.0434,0.0522,0.041
0,0.042,0.05,0.0434
0,0.0476,0.0516,0.0378
0,0.0408,0.0484,0.0418
0,0.046,0.0492,0.0448
0,0.0422,0.05,0.04
0,0.0426,0.0502,0.0452
0,0.0434,0.0478,0.0438
0,0.0448,0.0496,0.0428
0,0.0438,0.0502,0.043
0,0.0404,0.048,0.041
0,0.0412,0.048,0.0412
0,0.0428,0.0468,0.043
0,0.0398,0.0472,0.0398
0,0.0428,0.0512,0.0432
0,0.0524,0.0518,0.048
0,0.0436,0.0482,0.0408
0,0.049,0.0506,0.041
0,0.0458,0.047,0.0454
0,0.0416,0.0458,0.0414
0,0.0418,0.0474,0.0408
0,0.0388,0.0468,0.0416
0,0.0414,0.0478,0.039
0,0.0442,0.052,0.0458
0,0.046,0.0554,0.0442
0,0.0454,0.049,0.0458
0,0.0462,0.051,0.0412
0,0.0452,0.0502,0.0426
0,0.0452,0.0558,0.0444
0,0.0418,0.0478,0.04
0,0.0408,0.052,0.0432
0,0.0446,0.0506,0.0454
0,0.041,0.0498,0.0382
0,0.04,0.052,0.0416
0,0.0476,0.0554,0.0454
0,0.0396,0.0468,0.0398
0,0.0454,0.051,0.0434
0,0.0398,0.05,0.043
0,0.043,0.048,0.0436
0,0.0448,0.055,0.0378
0,0.05,0.05,0.0456
0,0.0452,0.0504,0.0442
0,0.0468,0.0586,0.0416
0,0.0462,0.0508,0.0422
0,0.0432,0.0464,0.044
0,0.052,0.0524,0.0452
0,0.0376,0.0496,0.035
0,0.0398,0.0504,0.0506
0,0.0434,0.0486,0.035
0,0.0432,0.0514,0.038
0,0.0416,0.0494,0.0388
0,0.0432,0.0506,0.0412
0,0.0414,0.0554,0.0402
0,0.0488,0.0548,0.0418
0,0.039,0.0518,0.04
0,0.0448,0.05,0.0392
0,0.0402,0.0524,0.04
0,0.0464,0.0512,0.046
0,0.044,0.053,0.042
0,0.044,0.0482,0.0438
0,0.0482,0.0492,0.0452
0,0.0444,0.0446,0.0412
0,0.0468,0.0534,0.046
0,0.0498,0.0486,0.049
0,0.0426,0.0494,0.0356
0,0.0426,0.0474,0.0456
0,0.0442,0.0516,0.041
0,0.045,0.0508,0.0416
0,0.0428,0.0474,0.0406
0,0.038,0.0436,0.0378
0,0.0426,0.0514,0.0384
0,0.0448,0.0486,0.0446
0,0.0384,0.0468,0.043
0,0.0436,0.0456,0.0446
10,0.8692,0.9408,0.7738
10,0.965,0.9958,0.8708
10,0.8236,0.9406,0.7388
10,0.9308,0.9542,0.8998
10,0.898,0.9936,0.7868
10,0.7728,0.7348,0.8534
10,0.913,0.9228,0.9152
10,0.7802,0.6608,0.7926
10,0.9302,0.9846,0.8758
10,0.8286,0.9688,0.6898
10,0.7454,0.8126,0.7218
10,0.9834,0.9958,0.9522
10,0.9258,0.974,0.8582
10,0.9682,0.9874,0.942
10,0.598,0.4752,0.693
10,0.9488,0.9928,0.8766
10,0.4954,0.4608,0.456
10,0.7728,0.786,0.726
10,0.9512,0.9792,0.9084
10,0.9262,0.9752,0.8394
10,0.9352,0.9474,0.865
10,0.7692,0.7386,0.6156
10,0.8424,0.7486,0.9208
10,0.7866,0.8486,0.6838
10,0.8276,0.8696,0.837
10,0.8514,0.919,0.7462
10,0.65,0.5908,0.5988
10,0.916,0.9858,0.8544
10,0.7884,0.838,0.743
10,0.779,0.811,0.7566
10,0.8122,0.9244,0.777
10,0.8888,0.966,0.8048
10,0.8458,0.9012,0.7156
10,0.6578,0.6968,0.6534
10,0.8176,0.6434,0.848
10,0.9026,0.9802,0.8288
10,0.5328,0.4222,0.6794
10,0.929,0.9956,0.8184
10,0.7286,0.5258,0.806
10,0.9206,0.9894,0.8254
10,0.907,0.8946,0.8372
10,0.8308,0.9098,0.7758
10,0.7748,0.8716,0.7294
10,0.991,0.9972,0.9828
10,0.4524,0.7218,0.3864
10,0.5582,0.5296,0.6416
10,0.8072,0.877,0.7508
10,0.7454,0.675,0.7324
10,0.9218,0.8826,0.94
10,0.7948,0.8166,0.7508
10,0.9462,0.9874,0.9334
10,0.8506,0.9548,0.7796
10,0.8044,0.7592,0.7356
10,0.9706,0.997,0.8674
10,0.7904,0.757,0.6976
10,0.5526,0.3732,0.5342
10,0.8092,0.9312,0.6066
10,0.9054,0.9744,0.7794
10,0.6194,0.6142,0.627
10,0.9368,0.947,0.9568
10,0.9906,0.9954,0.973
10,0.7276,0.6998,0.7954
10,0.9602,0.992,0.924
10,0.762,0.6548,0.7932
10,0.9496,0.9978,0.857
10,0.4818,0.2738,0.5526
10,0.8064,0.954,0.657
10,0.7086,0.7026,0.6068
10,0.6838,0.6458,0.6452
10,0.8654,0.9952,0.6272
10,0.9852,0.9894,0.9638
10,0.639,0.7518,0.5392
10,0.8356,0.8366,0.811
10,0.9092,0.9406,0.8884
10,0.6362,0.8048,0.5504
10,0.9504,0.9554,0.8652
10,0.9588,0.971,0.9254
10,0.5656,0.4646,0.5838
10,0.7396,0.8188,0.6272
10,0.9896,0.9998,0.9276
10,0.9458,0.9442,0.9222
10,0.9968,1,0.971
10,0.5552,0.8704,0.4364
10,0.5986,0.6656,0.5468
10,0.9846,0.9996,0.8712
10,0.9266,0.984,0.8302
10,0.94,0.9616,0.921
10,0.9224,0.9866,0.8266
10,0.9454,0.997,0.8296
10,0.8416,0.9698,0.7368
10,0.675,0.6882,0.6036
10,0.8796,0.9394,0.8222
10,0.893,0.9794,0.814
10,0.7396,0.768,0.6948
10,0.9178,0.9946,0.745
10,0.5256,0.413,0.5604
10,0.8744,0.9836,0.7776
10,0.6498,0.7604,0.6704
10,0.944,0.999,0.7636
10,0.8414,0.8256,0.832
20,0.9808,0.99,0.9836
20,0.9984,1,0.9958
20,0.8592,0.5366,0.9566
20,0.9878,0.9994,0.9798
20,0.9952,0.9988,0.9916
20,0.9766,0.9966,0.9074
20,0.9972,0.9998,0.9918
20,0.9974,0.9998,0.9952
20,0.9976,1,0.9864
20,0.9544,0.9714,0.865
20,0.9984,1,0.998
20,0.8726,0.974,0.8162
20,0.8834,0.6464,0.9642
20,0.9774,0.9864,0.9886
20,0.9188,0.9578,0.787
20,0.9902,0.9914,0.9836
20,0.9966,0.9998,0.9796
20,0.998,0.9942,0.999
20,0.9992,1,0.9928
20,0.994,0.9996,0.9724
20,0.9808,0.9944,0.9786
20,0.9988,0.9998,0.9988
20,1,1,0.9998
20,0.9992,1,0.9922
20,0.9992,0.989,0.9996
20,0.9982,1,0.9924
20,0.999,0.9986,0.9964
20,0.9868,0.9942,0.9914
20,0.934,0.9854,0.8796
20,0.983,0.928,0.974
20,0.971,0.9946,0.911
20,0.9966,0.992,0.9902
20,0.9944,1,0.9786
20,0.9956,0.9708,0.9926
20,0.6178,0.3598,0.712
20,0.9992,1,0.9868
20,0.9756,0.989,0.9506
20,0.987,0.9942,0.9852
20,0.947,0.8942,0.936
20,0.9828,0.9566,0.9934
20,0.9906,0.994,0.9786
20,1,1,0.9998
20,0.9396,0.9566,0.9486
20,0.998,0.9996,0.9924
20,0.9912,0.9922,0.99
20,0.8598,0.5192,0.864
20,0.9254,0.9058,0.951
20,0.978,0.9824,0.9752
20,0.9772,0.9952,0.9864
20,0.941,0.9916,0.9094
20,0.9494,0.9178,0.948
20,0.999,1,0.9964
20,0.9524,0.6694,0.97
20,0.996,0.9998,0.9638
20,0.9992,1,0.9924
20,0.7976,0.6794,0.9018
20,0.9468,0.7638,0.9832
20,0.8622,0.9152,0.9264
20,0.8984,0.8606,0.9458
20,0.9424,0.9464,0.8006
20,0.9998,1,0.9992
20,0.9986,0.9996,0.9972
20,0.9848,0.9972,0.916
20,0.998,0.9994,0.9966
20,0.6854,0.7254,0.8506
20,0.9586,0.9968,0.9404
20,0.973,0.973,0.9836
20,0.9968,0.9998,0.9816
20,0.9994,1,0.9946
20,0.8242,0.1002,0.9858
20,0.899,0.9012,0.8004
20,0.971,0.9768,0.925
20,0.7334,0.6896,0.7408
20,0.9994,0.999,1
20,0.9188,0.7406,0.9772
20,0.8312,0.6998,0.8612
20,0.997,0.9994,0.9924
20,0.9996,1,0.9984
20,0.986,0.9968,0.9536
20,0.991,0.9986,0.9716
20,0.9634,0.9542,0.9708
20,0.9972,1,0.9876
20,0.9996,0.9998,0.9946
20,0.8384,0.9818,0.6018
20,0.9992,1,0.9958
20,0.97,0.9968,0.928
20,0.9386,0.8624,0.995
20,0.8346,0.7502,0.9012
20,0.9556,0.9884,0.9148
20,0.9948,0.9956,0.9902
20,0.9914,0.999,0.993
