"SNR","outMy","outGt","outEp"
0,0.0444,0.048,0.043
0,0.0462,0.0512,0.0466
0,0.052,0.0546,0.046
0,0.0484,0.054,0.0446
0,0.0418,0.0494,0.0404
0,0.0454,0.0532,0.0424
0,0.0438,0.0504,0.0442
0,0.041,0.0482,0.0418
0,0.043,0.0494,0.042
0,0.0512,0.0562,0.0474
0,0.0494,0.0544,0.0452
0,0.0412,0.0472,0.0366
0,0.0474,0.0526,0.0438
0,0.0422,0.0474,0.0406
0,0.0462,0.0512,0.0486
0,0.0442,0.0476,0.0448
0,0.0464,0.0502,0.0452
0,0.0434,0.0526,0.0428
0,0.0406,0.0474,0.0376
0,0.0448,0.049,0.0418
0,0.0376,0.0428,0.0396
0,0.0404,0.0442,0.0426
0,0.0516,0.0588,0.0506
0,0.043,0.0486,0.0416
0,0.045,0.0488,0.0452
0,0.0422,0.0488,0.0402
0,0.0444,0.0518,0.0454
0,0.0406,0.0476,0.0394
0,0.0444,0.0466,0.0432
0,0.0402,0.0474,0.0364
0,0.045,0.0496,0.0412
0,0.0436,0.0496,0.0438
0,0.0446,0.045,0.0424
0,0.0442,0.0488,0.0446
0,0.0396,0.0438,0.0376
0,0.0456,0.0486,0.0472
0,0.0412,0.0492,0.0396
0,0.0468,0.0514,0.0442
0,0.0434,0.0472,0.0456
0,0.044,0.0478,0.0448
0,0.0422,0.0486,0.0444
0,0.0456,0.0524,0.0474
0,0.041,0.049,0.0446
0,0.0482,0.0522,0.045
0,0.046,0.0488,0.0448
0,0.0426,0.045,0.044
0,0.0466,0.051,0.0438
0,0.038,0.0452,0.0414
0,0.047,0.0494,0.046
0,0.044,0.0518,0.045
0,0.0438,0.0508,0.0432
0,0.0446,0.0498,0.0418
0,0.0436,0.05,0.041
0,0.0476,0.0582,0.0448
0,0.0432,0.0494,0.0428
0,0.045,0.0508,0.0438
0,0.041,0.0446,0.0438
0,0.0406,0.0474,0.041
0,0.0414,0.0498,0.0432
0,0.0434,0.0474,0.0422
0,0.0456,0.0536,0.047
0,0.041,0.0474,0.0404
0,0.0412,0.048,0.0426
0,0.0454,0.0526,0.046
0,0.0406,0.0482,0.043
0,0.0478,0.0528,0.045
0,0.0436,0.0462,0.0396
0,0.04,0.0458,0.0418
0,0.0428,0.0484,0.0408
0,0.044,0.0502,0.0462
0,0.0418,0.0482,0.043
0,0.0428,0.0466,0.0416
0,0.0454,0.0532,0.0466
0,0.0438,0.0462,0.0432
0,0.0442,0.0536,0.0452
0,0.047,0.0502,0.0438
0,0.0462,0.05,0.0418
0,0.0432,0.0494,0.0396
0,0.0462,0.0532,0.0446
0,0.0454,0.0502,0.0442
0,0.049,0.0514,0.0442
0,0.0396,0.0444,0.043
0,0.0452,0.0516,0.0454
0,0.0394,0.0474,0.04
0,0.0424,0.0506,0.0412
0,0.0392,0.0498,0.038
0,0.04,0.0456,0.041
0,0.0452,0.0534,0.0418
0,0.0448,0.0484,0.0454
0,0.0442,0.0546,0.0386
0,0.0442,0.0496,0.0432
0,0.0462,0.0524,0.047
0,0.0418,0.0484,0.0436
0,0.0444,0.049,0.0438
0,0.0414,0.0458,0.0384
0,0.0402,0.0442,0.0392
0,0.0468,0.0504,0.0418
0,0.0398,0.045,0.0436
0,0.0452,0.0522,0.0476
0,0.0452,0.0552,0.0448
10,0.0784,0.0072,0.2782
10,0.3094,0.3114,0.3856
10,0.2098,0.2312,0.451
10,0.1948,0.3062,0.5332
10,0.7992,0.7744,0.845
10,0.3198,0.357,0.6636
10,0.056,0.118,0.1016
10,0.0238,0.0408,0.1746
10,0.2384,0.3562,0.1314
10,0.1428,0.147,0.054
10,0.5564,0.5254,0.673
10,0.7328,0.8204,0.506
10,0.07,0.044,0.2748
10,0.3178,0.1554,0.4426
10,0.5066,0.2506,0.4362
10,0.753,0.8396,0.851
10,0.3546,0.3052,0.5558
10,0.6776,0.547,0.6518
10,0.9696,0.9778,0.9164
10,0.9568,0.9788,0.9284
10,0.8696,0.9452,0.962
10,0.2492,0.1966,0.318
10,0.865,0.7586,0.9236
10,0.8262,0.8256,0.8676
10,0.1964,0.2858,0.1054
10,0.1554,0.0938,0.0538
10,0.189,0.4416,0.3262
10,0.0024,0.0022,2e-04
10,0.196,0.2984,0.1762
10,0.8882,0.941,0.943
10,0.877,0.799,0.7118
10,0.3764,0.5708,0.5164
10,0.5924,0.806,0.8518
10,0.2062,0.2784,0.2476
10,0.4804,0.2314,0.5982
10,0.0624,0.099,0.1418
10,0.9274,0.9406,0.7014
10,0.9278,0.963,0.8274
10,0.4238,0.5586,0.6264
10,0.1702,0.5738,0.2054
10,0.842,0.8248,0.3756
10,0.909,0.9538,0.9478
10,0.4492,0.4906,0.375
10,0.2542,0.2702,0.527
10,0.9794,0.9972,0.989
10,0.0076,0.0068,0.074
10,2e-04,2e-04,4e-04
10,0.2242,0.2852,0.7676
10,0.6148,0.6316,0.4898
10,0.928,0.9134,0.9864
10,0.1894,0.0818,0.2284
10,0.0868,0.0522,0.1674
10,0.0614,0.012,0.2022
10,0.8106,0.802,0.6406
10,0.076,0.1184,0.042
10,6e-04,0.0072,2e-04
10,0.3994,0.4768,0.2652
10,0.0896,0.1558,0.254
10,0.9142,0.9518,0.9946
10,0.3038,0.1882,0.7014
10,0.6588,0.8734,0.6568
10,0.2102,0.151,0.1016
10,0.4008,0.4192,0.5206
10,0.005,0.0028,0.0042
10,0.1772,0.3002,0.1498
10,0.4174,0.3258,0.6096
10,0.3734,0.3216,0.3894
10,0.4462,0.625,0.1602
10,0.0518,0.0362,0.192
10,0.3516,0.5348,0.501
10,0.506,0.5796,0.6638
10,0.9686,0.9868,0.966
10,0.8582,0.8654,0.7762
10,0.1992,0.123,0.2762
10,0.0606,0.101,0.0296
10,0.2572,0.316,0.1028
10,0.1968,0.0634,0.4128
10,0.571,0.669,0.5178
10,0.0748,0.0436,0.4012
10,0.1754,0.3256,0.3372
10,0.9814,0.9978,0.9898
10,0.6118,0.4486,0.7348
10,0.9506,0.9836,0.9238
10,0.0982,0.035,0.2272
10,0.119,0.111,0.1122
10,0.0112,4e-04,0.066
10,0.1418,0.141,0.6424
10,0.1568,0.0858,0.2664
10,0.303,0.2774,0.5468
10,0.8134,0.7888,0.939
10,0.4946,0.6332,0.5294
10,0.3084,0.0982,0.514
10,0.03,0.0168,0.0688
10,0.8082,0.7922,0.8504
10,0.2138,0.083,0.2458
10,0.425,0.3798,0.6464
10,0.1524,0.1106,0.0984
10,1,1,0.9968
10,0.4316,0.3778,0.2848
10,0.605,0.384,0.7734
20,0.9998,0.9998,0.9994
20,0.6218,0.7856,0.7442
20,0.6322,0.654,0.8432
20,0.8222,0.9338,0.6334
20,0.9826,0.9998,0.936
20,0.9378,0.999,0.9928
20,0.2002,0.3554,0.7618
20,0.3682,0.4944,0.9006
20,0.5688,0.2818,0.6652
20,0.0846,0.0314,0.6194
20,0.003,0.0034,0.0346
20,0.947,0.9288,0.9882
20,0.2922,0.8542,0.5788
20,0.001,0.0322,0.0576
20,0.3134,0.5922,0.4526
20,0.5254,0.4368,0.8386
20,0.9976,0.9984,0.9948
20,0.6776,0.435,0.8288
20,0.0356,0.1552,0.2146
20,0.96,0.9932,0.9128
20,0.6848,0.5246,0.9678
20,0.3774,0.2538,0.3468
20,0.2282,0.0402,0.2142
20,0.9892,0.9986,0.9906
20,0.8664,0.6958,0.3342
20,0.7392,0.8002,0.9146
20,0.5524,0.5968,0.8252
20,0.5884,0.5124,0.2712
20,0.0776,0.0862,0.006
20,0.0124,0.0142,0.0506
20,0.9894,0.9906,0.8486
20,0.0108,0.008,0.0564
20,0.098,0.0566,0.0648
20,0.1612,0.0588,0.6862
20,0.3564,0.5522,0.886
20,0.7394,0.9248,0.8706
20,0.9776,0.9864,0.8614
20,0.5276,0.1346,0.5374
20,0.8752,0.7214,0.9992
20,0.032,0.002,0.0724
20,0,0,0.0018
20,0.958,0.9578,0.9928
20,0.6538,0.7616,0.9088
20,0.0126,0.0116,0.1836
20,0.506,0.689,0.8032
20,2e-04,8e-04,0.0308
20,0.115,0.0376,0.2982
20,0.6632,0.5824,0.5744
20,0.869,0.8668,0.7208
20,0.1116,0.213,0.0334
20,0.059,0.1526,0.308
20,0.0032,0.0292,0.2024
20,0.2658,0.1806,0.235
20,0.548,0.6272,0.6834
20,0.176,0.1848,0.2242
20,0.8928,0.686,0.9606
20,0.0092,4e-04,0.0306
20,0.7036,0.6082,0.5172
20,0.761,0.7626,0.7516
20,0.6064,0.3342,0.4342
20,0.6448,0.4518,0.864
20,0.6704,0.4376,0.9156
20,0.311,0.5326,0.54
20,0.5252,0.684,0.332
20,0.6706,0.717,0.502
20,0.127,0.2238,0.5988
20,0.0536,0.192,0.027
20,0.1342,0.0894,0.0998
20,0.7062,0.7242,0.8938
20,0.3354,0.5226,0.4524
20,0.3412,0.2476,0.6684
20,0.7522,0.773,0.9688
20,0.6704,0.265,0.5324
20,0.4026,0.576,0.5014
20,0.9492,0.853,0.9684
20,0.8212,0.869,0.9202
20,0.103,0.1156,0.7918
20,0.0182,0.0034,0.0226
20,0.1146,0.3404,0.016
20,0.0954,0.0526,0.7748
20,0.354,0.2986,0.3736
20,0.0014,0.0074,0.0146
20,0.6026,0.5858,0.1906
20,0.9192,0.7858,0.9258
20,0.9996,0.9998,0.9998
20,0.0594,0.0526,0.7554
20,0.1984,0.3106,0.2466
20,0.9998,0.9998,1
20,0.0376,0.0044,0.539
20,0.4334,0.4096,0.6882
20,0.7018,0.7426,0.9682
20,0.6672,0.596,0.8486
20,0.2206,0.5422,0.1486
20,0.0164,0.0028,0.0062
20,0.9864,0.9938,0.777
20,0.9946,0.9998,0.999
20,0.4274,0.207,0.1068
20,0.1022,0.115,0.3076
20,0.8768,0.9834,0.8008
20,0,0,0
30,0.139,0.046,0.5164
30,0.9984,1,0.9998
30,0.6382,0.4906,0.4136
30,0.0906,0.1852,0.093
30,0.8012,0.5996,0.999
30,0,0,8e-04
30,0.085,0.1504,0.3134
30,0.1154,0.35,0.2962
30,0.9568,0.9892,0.8304
30,0.9008,0.8004,0.9944
30,0.7204,0.8896,0.3512
30,0.6816,0.663,0.8686
30,0.995,0.9996,0.9876
30,0.3906,0.4986,0.6748
30,0.7616,0.9922,0.903
30,0.7922,0.9528,0.9992
30,0.0038,0.0468,0.0522
30,0.9996,0.9998,0.9998
30,0.2394,0.5064,0.2692
30,0.055,0.1932,0.3148
30,0.9728,0.9886,0.9866
30,0.9574,0.9924,0.998
30,0.3894,0.2634,0.8816
30,0.9996,1,0.9996
30,0.1948,0.2258,0.9562
30,1,1,1
30,0.9534,0.926,0.9862
30,0.004,0.001,0.0442
30,0.8574,0.981,0.5186
30,0.902,0.865,0.8708
30,0.6576,0.6426,0.7418
30,0.0084,4e-04,0.0786
30,0.9994,0.9998,1
30,1,1,1
30,0.2142,0.2884,0.157
30,0.3982,0.059,0.9522
30,0.978,0.9932,1
30,0.96,0.9758,0.8472
30,0.008,4e-04,0.1138
30,0.0088,0.046,0.0854
30,0.9116,0.9604,0.9624
30,0.9816,0.9956,0.966
30,0.9994,0.9996,0.9588
30,0.0258,0,0.0488
30,0.1726,0.307,0.6176
30,0.0382,0.0306,0.2922
30,0.0812,0.0696,0.0842
30,0.9858,0.9976,0.999
30,0.0056,0.009,0.0066
30,2e-04,0.0016,0.001
30,0.9982,0.9412,0.9976
30,0.7854,0.5604,0.9968
30,1,1,0.9882
30,0.0382,0.0246,0.0432
30,0.629,0.4388,0.9438
30,0.878,0.9702,0.9582
30,0.3422,0.4782,0.3758
30,0.7164,0.9252,0.119
30,0.7462,0.2678,0.6378
30,0.9982,0.9876,0.8704
30,0.6532,0.7342,0.7994
30,0.6624,0.6906,0.64
30,0.0194,0.0122,8e-04
30,0.9826,0.997,0.9924
30,0.999,0.9978,0.974
30,0.8852,0.9204,0.9306
30,0.6026,0.7692,0.8326
30,0.0012,0.001,0.0052
30,0.0058,0.001,0.12
30,1,0.9954,0.9988
30,0.1042,0.1004,0.073
30,0.9594,0.977,0.9834
30,0.6576,0.2574,0.99
30,0,0,0
30,0.0048,0.005,0.0328
30,0.928,0.9856,0.95
30,4e-04,0,0.0054
30,0.0826,0.369,0.1334
30,0.3966,0.3804,0.4654
30,1,1,1
30,1,1,1
30,0.221,0.0708,0.1294
30,0.5094,0.685,0.9504
30,0.999,0.9996,0.999
30,0.9232,0.949,0.9438
30,0.9988,1,0.994
30,0.0548,0.033,0.0546
30,0.0142,0.0566,2e-04
30,0.6738,0.2512,0.882
30,0.3468,0.8574,0.7556
30,0.9878,0.9794,1
30,0.8696,0.6544,0.8512
30,0.0234,0.065,0.0706
30,0.9802,0.9698,0.9992
30,0.9996,1,0.9984
30,0.8854,0.767,0.9242
30,0.6024,0.6888,0.6812
30,0.6264,0.8538,0.921
30,0.9994,1,1
30,0.1618,0.174,0.6666
