"SNR","outMy","outGt","outEp"
0,0.0488,0.044,0.0332
0,0.0494,0.0474,0.0324
0,0.0482,0.0466,0.0322
0,0.0552,0.0504,0.0346
0,0.047,0.0486,0.0312
0,0.0546,0.0498,0.0368
0,0.0516,0.0556,0.0322
0,0.0514,0.0526,0.034
0,0.0536,0.0492,0.0348
0,0.0544,0.0492,0.0342
0,0.0564,0.0522,0.0356
0,0.0532,0.0518,0.0374
0,0.0562,0.0458,0.0344
0,0.0486,0.0498,0.0288
0,0.052,0.0512,0.031
0,0.0532,0.0496,0.0358
0,0.0564,0.052,0.0374
0,0.0546,0.0514,0.035
0,0.0464,0.0458,0.0318
0,0.057,0.048,0.0394
0,0.0488,0.0514,0.028
0,0.0508,0.0494,0.0376
0,0.0536,0.0504,0.032
0,0.0504,0.0476,0.032
0,0.0516,0.0486,0.0332
0,0.0568,0.0476,0.0318
0,0.052,0.049,0.0326
0,0.0532,0.0456,0.0336
0,0.0478,0.0474,0.0322
0,0.053,0.0528,0.0336
0,0.0582,0.0544,0.039
0,0.0482,0.049,0.0316
0,0.0528,0.048,0.0304
0,0.051,0.0462,0.036
0,0.0528,0.0452,0.0358
0,0.0538,0.0538,0.0298
0,0.0496,0.0524,0.04
0,0.0552,0.0492,0.0382
0,0.056,0.0522,0.035
0,0.0576,0.053,0.0384
0,0.0536,0.0538,0.038
0,0.0522,0.0516,0.0348
0,0.0506,0.0512,0.028
0,0.056,0.0498,0.0376
0,0.0566,0.0538,0.0358
0,0.0576,0.0526,0.0346
0,0.0604,0.0542,0.0354
0,0.0508,0.0496,0.0318
0,0.0606,0.0484,0.0374
0,0.0558,0.0508,0.031
0,0.0458,0.0476,0.0298
0,0.0514,0.0484,0.0346
0,0.0498,0.0466,0.0356
0,0.0552,0.053,0.0326
0,0.055,0.0534,0.0316
0,0.054,0.047,0.0362
0,0.052,0.0474,0.0316
0,0.054,0.0518,0.0354
0,0.0542,0.0494,0.039
0,0.0618,0.0556,0.0336
0,0.052,0.0492,0.0332
0,0.0524,0.046,0.038
0,0.0506,0.0496,0.036
0,0.0594,0.0524,0.0352
0,0.0552,0.0562,0.031
0,0.0558,0.0548,0.0294
0,0.0522,0.0504,0.0336
0,0.0554,0.05,0.0352
0,0.051,0.0476,0.0388
0,0.0566,0.0508,0.0328
0,0.0516,0.0524,0.03
0,0.0494,0.05,0.035
0,0.055,0.0536,0.039
0,0.0548,0.052,0.04
0,0.0514,0.0538,0.0328
0,0.0518,0.0514,0.0384
0,0.0502,0.0486,0.0354
0,0.0526,0.0494,0.0324
0,0.0552,0.0458,0.039
0,0.056,0.0546,0.0304
0,0.051,0.047,0.0322
0,0.0506,0.0448,0.03
0,0.0514,0.0464,0.0332
0,0.0482,0.05,0.0332
0,0.0552,0.0514,0.0312
0,0.0568,0.0528,0.0334
0,0.0546,0.053,0.0336
0,0.0508,0.0494,0.0308
0,0.056,0.0522,0.0318
0,0.0486,0.0486,0.0318
0,0.057,0.0454,0.0368
0,0.0508,0.053,0.0332
0,0.0568,0.0502,0.0358
0,0.0584,0.0492,0.036
0,0.0536,0.0504,0.0364
0,0.0544,0.0516,0.0342
0,0.0552,0.0536,0.0322
0,0.0518,0.0524,0.0318
0,0.0594,0.0568,0.0382
0,0.0574,0.0554,0.0396
