"SNR","outMy","outGt","outEp"
0,0.0212,0.0452,0.0504
0,0.0208,0.0542,0.0414
0,0.0226,0.0514,0.0442
0,0.017,0.0472,0.041
0,0.0226,0.0528,0.04
0,0.0236,0.0482,0.0418
0,0.0212,0.0538,0.0472
0,0.0226,0.053,0.045
0,0.0244,0.0534,0.0458
0,0.0198,0.05,0.04
0,0.0218,0.0478,0.0414
0,0.0222,0.0512,0.0412
0,0.0272,0.0558,0.0416
0,0.0252,0.0534,0.0416
0,0.02,0.047,0.0436
0,0.0198,0.0494,0.0406
0,0.024,0.0538,0.048
0,0.0222,0.0498,0.0408
0,0.021,0.0482,0.0424
0,0.022,0.0524,0.0442
0,0.0232,0.053,0.0426
0,0.0264,0.0564,0.0442
0,0.022,0.053,0.0414
0,0.0222,0.0512,0.0484
0,0.02,0.0476,0.0432
0,0.0204,0.0504,0.0422
0,0.0198,0.0474,0.0396
0,0.02,0.0454,0.0404
0,0.0202,0.0452,0.0412
0,0.0242,0.0504,0.0404
0,0.022,0.0506,0.042
0,0.019,0.0516,0.0444
0,0.0244,0.0518,0.0456
0,0.0238,0.049,0.047
0,0.0226,0.0504,0.0424
0,0.0288,0.059,0.0454
0,0.0204,0.0524,0.0458
0,0.0226,0.0494,0.0382
0,0.022,0.0492,0.0398
0,0.0188,0.0478,0.0386
0,0.0234,0.0508,0.0446
0,0.0218,0.0488,0.0404
0,0.0188,0.0524,0.0396
0,0.0196,0.053,0.0474
0,0.0226,0.0542,0.045
0,0.0228,0.0538,0.0424
0,0.0226,0.052,0.0408
0,0.0236,0.051,0.04
0,0.0214,0.0498,0.0428
0,0.0212,0.0524,0.0392
0,0.0212,0.0556,0.0488
0,0.022,0.046,0.045
0,0.0224,0.0506,0.0406
0,0.023,0.0498,0.0462
0,0.0224,0.0492,0.0412
0,0.022,0.054,0.0414
0,0.0196,0.0458,0.0374
0,0.0232,0.0516,0.0438
0,0.0202,0.047,0.0404
0,0.018,0.0462,0.0386
0,0.0244,0.0528,0.047
0,0.0194,0.0476,0.0412
0,0.0196,0.0464,0.0384
0,0.0226,0.0494,0.0378
0,0.0236,0.0492,0.046
0,0.0236,0.055,0.0436
0,0.0264,0.0558,0.0462
0,0.0244,0.0556,0.04
0,0.0214,0.043,0.0414
0,0.0222,0.0516,0.0406
0,0.0196,0.0534,0.0398
0,0.0202,0.049,0.041
0,0.0178,0.0516,0.0432
0,0.0242,0.0476,0.0412
0,0.023,0.053,0.0434
0,0.0274,0.0538,0.048
0,0.0192,0.0488,0.039
0,0.021,0.0534,0.0418
0,0.0212,0.052,0.0436
0,0.0208,0.0494,0.0464
0,0.0234,0.0512,0.0426
0,0.0198,0.0504,0.0386
0,0.0244,0.0574,0.0424
0,0.0188,0.0488,0.0422
0,0.0188,0.0454,0.0352
0,0.0198,0.0492,0.0432
0,0.0234,0.0552,0.0398
0,0.0246,0.0532,0.0402
0,0.0232,0.0494,0.043
0,0.0216,0.047,0.0394
0,0.0198,0.0444,0.0402
0,0.0234,0.0556,0.0404
0,0.0218,0.0546,0.0426
0,0.0222,0.049,0.0402
0,0.0216,0.05,0.0436
0,0.0206,0.0522,0.0432
0,0.0214,0.0504,0.0426
0,0.019,0.0488,0.0372
0,0.0172,0.0418,0.0382
0,0.02,0.0498,0.043
10,0,0,6e-04
10,0.083,0.2956,0.3278
10,0.004,0.0486,0.0942
10,0,0,0.0032
10,0.0024,0.032,0.0328
10,2e-04,2e-04,0.0278
10,0.0096,0.0144,0.0524
10,0,2e-04,0
10,0.001,0.0084,0.1804
10,0.5148,0.7696,0.342
10,0.0318,0.1,0.2564
10,0.0014,0.0086,0.0886
10,6e-04,6e-04,0.0012
10,0.0254,0.1868,0.5016
10,0.029,0.0336,0.6914
10,0.0744,0.2446,0.5158
10,0.0108,0.0172,0.7078
10,8e-04,8e-04,0.0012
10,0.0232,0.0268,6e-04
10,4e-04,0.0126,0.5694
10,0.01,0.0598,2e-04
10,0.0164,0.1024,0.304
10,8e-04,0.0024,6e-04
10,0,0,0.0032
10,0.0318,0.0966,0.093
10,2e-04,0.0034,0.05
10,0.0414,0.1256,0.8824
10,0.0032,0.0144,0.0086
10,0.0254,0.1334,0.1642
10,0.9822,0.9982,0.9696
10,0.0682,0.1928,0.2826
10,0,0,4e-04
10,0.0372,0.2034,0.6622
10,8e-04,6e-04,0.0112
10,0,0,0
10,0.4434,0.809,0.9972
10,0.0372,0.1148,0.0022
10,2e-04,0.0064,0.0234
10,0.0034,0.0122,0.0992
10,0.0014,0.0028,0.001
10,4e-04,0.003,0.004
10,8e-04,0.0106,0.0124
10,0,0,0
10,0,0,2e-04
10,2e-04,0,0.386
10,0,0,0.0196
10,4e-04,0.0088,0
10,2e-04,0.015,0.1634
10,0.8096,0.9412,0.612
10,0,2e-04,0
10,2e-04,0.002,0.0138
10,0,8e-04,0.0602
10,0,0,0.0012
10,0.029,0.0948,0.0284
10,0.777,0.9286,0.9918
10,4e-04,0.0024,0.0072
10,2e-04,0.0042,0.0226
10,0.4394,0.5826,0.0426
10,0.002,0.0036,0.014
10,2e-04,0.0016,0.0708
10,0.0114,0.0498,0.0962
10,0.5576,0.7736,0.606
10,2e-04,0.001,0.0032
10,0,0,0.0162
10,0.0054,0.0156,0.046
10,0,6e-04,0.0038
10,0,0,0.0018
10,0.8776,0.9812,0.964
10,2e-04,0.004,2e-04
10,0.44,0.645,0.859
10,0.0894,0.2094,0.899
10,0.1116,0.2602,0.8556
10,0,2e-04,0
10,0.0412,0.1724,0.1794
10,0.0698,0.3182,0.3858
10,0.0024,0.0186,0.0904
10,0,0,0
10,0.0088,0.029,0.3216
10,0.42,0.6144,0.5676
10,0.0028,0.017,0.0198
10,0.2656,0.825,0.5966
10,0,0,2e-04
10,0.0148,0.0746,0.5578
10,0.1086,0.339,0.4388
10,0.0062,0.0278,0.0928
10,0.0018,0.015,0
10,0.006,0.0046,0.0094
10,4e-04,0.002,0
10,0,4e-04,0.0172
10,0.4106,0.5644,0.118
10,0.1802,0.435,0.4238
10,0.0054,0.0046,0.0484
10,0.002,0.0034,0.2404
10,0.927,0.9968,0.7102
10,0.0044,0.0172,0.141
10,0,0,0.0012
10,0.2082,0.4454,0.6316
10,0.213,0.3806,0.138
10,0.4472,0.8428,0.2864
10,0.0018,0.0196,0.0136
20,0,0,0
20,0.0048,0.0944,0.2376
20,0.0554,0.2904,0.3966
20,0.1936,0.638,0.0252
20,0.012,0.0582,0.0672
20,0.2132,0.1924,0.1026
20,0,0,0
20,4e-04,0.0146,6e-04
20,0.0018,0.0498,0.0556
20,0,0,0.0046
20,0,0,0
20,0.0098,0.0498,0.6616
20,0,0,2e-04
20,0.6402,0.9336,0.0468
20,0,4e-04,0.1396
20,0,6e-04,6e-04
20,0.0182,0.0534,0.0016
20,0.4244,0.588,0
20,0.0014,0.022,0.4442
20,0.7076,0.9048,0.8264
20,0,0,0
20,0,0,0.066
20,0,0,0
20,0.0028,0.0068,0.033
20,0.0026,0.02,0.0906
20,0,0,0
20,0.1338,0.6762,0.8778
20,0,0,6e-04
20,0.458,0.9086,0.0112
20,0,0,6e-04
20,2e-04,0.0024,0.003
20,4e-04,0.0038,0.1356
20,0,0,0
20,0.0034,0.0086,0.0118
20,0.3446,0.678,0.04
20,0,0,0
20,2e-04,0.0596,0.2342
20,0.0172,0.1274,0.0084
20,0,0,0
20,0.2204,0.722,0.0046
20,0.0602,0.3358,0.2626
20,0.2744,0.7848,0.9884
20,0.0028,0.0666,0.3126
20,0.0024,0.0122,0.0118
20,0.0214,0.0768,0.6994
20,0.1782,0.5578,0.9756
20,0,0,0
20,0.314,0.6408,0.5246
20,0,0.0028,0.0352
20,0,0,0.0746
20,0,0,0
20,0,0,0
20,0,0,0
20,6e-04,0.0252,0.018
20,2e-04,2e-04,0.0456
20,6e-04,0.005,0.0636
