"SNR","outMy","outGt","outEp"
0,0.044,0.0534,0.0422
0,0.046,0.0524,0.0414
0,0.0486,0.0496,0.0422
0,0.0442,0.0494,0.0372
0,0.045,0.0518,0.0432
0,0.0424,0.0492,0.0402
0,0.0428,0.0506,0.0452
0,0.0476,0.0498,0.0408
0,0.0486,0.0494,0.0432
0,0.0496,0.0542,0.0424
0,0.0446,0.0502,0.0402
0,0.0452,0.0516,0.0404
0,0.049,0.0558,0.0458
0,0.0472,0.0506,0.044
0,0.045,0.048,0.0432
0,0.0426,0.0474,0.0416
0,0.0482,0.049,0.0462
0,0.0494,0.0512,0.0424
0,0.047,0.0582,0.0394
0,0.0476,0.053,0.0416
0,0.0446,0.0456,0.0424
0,0.0472,0.0496,0.044
0,0.0458,0.0478,0.044
0,0.0502,0.0502,0.0446
0,0.0458,0.05,0.0428
0,0.0406,0.046,0.0404
0,0.0514,0.056,0.0462
0,0.0488,0.0494,0.0424
0,0.047,0.0504,0.0446
0,0.0432,0.0542,0.0384
0,0.0408,0.048,0.0398
0,0.0462,0.048,0.047
0,0.044,0.0494,0.0416
0,0.0484,0.0494,0.0424
0,0.042,0.0484,0.0398
0,0.0478,0.0522,0.0438
0,0.0486,0.0494,0.042
0,0.0488,0.0486,0.0444
0,0.0506,0.048,0.044
0,0.0446,0.0498,0.0438
0,0.0458,0.0506,0.0452
0,0.0408,0.0494,0.0396
0,0.047,0.0486,0.0436
0,0.0452,0.0448,0.048
0,0.0432,0.0494,0.0418
0,0.0464,0.0516,0.0382
0,0.0498,0.0502,0.0474
0,0.0466,0.0498,0.039
0,0.0456,0.0466,0.0376
0,0.0464,0.0488,0.04
0,0.056,0.0542,0.0492
0,0.0422,0.0492,0.042
0,0.0366,0.0488,0.0402
0,0.045,0.05,0.0422
0,0.044,0.05,0.046
0,0.044,0.0494,0.0388
0,0.0474,0.048,0.0446
0,0.047,0.0496,0.0484
0,0.0478,0.0536,0.0416
0,0.046,0.0484,0.044
0,0.0426,0.0442,0.0402
0,0.0464,0.0492,0.0434
0,0.0466,0.0546,0.044
0,0.0472,0.0534,0.0418
0,0.0474,0.0468,0.043
0,0.0476,0.0486,0.0442
0,0.0436,0.045,0.0404
0,0.0482,0.0542,0.0452
0,0.046,0.0488,0.0408
0,0.0442,0.0452,0.0412
0,0.0476,0.0488,0.0468
0,0.0414,0.0506,0.0416
0,0.046,0.049,0.0418
0,0.0448,0.0512,0.039
0,0.0466,0.0496,0.0424
0,0.047,0.0494,0.0414
0,0.0446,0.0428,0.0448
0,0.0416,0.0498,0.0416
0,0.0462,0.0482,0.0426
0,0.0456,0.0514,0.043
0,0.0436,0.0544,0.042
0,0.0494,0.0512,0.0478
0,0.0484,0.052,0.0448
0,0.0414,0.0456,0.0388
0,0.0478,0.0544,0.0408
0,0.043,0.0506,0.0398
0,0.0446,0.0494,0.0436
0,0.0418,0.0496,0.0384
0,0.0442,0.0502,0.0418
0,0.0402,0.0512,0.0328
0,0.0412,0.0462,0.039
0,0.0446,0.0518,0.0438
0,0.0448,0.0504,0.04
0,0.0418,0.046,0.0404
0,0.0436,0.0498,0.0434
0,0.0474,0.0508,0.0482
0,0.046,0.0506,0.04
0,0.0538,0.058,0.0422
0,0.0504,0.048,0.0508
0,0.041,0.045,0.0446
10,0.8516,0.9832,0.4688
10,0.1696,0.0744,0.2356
10,0.3934,0.6738,0.0874
10,0.7472,0.7392,0.3882
10,0.3996,0.4066,0.2486
10,0.34,0.209,0.3096
10,0.599,0.8394,0.2244
10,0.2716,0.1346,0.2522
10,0.2236,0.4228,0.0752
10,0.155,0.1088,0.1278
10,0.7298,0.0784,0.713
10,0.2608,0.0092,0.4158
10,0.0318,0.0096,0.0076
10,0.2046,0.023,0.2154
10,0.131,0.0346,0.1126
10,0.9084,0.9158,0.636
10,0.452,0.3252,0.3932
10,0.23,0.1024,0.3278
10,0.7782,0.9274,0.2182
10,0.074,0.01,0.1496
10,0.1064,0.0704,0.1098
10,0.42,0.061,0.4224
10,0.134,0.015,0.2496
10,0.4976,0.6072,0.3064
10,0.23,0.0152,0.2638
10,0.782,0.9228,0.2026
10,0.6586,0.3734,0.5878
10,0.06,0.0244,0.1368
10,0.095,0.0054,0.1384
10,0.4766,0.1622,0.3852
10,0.113,0.0124,0.1536
10,0.2074,0.2584,0.07
10,0.9882,1,0.1486
10,0.3466,0.3574,0.2498
10,0.3124,0.2194,0.2236
10,0.084,0.0352,0.121
10,0.2052,0.0404,0.1772
10,0.1822,0.0928,0.1582
10,0.9972,0.9998,0.346
10,0.1206,0.0146,0.2072
10,0.6374,0.7508,0.2666
10,0.3914,0.3234,0.3156
10,0.9368,0.9934,0.2156
10,0.3092,0.1178,0.2138
10,0.9978,1,0.4536
10,0.1608,0.1102,0.1302
10,0.1306,0.0638,0.1502
