"SNR","outMy","outGt","outEp"
0,0.0458,0.0524,0.0468
0,0.0408,0.0456,0.0428
0,0.0424,0.0484,0.0478
0,0.0368,0.0512,0.0386
0,0.0406,0.047,0.0428
0,0.0424,0.0502,0.0422
0,0.0414,0.0458,0.0426
0,0.0418,0.0458,0.0418
0,0.0468,0.0502,0.044
0,0.0412,0.0484,0.043
0,0.0372,0.0486,0.0366
0,0.0408,0.0422,0.0422
0,0.0464,0.0456,0.043
0,0.0442,0.05,0.0432
0,0.0458,0.0486,0.0426
0,0.0426,0.0448,0.0448
0,0.0442,0.0478,0.0428
0,0.0434,0.0478,0.0398
0,0.0424,0.0498,0.0452
0,0.0392,0.0482,0.044
0,0.0376,0.0502,0.0376
0,0.0394,0.045,0.0376
0,0.0404,0.0492,0.042
0,0.0392,0.0458,0.0412
0,0.0426,0.0506,0.0436
0,0.0392,0.051,0.0376
0,0.0404,0.0472,0.0426
0,0.038,0.0524,0.0398
0,0.0404,0.0516,0.0428
0,0.0392,0.0468,0.0414
0,0.0418,0.0508,0.0448
0,0.0404,0.0478,0.0402
0,0.0446,0.051,0.0454
0,0.04,0.0496,0.042
0,0.0404,0.0516,0.0454
0,0.04,0.0512,0.0404
0,0.048,0.0512,0.0414
0,0.0378,0.0484,0.0358
0,0.0426,0.056,0.0466
0,0.0404,0.0514,0.0372
0,0.0412,0.0474,0.0432
0,0.046,0.0504,0.043
0,0.0418,0.0504,0.0398
0,0.0444,0.0504,0.044
0,0.045,0.0478,0.0456
0,0.0378,0.0452,0.0438
0,0.0386,0.0536,0.0398
0,0.0442,0.047,0.0434
0,0.0358,0.0464,0.036
0,0.0414,0.0448,0.0414
0,0.0414,0.0486,0.04
0,0.041,0.0506,0.0438
0,0.0412,0.0508,0.0442
0,0.0412,0.0484,0.044
0,0.0422,0.0486,0.0466
0,0.04,0.048,0.0424
0,0.0446,0.0484,0.0424
0,0.0468,0.0592,0.0452
0,0.0428,0.0508,0.0466
0,0.0434,0.0508,0.0432
0,0.0406,0.0504,0.0442
0,0.0446,0.0476,0.0416
0,0.04,0.047,0.0408
0,0.0414,0.0494,0.0432
0,0.0394,0.0508,0.0426
0,0.0406,0.048,0.0424
0,0.0406,0.0508,0.0418
0,0.0408,0.0502,0.0422
0,0.041,0.0538,0.038
0,0.0404,0.0458,0.0412
0,0.0436,0.0538,0.042
0,0.0436,0.0464,0.0434
0,0.042,0.0532,0.0402
0,0.0442,0.056,0.0412
0,0.041,0.049,0.0394
0,0.04,0.0492,0.0404
0,0.0416,0.0546,0.0402
0,0.0414,0.0482,0.0446
0,0.0468,0.0496,0.0462
0,0.0434,0.049,0.0438
0,0.0468,0.0556,0.0422
0,0.0436,0.0546,0.0434
0,0.0406,0.0498,0.044
0,0.0418,0.0464,0.0436
0,0.0424,0.0492,0.0442
0,0.0482,0.052,0.0446
0,0.0462,0.0564,0.0428
0,0.0428,0.046,0.0468
0,0.0444,0.0514,0.0446
0,0.04,0.0434,0.0428
0,0.0454,0.0502,0.042
0,0.041,0.0514,0.0458
0,0.0398,0.0504,0.0432
0,0.0388,0.0456,0.0376
0,0.046,0.054,0.0404
0,0.0454,0.0506,0.0408
0,0.0426,0.0478,0.0384
0,0.044,0.0524,0.0428
0,0.0402,0.052,0.0424
0,0.0418,0.0498,0.0432
10,0.2448,0.2276,0.3298
10,0.4636,0.8404,0.1146
10,0.039,0.0422,0.056
10,0.3894,0.2078,0.381
10,0.9262,0.999,0.0512
10,0.4692,0.2318,0.5062
10,0.7016,0.767,0.3156
10,0.7082,0.8544,0.4178
10,0.112,0.1012,0.1826
10,0.0224,0.0084,0.0348
10,0.3244,0.1396,0.291
10,0.3204,0.2442,0.3464
10,0.4062,0.029,0.6314
10,0.3186,0.719,0.059
10,0.1586,0.2282,0.0756
10,0.8854,0.953,0.4688
10,0.1572,0.0122,0.169
10,0.8584,0.989,0.279
10,0.9656,0.994,0.504
10,0.0544,0.0384,0.0616
10,0.9874,0.9986,0.6354
10,0.7514,0.8676,0.3774
10,0.718,0.4848,0.6006
10,0.6592,0.9766,0.0736
10,0.7982,0.6676,0.768
10,0.0718,0.0424,0.0808
10,0.2966,0.0192,0.428
10,0.3074,0.0144,0.398
10,0.0668,0.022,0.142
10,0.0956,0.3186,0.0494
10,0.5232,0.6304,0.3954
10,0.508,0.7228,0.2128
10,0.0378,0.1244,0.0304
10,0.9536,0.9956,0.4608
10,0.2988,0.1126,0.3052
10,0.9698,0.9966,0.442
10,0.2096,0.1724,0.1974
10,0.9982,0.9992,0.8808
10,0.1906,0.1326,0.2516
10,0.436,0.6292,0.195
10,0.6862,0.911,0.1296
10,0.4094,0.672,0.2544
10,0.4404,0.8152,0.0852
10,0.7468,0.8132,0.5154
10,0.4188,0.3762,0.3558
10,0.949,0.9978,0.4984
10,0.2746,0.0196,0.4782
