"SNR","outMy","outGt","outEp"
0,0.05,0.0462,0.0364
0,0.0522,0.0466,0.0364
0,0.0502,0.0498,0.0404
0,0.056,0.0504,0.0316
0,0.0498,0.0496,0.0376
0,0.0516,0.0544,0.0354
0,0.054,0.0492,0.0346
0,0.0498,0.0502,0.0338
0,0.053,0.0514,0.0364
0,0.0476,0.049,0.0348
0,0.0484,0.053,0.035
0,0.051,0.0474,0.0356
0,0.0512,0.0564,0.0354
0,0.054,0.0528,0.0364
0,0.055,0.0514,0.0398
0,0.0498,0.047,0.0364
0,0.0558,0.0488,0.0382
0,0.054,0.0572,0.0388
0,0.053,0.0512,0.0332
0,0.0482,0.0468,0.034
0,0.0552,0.0526,0.0382
0,0.0508,0.0528,0.0366
0,0.0514,0.051,0.0386
0,0.0516,0.0518,0.0376
0,0.0526,0.0488,0.032
0,0.0474,0.0494,0.0332
0,0.0578,0.0472,0.0368
0,0.0534,0.0488,0.0368
0,0.0514,0.0508,0.0368
0,0.0526,0.0528,0.0418
0,0.0522,0.0532,0.0358
0,0.0548,0.051,0.0348
0,0.0524,0.0522,0.0376
0,0.0516,0.0498,0.0376
0,0.053,0.0506,0.0332
0,0.0488,0.0506,0.0356
0,0.0484,0.0508,0.0342
0,0.053,0.0528,0.036
0,0.0456,0.0464,0.0308
0,0.0528,0.05,0.038
0,0.0528,0.0534,0.041
0,0.0496,0.0514,0.0334
0,0.0538,0.0518,0.0318
0,0.0468,0.0448,0.036
0,0.0516,0.0508,0.0336
0,0.0502,0.0482,0.0346
0,0.0524,0.0518,0.0392
0,0.055,0.0508,0.0344
0,0.0554,0.0506,0.0344
0,0.05,0.047,0.0284
0,0.0624,0.0574,0.0376
0,0.0544,0.052,0.0382
0,0.0548,0.0518,0.0354
0,0.0504,0.0506,0.0382
0,0.0422,0.0436,0.0342
0,0.05,0.0492,0.0378
0,0.0486,0.0524,0.027
0,0.055,0.0568,0.0358
0,0.0548,0.0492,0.0372
0,0.0548,0.0524,0.0364
0,0.0494,0.0518,0.0364
0,0.0552,0.0538,0.0314
0,0.0514,0.0484,0.0388
0,0.0554,0.054,0.0392
0,0.0508,0.0488,0.0372
0,0.052,0.0442,0.0414
0,0.0532,0.0482,0.0414
0,0.0528,0.0526,0.0362
0,0.0546,0.0556,0.0398
0,0.0474,0.048,0.0366
0,0.0486,0.0484,0.0336
0,0.0486,0.046,0.0364
0,0.053,0.0506,0.0352
0,0.056,0.0528,0.038
0,0.0516,0.048,0.0368
0,0.051,0.0546,0.041
0,0.0562,0.0484,0.0368
0,0.0508,0.0524,0.0356
0,0.0492,0.0458,0.038
0,0.054,0.0494,0.0354
0,0.0544,0.0528,0.0358
0,0.0594,0.0522,0.0398
0,0.0556,0.0522,0.038
0,0.059,0.0542,0.0402
0,0.0516,0.051,0.0346
0,0.0488,0.0458,0.0354
0,0.0514,0.0472,0.0336
0,0.0514,0.0512,0.0356
0,0.051,0.0456,0.0376
0,0.0524,0.0512,0.0368
0,0.0476,0.044,0.0282
0,0.0534,0.0528,0.0338
0,0.0554,0.0526,0.0314
0,0.0498,0.0482,0.0326
0,0.0506,0.0484,0.0374
0,0.0528,0.05,0.0382
0,0.0488,0.0494,0.032
0,0.0484,0.0484,0.0344
0,0.052,0.0482,0.0302
0,0.0578,0.054,0.0402
10,0.6668,0.3718,0.864
10,0.9884,0.998,0.9816
10,0.6732,0.899,0.4774
10,0.7988,0.861,0.825
10,0.118,0.014,0.4678
10,0.6144,0.9704,0.4832
10,0.4196,0.6248,0.3858
