"SNR","outMy","outGt","outEp"
0,0.0616,0.048,0.0358
0,0.0564,0.051,0.0302
0,0.0576,0.053,0.0332
0,0.0602,0.051,0.0334
0,0.056,0.049,0.0344
0,0.0586,0.0506,0.0362
0,0.0588,0.0486,0.0376
0,0.0526,0.0446,0.0336
0,0.0638,0.0528,0.036
0,0.0552,0.0514,0.029
0,0.0608,0.0476,0.0392
0,0.056,0.0492,0.0372
0,0.057,0.0494,0.034
0,0.0554,0.046,0.034
0,0.0532,0.048,0.0316
0,0.0626,0.047,0.0344
0,0.0578,0.0482,0.0302
0,0.0588,0.0488,0.0356
0,0.0582,0.0502,0.0346
0,0.058,0.046,0.0358
0,0.0572,0.0458,0.0338
0,0.0644,0.0502,0.0382
0,0.057,0.0526,0.0326
0,0.0588,0.0548,0.031
0,0.0602,0.0514,0.0356
0,0.0628,0.0542,0.0324
0,0.0588,0.048,0.034
0,0.0592,0.049,0.032
0,0.06,0.052,0.0414
0,0.057,0.0462,0.0308
0,0.059,0.055,0.0318
0,0.0546,0.0454,0.0322
0,0.0524,0.0464,0.0368
0,0.06,0.0522,0.0364
0,0.0622,0.0506,0.0314
0,0.0638,0.0478,0.035
0,0.0558,0.0468,0.0376
0,0.056,0.048,0.0372
0,0.0572,0.05,0.0308
0,0.0536,0.047,0.033
0,0.0612,0.0506,0.0362
0,0.0568,0.047,0.034
0,0.0546,0.0456,0.0326
0,0.0606,0.0496,0.0374
0,0.06,0.051,0.0336
0,0.0636,0.0548,0.0348
0,0.059,0.0526,0.0324
0,0.062,0.0506,0.0348
0,0.0606,0.053,0.0382
0,0.057,0.0522,0.0324
0,0.0574,0.0462,0.0358
0,0.0624,0.0554,0.0302
0,0.06,0.0508,0.0332
0,0.063,0.0534,0.0344
0,0.0618,0.048,0.036
0,0.0614,0.0518,0.032
0,0.0564,0.048,0.0376
0,0.0576,0.047,0.0314
0,0.0528,0.0462,0.0314
0,0.054,0.0514,0.034
0,0.0616,0.0516,0.033
0,0.0606,0.0542,0.0372
0,0.055,0.0532,0.0334
0,0.061,0.0496,0.0356
