"SNR","outMy","outGt","outEp"
0,0.048,0.0478,0.043
0,0.0562,0.056,0.048
0,0.0574,0.0534,0.0406
0,0.052,0.0524,0.0432
0,0.05,0.0516,0.0462
0,0.0494,0.0496,0.0418
0,0.0542,0.0528,0.041
0,0.05,0.0486,0.038
0,0.0562,0.056,0.0484
0,0.0508,0.0498,0.0458
0,0.051,0.0504,0.044
0,0.0528,0.053,0.0432
0,0.0572,0.0556,0.045
0,0.0528,0.0498,0.0436
0,0.0482,0.05,0.0396
0,0.0534,0.0504,0.0446
0,0.056,0.0544,0.0434
0,0.0508,0.0496,0.0486
0,0.0528,0.0526,0.0456
0,0.0496,0.0508,0.0404
0,0.0514,0.0516,0.0426
0,0.0608,0.0602,0.0452
0,0.0466,0.0448,0.0382
0,0.0474,0.0494,0.0434
0,0.0552,0.0548,0.0442
0,0.0504,0.052,0.0392
0,0.0498,0.0502,0.0406
0,0.0452,0.0432,0.0388
0,0.0464,0.045,0.041
0,0.0518,0.0496,0.0404
0,0.0456,0.0478,0.0418
0,0.0496,0.05,0.0446
0,0.045,0.046,0.0418
0,0.0548,0.0548,0.0436
0,0.054,0.05,0.0422
0,0.0524,0.0518,0.0464
0,0.049,0.0456,0.0432
0,0.048,0.0474,0.0364
0,0.0516,0.05,0.0402
0,0.0488,0.0438,0.0418
0,0.0538,0.0496,0.0436
0,0.0534,0.0512,0.0458
0,0.0514,0.0492,0.0468
0,0.0572,0.0564,0.0462
0,0.0528,0.0502,0.0474
0,0.0526,0.0526,0.0448
0,0.0498,0.049,0.0416
0,0.0562,0.0554,0.041
0,0.0486,0.0476,0.0408
0,0.0484,0.047,0.0392
0,0.0478,0.0502,0.0432
0,0.053,0.0522,0.042
0,0.0502,0.0484,0.0382
0,0.0548,0.0512,0.0402
0,0.0502,0.051,0.038
0,0.044,0.0476,0.042
0,0.0496,0.0518,0.0372
0,0.0508,0.0512,0.0452
0,0.052,0.0482,0.0404
0,0.0528,0.0512,0.046
0,0.0464,0.0476,0.0384
0,0.0494,0.0496,0.0448
0,0.0494,0.047,0.0428
0,0.0524,0.0504,0.0406
0,0.049,0.0508,0.0404
0,0.0524,0.0528,0.0472
0,0.049,0.0482,0.0428
0,0.0548,0.0512,0.047
0,0.0596,0.0584,0.0438
0,0.0508,0.0488,0.0428
0,0.0498,0.0468,0.0394
0,0.0526,0.052,0.0382
0,0.0476,0.0482,0.0416
0,0.0526,0.051,0.0396
0,0.0514,0.0518,0.0448
0,0.0454,0.044,0.0406
0,0.0446,0.0438,0.0416
0,0.0502,0.0502,0.0466
0,0.056,0.0532,0.0412
0,0.0496,0.046,0.0416
0,0.0482,0.0506,0.0416
0,0.0538,0.0528,0.0456
0,0.057,0.0534,0.047
0,0.0504,0.0502,0.0398
0,0.0518,0.0508,0.0454
0,0.0518,0.0512,0.0406
0,0.0594,0.058,0.0488
0,0.053,0.0528,0.0442
0,0.051,0.0496,0.0394
0,0.05,0.052,0.0434
0,0.0492,0.0464,0.0394
0,0.048,0.049,0.0462
0,0.0488,0.047,0.0384
0,0.047,0.0456,0.0392
0,0.0546,0.0542,0.0424
0,0.0528,0.0526,0.0426
0,0.0504,0.0526,0.0382
0,0.054,0.0518,0.0398
0,0.0474,0.0458,0.0412
0,0.0492,0.0502,0.0406
10,0,0,0.0096
10,0.008,0.0148,0.0032
10,0.0346,0.0082,0.0036
10,0.387,0.4796,0.5586
10,6e-04,2e-04,0.009
10,0.0116,0.0162,0.0714
10,0.6382,0.3928,0.2998
10,0.9744,0.9904,0.9964
10,0.9894,0.9862,0.982
10,0.0014,0.0014,0.0028
10,0,2e-04,0
10,0,0,0
10,0.293,0.291,0.9974
10,0.034,0.044,0.144
10,0.2888,0.2774,0.0394
10,0,0,0.0016
10,0.022,0.0278,0.0024
10,0.148,0.3046,0.0928
10,2e-04,0,0
10,0.092,0.1204,0.5214
10,8e-04,2e-04,0.005
10,0.0172,0.0056,0.0408
10,0.2012,0.193,8e-04
10,0.0818,0.0174,0.0036
10,0.0752,0.103,0.1406
10,0,0,0.0154
10,0.1692,0.1436,0.0218
10,0.0846,0.085,0.0362
10,0.7688,0.8552,0.8974
10,0.0076,0.004,0.0042
10,0.0046,0.0024,0.0016
10,0.0214,0.0052,0.365
10,0.0388,0.011,0.075
10,0.0602,0.0498,0.5034
10,0,0,0
10,0,0,0
10,0,0,6e-04
10,0.0054,8e-04,0.0042
10,2e-04,0,0.0212
10,0.3666,0.2544,0.629
10,0.2942,0.3964,0.2412
10,0.0056,0.0024,0.0338
10,6e-04,4e-04,0
10,0.0038,0.0044,0.7806
