"SNR","outMy","outGt","outEp"
0,0.055,0.0485,0.0325
0,0.055,0.055,0.038
0,0.0585,0.047,0.031
0,0.058,0.048,0.0305
0,0.054,0.0455,0.0315
0,0.057,0.056,0.0295
0,0.059,0.0495,0.0335
0,0.0505,0.0515,0.034
0,0.0605,0.058,0.0375
0,0.051,0.049,0.0345
0,0.055,0.0405,0.0315
0,0.059,0.0565,0.0415
0,0.058,0.055,0.0365
0,0.0595,0.0555,0.0355
0,0.049,0.0485,0.0355
0,0.0575,0.0605,0.04
0,0.064,0.0525,0.0355
0,0.0485,0.041,0.03
0,0.0545,0.0535,0.0315
0,0.0525,0.0455,0.038
0,0.0615,0.0565,0.0455
0,0.067,0.057,0.039
0,0.0535,0.057,0.0325
0,0.0585,0.0485,0.0365
0,0.0535,0.0495,0.0325
0,0.057,0.0505,0.0345
0,0.0505,0.0445,0.0265
0,0.0565,0.051,0.0335
0,0.053,0.0515,0.036
0,0.052,0.0525,0.0315
0,0.0505,0.0505,0.0335
0,0.0585,0.049,0.0295
0,0.0535,0.0495,0.0315
0,0.0545,0.0445,0.031
0,0.059,0.057,0.036
0,0.0575,0.058,0.0375
0,0.0575,0.053,0.0325
0,0.0535,0.047,0.029
0,0.0525,0.051,0.0335
0,0.065,0.0575,0.039
0,0.048,0.0495,0.0345
0,0.049,0.0495,0.0345
0,0.06,0.0505,0.034
0,0.0475,0.05,0.0325
0,0.0685,0.0555,0.041
0,0.059,0.0515,0.036
0,0.054,0.049,0.032
0,0.059,0.052,0.0335
0,0.0615,0.0515,0.0385
0,0.067,0.053,0.039
0,0.052,0.05,0.033
0,0.0615,0.054,0.0405
0,0.053,0.0485,0.036
0,0.058,0.051,0.034
0,0.0515,0.0475,0.028
0,0.0505,0.046,0.031
0,0.0575,0.05,0.0375
0,0.05,0.0445,0.035
0,0.0755,0.063,0.047
0,0.053,0.056,0.0385
0,0.0535,0.05,0.0305
0,0.056,0.0525,0.033
0,0.048,0.036,0.034
0,0.058,0.051,0.0335
0,0.0625,0.049,0.0345
0,0.0465,0.0435,0.0325
0,0.0575,0.0515,0.0325
0,0.0555,0.048,0.03
0,0.0525,0.044,0.038
0,0.0555,0.0515,0.027
0,0.0475,0.05,0.0365
0,0.0475,0.0425,0.0295
0,0.0545,0.0525,0.0335
0,0.057,0.05,0.0385
0,0.052,0.0455,0.0335
0,0.0415,0.0485,0.0345
0,0.0655,0.0585,0.0365
0,0.047,0.0415,0.0305
0,0.053,0.0525,0.0335
0,0.0575,0.0515,0.038
0,0.058,0.048,0.0365
0,0.0525,0.0485,0.0305
0,0.0555,0.05,0.034
0,0.044,0.0455,0.031
0,0.046,0.044,0.0305
0,0.051,0.0495,0.0325
0,0.0555,0.051,0.0295
0,0.053,0.055,0.036
0,0.0605,0.0535,0.033
0,0.0635,0.051,0.037
0,0.061,0.0505,0.0385
0,0.0555,0.053,0.0365
0,0.0515,0.0445,0.0335
0,0.059,0.0495,0.036
0,0.056,0.0435,0.0345
0,0.0465,0.051,0.036
0,0.049,0.045,0.035
0,0.0515,0.047,0.0335
0,0.0455,0.0435,0.0305
0,0.061,0.053,0.04
10,0.608,0.538,0.371
10,0.2845,0.2155,0.1355
10,0.686,0.8155,0.369
10,0.1035,0.0345,0.106
10,0.873,0.9115,0.439
10,0.16,0.1555,0.0855
10,0.894,0.8645,0.8985
10,0.937,0.9555,0.799
10,0.3235,0.287,0.523
10,0.823,0.723,0.779
10,0.6595,0.3855,0.594
10,0.8335,0.7685,0.87
10,0.574,0.699,0.4305
10,0.8235,0.7935,0.512
10,0.9275,0.9615,0.8315
10,0.259,0.3765,0.097
10,0.117,0.1135,0.238
10,0.8395,0.7935,0.681
10,0.899,0.9425,0.735
10,0.7445,0.743,0.488
10,0.587,0.4355,0.498
10,0.9385,0.9765,0.788
10,0.8815,0.8455,0.826
10,0.422,0.379,0.563
10,0.522,0.07,0.6545
10,0.571,0.36,0.489
10,0.3515,0.3005,0.1915
10,0.479,0.312,0.447
10,0.7715,0.567,0.825
10,0.375,0.186,0.4105
10,0.916,0.978,0.5095
10,0.8135,0.867,0.5895
10,0.942,0.97,0.727
10,0.3815,0.423,0.41
10,0.5,0.3375,0.2645
10,0.952,0.9685,0.795
10,0.749,0.4675,0.635
10,0.9125,0.9575,0.9135
10,0.436,0.335,0.4525
10,0.704,0.696,0.455
10,0.7405,0.644,0.778
10,0.982,0.9855,0.8245
10,0.9675,0.9775,0.7965
