"SNR","outMy","outGt","outEp"
0,0.052,0.051,0.0305
0,0.0545,0.0545,0.0305
0,0.059,0.048,0.031
0,0.0615,0.05,0.0455
0,0.061,0.0505,0.0325
0,0.043,0.04,0.028
0,0.0595,0.051,0.0315
0,0.051,0.045,0.0325
0,0.055,0.044,0.029
0,0.058,0.053,0.036
0,0.063,0.0555,0.0405
0,0.05,0.05,0.028
0,0.051,0.0545,0.0275
0,0.0545,0.0515,0.038
0,0.057,0.0455,0.036
0,0.0505,0.0445,0.027
0,0.055,0.0505,0.037
0,0.0625,0.056,0.0365
0,0.054,0.045,0.0305
0,0.0615,0.057,0.0375
0,0.0555,0.054,0.0335
0,0.065,0.0545,0.039
0,0.051,0.048,0.0265
0,0.061,0.053,0.041
0,0.06,0.0475,0.036
0,0.0465,0.042,0.029
0,0.0515,0.048,0.0295
0,0.065,0.0545,0.043
0,0.067,0.0565,0.034
0,0.064,0.05,0.0405
0,0.056,0.047,0.0305
0,0.054,0.046,0.0345
0,0.058,0.054,0.037
0,0.0575,0.0505,0.0325
0,0.0545,0.0485,0.028
0,0.0535,0.0465,0.0325
0,0.062,0.05,0.041
0,0.0565,0.049,0.0345
0,0.056,0.047,0.0355
0,0.055,0.0445,0.0305
0,0.059,0.042,0.032
0,0.0555,0.052,0.0315
0,0.0565,0.046,0.036
0,0.06,0.054,0.038
0,0.0555,0.048,0.038
0,0.0535,0.048,0.0285
0,0.059,0.0485,0.0375
0,0.062,0.053,0.033
0,0.047,0.0445,0.029
0,0.0515,0.042,0.0325
0,0.0555,0.049,0.0335
0,0.0565,0.0555,0.035
0,0.0525,0.0455,0.034
0,0.0545,0.047,0.029
0,0.059,0.05,0.041
0,0.061,0.0505,0.0355
0,0.053,0.0525,0.038
0,0.0575,0.05,0.0325
0,0.065,0.053,0.039
0,0.057,0.048,0.0335
0,0.061,0.05,0.0325
0,0.0515,0.048,0.0285
0,0.0655,0.0535,0.0385
0,0.057,0.0465,0.032
0,0.0585,0.056,0.0315
0,0.068,0.053,0.0385
0,0.0545,0.0505,0.0335
0,0.0635,0.0525,0.0345
0,0.059,0.046,0.035
0,0.048,0.0435,0.0335
0,0.0515,0.045,0.0325
0,0.063,0.056,0.0305
0,0.0545,0.0445,0.033
0,0.0565,0.051,0.039
0,0.057,0.0495,0.032
0,0.06,0.047,0.0395
0,0.062,0.049,0.0385
0,0.0545,0.048,0.036
0,0.06,0.052,0.036
0,0.069,0.052,0.0365
0,0.0515,0.045,0.0365
0,0.0505,0.0515,0.0335
0,0.0575,0.051,0.0365
0,0.054,0.052,0.0315
0,0.0555,0.047,0.041
0,0.0615,0.0515,0.0335
0,0.0585,0.049,0.035
0,0.065,0.057,0.039
0,0.063,0.0495,0.0305
0,0.061,0.0565,0.033
0,0.0565,0.052,0.035
0,0.0555,0.0525,0.0415
0,0.071,0.056,0.032
0,0.053,0.056,0.0385
0,0.0555,0.052,0.0355
0,0.0605,0.0525,0.0345
0,0.061,0.0515,0.039
0,0.0565,0.054,0.035
0,0.058,0.05,0.032
0,0.051,0.0505,0.0265
10,0.967,0.971,0.833
10,0.5685,0.6675,0.4445
10,0.489,0.5325,0.239
10,0.549,0.495,0.6125
10,0.776,0.7255,0.614
10,0.9485,0.7665,0.952
10,0.4635,0.374,0.445
10,0.678,0.6,0.7005
10,0.745,0.5135,0.7395
10,0.273,0.029,0.195
10,0.511,0.497,0.4965
10,0.9005,0.8715,0.8515
10,0.7245,0.508,0.55
10,0.6645,0.26,0.6785
10,0.94,0.97,0.7165
10,0.3645,0.289,0.498
10,0.825,0.8115,0.6425
10,0.582,0.137,0.688
10,0.158,0.1405,0.282
10,0.7255,0.783,0.42
10,0.857,0.878,0.41
10,0.4385,0.335,0.4515
10,0.7465,0.6965,0.674
10,0.294,0.3165,0.165
10,0.936,0.891,0.854
10,0.9265,0.8335,0.7665
10,0.6045,0.5695,0.4595
10,0.9675,0.94,0.872
10,0.571,0.656,0.181
10,0.798,0.7725,0.729
10,0.2795,0.1075,0.1705
10,0.9055,0.8795,0.9035
10,0.7425,0.5815,0.754
10,0.8975,0.8885,0.903
10,0.2,0.04,0.27
10,0.6045,0.6595,0.423
10,0.9155,0.785,0.8305
10,0.948,0.948,0.757
10,0.606,0.5385,0.3785
10,0.5005,0.397,0.6975
10,0.194,0.274,0.0565
10,0.6535,0.634,0.441
10,0.9295,0.9595,0.6395
10,0.9895,0.996,0.8985
10,0.086,0.0395,0.386
10,0.9415,0.8465,0.926
10,0.731,0.6885,0.59
10,0.9985,0.9955,0.9615
10,0.227,0.3545,0.3605
10,0.6005,0.478,0.6015
10,0.8455,0.709,0.412
10,0.8875,0.6725,0.895
10,0.849,0.7905,0.6315
10,0.7185,0.2685,0.8195
10,0.648,0.5415,0.6385
10,0.546,0.3505,0.381
10,0.7985,0.7495,0.696
10,0.8285,0.7515,0.849
10,0.592,0.49,0.442
10,0.484,0.215,0.4515
10,0.7615,0.6025,0.786
10,0.9365,0.973,0.5835
10,0.381,0.208,0.5975
10,0.872,0.907,0.8205
10,0.986,0.9655,0.901
10,0.9185,0.912,0.8635
10,0.9995,0.9975,0.9745
10,0.8645,0.9255,0.505
10,0.051,0.1425,0.0135
10,0.7845,0.856,0.3985
10,0.998,1,0.953
10,0.851,0.8415,0.8085
10,0.701,0.5155,0.854
10,0.2525,0.252,0.183
10,0.7745,0.719,0.586
10,0.0365,0.005,0.1975
10,0.8245,0.824,0.57
10,0.869,0.943,0.5565
10,0.0815,0.062,0.0185
10,0.158,0.103,0.292
10,0.41,0.1935,0.2015
10,0.831,0.695,0.626
10,0.83,0.834,0.7105
10,0.684,0.6345,0.6195
10,0.923,0.9325,0.6255
10,0.557,0.414,0.5885
10,0.6505,0.5965,0.6085
10,0.1605,0.265,0.0245
10,0.9735,0.9875,0.7965
10,0.807,0.811,0.57
10,0.632,0.344,0.765
10,0.8905,0.761,0.884
10,0.844,0.9015,0.5685
10,0.3375,0.329,0.225
10,0.3435,0.2905,0.1275
10,0.9335,0.97,0.889
10,0.6625,0.619,0.3205
10,0.547,0.6585,0.545
10,0.9955,0.991,0.9485
10,0.1415,0.1845,0.0405
20,0.5495,0.6215,0.692
20,0.3425,0.234,0.2245
20,0.98,0.999,0.7965
20,0.572,0.786,0.42
20,0.999,0.9995,0.9735
20,0.993,0.8595,0.9975
20,0.906,0.924,0.741
20,0.5635,0.103,0.8175
20,0.9865,0.9935,0.755
20,0.2005,0.282,0.1295
20,0.9995,0.9995,0.988
20,0.1885,0.0125,0.2235
20,0.9945,0.991,0.975
20,0.91,0.974,0.54
20,0.986,0.9935,0.92
20,0.095,0.0375,0.253
20,0.916,0.6955,0.9705
20,0.876,0.858,0.783
20,0.999,0.999,0.995
20,0.7815,0.3415,0.6295
20,0.8335,0.3365,0.3545
20,0.9645,0.881,0.935
20,0.995,0.996,0.9705
20,0.7655,0.2705,0.78
20,0.87,0.7175,0.9485
20,0.9975,0.9975,0.986
20,0.375,0.4865,0.069
20,0.933,0.97,0.775
20,0.99,0.993,0.9785
20,0.9605,0.966,0.9875
20,0.991,0.9955,0.839
20,0.974,0.995,0.9055
20,0.9925,0.943,0.957
20,0.971,0.435,0.8585
20,0.1705,0.0785,0.518
20,0.3095,0.256,0.2825
20,0.603,0.2755,0.7225
20,0.9725,0.993,0.9535
20,0.843,0.7075,0.844
20,0.9615,0.789,0.9235
