"SNR","outMy","outGt","outEp"
0,0.057,0.0425,0.04
0,0.0575,0.049,0.0335
0,0.051,0.04,0.027
0,0.0585,0.048,0.031
0,0.061,0.0505,0.0325
0,0.0535,0.054,0.037
0,0.0655,0.059,0.0395
0,0.0545,0.0435,0.0315
0,0.062,0.0505,0.036
0,0.052,0.0485,0.027
0,0.0635,0.0535,0.0345
0,0.059,0.053,0.038
0,0.0635,0.053,0.037
0,0.054,0.0475,0.0285
0,0.0605,0.0505,0.032
0,0.048,0.046,0.034
0,0.0515,0.0525,0.03
0,0.066,0.057,0.04
0,0.0525,0.0445,0.0335
0,0.0615,0.0545,0.0365
0,0.0665,0.054,0.039
0,0.0585,0.056,0.0385
0,0.0565,0.052,0.0345
0,0.055,0.0445,0.033
0,0.052,0.047,0.0345
0,0.055,0.0515,0.0305
0,0.0525,0.046,0.03
0,0.061,0.0505,0.036
0,0.054,0.0435,0.0355
0,0.0615,0.05,0.0335
0,0.0565,0.0475,0.038
0,0.06,0.0505,0.0375
0,0.06,0.0545,0.036
0,0.057,0.05,0.04
0,0.061,0.0575,0.0345
0,0.054,0.05,0.032
0,0.055,0.044,0.0325
0,0.0515,0.046,0.032
0,0.061,0.0535,0.033
0,0.0615,0.054,0.0335
0,0.0635,0.0515,0.0355
0,0.06,0.047,0.0315
0,0.058,0.048,0.0325
0,0.064,0.056,0.0385
0,0.0625,0.057,0.0285
0,0.054,0.042,0.031
0,0.058,0.0465,0.041
0,0.0565,0.044,0.0285
0,0.071,0.06,0.0395
0,0.068,0.0595,0.0445
0,0.0635,0.0565,0.0425
0,0.0645,0.0565,0.0355
0,0.058,0.051,0.0295
0,0.059,0.049,0.038
0,0.063,0.057,0.033
0,0.0515,0.0465,0.0355
0,0.058,0.053,0.035
0,0.0595,0.0555,0.0335
0,0.055,0.051,0.0325
0,0.056,0.038,0.0305
0,0.067,0.058,0.0355
0,0.057,0.0525,0.0375
0,0.061,0.046,0.0385
0,0.054,0.0495,0.0285
0,0.0585,0.052,0.034
0,0.061,0.05,0.037
0,0.0515,0.0505,0.0385
0,0.062,0.0585,0.0355
0,0.0565,0.048,0.0355
0,0.059,0.0475,0.036
0,0.0525,0.043,0.035
0,0.062,0.0515,0.043
0,0.0605,0.053,0.038
0,0.0715,0.06,0.0435
0,0.064,0.055,0.026
0,0.061,0.0515,0.0325
0,0.0555,0.048,0.032
0,0.07,0.061,0.045
0,0.0645,0.0515,0.035
0,0.0575,0.0555,0.037
0,0.058,0.05,0.038
0,0.06,0.0515,0.034
0,0.069,0.055,0.037
0,0.0595,0.0535,0.031
0,0.058,0.048,0.029
0,0.058,0.049,0.033
0,0.062,0.0515,0.0345
0,0.0575,0.056,0.038
0,0.066,0.0595,0.042
0,0.0535,0.0485,0.0395
0,0.0555,0.0505,0.0305
0,0.0485,0.045,0.033
0,0.0635,0.0575,0.039
0,0.057,0.0535,0.03
0,0.056,0.0535,0.034
0,0.0565,0.05,0.035
0,0.07,0.0585,0.039
0,0.0565,0.05,0.035
0,0.0605,0.0555,0.04
0,0.0535,0.0455,0.0325
10,0.38,0.403,0.2065
10,0.992,0.995,0.9475
