"SNR","outMy","outGt","outEp"
0,0.053,0.0515,0.03
0,0.0485,0.0485,0.0275
0,0.0525,0.053,0.0215
0,0.0405,0.0385,0.028
0,0.04,0.041,0.0265
0,0.0405,0.04,0.03
0,0.0505,0.0535,0.031
0,0.039,0.047,0.02
0,0.042,0.0475,0.026
0,0.05,0.056,0.026
0,0.044,0.051,0.028
0,0.04,0.044,0.0215
0,0.047,0.056,0.028
0,0.0445,0.0525,0.032
0,0.04,0.0405,0.0205
0,0.039,0.04,0.022
0,0.047,0.05,0.025
0,0.0485,0.051,0.0245
0,0.0475,0.0535,0.022
0,0.054,0.0535,0.03
0,0.0495,0.0545,0.029
0,0.052,0.055,0.032
0,0.042,0.043,0.029
0,0.0505,0.0515,0.0315
0,0.047,0.048,0.027
0,0.0445,0.0475,0.0325
0,0.044,0.047,0.0275
0,0.052,0.0565,0.0275
0,0.048,0.05,0.0275
0,0.0445,0.048,0.024
0,0.052,0.056,0.032
0,0.046,0.0505,0.026
0,0.05,0.0495,0.0285
0,0.048,0.0505,0.027
0,0.0495,0.05,0.034
0,0.05,0.0505,0.026
0,0.0495,0.0555,0.0325
0,0.044,0.047,0.0275
0,0.04,0.041,0.0305
0,0.0405,0.0515,0.0235
0,0.057,0.0575,0.029
0,0.0485,0.0545,0.0275
0,0.043,0.045,0.0255
0,0.045,0.0525,0.027
0,0.043,0.0415,0.023
0,0.0495,0.0545,0.028
0,0.0425,0.0475,0.022
0,0.049,0.05,0.0335
0,0.0405,0.048,0.024
0,0.0485,0.0505,0.0245
0,0.0435,0.043,0.0245
0,0.0375,0.0425,0.025
0,0.0485,0.053,0.024
0,0.045,0.0565,0.027
0,0.038,0.048,0.024
0,0.05,0.0515,0.023
0,0.0405,0.0395,0.0275
0,0.045,0.0455,0.026
0,0.048,0.051,0.028
0,0.0425,0.0555,0.027
0,0.049,0.0515,0.031
0,0.0505,0.0545,0.0225
0,0.0515,0.055,0.0235
0,0.045,0.0445,0.025
0,0.049,0.052,0.03
0,0.0555,0.06,0.031
0,0.0505,0.052,0.025
0,0.05,0.0535,0.028
0,0.049,0.053,0.025
0,0.042,0.041,0.02
0,0.054,0.046,0.03
0,0.0465,0.047,0.0275
0,0.048,0.0465,0.0245
0,0.0545,0.056,0.027
0,0.0435,0.0445,0.029
0,0.049,0.054,0.035
0,0.0375,0.0445,0.0295
0,0.056,0.0485,0.0375
0,0.0475,0.0505,0.025
0,0.041,0.048,0.0245
0,0.054,0.05,0.0395
0,0.039,0.043,0.0265
0,0.0525,0.0555,0.027
0,0.0465,0.048,0.025
0,0.0455,0.0525,0.0275
0,0.0465,0.0605,0.0305
0,0.0575,0.0605,0.0255
0,0.0375,0.042,0.0195
0,0.05,0.06,0.0265
0,0.0565,0.0555,0.0285
0,0.043,0.047,0.024
0,0.0425,0.0475,0.0265
0,0.049,0.0535,0.0235
0,0.051,0.0635,0.0325
0,0.038,0.0415,0.021
0,0.0535,0.052,0.021
0,0.043,0.053,0.02
0,0.0435,0.05,0.021
0,0.053,0.0535,0.0335
0,0.0545,0.0425,0.0265
10,0.053,0.1115,0.024
10,0.063,0.099,0.005
10,5e-04,0,0
10,0,0,0
10,0.0825,5e-04,0.305
10,0.8705,0.9225,0.7645
10,0.0105,0.009,0.151
10,0,0,0.0285
10,0.2995,0.171,0.193
