"SNR","outMy","outGt","outEp"
0,0.0522,0.0538,0.044
0,0.044,0.0514,0.0462
0,0.0428,0.048,0.0422
0,0.046,0.0504,0.0442
0,0.0502,0.0586,0.0456
0,0.0488,0.053,0.0442
0,0.0458,0.055,0.0414
0,0.052,0.0514,0.048
0,0.0438,0.0538,0.0422
0,0.0434,0.0456,0.0476
0,0.0484,0.0552,0.0436
0,0.0418,0.044,0.0478
0,0.0454,0.0534,0.0394
0,0.0448,0.0498,0.0422
0,0.046,0.051,0.0454
0,0.0486,0.0526,0.041
0,0.0466,0.052,0.0458
0,0.0474,0.053,0.0408
0,0.0468,0.0518,0.0406
0,0.0412,0.0446,0.0416
0,0.0452,0.0526,0.0396
0,0.0492,0.0526,0.0488
0,0.0478,0.0522,0.0418
0,0.0438,0.055,0.0416
0,0.0458,0.0528,0.039
0,0.046,0.0494,0.0406
0,0.0448,0.0446,0.0456
0,0.0446,0.055,0.0424
0,0.043,0.0484,0.0416
0,0.0486,0.0554,0.042
0,0.0448,0.0484,0.0414
0,0.044,0.0518,0.0458
0,0.0422,0.0514,0.0434
0,0.0416,0.046,0.0396
0,0.0452,0.0432,0.0426
0,0.05,0.0518,0.0446
0,0.0428,0.0506,0.0424
0,0.0462,0.0542,0.041
0,0.0462,0.0456,0.0456
0,0.0418,0.0462,0.045
0,0.0416,0.044,0.0404
0,0.0446,0.0508,0.0408
0,0.0492,0.055,0.0424
0,0.0412,0.045,0.0444
0,0.0464,0.0514,0.0428
0,0.0432,0.0546,0.039
0,0.0424,0.0498,0.0432
0,0.0494,0.0492,0.0432
0,0.0426,0.0482,0.0442
0,0.0452,0.0552,0.0426
0,0.0502,0.0532,0.0466
0,0.043,0.0476,0.0412
0,0.0432,0.0472,0.0448
0,0.0466,0.0448,0.0418
0,0.0472,0.0496,0.0434
0,0.0432,0.0516,0.0406
0,0.0402,0.0466,0.0426
0,0.0418,0.0466,0.046
0,0.0464,0.0514,0.0432
0,0.0442,0.045,0.0428
0,0.0444,0.0528,0.0432
0,0.0478,0.0514,0.046
0,0.0432,0.0522,0.0426
0,0.0464,0.0524,0.0466
0,0.043,0.0498,0.0414
0,0.0394,0.0492,0.0386
0,0.0476,0.0454,0.0478
0,0.044,0.048,0.042
0,0.0456,0.049,0.0448
0,0.041,0.05,0.0422
0,0.0448,0.0534,0.0418
0,0.0414,0.0518,0.0374
0,0.0468,0.0518,0.0376
0,0.045,0.0532,0.0458
0,0.0416,0.05,0.0396
0,0.0402,0.0522,0.042
0,0.0444,0.0448,0.043
0,0.04,0.0476,0.0418
