"SNR","outMy","outGt","outEp"
0,0.045,0.085,0.04
0,0.02,0.025,0.02
0,0.025,0.065,0.04
0,0.03,0.035,0.05
0,0.05,0.07,0.025
0,0.075,0.085,0.06
0,0.035,0.02,0.06
0,0.04,0.045,0.015
0,0.07,0.045,0.05
0,0.02,0.035,0.035
0,0.065,0.065,0.03
0,0.075,0.03,0.035
0,0.04,0.035,0.03
0,0.035,0.035,0.04
0,0.05,0.055,0.035
0,0.045,0.04,0.035
0,0.02,0.05,0.015
0,0.06,0.065,0.03
0,0.02,0.055,0.04
0,0.06,0.03,0.065
0,0.045,0.045,0.05
0,0.055,0.06,0.02
0,0.06,0.05,0.025
0,0.075,0.06,0.06
0,0.075,0.05,0.04
0,0.065,0.03,0.05
0,0.035,0.045,0.02
0,0.04,0.05,0.02
0,0.035,0.065,0.015
0,0.06,0.095,0.04
0,0.06,0.06,0.035
0,0.085,0.07,0.05
0,0.055,0.035,0.035
0,0.025,0.045,0.03
0,0.06,0.055,0.035
0,0.015,0.035,0.04
0,0.03,0.05,0.03
0,0.05,0.07,0.045
0,0.065,0.04,0.035
0,0.06,0.075,0.035
0,0.03,0.045,0.035
0,0.04,0.03,0.04
0,0.045,0.08,0.025
0,0.03,0.055,0.02
0,0.025,0.035,0.035
0,0.06,0.06,0.035
0,0.03,0.06,0.03
0,0.06,0.05,0.025
0,0.055,0.075,0.015
0,0.065,0.055,0.035
0,0.02,0.04,0.045
0,0.045,0.03,0.04
0,0.04,0.015,0.045
0,0.045,0.035,0.06
0,0.015,0.08,0.035
0,0.065,0.045,0.07
0,0.05,0.07,0.04
0,0.05,0.055,0.03
0,0.04,0.04,0.055
0,0.035,0.04,0.02
0,0.065,0.045,0.025
0,0.045,0.065,0.04
0,0.04,0.02,0.05
0,0.055,0.045,0.06
0,0.07,0.055,0.04
0,0.06,0.025,0.04
0,0.065,0.055,0.04
0,0.075,0.07,0.05
0,0.07,0.065,0.015
0,0.06,0.045,0.025
0,0.035,0.06,0.05
0,0.035,0.04,0.045
0,0.025,0.07,0.035
0,0.045,0.025,0.045
0,0.06,0.085,0.035
0,0.055,0.045,0.035
0,0.025,0.075,0.045
0,0.03,0.035,0.035
0,0.045,0.05,0.025
0,0.04,0.05,0.04
0,0.07,0.05,0.035
0,0.055,0.085,0.055
0,0.045,0.025,0.035
0,0.035,0.02,0.035
0,0.055,0.06,0.05
0,0.065,0.06,0.055
0,0.04,0.06,0.005
0,0.06,0.08,0.055
0,0.03,0.035,0.03
0,0.05,0.07,0.03
0,0.055,0.04,0.045
0,0.055,0.06,0.055
0,0.04,0.04,0.045
0,0.06,0.05,0.04
0,0.035,0.07,0.02
0,0.055,0.025,0.045
0,0.04,0.045,0.02
0,0.05,0.03,0.045
0,0.05,0.035,0.05
0,0.045,0.07,0.015
10,0.165,0.245,0.055
10,0.255,0.025,0.36
10,0.39,0.01,0.275
10,0.675,0.26,0.1
10,0.625,0.005,0.38
10,0.07,0.01,0.205
10,0.355,0.075,0.065
10,0.03,0.03,0.07
10,0.025,0.02,0.03
10,0.39,0.145,0.025
10,0.07,0.02,0.155
10,0.235,0.015,0.095
10,0.11,0.015,0.175
10,0.375,0.005,0.405
10,0.335,0.09,0.15
10,0.13,0.1,0.075
10,0.045,0.015,0.11
10,0.555,0.035,0.22
10,0.105,0.01,0.085
10,0.79,0.195,0.08
10,0.185,0.015,0.105
10,0.855,0.165,0.07
10,0.69,0,0.405
10,0.98,0.51,0.22
10,0.3,0.45,0.095
10,0.055,0,0.12
10,0.9,0.26,0.195
10,0.99,0.375,0.245
10,0.265,0.045,0.205
10,0.395,0.02,0.195
10,0.145,0.1,0.11
10,0.125,0.015,0.08
10,0.3,0.02,0.385
10,0.68,0.01,0.215
10,0.19,0.005,0.17
10,0.095,0.005,0.285
10,0.16,0.085,0.05
10,0.455,0.04,0.205
10,0.765,0.06,0.525
10,0.135,0.05,0.125
10,0.39,0.07,0.16
10,0.865,0.07,0.2
10,0.08,0.015,0.145
10,0.635,0.12,0.335
10,1,0.32,0.205
10,0.045,0,0.125
10,0.255,0.075,0.305
10,0.56,0.06,0.395
10,0.96,0.04,0.315
10,0.13,0.03,0.225
10,0.345,0.25,0.115
10,0.505,0.05,0.095
10,0.1,0.015,0.175
10,0.395,0.065,0.12
10,0.775,0.015,0.605
10,0.835,0.12,0.3
10,0.215,0.01,0.155
10,0.09,0,0.265
10,0.175,0.045,0.3
10,0.045,0.01,0.075
10,0.09,0.21,0.05
10,0.35,0.155,0.145
10,1,0.395,0.095
10,0.54,0.195,0.21
10,0.03,0.005,0.04
10,0.715,0.065,0.21
10,0.98,0.105,0.15
10,0.245,0.005,0.365
10,0.06,0.035,0.06
10,0.07,0.01,0.105
10,0.03,0.01,0.065
10,0.31,0.02,0.15
10,0.425,0.15,0.275
10,0.49,0.045,0.165
10,0.125,0.02,0.22
10,0.99,0.025,0.345
10,0.32,0.195,0.01
10,0.965,0.045,0.45
10,0.365,0.06,0.19
10,0.155,0.11,0.04
10,0.135,0.105,0.105
10,1,0.675,0.03
10,0.52,0.225,0.27
10,0.72,0.09,0.21
10,0.175,0.025,0.21
10,0.09,0,0.285
10,0.315,0.055,0.275
10,0.295,0.17,0.05
10,0.25,0.055,0.375
10,0.385,0.04,0.21
10,0.215,0.12,0.03
10,0.8,0.045,0.165
10,0.16,0.06,0.095
10,0.185,0.005,0.195
10,0.915,0.01,0.37
10,0.25,0.22,0.125
10,0.34,0.04,0.13
10,0.335,0.11,0.465
10,0.17,0,0.275
10,0.245,0.01,0.24
20,0.68,0.08,0.305
20,0.17,0.01,0.145
20,0.18,0.03,0.13
20,0.875,0.035,0.75
20,0.155,0.005,0.305
20,0.945,0.06,0.585
20,0.975,0.005,0.77
20,0.56,0.03,0.355
20,0.83,0.05,0.58
20,0.305,0.025,0.325
20,0.825,0.035,0.6
20,0.87,0,0.35
20,0.62,0.01,0.68
20,0.045,0.045,0.27
20,0.85,0.52,0.3
20,0.735,0.005,0.585
20,0.255,0,0.355
20,0.37,0.32,0.245
20,0.625,0.75,0.29
20,0.895,0.395,0.04
20,0.05,0.005,0.185
20,0.895,0.015,0.21
20,0.175,0.005,0.285
20,0.27,0.005,0.725
20,0.615,0.02,0.325
20,1,0.01,0.615
20,1,0,0.805
20,0.42,0.1,0.325
20,1,0.02,0.76
20,0.54,0.075,0.585
20,0.21,0.08,0.25
20,0.135,0.03,0.44
20,0.24,0,0.71
20,0.02,0.005,0
20,0.74,0.19,0.095
20,0.815,0.005,0.23
20,0.135,0,0.23
20,0.15,0.02,0.13
20,1,0,0.665
20,0.13,0.025,0.165
20,0.725,0.01,0.335
20,0.46,0.05,0.26
20,0.97,0.24,0.425
20,0.795,0.165,0.14
20,0.79,0,0.69
20,0.895,0.005,0.625
20,0.685,0.035,0.39
20,0.485,0.005,0.31
20,0.74,0.03,0.53
20,0.305,0.005,0.475
20,0.56,0.035,0.315
20,1,0,0.575
20,0.4,0.02,0.6
20,0.295,0.195,0.125
20,0.125,0.005,0.675
20,0.82,0,0.155
20,0.59,0.02,0.065
20,0.93,0.01,0.15
20,0.93,0.02,0.06
20,0.185,0.015,0.19
20,0.935,0,0.43
20,0.265,0,0.335
20,0.435,0.09,0.285
20,0.075,0.005,0.16
20,0.125,0.04,0.19
20,0.07,0.005,0.18
20,0.77,0.01,0.075
20,0.245,0,0.365
20,0.685,0.045,0.91
20,0.38,0.055,0.155
20,0.31,0,0.465
20,0.935,0.085,0.515
20,0.985,0,0.185
20,0.975,0.095,0.65
20,0.98,0.18,0.345
20,0.895,0.005,0.785
20,0.34,0.025,0.215
20,0.88,0.01,0.41
20,0.995,0.08,0.855
20,0.985,0.4,0.6
20,0.4,0.465,0.085
20,0.145,0.06,0.38
20,0.005,0,0.09
20,0.4,0,0.625
20,0.28,0,0.41
20,0.235,0,0.17
20,0.94,0.15,0.835
20,0.895,0.075,0.34
20,0.565,0,0.55
20,0.635,0.01,0.94
20,0.23,0.085,0.165
20,1,0.205,0.47
20,0.995,0.005,0.865
20,0.03,0.01,0.02
20,0.505,0.015,0.14
20,0.93,0.085,0.29
20,0.235,0.085,0.115
20,1,0.01,0.905
20,0.1,0.01,0.055
20,0.915,0.01,0.415
30,0.31,0,0.39
30,0.08,0.02,0.13
30,0.73,0.225,0.695
30,1,0.055,0.02
30,0.125,0,0.445
30,0.69,0,0.3
30,0.02,0.04,0.04
30,0.165,0,0.27
30,0.275,0,0.705
30,0.655,0.005,0.12
30,0.82,0,0.98
30,0.95,0.045,0.525
30,0.035,0,0.035
30,0.985,0.25,0.8
30,0.09,0,0.39
30,0.995,0.21,0.09
30,0.075,0,0.3
30,1,0.175,0.375
30,0.58,0.115,0.335
30,0.475,0,0.615
30,0.16,0,0.505
30,0.87,0.055,0.805
30,0.885,0.005,0.77
30,0.885,0,0.1
30,0.92,0.01,0.46
30,0.21,0.01,0.26
30,1,0.01,0.705
30,0.38,0.03,0.005
30,0.895,0.02,0.81
30,0.115,0,0.125
30,0.18,0.01,0.34
30,0.085,0.17,0.075
30,0.035,0,0.04
30,0.65,0.03,0.69
30,0.965,0.655,0.685
30,0.995,0.79,0.92
30,0.67,0,0.5
30,0.01,0,0.025
30,0.99,0.005,0.785
30,0.395,0,0.655
30,1,0,0.32
30,0.68,0.01,0.25
30,0.61,0,0.795
30,0.94,0,0.985
30,0.42,0.13,0.15
30,0.24,0.005,0.68
30,0.915,0.015,0.355
30,0.95,0.005,0.875
30,1,0.08,0.83
30,0.78,0.005,0.715
30,0.975,0.18,0.58
30,0.4,0.005,0.395
30,0.675,0.2,0.05
30,0.68,0,0.755
30,0.075,0,0.24
30,0.99,0.02,0.27
30,0.715,0.465,0.495
30,0.29,0,0.405
30,0.845,0.72,0.77
30,1,0.505,0.505
30,0.965,0.005,0.415
30,0.04,0.01,0.18
30,0.94,0.01,0.505
30,1,0.1,0.755
30,0.965,0.075,0.7
30,0.18,0.005,0.2
30,0.995,0.265,0.695
30,0.115,0.005,0.39
30,0.57,0.36,0.185
30,0.38,0,0.265
30,0.45,0,0.43
30,0.995,0.07,0.66
30,1,0.08,0.765
30,1,0.05,0.945
30,1,0,0.53
30,0.52,0.595,0.085
30,1,0.115,0.785
30,0.975,0.015,0.575
30,0.71,0.02,0.355
30,0.58,0.07,0.615
30,1,0.105,0.71
30,1,0.085,0.615
30,0.665,0,0.175
30,0.45,0,0.67
30,0.525,0.09,0.52
30,0.055,0,0.45
30,0.19,0,0.105
30,0.59,0.005,0.725
30,0.9,0.01,0.915
30,0.71,0.345,0.115
30,1,0.045,0.635
30,0.995,0,0.28
30,1,0.115,0.1
30,0.045,0.015,0.15
30,0.63,0,0.14
30,0.275,0,0.735
30,0.63,0,0.5
30,0.325,0,0.835
30,0.99,0.18,0.79
30,0.995,0,0.44
