"SNR","outMy","outGt","outEp"
0,0.075,0.06,0.02
0,0.025,0.055,0.055
0,0.06,0.065,0.065
0,0.03,0.04,0.06
0,0.035,0.065,0.03
0,0.065,0.045,0.025
0,0.05,0.06,0.065
0,0.045,0.03,0.02
0,0.03,0.035,0.03
0,0.065,0.05,0.045
0,0.045,0.03,0.045
0,0.025,0.04,0.035
0,0.06,0.07,0.03
0,0.055,0.045,0.045
0,0.03,0.025,0.03
0,0.035,0.04,0.05
0,0.025,0.045,0.02
0,0.065,0.03,0.05
0,0.065,0.07,0.015
0,0.06,0.03,0.025
0,0.03,0.02,0.025
0,0.04,0.07,0.025
0,0.03,0.04,0.06
0,0.065,0.05,0.055
0,0.05,0.06,0.03
0,0.025,0.04,0.01
0,0.06,0.06,0.055
0,0.05,0.05,0.035
0,0.08,0.075,0.08
0,0.075,0.065,0.025
0,0.03,0.065,0.035
0,0.06,0.08,0.04
0,0.04,0.045,0.035
0,0.05,0.075,0.025
0,0.065,0.04,0.045
0,0.055,0.045,0.045
0,0.055,0.07,0.035
0,0.04,0.03,0.04
0,0.035,0.03,0.055
0,0.05,0.03,0.04
0,0.05,0.055,0.03
0,0.045,0.045,0.035
0,0.01,0.02,0.03
0,0.07,0.04,0.035
0,0.055,0.06,0.035
0,0.035,0.045,0.035
0,0.055,0.07,0.05
0,0.04,0.075,0.035
0,0.055,0.035,0.03
0,0.06,0.07,0.04
0,0.03,0.065,0.035
0,0.065,0.055,0.05
0,0.025,0.05,0.035
0,0.07,0.055,0.065
0,0.055,0.04,0.04
0,0.05,0.055,0.025
0,0.03,0.04,0.02
0,0.055,0.035,0.025
0,0.065,0.045,0.035
0,0.055,0.085,0.03
0,0.085,0.05,0.045
0,0.075,0.055,0.04
0,0.06,0.05,0.045
0,0.04,0.025,0.055
0,0.06,0.07,0.035
0,0.045,0.05,0.03
0,0.03,0.03,0.05
0,0.06,0.03,0.05
0,0.05,0.06,0.03
0,0.04,0.06,0.04
0,0.035,0.05,0.02
0,0.05,0.035,0.045
0,0.025,0.065,0.04
0,0.045,0.05,0.045
0,0.045,0.045,0.05
0,0.05,0.065,0.035
0,0.095,0.06,0.085
0,0.045,0.035,0.025
0,0.035,0.055,0.045
0,0.07,0.06,0.045
0,0.07,0.05,0.04
0,0.06,0.045,0.06
0,0.06,0.025,0.045
0,0.055,0.015,0.05
0,0.05,0.05,0.03
0,0.03,0.025,0.03
0,0.01,0.05,0.035
0,0.045,0.04,0.025
0,0.04,0.035,0.06
0,0.055,0.08,0.02
0,0.04,0.05,0.035
0,0.04,0.035,0.055
0,0.06,0.05,0.055
0,0.045,0.065,0.04
0,0.035,0.045,0.07
0,0.03,0.05,0.055
0,0.065,0.06,0.055
0,0.035,0.035,0.025
0,0.04,0.045,0.035
0,0.07,0.04,0.045
10,0.04,0.045,0.115
10,0.535,0.605,0.26
10,0.135,0.025,0.105
10,0.655,0.005,0.055
10,0.2,0.005,0.245
10,0.9,0.82,0.01
10,0.1,0.01,0.37
10,0.71,0.085,0.19
10,0.055,0.095,0.09
10,0.965,0.775,0.135
10,0.31,0.055,0.185
10,0.935,0.04,0.47
10,0.975,0.005,0.355
10,0.115,0.03,0.06
10,0.285,0.04,0.245
10,0.425,0.2,0.085
10,0.7,0.12,0.225
10,0.29,0.005,0.18
