"SNR","outMy","outGt","outEp"
0,0.065,0.06,0.065
0,0.045,0.045,0.03
0,0.05,0.055,0.03
0,0.02,0.05,0.05
0,0.06,0.04,0.045
0,0.035,0.025,0.025
0,0.03,0.07,0.015
0,0.03,0.07,0.03
0,0.05,0.085,0.02
0,0.05,0.08,0.065
0,0.065,0.045,0.04
0,0.045,0.065,0.03
0,0.035,0.06,0.02
0,0.045,0.07,0.025
0,0.045,0.045,0.025
0,0.055,0.05,0.035
0,0.04,0.05,0.025
0,0.04,0.055,0.045
0,0.05,0.055,0.015
0,0.045,0.035,0.025
0,0.04,0.05,0.05
0,0.035,0.06,0.035
0,0.04,0.045,0.03
0,0.015,0.025,0.035
0,0.04,0.065,0.05
0,0.04,0.035,0.035
0,0.055,0.045,0.055
0,0.05,0.045,0.03
0,0.09,0.04,0.035
0,0.045,0.045,0.005
0,0.03,0.03,0.06
0,0.035,0.07,0.03
0,0.04,0.04,0.02
0,0.06,0.04,0.035
0,0.075,0.065,0.04
0,0.06,0.07,0.02
0,0.085,0.035,0.06
0,0.04,0.065,0.045
0,0.025,0.07,0.01
0,0.02,0.035,0.025
0,0.04,0.045,0.03
0,0.045,0.055,0.045
0,0.035,0.055,0.035
0,0.055,0.06,0.045
0,0.065,0.07,0.045
0,0.055,0.045,0.05
0,0.04,0.055,0.05
0,0.035,0.035,0.045
0,0.04,0.035,0.045
0,0.045,0.045,0.05
0,0.05,0.035,0.02
0,0.03,0.035,0.035
0,0.075,0.045,0.06
0,0.1,0.055,0.035
0,0.055,0.055,0.04
0,0.065,0.05,0.04
0,0.055,0.055,0.045
0,0.035,0.04,0.04
0,0.06,0.09,0.035
0,0.04,0.04,0.035
0,0.025,0.03,0.03
0,0.035,0.035,0.02
0,0.035,0.04,0.03
0,0.045,0.08,0.03
0,0.045,0.055,0.06
0,0.08,0.04,0.035
0,0.03,0.06,0.03
0,0.03,0.04,0.02
0,0.045,0.035,0.025
0,0.05,0.035,0.04
0,0.06,0.04,0.05
0,0.075,0.07,0.02
0,0.04,0.06,0.015
0,0.045,0.065,0.035
0,0.045,0.03,0.04
0,0.05,0.05,0.06
0,0.03,0.05,0.025
0,0.065,0.075,0.035
0,0.065,0.075,0.03
0,0.035,0.07,0.02
0,0.04,0.055,0.035
0,0.055,0.06,0.04
0,0.05,0.09,0.03
0,0.06,0.065,0.035
0,0.075,0.08,0.055
0,0.025,0.03,0.035
0,0.05,0.055,0.045
0,0.045,0.035,0.04
0,0.05,0.035,0.035
0,0.03,0.035,0.04
0,0.035,0.06,0.005
0,0.06,0.055,0.06
0,0.055,0.07,0.04
0,0.045,0.03,0.025
0,0.045,0.045,0.03
0,0.065,0.045,0.05
0,0.095,0.09,0.055
0,0.04,0.055,0.05
0,0.07,0.06,0.055
0,0.065,0.055,0.045
10,0.25,0.025,0.115
10,0.435,0.065,0.32
10,0.175,0.04,0.09
10,0.06,0.005,0.105
10,0.05,0.08,0.025
10,0.09,0.015,0.085
10,0.02,0.01,0.1
10,0.285,0.085,0.28
10,0.045,0.055,0.03
10,0.345,0.11,0.05
10,0.24,0.08,0.34
10,0.135,0.035,0.125
10,0.015,0,0.095
10,0.12,0.01,0.095
10,0.165,0.12,0.215
10,0.995,0.04,0.13
10,0.985,0.11,0.13
10,0.15,0.07,0.14
10,0.16,0.025,0.225
10,0.29,0,0.45
10,0.47,0.065,0.055
10,0.105,0.05,0.055
10,0.605,0.025,0.12
10,1,0.225,0.31
10,0.075,0.015,0.14
10,0.68,0.1,0.44
10,0.565,0.015,0.4
10,0.66,0.045,0.165
10,0.715,0.025,0.02
10,0.29,0.015,0.325
10,0.565,0.02,0.095
10,0.155,0.06,0.125
10,0.91,0.67,0.19
10,0.13,0.03,0.235
10,0.45,0.045,0.53
10,0.68,0.06,0.295
10,0.435,0.01,0.355
10,0.63,0.03,0.235
10,0.05,0.02,0.125
10,0.465,0.01,0.315
10,0.1,0.005,0.25
10,0.995,0.475,0.025
10,0.65,0.24,0.41
10,0.81,0.015,0.19
10,0.21,0.045,0.13
10,0.2,0.295,0.04
10,0.11,0.015,0.16
10,0.235,0.105,0.195
10,0.435,0.05,0.48
10,0.105,0.015,0.105
10,0.15,0.035,0.21
10,0.065,0.035,0.17
10,0.235,0.105,0.08
10,0.055,0.03,0.085
10,0.125,0.03,0.185
10,0.13,0.125,0.06
10,0.39,0.055,0.215
10,0.95,0.03,0.395
10,0.945,0.17,0.305
10,0.29,0.075,0.435
10,0.9,0.03,0.16
10,0.955,0,0.53
10,0.975,0.12,0.285
10,1,0.025,0.315
10,0.1,0.005,0.155
10,0.57,0.225,0.475
10,0.99,0.09,0.495
10,0.735,0.17,0.335
10,0.91,0.005,0.11
10,0.735,0.005,0.31
10,0.105,0.005,0.21
10,0.175,0.035,0.16
10,0.71,0.025,0.575
10,0.995,0.195,0.605
10,0.24,0.16,0.185
10,0.605,0.14,0.455
10,0.385,0.085,0.235
10,0.245,0.015,0.415
10,1,0.465,0.14
10,0.12,0,0.25
10,0.76,0.005,0.465
10,0.2,0.025,0.14
10,0.765,0.005,0.445
10,0.25,0.015,0.345
10,1,0.085,0.225
10,0.145,0.075,0.11
10,0.27,0.045,0.17
10,0.195,0.01,0.12
10,0.085,0.045,0.02
10,0.99,0.23,0.25
10,0.155,0.035,0.19
10,0.945,0.05,0.54
10,0.11,0.005,0.13
10,0.06,0.04,0.13
10,0.43,0.27,0.04
10,0.995,0.5,0.035
10,0.56,0.745,0.07
10,0.155,0.005,0.25
10,0.305,0.285,0.095
10,0.205,0.005,0.13
20,0.305,0.025,0.55
20,0.345,0.005,0.565
20,0.795,0.025,0.77
20,0.3,0.025,0.555
20,0.675,0.005,0.415
20,0.175,0.02,0.13
20,0.995,0.175,0.165
20,0.21,0,0.315
20,0.285,0.03,0.24
20,0.855,0.025,0.315
20,0.865,0.015,0.805
20,0.725,0.04,0.06
20,0.43,0,0.705
20,0.765,0,0.6
20,0.125,0.025,0.3
20,0.275,0,0.37
20,0.295,0.04,0.22
20,0.015,0.01,0.075
20,1,0.69,0.18
20,0.77,0.175,0.3
20,0.095,0.01,0.15
20,0.54,0,0.605
20,0.9,0.125,0.545
20,0.315,0,0.44
20,1,0.05,0.445
20,0.07,0.005,0.17
20,0.53,0.005,0.89
20,0.905,0.065,0.655
20,0.995,0.03,0.1
20,0.17,0.005,0.23
20,0.265,0,0.545
20,0.985,0.38,0.235
20,0.655,0.44,0.105
20,0.06,0.025,0.33
20,1,0.105,0.7
20,0.015,0.02,0.04
20,0.99,0.46,0.31
20,0.475,0.015,0.26
20,0.3,0,0.54
20,0.635,0.03,0.22
20,0.125,0,0.315
20,0.965,0.005,0.1
20,0.845,0.21,0.005
20,0.44,0.005,0.665
20,0.995,0.015,0.085
20,0.065,0,0.09
20,1,0.42,0.21
20,0.13,0,0.515
20,0.08,0,0.305
20,0.995,0.295,0.78
20,0.13,0.02,0.14
20,0.865,0.025,0.225
20,0.51,0.285,0.035
