"SNR","outMy","outGt","outEp"
0,0.0336,0.0582,0.036
0,0.0298,0.0508,0.0376
0,0.0296,0.0474,0.0336
0,0.0284,0.0514,0.0306
0,0.0312,0.052,0.0346
0,0.0294,0.0514,0.0324
0,0.0258,0.0498,0.0358
0,0.029,0.0546,0.0366
0,0.033,0.0528,0.032
0,0.0308,0.0512,0.032
0,0.0288,0.0504,0.0366
0,0.0266,0.0516,0.0352
0,0.0304,0.0554,0.035
0,0.0284,0.046,0.0354
0,0.0294,0.0496,0.0342
0,0.0318,0.0508,0.0332
0,0.0344,0.054,0.036
0,0.0286,0.0444,0.0342
0,0.0288,0.0428,0.039
0,0.0332,0.0524,0.039
0,0.0274,0.049,0.0352
0,0.031,0.0498,0.0346
0,0.0312,0.0488,0.0318
0,0.0304,0.0524,0.0388
0,0.0308,0.0532,0.0364
0,0.0292,0.052,0.037
0,0.0316,0.0504,0.0412
0,0.0286,0.0522,0.0356
0,0.03,0.049,0.0344
0,0.0274,0.054,0.0304
0,0.0302,0.058,0.0346
0,0.0294,0.0474,0.0382
0,0.0308,0.054,0.0358
0,0.0292,0.0502,0.0322
0,0.0338,0.0536,0.0362
0,0.033,0.0502,0.034
0,0.0312,0.049,0.0362
0,0.031,0.0502,0.0384
0,0.0284,0.0494,0.0356
0,0.0312,0.0504,0.0324
0,0.032,0.0522,0.0358
0,0.0274,0.0474,0.0306
0,0.03,0.048,0.0392
0,0.0302,0.0466,0.0352
0,0.033,0.0512,0.038
0,0.03,0.0522,0.0346
0,0.0332,0.0582,0.037
0,0.0316,0.0506,0.0372
0,0.0332,0.0496,0.0328
0,0.0294,0.0534,0.0366
0,0.0308,0.0544,0.0344
0,0.0274,0.047,0.034
0,0.0312,0.0498,0.0374
0,0.0316,0.0434,0.0364
0,0.0288,0.0466,0.0348
0,0.0336,0.0528,0.0364
0,0.0316,0.0468,0.0362
0,0.032,0.0446,0.0398
0,0.0316,0.0534,0.0352
0,0.0284,0.0494,0.034
0,0.034,0.0514,0.0296
0,0.0286,0.0542,0.031
0,0.0328,0.0536,0.0368
0,0.0288,0.0502,0.029
0,0.033,0.0526,0.0374
0,0.0306,0.051,0.0364
0,0.0292,0.0538,0.041
0,0.0336,0.0536,0.039
0,0.0336,0.0492,0.0364
0,0.0288,0.048,0.0344
0,0.0326,0.0578,0.038
0,0.033,0.0498,0.0358
0,0.0324,0.0556,0.0394
0,0.0322,0.0484,0.038
0,0.0276,0.0464,0.0312
0,0.032,0.0526,0.0394
0,0.033,0.0552,0.0386
0,0.029,0.0468,0.033
0,0.0336,0.06,0.0394
0,0.0302,0.049,0.0368
0,0.03,0.0506,0.0352
0,0.033,0.0524,0.0404
0,0.034,0.055,0.0416
0,0.0302,0.0538,0.0378
0,0.0282,0.05,0.0352
0,0.0348,0.05,0.0346
0,0.0332,0.048,0.0376
0,0.0324,0.0526,0.0372
0,0.03,0.0498,0.034
0,0.0266,0.0522,0.0336
0,0.0346,0.0548,0.0364
0,0.0272,0.0514,0.0364
0,0.032,0.0516,0.0338
0,0.0334,0.0522,0.0348
0,0.0296,0.0494,0.0346
0,0.033,0.058,0.037
0,0.0316,0.0504,0.037
0,0.033,0.0536,0.0392
0,0.0322,0.0484,0.0374
0,0.0332,0.0564,0.0356
10,0.4888,0.3956,0.8732
10,0.2066,0.22,0.252
10,0.812,0.968,0.5386
10,0.0844,0.0098,0.6846
10,0.0244,0.0102,0.0288
10,0.736,0.7784,0.6628
10,0.4184,0.5862,0.6016
10,0.4574,0.6344,0.4532
10,0.9678,0.9876,0.9696
10,0.5276,0.786,0.44
10,0.8332,0.9528,0.723
10,0.4882,0.7796,0.5866
10,0.883,0.9756,0.9874
10,0.6678,0.8198,0.7866
10,0.3116,0.2566,0.6916
10,0.5382,0.3634,0.856
10,0.2162,0.2482,0.1066
10,0.7846,0.8038,0.919
10,0.7546,0.9598,0.7658
10,0.8378,0.913,0.9472
10,0.6752,0.6544,0.5394
10,0.3042,0.3604,0.5708
10,0.644,0.8682,0.7446
10,0.585,0.7646,0.6054
10,0.8402,0.953,0.7784
10,0.4916,0.3048,0.7252
10,0.5368,0.3482,0.834
10,0.6746,0.9232,0.4712
10,0.6774,0.803,0.7406
10,0.1138,0.0496,0.2184
10,0.6526,0.712,0.45
10,0.5172,0.7188,0.706
10,0.5488,0.4734,0.4432
10,0.705,0.7332,0.6644
