"SNR","outMy","outGt","outEp"
0,0.0408,0.0514,0.0342
0,0.0418,0.0516,0.0322
0,0.0438,0.0488,0.0332
0,0.0418,0.0514,0.033
0,0.0434,0.0524,0.0368
0,0.0446,0.0484,0.0394
0,0.0424,0.0492,0.0304
0,0.0464,0.048,0.0354
0,0.0412,0.051,0.035
0,0.0462,0.049,0.0334
0,0.0442,0.051,0.0364
0,0.0418,0.0546,0.0346
0,0.0436,0.0486,0.0362
0,0.047,0.0538,0.0372
0,0.0386,0.0464,0.0396
0,0.041,0.0522,0.0352
0,0.0392,0.0486,0.0274
0,0.049,0.0522,0.037
0,0.0456,0.0542,0.036
0,0.037,0.0446,0.0344
0,0.0438,0.0508,0.0358
0,0.039,0.0432,0.0334
0,0.0408,0.0466,0.0328
0,0.0458,0.0498,0.036
0,0.04,0.0506,0.029
0,0.0438,0.0544,0.037
0,0.0434,0.0524,0.0306
0,0.045,0.0504,0.039
0,0.0472,0.0554,0.0318
0,0.043,0.0446,0.0374
0,0.045,0.0506,0.0394
0,0.043,0.0506,0.042
0,0.0412,0.0466,0.0326
0,0.0446,0.0504,0.0332
0,0.0436,0.0484,0.0374
0,0.0472,0.0534,0.0372
0,0.043,0.0498,0.0298
0,0.0436,0.0524,0.0372
0,0.0418,0.046,0.0358
0,0.0402,0.0438,0.0302
0,0.042,0.0542,0.0332
0,0.041,0.046,0.0338
0,0.0404,0.0484,0.037
0,0.0434,0.0516,0.033
0,0.0402,0.0468,0.0322
0,0.039,0.0528,0.0322
0,0.0452,0.05,0.0368
0,0.037,0.0444,0.0364
0,0.0436,0.0496,0.0364
0,0.0424,0.0508,0.0338
0,0.04,0.0482,0.0356
0,0.0436,0.0514,0.034
0,0.0406,0.0476,0.0344
0,0.0428,0.049,0.0344
0,0.0452,0.0524,0.0354
0,0.0422,0.0552,0.0348
0,0.0488,0.0556,0.0406
0,0.0454,0.0538,0.0352
0,0.0426,0.0496,0.0324
0,0.0464,0.0534,0.0324
0,0.042,0.0472,0.0364
0,0.0464,0.0512,0.0346
0,0.0414,0.0474,0.0356
0,0.0388,0.0468,0.0318
0,0.0388,0.0492,0.0326
0,0.0446,0.0534,0.039
0,0.0436,0.0528,0.037
0,0.0478,0.055,0.036
0,0.0422,0.047,0.037
0,0.045,0.0552,0.033
0,0.0402,0.046,0.0348
0,0.0396,0.0478,0.0328
0,0.0454,0.0514,0.0366
0,0.0444,0.0494,0.0368
0,0.0432,0.0532,0.0348
0,0.0424,0.0504,0.0338
0,0.0406,0.049,0.031
0,0.0432,0.0516,0.0368
0,0.041,0.053,0.0354
0,0.0432,0.0494,0.0326
0,0.0416,0.0476,0.033
0,0.0418,0.0544,0.037
0,0.0394,0.0476,0.0342
0,0.0386,0.0516,0.0336
0,0.0444,0.0526,0.0332
0,0.0464,0.0508,0.0342
0,0.0456,0.0522,0.0332
0,0.0422,0.0478,0.0338
0,0.0444,0.049,0.0344
0,0.0432,0.0502,0.0376
0,0.0454,0.0506,0.0372
0,0.0452,0.052,0.0354
0,0.0432,0.0532,0.0376
0,0.0424,0.052,0.0332
0,0.0388,0.0482,0.0314
0,0.0474,0.0564,0.039
0,0.0448,0.0476,0.036
0,0.047,0.0556,0.0368
0,0.0468,0.0538,0.0368
0,0.0436,0.0482,0.036
10,0.6816,0.7062,0.312
10,0.7888,0.8854,0.7898
10,0.5056,0.3822,0.3348
10,0.8096,0.8402,0.7562
10,0.1518,0.1294,0.352
10,0.7328,0.6102,0.8232
10,0.105,0.0062,0.4784
10,0.142,0.2882,0.1372
10,0.2588,0.1122,0.192
10,0.4228,0.4594,0.2296
10,0.7636,0.9612,0.637
10,0.071,0.0746,0.175
10,0.293,0.0758,0.5466
10,0.9102,0.9226,0.6066
10,0.6694,0.5892,0.6526
10,0.7504,0.8864,0.7998
10,0.8428,0.3398,0.9884
10,0.265,0.3776,0.578
10,0.8392,0.3346,0.9266
10,0.2362,0.1426,0.2284
10,0.0286,0.007,0.138
10,0.9236,0.846,0.8906
10,0.2012,0.1718,0.1726
10,0.9084,0.9206,0.8944
10,0.0848,0.0996,0.296
10,0.6854,0.6708,0.8394
10,0.4592,0.5878,0.6368
10,0.533,0.501,0.8316
10,0.512,0.364,0.8988
10,0.173,0.0644,0.4688
10,0.1574,0.04,0.7988
10,0.331,0.1572,0.4778
10,0.845,0.8126,0.824
10,0.6196,0.7186,0.5644
10,0.0966,0.0366,0.5842
10,0.1162,0.0144,0.524
10,0.638,0.413,0.5308
10,0.8062,0.9576,0.5584
