"SNR","outMy","outGt","outEp"
0,0.079,0.058,0.03
0,0.073,0.05,0.028
0,0.095,0.059,0.04
0,0.079,0.051,0.028
0,0.104,0.064,0.04
0,0.078,0.053,0.039
0,0.072,0.047,0.032
0,0.095,0.067,0.035
0,0.081,0.044,0.04
0,0.074,0.043,0.025
0,0.084,0.059,0.036
0,0.073,0.039,0.034
0,0.064,0.037,0.025
0,0.08,0.053,0.027
0,0.083,0.051,0.037
0,0.084,0.045,0.029
0,0.09,0.051,0.036
0,0.091,0.059,0.037
0,0.081,0.054,0.03
0,0.087,0.049,0.035
0,0.077,0.041,0.037
0,0.087,0.049,0.029
0,0.078,0.042,0.022
0,0.09,0.053,0.039
0,0.082,0.037,0.026
0,0.085,0.05,0.043
0,0.074,0.055,0.035
0,0.093,0.055,0.034
0,0.077,0.056,0.035
0,0.089,0.06,0.031
0,0.071,0.049,0.033
0,0.088,0.047,0.038
0,0.078,0.059,0.042
0,0.087,0.053,0.037
0,0.088,0.06,0.033
0,0.085,0.058,0.036
0,0.089,0.054,0.043
0,0.092,0.054,0.037
0,0.089,0.049,0.031
0,0.093,0.051,0.034
0,0.075,0.043,0.031
0,0.087,0.063,0.032
0,0.088,0.06,0.035
0,0.081,0.046,0.031
0,0.08,0.054,0.033
0,0.075,0.059,0.032
0,0.078,0.05,0.035
0,0.072,0.051,0.036
0,0.084,0.049,0.038
0,0.084,0.06,0.037
0,0.09,0.059,0.044
0,0.081,0.044,0.026
0,0.088,0.054,0.033
0,0.087,0.062,0.035
0,0.095,0.047,0.045
0,0.088,0.059,0.033
0,0.08,0.047,0.041
0,0.097,0.052,0.037
0,0.09,0.047,0.032
0,0.082,0.05,0.032
0,0.091,0.051,0.037
0,0.074,0.052,0.027
0,0.082,0.05,0.037
0,0.066,0.044,0.033
0,0.078,0.053,0.035
0,0.107,0.057,0.033
0,0.088,0.042,0.037
0,0.072,0.042,0.03
0,0.088,0.052,0.041
0,0.092,0.049,0.026
0,0.074,0.04,0.025
0,0.083,0.042,0.035
0,0.072,0.052,0.033
