"SNR","outMy","outGt","outEp"
0,0.047,0.0528,0.0358
0,0.0476,0.0498,0.035
0,0.0472,0.0528,0.0362
0,0.0488,0.0518,0.0346
0,0.054,0.0612,0.0348
0,0.0486,0.0472,0.0346
0,0.0498,0.0552,0.035
0,0.0464,0.0484,0.0362
0,0.048,0.051,0.0362
0,0.0502,0.0488,0.0334
0,0.052,0.0554,0.0332
0,0.0476,0.049,0.0368
0,0.0504,0.0516,0.0298
0,0.043,0.046,0.0334
0,0.047,0.0482,0.036
0,0.05,0.0504,0.0378
0,0.046,0.0506,0.0338
0,0.0494,0.0516,0.0336
0,0.0484,0.0496,0.033
0,0.042,0.0466,0.0326
0,0.0512,0.0544,0.0376
0,0.0506,0.0516,0.0394
0,0.0444,0.0484,0.0306
0,0.052,0.0512,0.0324
0,0.044,0.0446,0.0342
0,0.0474,0.0466,0.0338
0,0.0458,0.0504,0.0352
0,0.051,0.0488,0.0336
0,0.0518,0.0518,0.0338
0,0.043,0.0476,0.0304
0,0.0478,0.0544,0.0382
0,0.0442,0.0452,0.0332
0,0.0494,0.0514,0.037
0,0.0422,0.0434,0.0354
0,0.0476,0.0472,0.0322
0,0.0528,0.0524,0.03
0,0.0432,0.0464,0.0364
0,0.0476,0.0516,0.034
0,0.0508,0.0506,0.0316
0,0.0498,0.0542,0.0374
0,0.0468,0.0516,0.0336
0,0.0488,0.0506,0.0376
0,0.0502,0.0596,0.0342
0,0.0422,0.0482,0.0298
0,0.047,0.0508,0.036
0,0.0496,0.0502,0.0346
0,0.0524,0.0484,0.0342
0,0.0448,0.051,0.0382
0,0.0524,0.0552,0.034
0,0.0458,0.0504,0.0338
0,0.0488,0.0498,0.0356
0,0.0444,0.0536,0.0314
0,0.0512,0.0544,0.0326
0,0.0502,0.0542,0.036
0,0.0422,0.0496,0.034
0,0.0524,0.0598,0.0346
0,0.0498,0.0488,0.0346
0,0.0468,0.0488,0.0316
0,0.0512,0.047,0.0362
0,0.046,0.0464,0.036
0,0.049,0.0512,0.0322
0,0.0494,0.051,0.035
0,0.041,0.0466,0.0324
0,0.0482,0.0498,0.036
0,0.0476,0.052,0.0372
0,0.0468,0.053,0.0358
0,0.049,0.055,0.0374
0,0.0446,0.0504,0.041
0,0.0496,0.0478,0.0352
0,0.0502,0.0524,0.031
0,0.043,0.0522,0.0352
0,0.0462,0.0462,0.0394
0,0.0456,0.0464,0.029
0,0.05,0.0474,0.0342
0,0.0488,0.0546,0.03
0,0.046,0.0504,0.0388
0,0.05,0.0542,0.0374
0,0.044,0.0496,0.031
0,0.0488,0.0544,0.0304
0,0.0472,0.0556,0.0342
0,0.0426,0.049,0.0346
0,0.0456,0.0426,0.035
0,0.0488,0.0506,0.0348
0,0.0558,0.0492,0.0346
0,0.0418,0.0466,0.0388
0,0.0484,0.0504,0.0318
0,0.047,0.0462,0.0326
0,0.0502,0.0522,0.0288
0,0.0472,0.048,0.0396
0,0.0462,0.047,0.037
0,0.0482,0.0496,0.032
0,0.0488,0.0498,0.0386
0,0.046,0.0494,0.0336
0,0.0458,0.0472,0.0328
0,0.0476,0.0486,0.0348
0,0.0462,0.0482,0.0356
0,0.0514,0.0532,0.0334
0,0.0468,0.0512,0.038
0,0.0442,0.0508,0.0296
0,0.05,0.0524,0.0388
10,0.9342,0.7952,0.4476
10,0.1752,0.563,0.0014
10,0.1206,0.003,0.1566
10,1,1,0.9408
10,0.009,0.0076,0.054
10,0.9988,0.9998,0.161
10,0.1882,0.1622,0.0696
10,0.301,0.2446,0.0786
10,0.4128,0.0232,0.7188
10,0.998,1,0.0812
10,0.0024,0.002,0.0012
10,0.0096,0.0122,0.0702
10,0.2554,0.005,0.2962
10,0.215,0.049,0.1648
10,0.0826,2e-04,0.3802
10,0.6768,0.7222,0.0324
10,0.7122,0.682,0.1166
10,0.3194,0.2618,0.1758
10,0.1914,0.252,0.096
10,0.0782,0.0248,0.24
10,0.9456,0.9388,0.3232
10,0.0946,0.0674,0.0724
10,0.2428,0.358,0.028
10,0.0028,8e-04,0.0208
10,0.8238,0.8768,0.1902
10,0.8574,0.866,0.1326
10,0.976,0.979,0.192
10,0.0158,0.0046,0.0688
10,0.4264,0.2236,0.5322
10,0.4558,0.502,0.0608
10,0.1924,0.1012,0.2192
10,0.0082,0.0042,0.0386
10,0.7792,0.871,0.4312
10,0.024,0.0478,0.0032
10,0.8452,0.9076,0.1614
10,0.1152,0.0286,0.2472
10,0.0026,0.0012,0.0758
10,0.972,0.996,0.0702
10,0.8906,0.9202,0.1496
10,0.398,0.5148,0.0734
10,0.1704,0.0938,0.164
10,0.5138,0.7238,0.0582
10,0.2946,0.192,0.1486
10,0.9404,0.923,0.7416
10,0.1092,0.1562,0.0402
10,0.1474,0.246,0.006
10,0.401,0.5066,0.0626
10,0.9846,0.964,0.35
10,0.0016,0.001,0.009
10,0.7052,0.6492,0.345
10,0.6776,0.633,0.2386
10,0.9652,0.9722,0.2742
10,0.01,0.0024,0.0792
10,0.285,0.2946,0.0448
10,0.0296,0.0328,0.047
10,0.0134,0.0032,0.0778
10,0.034,0.0406,0.0402
10,0.011,0.0084,0.0872
10,0.4332,0.3414,0.1982
10,0.0124,0.01,0.1348
10,0.6734,0.8424,0.0162
10,0.1716,0.006,0.529
10,0.5602,0.4872,0.4386
10,0.0068,0.0024,0.0608
