"SNR","outMy","outGt","outEp"
0,0.0568,0.0464,0.0372
0,0.053,0.0432,0.0342
0,0.0592,0.0494,0.034
0,0.0538,0.0456,0.0358
0,0.062,0.054,0.0346
0,0.0578,0.0478,0.0364
0,0.0644,0.0496,0.0382
0,0.0578,0.048,0.035
0,0.0638,0.0522,0.0322
0,0.0554,0.05,0.0378
0,0.0624,0.0562,0.0324
0,0.0596,0.0516,0.0376
0,0.0574,0.0504,0.0352
0,0.06,0.052,0.0342
0,0.056,0.0484,0.0388
0,0.0562,0.0498,0.0378
0,0.0576,0.0512,0.0296
0,0.0504,0.0492,0.0292
0,0.055,0.0488,0.0356
0,0.0618,0.0502,0.0352
0,0.054,0.0478,0.034
0,0.0618,0.0468,0.0338
0,0.0614,0.055,0.0334
0,0.0554,0.0444,0.0372
0,0.0528,0.046,0.0322
0,0.0578,0.0454,0.033
0,0.0582,0.0492,0.0344
0,0.0556,0.0442,0.0352
0,0.055,0.0456,0.032
0,0.0584,0.0466,0.0338
0,0.0604,0.053,0.0366
0,0.0568,0.0488,0.0322
0,0.0532,0.0506,0.0306
0,0.0604,0.054,0.0366
0,0.0536,0.0454,0.0334
0,0.057,0.049,0.0386
0,0.0604,0.0522,0.036
0,0.058,0.0452,0.0354
0,0.0558,0.05,0.036
0,0.0594,0.052,0.0356
0,0.0608,0.0518,0.0358
0,0.0616,0.0548,0.0322
0,0.0598,0.0538,0.0358
0,0.0552,0.0498,0.0338
0,0.0542,0.0452,0.0352
0,0.0534,0.0482,0.0324
0,0.0534,0.0444,0.0366
0,0.0558,0.0476,0.0348
0,0.0578,0.047,0.0292
0,0.0598,0.0502,0.036
0,0.0528,0.0466,0.0392
0,0.0578,0.0514,0.0332
0,0.058,0.0464,0.0372
0,0.0546,0.047,0.036
0,0.0676,0.056,0.0414
0,0.0592,0.0488,0.0344
0,0.0624,0.056,0.0364
0,0.056,0.0542,0.034
0,0.0598,0.0498,0.038
0,0.055,0.045,0.036
0,0.055,0.049,0.0358
0,0.0596,0.0488,0.0332
0,0.0576,0.047,0.034
0,0.055,0.0462,0.0344
0,0.0586,0.0522,0.035
0,0.0566,0.0446,0.0342
