"SNR","outMy","outGt","outEp"
0,0.04,0.055,0.025
0,0.055,0.065,0.025
0,0.035,0.06,0.015
0,0.04,0.065,0.045
0,0.045,0.05,0.025
0,0.045,0.06,0.045
0,0.05,0.05,0.05
0,0.04,0.035,0.05
0,0.04,0.06,0.005
0,0.045,0.05,0.035
0,0.025,0.03,0.02
0,0.025,0.055,0.045
0,0.025,0.04,0.035
0,0.06,0.075,0.035
0,0.03,0.065,0.055
0,0.05,0.05,0.01
0,0.05,0.065,0.055
0,0.025,0.03,0.02
0,0.035,0.02,0.03
0,0.07,0.06,0.02
0,0.04,0.05,0.03
0,0.06,0.05,0.04
0,0.06,0.06,0.025
0,0.03,0.04,0.03
0,0.045,0.055,0.02
0,0.05,0.095,0.03
0,0.035,0.03,0.015
0,0.015,0.025,0.03
0,0.045,0.055,0.025
0,0.04,0.06,0.045
0,0.04,0.04,0.02
0,0.03,0.045,0.015
0,0.055,0.055,0.035
0,0.05,0.06,0.05
0,0.03,0.045,0.04
0,0.035,0.04,0.015
0,0.065,0.05,0.035
0,0.035,0.035,0.035
0,0.025,0.04,0.035
0,0.03,0.035,0.03
0,0.05,0.07,0.015
0,0.03,0.03,0.02
0,0.05,0.065,0.035
0,0.04,0.03,0.015
0,0.015,0.03,0.025
0,0.05,0.045,0.025
0,0.025,0.04,0.035
0,0.025,0.05,0.025
0,0.04,0.05,0.03
0,0.02,0.03,0.015
0,0.065,0.055,0.03
0,0.045,0.065,0.045
0,0.015,0.04,0.025
0,0.045,0.045,0.035
0,0.035,0.045,0.05
0,0.055,0.035,0.015
0,0.025,0.065,0.035
0,0.035,0.035,0.025
0,0.06,0.035,0.035
0,0.02,0.05,0.03
0,0.035,0.07,0.04
0,0.045,0.055,0.03
0,0.045,0.055,0.04
0,0.045,0.04,0.025
0,0.02,0.02,0.035
0,0.05,0.045,0.025
0,0.04,0.05,0.035
0,0.05,0.055,0.035
0,0.055,0.04,0.02
0,0.06,0.055,0.035
0,0.055,0.07,0.005
0,0.05,0.055,0.04
0,0.03,0.035,0.045
0,0.055,0.055,0.015
0,0.025,0.03,0.035
0,0.04,0.055,0.03
0,0.045,0.05,0.025
0,0.075,0.1,0.06
0,0.035,0.035,0.025
0,0.06,0.065,0.045
0,0.03,0.05,0.03
0,0.045,0.05,0.03
0,0.06,0.06,0.03
0,0.035,0.06,0.055
0,0.01,0.04,0.02
0,0.03,0.04,0.03
0,0.04,0.06,0.04
0,0.04,0.045,0.02
0,0.035,0.05,0.015
0,0.085,0.07,0.04
0,0.045,0.06,0.04
0,0.035,0.055,0.025
0,0.03,0.035,0.06
0,0.02,0.025,0.025
0,0.02,0.045,0.035
0,0.045,0.05,0.01
0,0.065,0.05,0.035
0,0.025,0.025,0.03
0,0.06,0.06,0.05
0,0.035,0.055,0.025
10,0,0,0.025
10,0,0,0.01
10,0,0.005,0.09
10,0.61,0,0.22
10,0.005,0.005,0.01
10,0.065,0.03,0.135
10,0.005,0,0.15
10,0.095,0,0.03
10,0,0,0.13
10,0.01,0.005,0.01
10,0,0,0
10,0.05,0,0.785
10,0.155,0,0.15
10,0,0,0.015
10,0.035,0,0.135
10,0.255,0.11,0.175
10,0.78,0,0.255
10,0.08,0.025,0.055
10,0.055,0.04,0.115
10,0.67,0,0.26
10,0,0,0.165
10,0.085,0.045,0.155
10,0.115,0,0.09
10,0.495,0,0.25
10,0.555,0,0.265
10,0.06,0.035,0.075
10,0.09,0.095,0.13
10,0,0,0.07
10,0,0,0.02
10,0.195,0.04,0.695
10,0.22,0,0.07
10,0.005,0,0.055
10,0.025,0,0.015
10,0,0,0.085
10,0.135,0.035,0.185
10,0.1,0,0.225
10,0.01,0.015,0.05
10,0.01,0,0.075
10,0.065,0,0.07
10,0.07,0.11,0.145
10,0.105,0.08,0.075
10,0.275,0.005,0.1
10,0,0,0.165
10,0.075,0.015,0.32
10,0.015,0,0
10,0.025,0,0.14
10,0,0.015,0
10,0.065,0,0.02
10,0.01,0.005,0.005
10,0.805,0,0.53
10,0.22,0.09,0.245
10,0.18,0.195,0.07
10,0.005,0.005,0.165
10,0.505,0,0.06
10,0.04,0.045,0.005
10,0.535,0.27,0.185
10,0.285,0.005,0.205
10,0.355,0,0.46
10,0.005,0.005,0.075
10,0.015,0,0.035
10,0.05,0.005,0.205
10,0.54,0.585,0.125
10,0.265,0.045,0.065
10,0,0,0.005
10,0,0,0
10,0.06,0,0.055
10,0.025,0,0.215
10,0.35,0,0.2
10,0.09,0.075,0.215
10,0.365,0.095,0.12
