"SNR","outMy","outGt","outEp"
0,0.0354,0.0496,0.038
0,0.0402,0.0508,0.0334
0,0.0406,0.0518,0.0398
0,0.0378,0.0542,0.0382
0,0.0416,0.0524,0.0412
0,0.037,0.0496,0.0418
0,0.0412,0.0514,0.0408
0,0.0382,0.0498,0.0404
0,0.0358,0.05,0.037
0,0.0452,0.0562,0.047
0,0.0396,0.053,0.0426
0,0.0388,0.05,0.0382
0,0.0432,0.0538,0.0394
0,0.0396,0.0494,0.043
0,0.0378,0.0504,0.0342
0,0.0372,0.0472,0.0358
0,0.042,0.052,0.0394
0,0.0358,0.0498,0.0382
0,0.0362,0.0488,0.0392
0,0.0408,0.0516,0.043
0,0.0416,0.0492,0.0414
0,0.0396,0.0508,0.043
0,0.0366,0.0512,0.0388
0,0.0362,0.0494,0.0418
0,0.0376,0.0484,0.0384
0,0.0338,0.0452,0.0316
0,0.0394,0.0486,0.0448
0,0.036,0.047,0.0382
0,0.0388,0.049,0.0382
0,0.0352,0.0482,0.0408
0,0.0368,0.047,0.036
0,0.0378,0.049,0.0404
0,0.0386,0.0504,0.043
0,0.044,0.0566,0.0428
0,0.0378,0.0534,0.0428
0,0.0398,0.056,0.0414
0,0.044,0.057,0.0446
0,0.0394,0.0522,0.042
0,0.0364,0.0464,0.0402
0,0.0362,0.0504,0.0396
0,0.0418,0.0522,0.045
0,0.0336,0.0458,0.0372
0,0.0416,0.0542,0.0466
0,0.0406,0.0552,0.0398
0,0.0378,0.0476,0.0394
0,0.0366,0.0484,0.0366
0,0.0358,0.0452,0.0362
0,0.039,0.053,0.0446
0,0.0372,0.0476,0.0436
0,0.0358,0.052,0.044
0,0.039,0.0494,0.0336
0,0.0362,0.0472,0.0398
0,0.0344,0.0464,0.0384
0,0.0338,0.0454,0.0402
0,0.0348,0.0468,0.0392
0,0.035,0.0476,0.0404
0,0.0396,0.052,0.0392
0,0.043,0.0556,0.0398
0,0.0392,0.0474,0.04
0,0.0356,0.0468,0.0406
0,0.0414,0.0516,0.0434
0,0.0378,0.0488,0.0396
0,0.0412,0.0512,0.0474
0,0.0328,0.0448,0.0396
0,0.04,0.049,0.0432
0,0.0402,0.052,0.0446
0,0.0418,0.0492,0.0382
0,0.0406,0.0534,0.0418
0,0.0372,0.0496,0.0404
0,0.039,0.0496,0.0442
0,0.0386,0.0504,0.0398
0,0.039,0.0528,0.0398
0,0.0386,0.0492,0.0388
0,0.0386,0.0496,0.0436
0,0.033,0.0476,0.0454
0,0.0372,0.0466,0.0382
0,0.0402,0.051,0.0416
0,0.0378,0.0454,0.0366
0,0.039,0.0494,0.0394
0,0.04,0.0516,0.0408
0,0.0402,0.0558,0.04
0,0.042,0.0546,0.0422
0,0.0372,0.0464,0.037
0,0.0362,0.0468,0.0382
0,0.0402,0.0488,0.041
0,0.0394,0.0522,0.0414
0,0.0354,0.0502,0.0378
0,0.0416,0.0526,0.043
0,0.0354,0.044,0.034
0,0.0384,0.0522,0.033
0,0.0376,0.05,0.0398
0,0.0424,0.052,0.034
0,0.0394,0.0488,0.0388
0,0.0386,0.0492,0.0368
0,0.041,0.0506,0.0422
0,0.041,0.0504,0.0452
0,0.0412,0.054,0.044
0,0.0396,0.049,0.044
0,0.0392,0.0524,0.0418
0,0.0396,0.0528,0.0426
10,0.0016,0.0086,0.035
10,0.0244,0.1138,0.003
10,0.0364,0.1242,0.0174
10,0.0018,0.0014,0.006
10,0.6116,0.6824,0.8628
10,0.5184,0.5332,0.0482
10,2e-04,0,4e-04
10,0.0234,0.0714,0.2176
10,0.8654,0.965,0.7678
10,0.3214,0.3156,0.0204
10,0.0098,0.042,0.0164
10,0.0074,0.0028,0.047
10,0.0044,0.0106,0
10,0.0478,0.0676,0.5372
