"SNR","outMy","outGt","outEp"
0,0.0404,0.0532,0.0412
0,0.032,0.0532,0.04
0,0.04,0.0536,0.0396
0,0.044,0.0512,0.044
0,0.0348,0.0448,0.0404
0,0.0384,0.0536,0.0396
0,0.0404,0.0512,0.046
0,0.0376,0.0436,0.0412
0,0.0324,0.0476,0.036
0,0.0372,0.0512,0.0396
0,0.042,0.05,0.0436
0,0.0384,0.0472,0.0384
0,0.0408,0.0484,0.0456
0,0.0432,0.0536,0.0408
0,0.0332,0.056,0.0448
0,0.0372,0.0496,0.042
0,0.0396,0.0508,0.0424
0,0.0384,0.0472,0.0392
0,0.0472,0.0528,0.0428
0,0.0372,0.0488,0.0432
0,0.0412,0.046,0.0384
0,0.0448,0.0576,0.0492
0,0.0476,0.046,0.042
0,0.036,0.0504,0.0384
0,0.0428,0.0516,0.0496
0,0.0392,0.046,0.0472
0,0.0388,0.05,0.0408
0,0.0436,0.0404,0.048
0,0.0408,0.0516,0.0416
0,0.0336,0.0472,0.0356
0,0.04,0.0556,0.042
0,0.03,0.0468,0.0372
0,0.0364,0.0464,0.0392
0,0.0448,0.0532,0.0504
0,0.0396,0.0468,0.0368
0,0.0384,0.0472,0.0428
0,0.0464,0.0492,0.048
0,0.036,0.0444,0.0344
0,0.0384,0.0472,0.0428
0,0.0372,0.0436,0.0376
0,0.044,0.06,0.0416
0,0.0388,0.0432,0.0444
0,0.0448,0.0452,0.044
0,0.0388,0.0448,0.0444
0,0.0448,0.05,0.0484
0,0.0428,0.044,0.0508
0,0.0388,0.0544,0.0444
0,0.036,0.0584,0.0352
0,0.0436,0.048,0.0504
0,0.0396,0.046,0.0328
0,0.038,0.0504,0.0392
0,0.0348,0.0424,0.0376
0,0.0452,0.0604,0.0424
0,0.0324,0.0456,0.032
0,0.0408,0.0496,0.0476
0,0.0432,0.0444,0.0444
0,0.0368,0.0496,0.0432
0,0.0436,0.05,0.046
0,0.0408,0.0448,0.0424
0,0.0444,0.0524,0.0448
0,0.0436,0.05,0.0432
0,0.0412,0.0496,0.0456
0,0.042,0.0516,0.04
0,0.0452,0.0512,0.0464
0,0.04,0.0564,0.0416
0,0.0388,0.0504,0.038
0,0.0432,0.0524,0.0392
0,0.034,0.0488,0.0412
0,0.0424,0.0444,0.0444
0,0.0428,0.0528,0.0536
0,0.04,0.0488,0.0376
0,0.0496,0.0468,0.05
0,0.0348,0.0488,0.0332
0,0.0404,0.0516,0.0436
0,0.0428,0.0524,0.0364
0,0.0412,0.0488,0.0476
0,0.0444,0.0536,0.0476
0,0.044,0.0472,0.0428
0,0.0428,0.0504,0.0396
0,0.042,0.0436,0.0452
0,0.0416,0.0412,0.0488
0,0.0444,0.0564,0.0416
0,0.042,0.0468,0.0456
0,0.034,0.0452,0.0384
0,0.0404,0.0532,0.0412
0,0.04,0.056,0.0396
0,0.0424,0.058,0.0448
0,0.0356,0.0428,0.0452
0,0.036,0.0528,0.0348
0,0.034,0.05,0.04
0,0.036,0.0448,0.0376
0,0.0376,0.0524,0.0408
0,0.0408,0.0432,0.044
0,0.0368,0.0544,0.0356
0,0.0424,0.0496,0.0348
0,0.0444,0.0476,0.0484
0,0.0424,0.054,0.0444
0,0.0404,0.0528,0.0408
0,0.0436,0.0524,0.046
0,0.038,0.0476,0.0448
10,0.2192,0.0936,0.3008
10,0.2916,0.0592,0.2772
10,0.2784,0.4124,0.1832
10,0.9188,0.9964,0.1256
10,0.7324,0.7808,0.3312
10,0.7324,0.9756,0.1008
10,0.0628,0.0176,0.0916
10,0.054,0.01,0.078
10,0.1088,0.126,0.1104
10,0.9996,1,0.8468
10,0.344,0.0308,0.5864
10,0.04,0.0292,0.0604
10,0.3976,0.0564,0.5044
10,0.3676,0.2908,0.3272
10,0.6232,0.9208,0.1568
10,0.432,0.4952,0.2444
10,0.9824,0.9996,0.248
10,0.3064,0.404,0.2052
10,0.0844,0.026,0.0996
10,0.2812,0.2628,0.2488
10,0.0672,0.0244,0.0652
10,0.72,0.9584,0.1156
10,0.808,0.9844,0.1292
10,0.1684,0.066,0.1884
10,0.1356,0.0336,0.1712
10,0.1912,0.0392,0.1864
10,0.4152,0.2416,0.2936
10,0.342,0.1268,0.32
10,0.1912,0.0412,0.2412
10,0.0964,0.0204,0.14
10,0.434,0.7,0.126
10,0.4408,0.628,0.2144
10,0.8804,0.9856,0.4136
10,0.7224,0.864,0.4208
10,0.6332,0.246,0.596
10,0.3072,0.4644,0.084
10,0.4516,0.308,0.4084
10,0.9844,0.998,0.5964
10,0.2328,0.0408,0.2236
10,0.2976,0.0556,0.4532
10,0.9836,0.9988,0.6
10,0.6228,0.6996,0.372
10,0.4,0.7396,0.182
10,0.5068,0.6092,0.3888
10,0.0252,0.0148,0.0212
10,0.4796,0.712,0.1728
10,0.1428,0.02,0.2284
10,0.5164,0.2724,0.4908
10,0.0672,0.0732,0.0852
10,0.8292,0.9876,0.1292
10,0.0256,0.0384,0.016
10,0.2176,0.14,0.1272
10,0.172,0.0848,0.1116
10,0.1612,0.0544,0.1232
10,0.0596,0.024,0.108
10,0.5168,0.2832,0.5824
10,0.9848,0.9988,0.4648
10,0.4264,0.3692,0.4284
10,0.6052,0.6032,0.45
10,0.3764,0.402,0.2536
10,0.8356,0.9656,0.27
10,0.1004,0.0804,0.2568
10,0.0992,0.0076,0.086
10,0.5932,0.4868,0.4208
10,0.5796,0.67,0.2756
10,0.796,0.7644,0.4668
10,0.482,0.5728,0.1524
10,0.8568,0.9932,0.0832
10,0.044,0.0064,0.062
10,0.6944,0.0944,0.4824
10,0.914,0.9944,0.1848
10,0.1912,0.1536,0.3028
10,0.0544,0.0264,0.108
10,0.5536,0.7288,0.2588
10,0.9364,0.9976,0.1696
10,0.426,0.2012,0.406
10,0.5996,0.756,0.2548
10,0.966,0.9988,0.366
10,0.4852,0.644,0.1604
10,0.966,0.9964,0.378
10,0.9996,1,0.3148
10,0.4448,0.1892,0.334
10,0.6676,0.8968,0.1848
10,0.2096,0.034,0.2428
10,0.8856,0.9908,0.1536
10,0.406,0.3648,0.3008
10,0.9988,1,0.3424
10,0.2448,0.2964,0.28
10,0.0496,0.0488,0.0664
10,0.3876,0.3924,0.162
10,0.9212,0.9936,0.1276
10,0.4664,0.144,0.48
10,0.7424,0.9368,0.2308
10,0.2896,0.1692,0.368
10,0.9888,1,0.2552
10,0.3168,0.6404,0.1184
10,0.1672,0.314,0.0532
10,0.5104,0.8308,0.174
10,0.3336,0.0148,0.554
10,0.1656,0.0292,0.1428
20,0.708,0.1472,0.7256
20,0.9544,0.992,0.464
20,0.2844,0.1576,0.4424
20,0.9432,0.9288,0.7352
20,0.0648,0.0036,0.298
20,0.9452,0.9984,0.4672
20,0.998,1,0.7472
20,0.3232,0.1496,0.2852
20,0.9556,0.9944,0.5272
20,0.0684,8e-04,0.1668
20,0.4032,0.62,0.4024
20,0.9392,0.9816,0.7784
20,0.646,0.7624,0.6248
20,0.5512,0.274,0.7076
20,0.1616,0.0472,0.3756
20,0.6176,0.8148,0.1404
20,0.2996,0.7204,0.0424
20,0.0216,0.0036,0.2008
20,0.758,0.98,0.0392
20,0.7992,0.8012,0.3812
20,0.326,0.0868,0.2076
20,0.2968,0.534,0.1252
20,0.036,0.0156,0.1836
20,0.2592,0.1468,0.378
20,0.126,0.0032,0.402
20,0.9996,1,0.6276
20,0.726,0.9024,0.2652
20,0.8516,0.996,0.3512
20,0.7772,0.7768,0.488
20,0.8952,0.6356,0.7752
20,0.1524,0.0264,0.5336
20,0.3492,0.418,0.2104
20,0.3532,0.0544,0.416
20,0.6652,0.6616,0.358
20,0.8264,0.9832,0.1088
20,1,1,0.4636
20,1,1,0.8104
20,0.3248,0.032,0.2244
20,1,1,0.6788
20,0.3668,0.0048,0.73
20,0.992,1,0.4064
20,0.6228,0.8276,0.186
20,0.1516,0.2396,0.1764
20,0.9984,1,0.5236
20,0.1116,0.228,0.0732
20,0.6452,0.9952,0.02
20,1,1,0.9236
20,0.4636,0.3452,0.128
