"SNR","outMy","outGt","outEp"
0,0.0388,0.0544,0.044
0,0.0452,0.0496,0.0484
0,0.0416,0.0448,0.0408
0,0.0452,0.0464,0.0428
0,0.0456,0.0552,0.0472
0,0.04,0.05,0.0416
0,0.0432,0.056,0.0408
0,0.0396,0.0524,0.0396
0,0.0404,0.05,0.0372
0,0.0336,0.0468,0.0404
0,0.0444,0.0504,0.0484
0,0.0368,0.044,0.038
0,0.0352,0.052,0.0424
0,0.038,0.0432,0.0464
0,0.038,0.052,0.0396
0,0.0384,0.0472,0.0448
0,0.0396,0.0568,0.042
0,0.0532,0.0472,0.0496
0,0.0404,0.0548,0.0428
0,0.0452,0.0448,0.0456
0,0.0424,0.0496,0.038
0,0.0496,0.054,0.0496
0,0.0444,0.0492,0.0464
0,0.042,0.0512,0.0376
0,0.0416,0.0508,0.0412
0,0.0396,0.048,0.0436
0,0.0444,0.0472,0.0468
0,0.0392,0.05,0.0408
0,0.044,0.0476,0.036
0,0.0452,0.0492,0.0416
0,0.0448,0.0468,0.0444
0,0.0424,0.0488,0.044
0,0.0436,0.0404,0.0464
0,0.0384,0.0452,0.0376
0,0.0428,0.0452,0.0432
0,0.042,0.0504,0.046
0,0.0448,0.0512,0.0432
0,0.0392,0.0516,0.0468
0,0.0472,0.0596,0.0436
0,0.0432,0.0448,0.0416
0,0.0432,0.0468,0.0452
0,0.04,0.042,0.0404
0,0.0412,0.052,0.0448
0,0.0416,0.044,0.0444
0,0.0424,0.0496,0.0412
0,0.0404,0.044,0.042
0,0.04,0.042,0.0452
0,0.0448,0.046,0.0432
0,0.0388,0.0552,0.0372
0,0.0396,0.0528,0.0348
0,0.0456,0.056,0.0372
0,0.0452,0.0496,0.0468
0,0.0376,0.0488,0.042
0,0.0484,0.044,0.0484
0,0.0352,0.054,0.0404
0,0.0372,0.0432,0.0388
0,0.0408,0.0432,0.0424
0,0.0432,0.0548,0.0472
0,0.0404,0.058,0.0432
0,0.0372,0.052,0.0308
0,0.0396,0.052,0.0432
0,0.0424,0.052,0.0396
0,0.036,0.0472,0.0412
0,0.0452,0.0452,0.0408
0,0.0428,0.0528,0.04
0,0.0396,0.0576,0.0372
0,0.0428,0.0484,0.0376
0,0.0384,0.0532,0.0444
0,0.0384,0.0448,0.0412
0,0.0468,0.06,0.0448
0,0.0332,0.0488,0.0396
0,0.044,0.0476,0.0476
0,0.0444,0.0548,0.0448
0,0.0508,0.0548,0.046
0,0.0416,0.0564,0.0408
0,0.046,0.054,0.044
0,0.0464,0.0484,0.0452
0,0.0408,0.052,0.0424
0,0.0428,0.0496,0.0416
0,0.0368,0.0416,0.0452
0,0.0428,0.0476,0.0444
0,0.0392,0.0524,0.0388
0,0.0368,0.046,0.04
0,0.0432,0.0508,0.0476
0,0.0444,0.0516,0.0484
0,0.0452,0.0504,0.052
0,0.0416,0.0416,0.048
0,0.0412,0.0424,0.0432
0,0.0368,0.0532,0.0372
0,0.042,0.0532,0.0392
0,0.0352,0.0544,0.0416
0,0.0436,0.046,0.0416
0,0.0408,0.054,0.046
0,0.0392,0.0528,0.0452
0,0.0412,0.058,0.0432
0,0.0448,0.054,0.048
0,0.0376,0.0436,0.0412
0,0.038,0.0424,0.0392
0,0.0356,0.05,0.0376
0,0.0408,0.0424,0.0456
10,0.1444,0.2052,0.124
10,0.1912,0.1196,0.1776
10,0.0684,0.0328,0.168
10,0.6476,0.9624,0.0628
10,0.72,0.9508,0.2168
10,0.2188,0.0352,0.4044
10,0.4548,0.0592,0.3848
10,0.9716,0.9996,0.5536
10,0.0132,0.018,0.04
10,0.7596,0.6672,0.5716
10,0.4644,0.6884,0.216
10,0.744,0.5436,0.6064
10,0.0856,0.1,0.0708
10,0.2484,0.0896,0.2792
10,0.1016,0.0548,0.1308
10,0.9956,1,0.1616
10,0.2492,0.016,0.4468
10,0.1648,0.1828,0.1268
10,0.3788,0.422,0.212
10,0.526,0.71,0.1456
10,0.452,0.5784,0.3876
10,0.1348,0.0236,0.112
10,0.6428,0.8308,0.2404
10,0.6668,0.816,0.1708
10,0.9904,1,0.492
10,0.2512,0.5988,0.0596
10,0.1212,0.01,0.2896
10,0.3136,0.458,0.2004
10,0.1596,0.0784,0.1424
10,0.3616,0.204,0.31
10,0.9972,1,0.3948
10,0.3028,0.076,0.3488
10,0.0312,0.0036,0.068
10,0.5476,0.5664,0.3292
