"SNR","outMy","outGt","outEp"
0,0.045,0.085,0.04
0,0.02,0.025,0.02
0,0.025,0.065,0.04
0,0.03,0.035,0.05
0,0.05,0.07,0.025
0,0.075,0.085,0.06
0,0.035,0.02,0.06
0,0.04,0.045,0.015
0,0.07,0.045,0.05
0,0.02,0.035,0.035
0,0.065,0.065,0.03
0,0.075,0.03,0.035
0,0.04,0.035,0.03
0,0.035,0.035,0.04
0,0.05,0.055,0.035
0,0.045,0.04,0.035
0,0.02,0.05,0.015
0,0.06,0.065,0.03
0,0.02,0.055,0.04
0,0.06,0.03,0.065
0,0.045,0.045,0.05
0,0.055,0.06,0.02
0,0.06,0.05,0.025
0,0.075,0.06,0.06
0,0.075,0.05,0.04
0,0.065,0.03,0.05
0,0.035,0.045,0.02
0,0.04,0.05,0.02
0,0.035,0.065,0.015
0,0.06,0.095,0.04
0,0.06,0.06,0.035
0,0.085,0.07,0.05
0,0.055,0.035,0.035
0,0.025,0.045,0.03
0,0.06,0.055,0.035
0,0.015,0.035,0.04
0,0.03,0.05,0.03
0,0.05,0.07,0.045
0,0.065,0.04,0.035
0,0.06,0.075,0.035
0,0.03,0.045,0.035
0,0.04,0.03,0.04
0,0.045,0.08,0.025
0,0.03,0.055,0.02
0,0.025,0.035,0.035
0,0.06,0.06,0.035
0,0.03,0.06,0.03
0,0.06,0.05,0.025
0,0.055,0.075,0.015
0,0.065,0.055,0.035
10,0.615,0.005,0.435
10,0.245,0.015,0.17
10,0.055,0.085,0.04
10,0.2,0.05,0.055
10,0.16,0.05,0.08
10,0.08,0.025,0.06
10,0.07,0.01,0.045
10,0.17,0.035,0.17
10,0.04,0.01,0.215
10,0.525,0.07,0.435
10,0.025,0.005,0.045
10,0.465,0.015,0.155
10,0.3,0,0.42
10,0.855,0.065,0.38
10,0.975,0.005,0.205
10,0.175,0,0.01
10,0.88,0.035,0.145
10,0.53,0.03,0.185
10,0.16,0.015,0.15
10,0.19,0.105,0.125
10,0.32,0.375,0.105
10,0.065,0.02,0.175
10,0.295,0.035,0.15
10,0.095,0.015,0.15
10,0.53,0.09,0.075
10,0.04,0.01,0.105
10,0.7,0.01,0.075
10,0.08,0.02,0.275
10,0.765,0.06,0.205
10,0.06,0.025,0.055
10,0.76,0.01,0.26
10,0.255,0.035,0.12
10,0.03,0,0.15
10,0.23,0,0.12
10,0.12,0.03,0.2
10,0.11,0.025,0.125
10,0.6,0.04,0.41
10,0.285,0.03,0.225
10,0.555,0.02,0.55
10,0.5,0.53,0.03
10,0.475,0.025,0.08
10,0.58,0.01,0.31
10,0.02,0.015,0.01
10,0.775,0.055,0.2
10,0.245,0,0.555
10,0.835,0.155,0.13
10,0.29,0.015,0.425
10,0.98,0.015,0.405
10,0.105,0.015,0.105
10,0.21,0.015,0.29
20,0.225,0.33,0.06
20,0.375,0.01,0.63
20,0.66,0,0.49
20,0.91,0.375,0.11
20,0.875,0,0.655
20,0.075,0.005,0.345
20,0.51,0.08,0.045
20,0.03,0.02,0.11
20,0.02,0.01,0.02
20,0.63,0.19,0.02
20,0.12,0.005,0.245
20,0.34,0.005,0.095
20,0.125,0,0.275
20,0.62,0.005,0.63
20,0.545,0.095,0.195
20,0.23,0.14,0.12
20,0.03,0.005,0.175
20,0.8,0.02,0.315
20,0.135,0.005,0.1
20,0.96,0.25,0.08
20,0.26,0,0.125
20,0.985,0.185,0.08
20,0.95,0,0.69
20,0.995,0.76,0.37
20,0.445,0.665,0.12
20,0.045,0,0.16
20,0.99,0.36,0.27
20,1,0.535,0.45
20,0.5,0.04,0.3
20,0.56,0.015,0.28
20,0.23,0.11,0.16
20,0.21,0.01,0.13
20,0.49,0.01,0.67
20,0.91,0.005,0.385
20,0.315,0,0.305
20,0.14,0,0.52
20,0.23,0.085,0.045
20,0.71,0.015,0.36
20,0.975,0.055,0.79
20,0.14,0.025,0.185
20,0.66,0.07,0.24
20,0.975,0.045,0.26
20,0.115,0.005,0.225
20,0.825,0.12,0.55
20,1,0.52,0.315
20,0.04,0,0.19
20,0.4,0.095,0.495
20,0.83,0.06,0.635
20,1,0.025,0.505
20,0.2,0.01,0.455
30,0.68,0.32,0.225
30,0.84,0.03,0.11
30,0.14,0,0.46
30,0.805,0.045,0.255
30,0.985,0,0.96
30,1,0.175,0.685
30,0.385,0,0.405
30,0.115,0,0.535
30,0.36,0.02,0.64
30,0.025,0,0.08
30,0.095,0.35,0.015
30,0.63,0.15,0.33
30,1,0.625,0.16
30,0.925,0.25,0.43
30,0.02,0,0.03
30,0.98,0.04,0.355
30,1,0.115,0.395
30,0.54,0,0.795
30,0.035,0.005,0.03
30,0.03,0,0.1
30,0.02,0,0.105
30,0.59,0,0.28
30,0.71,0.175,0.595
30,0.855,0.01,0.36
30,0.16,0.005,0.395
30,1,0.005,0.86
30,0.545,0.24,0
30,1,0.045,0.935
30,0.695,0.045,0.37
30,0.26,0.125,0.03
30,0.24,0.1,0.165
30,1,0.975,0.02
30,0.895,0.42,0.515
30,0.975,0.08,0.475
30,0.34,0,0.425
30,0.115,0,0.67
30,0.64,0.035,0.725
30,0.505,0.22,0.05
30,0.515,0.025,0.755
30,0.77,0.02,0.365
30,0.415,0.145,0.005
30,0.995,0.015,0.3
30,0.275,0.065,0.13
30,0.325,0,0.34
30,1,0,0.675
30,0.52,0.44,0.185
30,0.6,0,0.18
30,0.79,0.11,0.88
30,0.255,0,0.595
30,0.51,0,0.495
