"SNR","outMy","outGt","outEp"
0,0.06,0.045,0.045
0,0.065,0.045,0.05
0,0.035,0.04,0.035
0,0.035,0.02,0.05
0,0.035,0.015,0.03
0,0.04,0.05,0.02
0,0.065,0.055,0.045
0,0.025,0.055,0.035
0,0.035,0.06,0.04
0,0.06,0.05,0.035
0,0.03,0.025,0.05
0,0.045,0.06,0.02
0,0.05,0.065,0.02
0,0.045,0.055,0.02
0,0.035,0.055,0.04
0,0.055,0.04,0.07
0,0.025,0.025,0.025
0,0.045,0.06,0.02
0,0.04,0.04,0.04
0,0.05,0.04,0.035
0,0.05,0.045,0.03
0,0.06,0.03,0.045
0,0.05,0.065,0.03
0,0.06,0.045,0.06
0,0.045,0.035,0.03
0,0.05,0.095,0.065
0,0.035,0.04,0.04
0,0.035,0.045,0.04
0,0.055,0.065,0.05
0,0.05,0.04,0.04
0,0.03,0.07,0.01
0,0.06,0.04,0.055
0,0.025,0.04,0.015
0,0.045,0.03,0.04
0,0.08,0.035,0.03
0,0.045,0.05,0.055
0,0.05,0.055,0.04
0,0.07,0.04,0.065
0,0.04,0.05,0.05
0,0.025,0.035,0.025
0,0.055,0.04,0.02
0,0.06,0.055,0.015
0,0.07,0.075,0.025
0,0.04,0.035,0.05
0,0.035,0.06,0.03
0,0.05,0.04,0.055
0,0.055,0.06,0.035
0,0.065,0.04,0.04
0,0.05,0.055,0.03
0,0.06,0.04,0.04
10,0.54,0.03,0.21
10,0.825,0.35,0.03
10,0.1,0.035,0.155
10,0.56,0.03,0.2
10,0.53,0.08,0.055
10,0.295,0.075,0.36
10,0.06,0.015,0.09
10,1,0.095,0.465
10,0.905,0.21,0.34
10,0.83,0.015,0.045
10,0.3,0.07,0.265
10,1,0.03,0.335
10,0.96,0.43,0.04
10,0.19,0.075,0.13
10,0.125,0.01,0.26
10,0.17,0.065,0.095
10,0.39,0.04,0.42
10,0.075,0.005,0.115
10,0.225,0.02,0.385
10,0.915,0.06,0.17
10,0.455,0.09,0.135
10,0.915,0.01,0.48
10,0.025,0,0.065
10,0.815,0.08,0.195
10,0.055,0.015,0.105
10,0.265,0.005,0.45
10,0.865,0.27,0.245
10,0.83,0.025,0.5
10,0.94,0.215,0.56
10,0.275,0.145,0.305
10,0.25,0.385,0.075
10,0.985,0.04,0.37
10,0.535,0.12,0.52
10,0.425,0.13,0.125
10,0.515,0.06,0.195
10,0.33,0,0.39
10,0.345,0.17,0.045
10,0.345,0.145,0.085
10,0.34,0.055,0.17
10,0.8,0.07,0.255
10,0.61,0.03,0.5
10,0.36,0.085,0.095
10,0.39,0.105,0.18
10,0.06,0.01,0.155
10,0.925,0.225,0.18
10,0.31,0.115,0.205
10,0.605,0.04,0.48
10,1,0.115,0.27
10,0.205,0.03,0.3
10,0.77,0.02,0.28
20,0.195,0.015,0.405
20,1,0.61,0.185
20,0.945,0.005,0.23
20,0.235,0.01,0.17
20,0.5,0.135,0.545
20,0.945,0.105,0.245
20,0.295,0,0.275
20,0.15,0.005,0.18
20,0,0.015,0.03
20,0.13,0.065,0.19
20,0.495,0.005,0.38
20,0.55,0.03,0.42
20,0.52,0.005,0.355
20,0.7,0.205,0.72
20,0.165,0.05,0.175
20,0.935,0,0.65
20,0.065,0.07,0.04
20,0.2,0.025,0.44
20,0.655,0,0.35
20,0.065,0,0.235
20,0.315,0,0.155
20,0.24,0.255,0.085
20,0.35,0.135,0.345
20,1,0.26,0.45
20,1,0.005,0.475
20,0.7,0,0.215
20,0.38,0.03,0.53
20,0.205,0.03,0.04
20,0.95,0.105,0.48
20,0.335,0.01,0.16
20,0.035,0.005,0.065
20,0.74,0.095,0.505
20,1,0.27,0.3
20,0.15,0.06,0.125
20,0.99,0.045,0.655
20,0.71,0.03,0.215
20,0.285,0.015,0.24
20,0.11,0,0.315
20,0.22,0,0.41
20,0.72,0,0.58
20,0.23,0.08,0.165
20,0.495,0.145,0.38
20,0.02,0.015,0.015
20,0.84,0.03,0.65
20,0.175,0.02,0.09
20,0.92,0.09,0.285
20,0.325,0.045,0.625
20,0.625,0.215,0.12
20,0.97,0.005,0.375
20,0.08,0.005,0.11
30,0.39,0.015,0.105
30,0.23,0.075,0.135
30,0.975,0.005,0.47
30,0.265,0,0.605
30,0.99,0.005,0.655
30,0.24,0.065,0.17
30,0.795,0.01,0.84
30,0.1,0.005,0.645
30,0.065,0,0.245
30,0.31,0,0.275
30,1,0.985,0.72
30,0.98,0.335,0.935
30,0.975,0.025,0.78
30,1,0.09,0.49
30,0.845,0,0.77
30,1,0.1,0.325
30,0.755,0,0.35
30,0.485,0.005,0.865
30,0.855,0.19,0.425
30,0.99,0.06,0.3
30,0,0,0.01
30,0.645,0.015,0.655
30,0.875,0.215,0.675
30,0.29,0,0.755
30,1,0.015,0.65
30,1,0.535,0.695
30,0,0.01,0.045
30,0.09,0,0.35
30,0.995,0,0.72
30,0.025,0,0.06
30,0.025,0.045,0.25
30,0.225,0.03,0.05
30,0.73,0.055,0.105
30,0.37,0.33,0.055
30,1,0.08,0.75
30,0.9,0.3,0.755
30,0.87,0.11,0.02
30,1,0.715,0.03
30,0.975,0,0.585
30,1,0.22,0.105
30,1,0,0.515
30,0.085,0.04,0.57
30,0.3,0.06,0.31
30,0.89,0.01,0.475
30,0.045,0,0.55
30,0.69,0.05,0.635
30,1,0.265,0.15
30,0.235,0.005,0.405
30,0.66,0.005,0.55
30,0.245,0.005,0.43
