"SNR","outMy","outGt","outEp"
0,0.075,0.06,0.02
0,0.025,0.055,0.055
0,0.06,0.065,0.065
0,0.03,0.04,0.06
0,0.035,0.065,0.03
0,0.065,0.045,0.025
0,0.05,0.06,0.065
0,0.045,0.03,0.02
0,0.03,0.035,0.03
0,0.065,0.05,0.045
0,0.045,0.03,0.045
0,0.025,0.04,0.035
0,0.06,0.07,0.03
0,0.055,0.045,0.045
0,0.03,0.025,0.03
0,0.035,0.04,0.05
0,0.025,0.045,0.02
0,0.065,0.03,0.05
0,0.065,0.07,0.015
0,0.06,0.03,0.025
0,0.03,0.02,0.025
0,0.04,0.07,0.025
0,0.03,0.04,0.06
0,0.065,0.05,0.055
0,0.05,0.06,0.03
0,0.025,0.04,0.01
0,0.06,0.06,0.055
0,0.05,0.05,0.035
0,0.08,0.075,0.08
0,0.075,0.065,0.025
0,0.03,0.065,0.035
0,0.06,0.08,0.04
0,0.04,0.045,0.035
0,0.05,0.075,0.025
0,0.065,0.04,0.045
0,0.055,0.045,0.045
0,0.055,0.07,0.035
0,0.04,0.03,0.04
0,0.035,0.03,0.055
0,0.05,0.03,0.04
0,0.05,0.055,0.03
0,0.045,0.045,0.035
0,0.01,0.02,0.03
0,0.07,0.04,0.035
0,0.055,0.06,0.035
0,0.035,0.045,0.035
0,0.055,0.07,0.05
0,0.04,0.075,0.035
0,0.055,0.035,0.03
0,0.06,0.07,0.04
10,0.035,0.015,0.06
10,0.23,0.005,0.375
10,0.035,0.065,0.055
10,0.545,0.05,0.13
10,0.235,0.05,0.29
10,0.605,0.035,0.235
10,0.87,0.21,0.16
10,0.695,0,0.49
10,0.235,0.11,0.135
10,0.335,0.055,0.175
10,0.22,0.045,0.265
10,0.58,0.15,0.24
10,0.715,0.1,0.09
10,0.98,0.265,0.125
10,1,0.155,0.47
10,0.12,0,0.245
10,0.07,0.035,0.05
10,0.83,0.02,0.155
10,0.84,0.03,0.2
10,0.51,0.015,0.3
10,0.6,0.005,0.57
10,1,0.19,0.32
10,0.035,0.06,0.105
10,1,0.06,0.135
10,0.27,0.09,0.23
10,1,0.795,0.145
10,0.125,0.02,0.175
10,0.635,0.1,0.24
10,0.065,0.05,0.08
10,0.295,0.055,0.17
10,0.255,0.17,0.215
10,0.095,0.02,0.135
10,1,0.16,0.285
10,0.5,0.21,0.04
10,0.405,0.05,0.31
10,0.05,0,0.3
10,0.895,0.035,0.165
10,0.48,0.28,0.205
10,0.015,0.005,0.03
10,0.09,0.035,0.18
10,0.91,0.13,0.245
10,0.915,0.265,0.245
10,0.235,0.01,0.225
10,0.065,0.075,0.23
10,0.78,0.065,0.225
10,0.055,0.01,0.135
10,0.54,0.125,0.075
10,0.915,0.105,0.135
10,0.065,0.005,0.125
10,0.295,0.095,0.28
20,0.03,0.045,0.125
20,0.785,0.845,0.41
20,0.225,0.01,0.23
20,0.88,0,0.05
20,0.31,0,0.37
20,1,0.985,0.005
20,0.115,0,0.605
20,0.925,0.08,0.355
20,0.06,0.095,0.105
20,1,0.98,0.19
20,0.495,0.065,0.26
20,0.995,0.02,0.74
20,1,0.005,0.655
20,0.14,0.02,0.065
20,0.44,0.025,0.36
20,0.65,0.225,0.08
20,0.93,0.125,0.415
20,0.435,0,0.315
20,0.76,0.15,0.195
20,0.8,0.11,0.39
20,0.37,0.035,0.095
20,0.84,0.005,0.515
20,1,0.62,0.465
20,0.695,0.035,0.155
20,0.035,0.025,0.075
20,0.225,0.025,0.25
20,0.995,0.07,0.195
20,0.925,0,0.74
20,0.695,0.2,0.44
20,0.75,0.01,0.38
20,0.1,0.01,0.155
20,0.105,0.02,0.28
20,0.675,0.035,0.425
20,0.28,0.02,0.4
20,1,0.495,0.175
20,0.555,0,0.84
20,0.965,0.065,0.495
20,0.66,0.005,0.35
20,0.895,0.005,0.115
20,0.435,0.005,0.665
20,0.94,0,0.35
20,0.795,0.2,0.54
20,0.135,0.005,0.145
20,0.415,0.035,0.385
20,0.71,0.015,0.205
20,0.805,0.015,0.35
20,1,0,0.18
20,0.195,0,0.315
20,1,0.715,0.135
20,0.265,0.055,0.35
30,0.39,0.035,0.34
30,0.655,0,0.89
30,0.885,0.08,0.46
30,0.55,0,0
30,0.93,0.005,0.895
30,0.985,0.005,0.595
30,0.175,0.005,0.3
30,0.4,0.025,0.01
30,0.835,0,0.88
30,1,0.315,0.11
30,0.01,0.005,0.045
30,0.09,0,0.115
30,0.875,0.005,0.795
30,0.665,0,0.665
30,0.755,0.005,0.345
30,0.95,0,0.77
30,0.125,0,0.74
30,0.24,0.01,0.045
30,0.805,0.025,0.09
30,0.98,0.015,0.25
30,0.065,0.01,0.005
30,0.32,0,0.95
30,0.03,0,0.145
30,0.495,0.255,0.385
30,0.995,0.16,0.475
30,0.27,0.01,0.39
30,0.295,0,0.155
30,0.03,0,0.05
30,0.03,0.02,0.02
30,0.96,0.01,0.61
30,0.22,0,0.475
30,0.645,0,0.49
30,0.595,0,0.605
30,0.145,0,0.39
30,0.7,0,0.16
30,0.03,0,0.34
30,0.14,0.07,0.005
30,0.805,0.1,0.28
30,0.905,0.075,0.065
30,1,0.22,0.695
30,0.01,0,0.055
30,0.585,0,0.14
30,0.845,0.01,0.78
30,0.23,0.08,0.145
30,0.255,0,0.36
30,0.67,0,0.025
30,0.035,0,0.14
30,0.77,0,0.79
30,0.415,0.005,0.72
30,0.87,0,0.82
