"SNR","outMy","outGt","outEp"
0,0.065,0.06,0.065
0,0.045,0.045,0.03
0,0.05,0.055,0.03
0,0.02,0.05,0.05
0,0.06,0.04,0.045
0,0.035,0.025,0.025
0,0.03,0.07,0.015
0,0.03,0.07,0.03
0,0.05,0.085,0.02
0,0.05,0.08,0.065
0,0.065,0.045,0.04
0,0.045,0.065,0.03
0,0.035,0.06,0.02
0,0.045,0.07,0.025
0,0.045,0.045,0.025
0,0.055,0.05,0.035
0,0.04,0.05,0.025
0,0.04,0.055,0.045
0,0.05,0.055,0.015
0,0.045,0.035,0.025
0,0.04,0.05,0.05
0,0.035,0.06,0.035
0,0.04,0.045,0.03
0,0.015,0.025,0.035
0,0.04,0.065,0.05
0,0.04,0.035,0.035
0,0.055,0.045,0.055
0,0.05,0.045,0.03
0,0.09,0.04,0.035
0,0.045,0.045,0.005
0,0.03,0.03,0.06
0,0.035,0.07,0.03
0,0.04,0.04,0.02
0,0.06,0.04,0.035
0,0.075,0.065,0.04
0,0.06,0.07,0.02
0,0.085,0.035,0.06
0,0.04,0.065,0.045
0,0.025,0.07,0.01
0,0.02,0.035,0.025
0,0.04,0.045,0.03
0,0.045,0.055,0.045
0,0.035,0.055,0.035
0,0.055,0.06,0.045
0,0.065,0.07,0.045
0,0.055,0.045,0.05
0,0.04,0.055,0.05
0,0.035,0.035,0.045
0,0.04,0.035,0.045
0,0.045,0.045,0.05
10,0.13,0,0.14
10,0.25,0,0.35
10,0.27,0.01,0.475
10,0.225,0.01,0.2
10,1,0.06,0.225
10,0.03,0.01,0.08
10,0.325,0.02,0.12
10,0.98,0.09,0.09
10,0.345,0.015,0.38
10,1,0.05,0.195
10,0.51,0.115,0.22
10,0.89,0.05,0.605
10,0.055,0.005,0.085
10,0.07,0.015,0.09
10,0.075,0.03,0.155
10,0.225,0.025,0.22
10,0.26,0.145,0.16
10,0.995,0.11,0.22
10,0.02,0,0.08
10,0.93,0.055,0.17
10,0.63,0.015,0.075
10,0.455,0.085,0.155
10,0.57,0.01,0.22
10,0.975,0.52,0.13
10,0.065,0,0.135
10,0.105,0,0.365
10,0.91,0.055,0.14
10,0.365,0.02,0.05
10,0.04,0.015,0.08
10,0.06,0.03,0.125
10,0.96,0.05,0.58
10,0.96,0.015,0.065
10,0.22,0.02,0.14
10,0.025,0.005,0.145
10,0.14,0.03,0.225
10,0.43,0.035,0.535
10,0.13,0.1,0.175
10,0.915,0.06,0.12
10,0.035,0.02,0.035
10,0.275,0.04,0.225
10,0.235,0.03,0.125
10,0.155,0.23,0.055
10,0.875,0.095,0.165
10,0.05,0.05,0.22
10,0.745,0.315,0.335
10,0.34,0.005,0.17
10,0.05,0.025,0.18
10,0.205,0.015,0.145
10,0.68,0.065,0.31
10,0.87,0.11,0.55
20,0.435,0.015,0.165
20,0.725,0.055,0.565
20,0.235,0.025,0.145
20,0.08,0,0.125
20,0.035,0.08,0.01
20,0.08,0.005,0.12
20,0.015,0,0.155
20,0.515,0.08,0.585
20,0.055,0.045,0.025
20,0.475,0.115,0.055
20,0.385,0.11,0.54
20,0.225,0.005,0.19
20,0.02,0,0.115
20,0.195,0,0.15
20,0.24,0.135,0.38
20,1,0.04,0.185
20,1,0.125,0.175
20,0.22,0.055,0.255
20,0.24,0.02,0.225
20,0.54,0,0.715
20,0.72,0.06,0.07
20,0.12,0.035,0.065
20,0.84,0.02,0.155
20,1,0.3,0.5
20,0.075,0,0.175
20,0.93,0.105,0.77
20,0.825,0.01,0.675
20,0.875,0.04,0.175
20,0.915,0.01,0.01
20,0.48,0,0.515
20,0.815,0.01,0.125
20,0.215,0.045,0.15
20,1,0.9,0.23
20,0.195,0.01,0.41
20,0.71,0.035,0.785
20,0.905,0.06,0.49
20,0.75,0.005,0.58
20,0.88,0.03,0.315
20,0.045,0.015,0.165
20,0.705,0,0.52
20,0.11,0.005,0.345
20,1,0.71,0.01
20,0.875,0.31,0.67
20,0.95,0,0.34
20,0.275,0.04,0.22
20,0.285,0.425,0.05
20,0.14,0.005,0.23
20,0.425,0.17,0.34
20,0.67,0.035,0.745
20,0.12,0.005,0.135
30,0.29,0.01,0.485
30,0.09,0.005,0.35
30,0.43,0.105,0.115
30,0.035,0.005,0.11
30,0.2,0.015,0.4
30,0.16,0.215,0.045
30,0.7,0.04,0.39
30,1,0.015,0.61
30,1,0.265,0.68
30,0.635,0.035,0.825
30,0.995,0.045,0.235
30,1,0,0.93
30,1,0.13,0.525
30,1,0.005,0.69
30,0.135,0,0.27
30,0.945,0.36,0.93
30,1,0.085,0.905
30,1,0.235,0.79
30,0.995,0,0.145
30,0.98,0,0.565
30,0.185,0,0.525
30,0.295,0.02,0.24
30,0.98,0.01,0.965
30,1,0.35,0.975
30,0.505,0.28,0.44
30,0.975,0.125,0.94
30,0.735,0.09,0.49
30,0.63,0,0.89
30,1,0.805,0.365
30,0.22,0,0.495
30,0.99,0,0.89
30,0.35,0,0.18
30,0.995,0,0.83
30,0.605,0,0.81
30,1,0.09,0.5
30,0.145,0.04,0.145
30,0.535,0.035,0.375
30,0.435,0,0.22
30,0.105,0.025,0.025
30,1,0.29,0.58
30,0.26,0.01,0.375
30,1,0.035,0.945
30,0.27,0,0.315
30,0.045,0.02,0.315
30,0.785,0.5,0.01
30,1,0.87,0.045
30,0.93,0.985,0.12
30,0.24,0.005,0.555
30,0.655,0.475,0.195
30,0.43,0,0.175
