"SNR","outMy","outGt","outEp"
0,0.0528,0.0464,0.032
0,0.056,0.0472,0.028
0,0.0544,0.0516,0.0332
0,0.0548,0.0508,0.0344
0,0.0536,0.0476,0.0368
0,0.0528,0.0464,0.036
0,0.0532,0.0484,0.0312
0,0.0568,0.048,0.0368
0,0.0524,0.0408,0.0352
0,0.0464,0.05,0.032
0,0.0504,0.0472,0.0312
0,0.0572,0.0544,0.038
0,0.0528,0.0476,0.0356
0,0.0596,0.0552,0.0356
0,0.0584,0.0532,0.0384
0,0.0592,0.0512,0.0332
0,0.056,0.0464,0.03
0,0.054,0.0512,0.0356
0,0.0512,0.0484,0.0316
0,0.052,0.0532,0.0332
0,0.06,0.0492,0.0304
0,0.0516,0.0564,0.0292
0,0.0464,0.0476,0.0388
0,0.0568,0.0528,0.0336
0,0.0552,0.0568,0.0284
0,0.056,0.0472,0.0372
0,0.0508,0.0512,0.0308
0,0.0524,0.0496,0.0404
0,0.0532,0.0512,0.0328
0,0.0584,0.0444,0.042
0,0.0588,0.0476,0.0348
0,0.0544,0.0512,0.0356
0,0.0608,0.0532,0.0304
0,0.0588,0.0456,0.0396
0,0.0556,0.0476,0.0304
0,0.0612,0.0544,0.0368
0,0.0612,0.0548,0.0348
0,0.0512,0.0468,0.0316
0,0.0616,0.048,0.0336
0,0.06,0.0472,0.0408
0,0.0612,0.0432,0.04
0,0.0584,0.0524,0.0356
0,0.0472,0.0368,0.0356
0,0.0564,0.0484,0.0368
0,0.044,0.0456,0.0252
0,0.0544,0.0568,0.0352
0,0.06,0.0512,0.036
0,0.0616,0.0576,0.0372
0,0.046,0.0408,0.0316
0,0.0584,0.0516,0.0332
0,0.056,0.0516,0.042
0,0.0648,0.052,0.042
0,0.056,0.0464,0.0364
0,0.0468,0.0472,0.0352
0,0.05,0.0464,0.0276
0,0.058,0.0476,0.038
0,0.0532,0.0492,0.0324
0,0.058,0.0548,0.0276
0,0.0508,0.04,0.0324
0,0.0568,0.0452,0.034
0,0.0576,0.0472,0.0332
0,0.0596,0.0476,0.0328
0,0.0548,0.0504,0.0332
0,0.0528,0.0408,0.0316
0,0.0544,0.0576,0.042
0,0.0504,0.044,0.0324
0,0.0524,0.0516,0.0336
0,0.0512,0.0444,0.0348
0,0.0548,0.0508,0.0336
0,0.0516,0.0492,0.0324
0,0.0524,0.0468,0.0324
0,0.05,0.05,0.0296
0,0.0572,0.052,0.0316
0,0.06,0.0544,0.0328
0,0.056,0.0552,0.0316
0,0.064,0.05,0.0372
0,0.0548,0.0492,0.034
0,0.0512,0.0472,0.0388
0,0.052,0.048,0.0312
0,0.0512,0.046,0.0288
0,0.0644,0.0552,0.0376
0,0.05,0.0508,0.0284
0,0.0564,0.052,0.0352
0,0.052,0.0496,0.0316
0,0.0612,0.0576,0.0332
0,0.0696,0.0596,0.0352
0,0.0556,0.054,0.0336
0,0.0584,0.052,0.0332
0,0.0512,0.0512,0.0316
0,0.0492,0.0428,0.0252
0,0.0604,0.0492,0.0308
0,0.0596,0.0508,0.0384
0,0.0576,0.056,0.0304
0,0.0568,0.0448,0.0324
0,0.05,0.05,0.0316
0,0.0536,0.0516,0.0312
0,0.0596,0.0556,0.0308
0,0.0588,0.0536,0.0324
0,0.0608,0.0544,0.034
0,0.0592,0.0532,0.038
10,0.5456,0.3904,0.402
10,0.7164,0.5928,0.658
10,0.7724,0.7348,0.666
10,0.74,0.8088,0.6596
10,0.7316,0.5248,0.7952
10,0.5772,0.52,0.4944
10,0.97,0.9652,0.8392
10,0.9984,0.9996,0.984
10,0.2704,0.1804,0.1124
10,0.2096,0.1088,0.1368
10,0.884,0.9464,0.498
10,0.1836,0.0252,0.4144
10,0.64,0.5628,0.5564
10,0.798,0.6472,0.5228
10,0.58,0.278,0.5504
10,0.3696,0.2876,0.5384
10,0.8268,0.8628,0.4632
10,0.7764,0.7664,0.3716
10,0.9812,0.9924,0.7204
10,0.6208,0.49,0.5476
10,0.4224,0.1408,0.5516
10,0.132,0.1856,0.0516
10,0.9972,0.9972,0.9748
10,0.9708,0.9636,0.9388
10,0.2684,0.1664,0.2888
10,0.7444,0.6672,0.5956
10,0.3132,0.2524,0.4216
10,0.6004,0.6428,0.4156
10,0.3292,0.5232,0.1808
10,0.468,0.4432,0.3104
10,0.6764,0.8468,0.5264
10,0.6836,0.7396,0.7028
10,0.9816,0.9996,0.7136
10,0.6596,0.4804,0.4672
10,0.4316,0.0876,0.2504
10,0.954,0.9436,0.9416
10,0.9908,0.9988,0.8024
10,0.51,0.4428,0.3704
10,0.4868,0.2,0.3688
10,0.668,0.6376,0.5208
10,0.626,0.2948,0.5608
10,0.5224,0.632,0.3656
10,0.804,0.96,0.2456
10,0.8476,0.8692,0.8424
10,0.8696,0.5852,0.684
10,0.376,0.1188,0.4592
10,0.7096,0.7276,0.4688
10,0.6664,0.6376,0.7064
10,0.6512,0.3948,0.3104
10,0.8216,0.8372,0.6128
10,0.444,0.1916,0.4524
10,0.8056,0.6104,0.8168
10,0.7004,0.7004,0.4896
10,0.4716,0.5868,0.3392
10,0.7692,0.8316,0.712
10,0.9292,0.9292,0.8052
10,0.4508,0.2516,0.4492
10,0.6384,0.4,0.5984
10,0.9732,0.946,0.874
10,0.6352,0.534,0.3024
10,0.4428,0.6024,0.23
10,0.0584,0.038,0.0492
10,0.8416,0.7596,0.6652
10,0.3528,0.3908,0.3592
10,0.6944,0.6748,0.3612
10,0.9364,0.974,0.7076
10,0.956,0.9784,0.9124
10,0.8848,0.8192,0.5276
10,0.8868,0.942,0.8136
10,0.54,0.342,0.6316
10,0.2676,0.1464,0.3916
10,0.8716,0.78,0.7864
10,0.5428,0.2308,0.5116
10,0.924,0.8432,0.944
10,0.7316,0.7952,0.6064
10,0.52,0.3052,0.7392
10,0.8288,0.8268,0.6364
10,0.6804,0.642,0.6184
10,0.4624,0.4964,0.3344
10,0.9976,0.9992,0.9448
10,0.7196,0.878,0.3384
10,0.3504,0.1464,0.148
10,0.9224,0.9912,0.502
10,0.7468,0.5068,0.8512
10,0.728,0.7396,0.5532
10,0.832,0.7876,0.7324
10,0.9084,0.7496,0.8724
10,0.2172,0.1876,0.0892
10,0.7804,0.568,0.458
10,0.9884,0.9932,0.9252
10,0.9584,0.8952,0.8148
10,0.9956,0.9984,0.9704
10,0.0632,0.0272,0.1344
10,0.7784,0.7572,0.76
10,0.7936,0.862,0.6804
10,0.7708,0.736,0.6896
10,0.9276,0.8648,0.8864
10,0.3192,0.2688,0.418
10,0.4152,0.058,0.3412
10,0.518,0.4432,0.4384
20,0.9576,0.8388,0.8416
20,0.988,0.9852,0.7896
20,0.6868,0.5792,0.3068
20,0.586,0.6572,0.5976
20,0.5296,0.8536,0.4764
20,0.9708,0.9056,0.9616
20,0.9176,0.8252,0.7768
20,0.8384,0.928,0.6172
20,0.1988,0.5028,0.12
20,0.364,0.2776,0.2988
20,0.9804,0.5756,0.9008
20,0.3476,0.1232,0.3256
20,0.7636,0.3908,0.8908
20,0.602,0.2908,0.4488
20,0.9972,0.9976,0.9916
20,0.4428,0.2788,0.3052
20,0.2572,0.0984,0.488
20,1,0.9996,0.9976
20,0.9948,0.9992,0.9064
20,0.766,0.5872,0.8048
20,0.8248,0.954,0.7216
20,0.9992,1,0.9704
20,0.744,0.714,0.8472
20,1,1,1
20,0.52,0.1032,0.9664
20,0.8992,0.8096,0.908
20,0.7928,0.7816,0.5328
20,0.478,0.6864,0.284
20,0.2012,0.0388,0.5232
20,0.9696,0.9516,0.9416
20,0.9644,0.9824,0.9112
20,0.952,0.944,0.9656
20,1,1,1
20,0.9972,0.9996,0.944
20,0.9644,0.8296,0.9464
20,0.9948,0.9976,0.7608
20,0.27,0.2004,0.6196
20,1,1,0.9956
20,0.2836,0.2296,0.2384
20,0.348,0.1208,0.546
20,0.824,0.4612,0.9644
20,0.5076,0.2288,0.836
20,0.9804,0.8748,0.9852
20,0.986,0.992,0.9728
20,0.6344,0.6924,0.4192
20,0.6752,0.4452,0.4808
20,0.6344,0.218,0.7152
20,0.5332,0.5544,0.4356
20,0.4704,0.4736,0.132
20,0.966,0.7468,0.7712
20,0.9936,0.9984,0.9108
20,0.6072,0.7176,0.5576
20,0.9992,0.9896,0.9524
20,0.9568,0.9664,0.9256
20,0.9148,0.8916,0.92
20,0.2024,0.1192,0.5048
20,1,1,0.9948
20,0.4904,0.5652,0.6084
20,0.9116,0.976,0.7376
20,0.978,0.968,0.8624
20,0.9892,0.9712,0.9636
20,0.868,0.7932,0.8176
20,0.958,0.9884,0.7588
20,0.9996,0.9996,0.9908
20,0.9796,0.9996,0.8016
20,0.3788,0.246,0.4036
20,0.1388,0.1548,0.1684
20,0.8792,0.6,0.6604
20,0.7724,0.9048,0.548
20,0.9972,0.9972,0.992
20,0.928,0.9124,0.7612
20,0.8716,0.532,0.8056
20,0.7616,0.5844,0.5124
20,0.9636,0.9892,0.3132
20,0.8904,0.8576,0.706
20,1,0.998,0.994
20,0.9172,0.8268,0.8456
20,0.8788,0.8428,0.5556
20,0.9844,0.9916,0.8176
20,0.942,0.882,0.8716
20,0.9976,0.9972,0.9628
20,0.6936,0.666,0.1192
20,0.9376,0.9252,0.9568
20,0.9992,0.9884,0.9976
20,0.9784,0.5696,0.9492
20,0.9768,0.9908,0.8732
20,0.9996,0.9976,0.9992
20,0.984,0.998,0.8828
20,0.844,0.9184,0.6996
20,0.9768,0.986,0.9208
20,1,1,0.998
20,0.9976,0.9992,0.9572
20,0.9964,0.9972,0.9752
20,0.7744,0.3984,0.8476
20,0.6308,0.0664,0.7548
20,0.9564,0.9992,0.8044
20,0.3844,0.1268,0.5708
20,0.5668,0.2168,0.548
20,0.9148,0.554,0.7324
20,0.9732,0.65,0.9764
30,0.9872,0.9176,0.962
30,0.9988,0.9564,1
30,0.9912,0.6168,1
30,0.4724,0.1596,0.4764
30,0.9996,1,0.9924
30,0.0576,0.0692,0.0216
30,0.1864,0.1908,0.4392
30,0.9984,0.994,0.9764
30,0.9988,1,0.9856
30,0.9972,0.9084,0.984
30,0.6828,0.8948,0.4356
30,0.952,0.998,0.726
30,0.9944,1,0.9936
30,1,0.9992,1
30,1,1,0.9596
30,0.86,0.98,0.5124
30,0.5048,0.5376,0.4316
30,0.8344,0.696,0.5156
30,0.9984,1,0.8964
30,0.9828,0.982,0.9136
30,0.8732,0.592,0.9728
30,0.998,0.9984,0.9552
30,0.5616,0.2916,0.8144
30,0.3488,0.3304,0.29
30,1,1,1
30,0.888,0.8416,0.7544
30,1,1,0.978
30,0.168,0.224,0.0584
30,0.9964,0.9996,0.9404
30,0.926,0.4668,0.8952
30,0.0188,0.0084,0.008
30,0.9188,0.4164,0.9944
30,0.0732,0.0124,0.552
30,0.9972,0.9984,0.9968
30,0.3824,0.6792,0.0376
30,0.6824,0.566,0.5988
30,0.2412,0.1996,0.0444
30,0.998,1,0.9648
30,1,1,0.9964
30,0.5452,0.0296,0.9092
30,0.9264,0.9676,0.928
30,0.8868,0.662,0.6784
30,1,1,0.9996
30,0.9668,0.786,0.9256
30,0.9888,0.9936,0.6592
30,0.9996,0.9996,0.9824
30,0.9996,1,0.832
30,0.8604,0.532,0.8676
30,0.9896,0.984,0.972
30,0.2892,0.2116,0.364
30,0.9996,1,0.996
30,0.9988,1,0.9888
30,0.9924,0.8588,0.9964
30,0.7544,0.4564,0.8172
30,0.5412,0.1488,0.4848
30,1,1,0.9996
30,0.7052,0.5016,0.9288
30,0.1988,0.0084,0.6844
30,1,1,0.998
30,0.9292,0.8356,0.892
30,0.98,0.8764,0.9096
30,0.218,0.1604,0.1484
30,0.9936,0.984,0.9904
30,0.97,0.9368,0.9152
30,1,1,0.9996
