"SNR","outMy","outGt","outEp"
0,0.0312,0.0484,0.0344
0,0.036,0.0472,0.0304
0,0.0356,0.0452,0.032
0,0.036,0.0572,0.0356
0,0.036,0.0548,0.0344
0,0.034,0.0436,0.0268
0,0.0428,0.0484,0.0416
0,0.0332,0.0488,0.0388
0,0.0312,0.052,0.0276
0,0.0356,0.0488,0.034
0,0.0376,0.0504,0.036
0,0.0332,0.0476,0.032
0,0.04,0.0516,0.0364
0,0.0312,0.0488,0.026
0,0.0384,0.056,0.0384
0,0.0368,0.046,0.0376
0,0.0336,0.0528,0.0256
0,0.0324,0.0544,0.0396
0,0.032,0.0496,0.034
0,0.0368,0.0544,0.0348
0,0.0356,0.0532,0.0328
0,0.0292,0.044,0.0336
0,0.0284,0.0432,0.038
0,0.0328,0.0452,0.032
0,0.0336,0.0432,0.0392
0,0.0376,0.0488,0.0396
0,0.0372,0.0488,0.03
0,0.0292,0.046,0.0344
0,0.0312,0.0492,0.0348
0,0.0364,0.0512,0.0344
0,0.03,0.0376,0.0364
0,0.0352,0.05,0.0332
0,0.0364,0.0512,0.0316
0,0.0364,0.048,0.028
0,0.0372,0.0464,0.0368
0,0.0364,0.0516,0.03
0,0.0416,0.0584,0.0304
0,0.0324,0.0468,0.0376
0,0.0328,0.046,0.0336
0,0.0296,0.05,0.026
0,0.0344,0.0476,0.0324
0,0.0344,0.0548,0.0332
0,0.0392,0.0556,0.0284
0,0.0388,0.0552,0.0388
0,0.0364,0.0544,0.0352
0,0.036,0.0612,0.0324
0,0.0328,0.0448,0.038
0,0.0376,0.05,0.0336
0,0.0384,0.0548,0.0356
0,0.0332,0.0428,0.0348
0,0.032,0.0392,0.032
0,0.0336,0.0476,0.034
0,0.0396,0.048,0.034
0,0.0364,0.0472,0.038
0,0.0312,0.0464,0.03
0,0.0376,0.0496,0.0308
0,0.0332,0.0484,0.034
0,0.0344,0.0456,0.0304
0,0.0396,0.0532,0.0436
0,0.0328,0.0444,0.0356
0,0.0376,0.0552,0.0356
0,0.0328,0.0496,0.0332
0,0.0352,0.0476,0.0364
0,0.0364,0.056,0.0364
0,0.034,0.0508,0.0336
0,0.0356,0.048,0.0372
0,0.0336,0.0484,0.0328
0,0.0348,0.054,0.034
0,0.0348,0.0544,0.0328
0,0.0328,0.0408,0.0316
0,0.0344,0.0516,0.032
0,0.0292,0.0496,0.0332
0,0.0324,0.0532,0.03
0,0.0384,0.0548,0.0304
0,0.0252,0.0464,0.0332
0,0.0364,0.052,0.0392
0,0.0404,0.0576,0.042
0,0.0312,0.0436,0.034
0,0.028,0.0464,0.04
0,0.028,0.046,0.0312
0,0.036,0.0508,0.0388
0,0.0344,0.0532,0.036
0,0.034,0.0508,0.0328
0,0.0416,0.056,0.0336
0,0.0388,0.0488,0.0324
0,0.04,0.058,0.0356
0,0.0392,0.0524,0.034
0,0.0328,0.0472,0.0336
0,0.0396,0.0544,0.04
0,0.0404,0.0536,0.0364
0,0.0384,0.0512,0.038
0,0.0364,0.0508,0.0324
0,0.0356,0.0428,0.0352
0,0.0364,0.0508,0.034
0,0.0324,0.0464,0.0352
0,0.0376,0.05,0.0332
0,0.0376,0.0544,0.0372
0,0.0328,0.0428,0.0368
0,0.0396,0.0524,0.0312
0,0.0316,0.046,0.0328
10,0.1724,0.046,0.4268
10,0.8532,0.7756,0.422
10,0.0236,0.0412,0.0584
10,0.8912,0.9716,0.474
10,0.6944,0.8264,0.158
10,0.5784,0.8072,0.2196
10,0.3184,0.342,0.1012
10,0.7136,0.9844,0.0204
10,0.0128,0.0068,0.1172
10,0.1388,0.3336,0.004
10,0.002,0.0028,0.0864
10,0.9996,0.9996,0.1004
10,0.8832,0.9888,0.2248
10,0.1096,0.07,0.0896
10,0.1612,0.0248,0.432
10,0.8108,0.9016,0.3748
10,0.7036,0.826,0.1752
10,0.0448,0.004,0.2868
10,1,1,0.8368
10,0.0056,0.0012,0.0416
10,0.9568,0.9568,0.4108
10,0.9004,0.6968,0.6132
10,0.1208,0.1196,0.0716
10,0,0,0.0036
10,0.0884,0.0612,0.0932
10,0.0156,0.0032,0.1172
10,0.0016,0.0184,4e-04
10,0.0628,0.09,0.014
10,0.936,0.9956,0.1844
10,0.4196,0.2696,0.1172
10,0.458,0.796,0.0044
10,0.9796,0.9844,0.722
10,0.166,0.318,0.0152
10,0.1408,0.6388,0
10,0.5872,0.7784,0.132
10,0.5596,0.6816,0.2892
10,0.0316,0.0252,0.0672
10,0.5104,0.7648,0.0556
10,0.0032,0,0.1108
10,0.8512,0.8536,0.4672
10,0.0056,0.0016,0.0172
10,0.0868,0.0908,0.22
10,0.8836,0.8564,0.0604
10,0.2392,0.106,0.4796
10,0.6156,0.8828,0.0468
10,0.3348,0.1876,0.5456
10,0.0656,0.104,0.1632
10,0.0608,0.1068,0.0496
10,0.1976,0.1528,0.1948
10,0.0476,0.3384,0.0112
10,8e-04,4e-04,0.0244
10,0.0012,0.0016,0.146
10,0.72,0.88,0.1952
10,0.6916,0.8148,0.3392
10,0.1744,0.1404,0.0632
10,0.002,0.0208,8e-04
10,0.1196,0.2224,0.1088
10,0.9696,0.9624,0.798
10,8e-04,0.01,0.0148
10,0.798,0.5984,0.8276
10,0.1592,0.2568,0.0692
10,0.0584,0.0056,0.1236
10,0.1764,0.2824,0.0524
10,0.2024,0.372,0.068
10,0.0696,0.0912,0.2844
10,0.118,0.1984,0.0168
10,0.3068,0.2672,0.09
10,0.9824,0.9708,0.7452
10,0.562,0.724,0.1292
10,0.1372,0.3396,0.0048
10,0.0036,0,0.1928
10,0.9868,0.9988,0.2132
10,0.0164,0.0548,4e-04
10,0.9996,1,0.79
10,0.798,0.8928,0.1172
10,0.236,0.0284,0.6248
10,0.2144,0.2224,0.1752
10,0.0152,0.0088,0.0588
10,0.0012,8e-04,0.0132
10,0.4512,0.6212,0.1228
10,0.7288,0.7028,0.5868
10,1,1,0.5908
10,0.9108,0.896,0.5304
10,0.0468,0.0016,0.4896
10,0.1972,0.7008,0.0016
10,0.01,0.0056,0.0332
10,0.5684,0.6124,0.294
10,0.1156,0.0644,0.136
10,8e-04,0.0036,0.0072
10,0.0012,0.0016,0.0012
10,0.0824,0.0044,0.1456
10,0.394,0.4564,0.118
10,0.6604,0.7904,0.2528
10,0.036,0.0428,0.0324
10,0.7848,0.9516,0.1044
10,0.15,0.2764,0.0356
10,0.9624,0.942,0.4988
10,0.072,0.1144,0.0176
10,0.0536,0.028,0.0516
10,0.5216,0.0116,0.6152
20,0.076,0.0612,0.226
20,0.9952,0.9996,0.0624
20,0.5928,0.412,0.1044
20,0.0892,0.158,0.0432
20,0.0204,0.0124,0.0028
20,0.5412,0.7852,0.1088
20,1,1,0.9936
20,0.988,0.962,0.8968
20,0.0592,0.0816,0.304
20,0.616,0.9348,0.4248
20,0.3308,0.7444,0.0052
20,0.0232,0.218,8e-04
20,0.1228,0.0148,0.0208
20,0.9956,1,0.6816
20,0.0072,0.0092,0
20,0.3124,0.12,0.806
20,0.15,0.31,0.384
20,0,0.0032,8e-04
20,0.9788,0.9856,0.5764
20,0.1696,0.8356,0.0032
20,0.9428,0.992,0.3388
20,0.944,0.9304,0.8088
20,0.6764,0.8568,0.0412
20,0,4e-04,4e-04
20,0.2856,0.5984,0.2368
20,0.4352,0.1944,0.1568
20,0.8144,0.9016,0.3088
20,0.2756,0.2976,0.0224
20,0.004,0,0.4224
20,0.0036,8e-04,0.0156
20,0.87,0.9896,0.2212
20,0.714,0.944,0.0728
20,0.0364,0.0068,0.5624
