"SNR","outMy","outGt","outEp"
0,0.0498,0.0498,0.0436
0,0.0554,0.052,0.0452
0,0.049,0.0506,0.0428
0,0.0552,0.056,0.0438
0,0.056,0.0524,0.042
0,0.05,0.0502,0.043
0,0.0542,0.0524,0.0436
0,0.0452,0.0546,0.0398
0,0.045,0.0494,0.039
0,0.0524,0.0484,0.0416
0,0.0498,0.053,0.044
0,0.0512,0.053,0.04
0,0.047,0.0524,0.041
0,0.054,0.051,0.043
0,0.0492,0.0502,0.0398
0,0.0476,0.052,0.039
0,0.0524,0.05,0.0454
0,0.052,0.0514,0.0432
0,0.0484,0.0514,0.0444
0,0.0522,0.0498,0.0426
0,0.0486,0.041,0.0388
0,0.0486,0.0538,0.0432
0,0.0538,0.0534,0.0422
0,0.053,0.049,0.0468
0,0.0542,0.0456,0.0472
10,0.872,0.5106,0.778
10,0.9598,0.9992,0.2156
10,0.2824,0.3664,0.078
10,0.5048,0.4638,0.168
10,0.2664,0.3294,0.2258
10,0.369,0.2318,0.276
10,0.2492,0.0188,0.2652
10,0.3994,0.4654,0.1608
10,0.9882,0.9994,0.6008
10,0.7524,0.9756,0.1464
10,0.4596,0.4006,0.2064
10,0.9388,0.964,0.499
10,0.731,0.9612,0.1744
10,0.2844,0.0264,0.2638
10,0.575,0.6736,0.239
10,0.5414,0.6368,0.3106
10,0.142,0.0366,0.1398
10,0.5706,0.3194,0.4344
10,0.7008,0.9864,0.0402
10,0.2212,0.0084,0.3972
10,0.773,0.8864,0.6674
10,0.409,0.0106,0.521
10,0.7552,0.8106,0.5382
10,1,1,0.8346
10,0.3104,0.0444,0.39
20,0.2098,0.0874,0.1538
20,1,1,0.9098
20,0.8592,0.1838,0.8854
20,0.6562,0.7148,0.347
20,0.7878,0.9452,0.5738
20,0.9984,0.974,0.999
20,0.895,0.622,0.5054
20,0.802,0.8804,0.2626
20,0.9626,0.989,0.7218
20,0.1886,0.045,0.5948
20,0.887,0.9278,0.593
20,0.1186,0.1884,0.075
20,0.9998,1,0.8792
20,0.869,0.8172,0.574
20,0.987,0.9974,0.7548
20,0.7912,0.6896,0.7704
20,0.8008,0.3258,0.7498
20,0.8984,0.9504,0.7216
20,0.366,0.0078,0.5862
20,0.8662,0.9564,0.148
20,0.9944,0.9492,0.9782
20,0.6772,0.246,0.4994
20,0.5028,0.062,0.392
20,0.2108,0.2604,0.258
20,0.2572,0.0016,0.4592
30,0.9988,0.9718,0.9862
30,1,1,0.96
30,0.5682,0.9608,0.0336
30,0.9544,0.9976,0.5076
30,0.8966,0.9988,0.2922
30,0.9962,0.0294,0.9974
30,1,1,0.9012
30,0.622,0.7312,0.4708
30,0.3964,0.6226,0.1004
30,0.004,0.001,0.0136
30,0.7444,0.95,0.0582
30,1,1,0.3748
30,0.988,0.9776,0.9374
30,0.9998,1,0.7432
30,0.9704,0.7838,0.9134
30,0.9552,0.0378,0.949
30,0.5756,0.5888,0.1838
30,0.992,0.7092,0.9766
30,0.0474,0.0046,0.09
30,0.858,0.9956,0.3096
30,1,1,0.6898
30,0.997,0.9992,0.628
30,0.4136,0.163,0.9124
30,0.6212,0.001,0.7572
30,0.299,0.1052,0.327
