"SNR","outMy","outGt","outEp"
0,0.042,0.0518,0.0452
0,0.0442,0.0544,0.0446
0,0.0396,0.0488,0.0432
0,0.0374,0.0488,0.0456
0,0.0418,0.0528,0.0444
0,0.0396,0.0478,0.04
0,0.0342,0.0466,0.037
0,0.043,0.0526,0.0462
0,0.039,0.0472,0.0446
0,0.042,0.0536,0.045
0,0.0398,0.0514,0.0384
0,0.0398,0.052,0.042
0,0.0432,0.0524,0.0458
0,0.0412,0.0522,0.0476
0,0.0422,0.0514,0.0496
0,0.0418,0.0502,0.046
0,0.0368,0.05,0.042
0,0.0432,0.057,0.0446
0,0.0402,0.0522,0.0418
0,0.0384,0.0488,0.0444
0,0.0448,0.059,0.0458
0,0.0438,0.0516,0.0456
0,0.0426,0.0506,0.042
0,0.0382,0.0494,0.0408
0,0.043,0.0544,0.0452
10,0.3432,0.2264,0.3962
10,0.063,0.1246,0.0526
10,0.1924,0.1,0.1912
10,0.018,0.0222,0.0264
10,0.633,0.8676,0.5654
10,0.1948,0.3276,0.0162
10,0.077,0.0398,0.324
10,0.743,0.6096,0.6258
10,0.3688,0.4008,0.4872
10,0.21,0.4384,0.3238
10,0.5114,0.2714,0.2874
10,0.1206,0.0838,0.157
10,0.0742,0.1358,0.2276
10,0.58,0.7778,0.6656
10,0.0044,2e-04,0.0158
10,0.1506,0.126,0.1526
10,0.0266,0.0028,0.3126
10,0.975,0.9958,0.9094
10,0.4202,0.3288,0.9004
10,0.6456,0.6932,0.814
10,0.1718,0.271,0.1898
10,0.3334,0.2294,0.3712
10,0.987,0.9906,0.9716
10,0.196,0.1442,0.248
10,0.3282,0.517,0.168
20,0.0254,0.0504,0.1266
20,0.1424,0.0286,0.2316
20,0.008,0.011,0.0116
20,0.5736,0.7076,0.9218
20,1,0.999,1
20,0.679,0.5874,0.3262
20,0.1102,0.2178,0.1922
20,0.1408,0.1142,0.2556
20,0.8016,0.7948,0.9592
20,0.2814,0.0658,0.2226
20,0.5896,0.6228,0.6656
20,0.8756,0.976,0.8014
20,2e-04,2e-04,0.0326
20,0.5822,0.4572,0.5474
20,0.9726,0.9906,0.9524
20,0.7176,0.609,0.9648
20,0.6218,0.6192,0.999
20,0.7122,0.859,0.5726
20,0.999,0.9992,0.9634
20,0.6178,0.8512,0.6044
20,0.2624,0.2262,0.1074
20,0.9906,0.9776,0.963
20,0.9026,0.96,0.9932
20,0.3612,0.2246,0.8886
20,0.2068,0.2102,0.6972
30,0.2654,0.2584,0.1736
30,0.9998,0.9994,0.9986
30,0.5588,0.5218,0.7876
30,0.9996,1,0.9996
30,0.9774,0.9934,0.9926
30,0.2082,0.095,0.5004
30,0.8132,0.97,0.915
30,0.0034,0,0.0748
30,0.0026,0.0328,0.002
30,2e-04,0,0
30,0.0544,0.0334,0.2188
30,0,2e-04,8e-04
30,0.9996,0.9998,0.9998
30,0.0302,0.0016,0.427
30,1,1,1
30,0.9806,0.9984,0.9998
30,0,0,2e-04
30,0.0864,0.2762,0.0056
30,0.4638,0.2322,0.6912
30,0.0606,0.194,0.3886
30,8e-04,0.0084,4e-04
30,0.8036,0.9004,0.9044
30,0.9586,0.947,0.9994
30,0.119,0.277,0.1134
30,0.445,0.523,0.9352
