"SNR","outMy","outGt","outEp"
0,0.0464,0.0532,0.047
0,0.0426,0.0522,0.0434
0,0.041,0.051,0.0466
0,0.0466,0.0552,0.049
0,0.0422,0.0492,0.0432
0,0.0448,0.0504,0.0482
0,0.0384,0.047,0.0416
0,0.0392,0.0484,0.0398
0,0.0432,0.0554,0.044
0,0.0452,0.0552,0.0464
0,0.0414,0.0476,0.0454
0,0.0446,0.0532,0.0438
0,0.041,0.0468,0.0438
0,0.043,0.0494,0.0446
0,0.043,0.0524,0.0432
0,0.0444,0.0518,0.0428
0,0.0442,0.0558,0.0454
0,0.0418,0.048,0.0424
0,0.0406,0.051,0.043
0,0.0442,0.0508,0.0424
0,0.0416,0.0468,0.0394
0,0.0432,0.0552,0.049
0,0.0454,0.0514,0.0466
0,0.0458,0.053,0.049
0,0.0404,0.0514,0.0416
10,0.7696,0.742,0.776
10,0.1228,0.1864,0.7702
10,0.4796,0.5212,0.523
10,0.0448,0.018,0.0338
10,0.4262,0.3272,0.4144
10,0.106,0.1272,0.4562
10,0.0704,0.072,0.0868
10,0.1804,0.0936,0.6554
10,8e-04,0,0.1012
10,0.066,0.0396,0.1236
10,0.3396,0.3398,0.6848
10,0.1288,0.4,0.1464
10,0.0736,0.1254,0.213
10,0.1644,0.281,0.0838
10,0.074,0.0712,0.1206
10,0.0058,0.0146,0.2058
10,0.37,0.3586,0.5848
10,0.9962,0.9988,0.995
10,0.949,0.9838,0.9606
10,0.0202,0.0226,0.0546
10,0.8712,0.8596,0.8706
10,0.599,0.5544,0.7236
10,0.108,0.0286,0.234
10,0.8652,0.9424,0.9734
10,0.2942,0.5102,0.394
20,0.2482,0.2092,0.6152
20,0.6686,0.8734,0.504
20,6e-04,2e-04,2e-04
20,0.046,0.1334,0.0986
20,0.7616,0.9224,0.8386
20,0.7644,0.6976,0.8462
20,0.9846,0.9934,0.9508
20,0.0598,0.1706,0.257
20,0.9924,0.9876,0.9984
20,0.8606,0.8128,0.7956
20,0.029,0.0512,0.0244
20,0.2854,0.219,0.5826
20,0.0228,0.0468,0.0054
20,0.8258,0.9692,0.8962
20,0.6192,0.803,0.88
20,0.65,0.8492,0.7352
20,0.892,0.9486,0.947
20,0.744,0.9066,0.9366
20,0.7988,0.645,0.6628
20,0.7898,0.7896,0.9892
20,0.3586,0.3104,0.8086
20,0.4342,0.5662,0.5154
20,0.062,0.1246,0.0154
20,0.0074,0.0114,0.0182
20,0.994,0.9976,0.9382
30,0.0052,0.0022,0.044
30,0.9998,1,1
30,0.9068,0.9458,0.8132
30,0.5298,0.4686,0.8164
30,0.4896,0.7762,0.7426
30,0.2608,0.515,0.982
30,0.8344,0.8012,0.9234
30,0.092,0.0906,0.2088
30,0.0462,0.0228,0.5102
30,0.005,0.0426,0.0014
30,0,0,0
30,0.12,0.3314,0.2824
30,0.3594,0.2252,0.258
30,0.7354,0.7612,0.9078
30,1,0.9996,0.9998
30,0.0154,0.0554,0.2464
30,0.0238,0.0774,0.6798
30,0.487,0.4356,0.7512
30,0.296,0.1354,0.929
30,0.5948,0.5912,0.082
30,0.9078,0.9192,0.9496
30,0.0022,0.0036,0.2724
30,0.971,0.9888,0.9818
30,0.07,0.0472,0.0074
30,0.9886,0.9722,1
