"SNR","outMy","outGt","outEp"
0,0.039,0.0522,0.0464
0,0.0388,0.0512,0.0448
0,0.04,0.052,0.0418
0,0.0416,0.0506,0.0498
0,0.0428,0.0506,0.0478
0,0.0386,0.0512,0.0418
0,0.0384,0.051,0.0374
0,0.0358,0.0464,0.04
0,0.0428,0.053,0.046
0,0.0418,0.0516,0.046
0,0.0402,0.0514,0.0456
0,0.0366,0.0478,0.0416
0,0.0416,0.0516,0.0464
0,0.0352,0.051,0.0404
0,0.0446,0.0582,0.0526
0,0.0482,0.0554,0.051
0,0.0402,0.0504,0.0456
0,0.0412,0.0502,0.0456
0,0.044,0.0552,0.0468
0,0.0368,0.0486,0.0438
0,0.0452,0.0538,0.047
0,0.0388,0.0488,0.0418
0,0.0426,0.056,0.0464
0,0.0396,0.049,0.0406
0,0.0394,0.0476,0.0404
10,0.0848,0.0784,0.1542
10,0.0038,0.0016,0.0454
10,0.3866,0.2678,0.4682
10,0.133,0.3096,0.5298
10,0.1324,0.0518,0.6116
10,0.093,0.101,0.5424
10,0.0024,0.0028,0.1618
10,0.1262,0.0462,0.2518
10,0.8886,0.8736,0.9402
10,0.5276,0.6872,0.5316
10,0.0182,0.0228,0.1294
10,0.7656,0.6802,0.5202
10,0.0018,0.0038,0.0032
10,0.0412,0.0408,0.0296
10,0.8366,0.7668,0.5622
10,0.5688,0.5288,0.7114
10,0.142,0.1118,0.1956
10,0.214,0.2292,0.4274
10,0.4166,0.2814,0.5494
10,0.7398,0.6758,0.6682
10,0.2494,0.1474,0.1396
10,0.641,0.6962,0.7016
10,0.0894,0.0308,0.223
10,0.0482,0.0604,0.045
10,0.423,0.4762,0.5492
20,0.6218,0.6874,0.6232
20,0.5366,0.7036,0.3244
20,0.3596,0.6066,0.4094
20,0.0674,0.0372,0.6572
20,0.0278,0.0232,0.1312
20,0.921,0.9846,0.995
20,0.6828,0.5104,0.675
20,0.7584,0.9556,0.8022
20,0.763,0.2962,0.9452
20,0.3224,0.3478,0.3068
20,0.5568,0.3796,0.9844
20,0.0916,0.087,0.2794
20,0.7816,0.5936,0.9054
20,0.9996,0.9996,1
20,0.316,0.168,0.3058
20,0.0186,0.0106,0.1532
20,0.5656,0.6152,0.7826
20,0.9906,0.9624,0.9936
20,0.183,0.0952,0.017
20,0.9622,0.983,0.998
20,0.1978,0.123,0.4768
20,0.6256,0.7194,0.6448
20,0.8412,0.9,0.7974
20,0.4114,0.2282,0.8056
20,0.9444,0.9702,0.9802
30,0.977,0.9992,1
30,0.8828,0.9008,0.9998
30,4e-04,0.0086,0.0284
30,0.327,0.2598,0.9076
30,0.9532,0.9732,0.9936
30,0.8416,0.791,0.9902
30,0.7588,0.9846,0.833
30,0.985,0.9908,0.9952
30,0.9714,0.998,0.8032
30,0.9506,0.9738,0.9718
30,0.5214,0.8032,0.4474
30,0.9988,1,1
30,0.6592,0.4712,0.9828
30,0.9772,0.9976,0.9516
30,0.7368,0.701,0.8936
30,0.3546,0.0838,0.5968
30,0.4852,0.5504,0.4746
30,0.1142,0.0862,0.2322
30,0.2812,0.3904,0.4116
30,0.7906,0.9418,0.8878
30,0.9334,0.8452,0.9436
30,0.1572,0.0814,0.7392
30,0.0092,0.0354,0.2732
30,0.0136,8e-04,0.1058
30,0.9998,0.9802,0.9998
