"SNR","outMy","outGt","outEp"
0,0.0444,0.0508,0.0462
0,0.0488,0.0516,0.0482
0,0.046,0.0486,0.0426
0,0.0436,0.0448,0.0418
0,0.0434,0.0474,0.038
0,0.0494,0.0538,0.048
0,0.0466,0.0504,0.048
0,0.047,0.0478,0.0434
0,0.0466,0.0506,0.049
0,0.0488,0.0524,0.0454
0,0.049,0.0538,0.046
0,0.0478,0.0536,0.045
0,0.0474,0.0506,0.0404
0,0.055,0.0534,0.0476
0,0.0512,0.053,0.043
0,0.0476,0.0506,0.0404
0,0.051,0.0566,0.0482
0,0.05,0.0548,0.0464
0,0.0464,0.0482,0.0448
0,0.0458,0.0472,0.0388
0,0.0438,0.0508,0.043
0,0.0492,0.0492,0.0442
0,0.0476,0.0506,0.0432
0,0.0434,0.0478,0.0424
0,0.046,0.0494,0.0404
10,0.838,0.8968,0.6644
10,0.8024,0.7938,0.7324
10,0.0254,0.0282,0.0014
10,0.9102,0.97,0.9376
10,0.1884,0.0804,0.334
10,0.1916,0.3322,0.1568
10,0.1826,0.0826,0.2386
10,0.8698,0.9264,0.8384
10,0.1254,0.0202,0.3408
10,0.3386,0.1612,0.2252
10,0.38,0.4544,0.567
10,0.0674,0.042,0.0784
10,0.9114,0.966,0.9662
10,0.4228,0.395,0.6914
10,0.552,0.656,0.625
10,0.5528,0.2922,0.8832
10,0.1684,0.1284,0.169
10,0.3546,0.3722,0.38
10,0.6138,0.3222,0.6274
10,0.1498,0.119,0.164
10,0.1072,0.0762,0.2238
10,0.308,0.4124,0.0714
10,0.1506,0.089,0.0844
10,0.4306,0.6102,0.7732
10,0.125,0.067,0.1314
20,0.5374,0.317,0.3742
20,0.692,0.5924,0.9748
20,0.7946,0.7806,0.983
20,0.987,0.9996,0.9964
20,0.9132,0.7972,0.9954
20,0.9896,0.9932,0.9978
20,0.919,0.7652,0.868
20,0.6296,0.7002,0.4116
20,0.1594,0.3918,0.1092
20,0.542,0.386,0.9498
20,0.0272,0.0524,0.1336
20,0.0142,0.0032,0.3978
20,0.016,0.0016,0.1598
20,0.23,0.2448,0.1248
20,0.9942,0.998,0.9992
20,0.028,0.063,0.0818
20,0.3924,0.3146,0.6572
20,0.1798,0.1096,0.5378
20,0.4216,0.4332,0.8316
20,0.25,0.0698,0.53
20,0.418,0.524,0.7162
20,8e-04,0.0024,0.0012
20,0.9908,0.9942,0.9654
20,0.5892,0.6958,0.9978
20,0.4338,0.3626,0.8766
30,0.9872,0.9886,0.626
30,0.8912,0.8642,0.7842
30,0.1312,0.0948,0.1892
30,0.3702,0.3874,0.827
30,0.0028,0.03,0.0048
30,0.9644,0.9592,0.9612
30,0.0266,0.0378,0.557
30,0.9962,0.969,0.9448
30,0.0246,0.066,0.0782
30,0.7166,0.3696,0.914
30,0.1668,0.397,0.487
30,0.9974,0.9896,0.9996
30,0.2764,0.7952,0.1668
30,1,1,1
30,0.6588,0.672,0.6666
30,1,1,1
30,0.0014,2e-04,0.401
30,0.787,0.7002,0.533
30,0.0494,0.0048,0.0952
30,0.9756,0.9898,0.9968
30,0.76,0.9358,0.9782
30,0.9694,0.9976,0.9914
30,0.9528,0.8366,0.9998
30,0.0486,0.3702,0.0394
30,0.9864,0.9628,0.8692
