"SNR","outMy","outGt","outEp"
0,0.0356,0.0514,0.0432
0,0.0298,0.044,0.0366
0,0.0298,0.0492,0.0352
0,0.029,0.0446,0.0378
0,0.0306,0.0496,0.0362
0,0.0352,0.0544,0.0384
0,0.0312,0.0526,0.0364
0,0.03,0.0464,0.0346
0,0.0274,0.0486,0.0382
0,0.032,0.051,0.0342
0,0.0318,0.0504,0.0374
0,0.0252,0.0476,0.0334
0,0.027,0.0514,0.0344
0,0.0332,0.053,0.0404
0,0.0284,0.0502,0.0376
0,0.0364,0.053,0.0374
0,0.027,0.0456,0.036
0,0.0358,0.0564,0.0388
0,0.0272,0.0524,0.038
0,0.029,0.0482,0.0358
0,0.0314,0.051,0.0424
0,0.0306,0.0498,0.038
0,0.0312,0.0494,0.0394
0,0.03,0.0522,0.0346
0,0.031,0.0566,0.035
10,0.0494,0.0172,0.2506
10,0.4498,0.764,0.589
10,0.8564,0.9138,0.8424
10,0.4,0.2756,0.9098
10,0.351,0.2964,0.6026
10,0.1214,0.1028,0.317
10,0.9192,0.9982,0.8072
10,0.4562,0.4124,0.8016
10,0.7692,0.9408,0.7758
10,0.8868,0.8926,0.752
10,0.2776,0.3598,0.5582
10,0.3514,0.3286,0.5238
10,0.991,1,0.9726
10,0.1058,0.0548,0.4422
10,0.8384,0.9576,0.9078
10,0.8184,0.9276,0.9134
10,0.9348,0.8602,0.9796
10,0.7794,0.8586,0.8634
10,0.6134,0.8338,0.8126
10,0.3276,0.462,0.6286
10,0.1316,0.151,0.4752
10,0.2808,0.3264,0.5394
10,0.4224,0.4038,0.5976
10,0.2098,0.1264,0.778
10,0.8162,0.6576,0.9876
20,0.374,0.318,0.8518
20,0.4992,0.9232,0.1212
20,0.1986,0.1314,0.8992
20,0.5906,0.5292,0.938
20,0.5734,0.7486,0.8692
20,0.2242,0.1904,0.063
20,0.1912,0.2064,0.1618
20,0.8016,0.7078,0.9764
20,0.8784,0.8828,0.9444
20,0.9794,0.9992,0.9896
20,0.9324,0.9754,0.9784
20,0.3388,0.2132,0.7426
20,0.8934,0.8128,0.9938
20,0.4322,0.5024,0.7656
20,0.5234,0.8524,0.7878
20,0.0364,0,0.8936
20,0.2072,0.3852,0.5896
20,0.2232,0.3232,0.575
20,0.8918,0.5548,0.9398
20,0.0778,0.0022,0.4384
20,0.5782,0.855,0.7562
20,0.2202,0.3548,0.6438
20,0.878,0.8604,0.9512
20,0.1844,0.0042,0.9832
20,0.1078,0.0166,0.4946
30,0.9896,0.9994,0.9428
30,0.1594,0.0808,0.9828
30,0.9028,0.9952,0.8454
30,0.972,0.9794,0.9964
30,0.9918,0.9978,0.9956
30,0.6022,0.5674,0.3114
30,0.9974,0.996,0.9998
30,0.996,0.9958,0.9998
30,0.5894,0.5398,0.2848
30,0.974,0.9878,0.988
30,0.0768,0.001,0.9974
30,0.1182,0.1318,0.9188
30,0.867,0.9526,0.9232
30,0.8776,0.9692,0.9714
30,0.0664,0.0898,0.4202
30,0.8904,0.5382,0.9998
30,0.9138,0.9188,0.9978
30,1,1,1
30,0.2614,0.171,0.914
30,0.5512,0.9338,0.8712
30,0.9982,1,0.9882
30,0.9004,0.9834,0.983
30,0.0112,0.0166,0.6318
30,0.9986,0.999,0.9894
30,0.0282,0.1964,0.2356
