"SNR","outMy","outGt","outEp"
0,0.0332,0.0486,0.0322
0,0.04,0.05,0.036
0,0.0396,0.0502,0.0356
0,0.0442,0.055,0.037
0,0.0356,0.0432,0.0348
0,0.0438,0.0484,0.0348
0,0.042,0.0528,0.0332
0,0.0452,0.0584,0.038
0,0.0398,0.0444,0.0332
0,0.045,0.0504,0.0328
0,0.043,0.056,0.036
0,0.0384,0.0502,0.0356
0,0.0388,0.0478,0.0346
0,0.0392,0.0532,0.0358
0,0.0408,0.0506,0.034
0,0.0384,0.0528,0.0334
0,0.0384,0.0494,0.0332
0,0.039,0.0546,0.0368
0,0.0372,0.0462,0.031
0,0.042,0.0518,0.0328
0,0.0374,0.048,0.034
0,0.0438,0.0544,0.0412
0,0.039,0.0502,0.0358
0,0.038,0.0512,0.0338
0,0.0396,0.0546,0.0328
10,0.5814,0.4616,0.6934
10,0.6374,0.2512,0.8856
10,0.992,0.9966,0.995
10,0.984,0.997,0.8592
10,0.8282,0.9462,0.7822
10,0.6194,0.3968,0.7754
10,0.944,0.8994,0.9118
10,0.892,0.9782,0.8948
10,0.4754,0.2916,0.592
10,0.1082,0.0902,0.442
10,0.982,0.9844,0.9888
10,0.7932,0.7612,0.9002
10,0.8618,0.816,0.6952
10,0.23,0.0422,0.488
10,0.9456,0.987,0.831
10,0.6162,0.2454,0.8264
10,0.1214,0.1188,0.24
10,0.7458,0.7136,0.8502
10,0.1264,0.3306,0.6384
10,0.1716,0.2026,0.0682
10,0.9854,0.9954,0.9652
10,0.2862,0.152,0.4314
10,0.6314,0.3866,0.6946
10,0.1148,0.0226,0.6888
10,0.1334,0.138,0.3602
20,0.5848,0.3204,0.9566
20,0.9372,0.8858,0.988
20,0.9938,0.9792,0.9212
20,0.9482,0.5418,0.9282
20,0.9988,1,0.9852
20,0.7916,0.9402,0.6266
20,1,1,0.998
20,0.944,0.9914,0.8948
20,0.984,0.9996,0.9556
20,1,1,1
20,0.0386,0.0102,0.8762
20,0.8176,0.9224,0.9314
20,0.9984,1,0.961
20,0.8842,0.9052,0.8958
20,0.2844,0.5288,0.4196
20,0.992,0.9988,0.99
20,1,1,1
20,0.9964,0.9994,0.9864
20,0.3806,0.1528,0.3356
20,0.3644,0.919,0.9088
20,0.1772,0.0518,0.5014
20,0.4378,0.4252,0.639
20,0.09,0.264,0.0608
20,0.5522,0.911,0.3808
20,0.9932,0.9992,0.9612
30,0.5178,0.751,0.1826
30,0.0778,0.0518,0.483
30,1,0.9992,0.968
30,1,1,0.9994
30,0.9984,0.996,0.9734
30,1,0.8192,1
30,0.9866,0.3568,0.9772
30,0.9992,0.9996,0.9806
30,0.4512,0.3024,0.9692
30,0.9996,0.9998,0.9996
30,0.7384,0.6536,0.8286
30,0.8884,0.573,0.9476
30,0.7634,0.4238,0.9702
30,1,1,1
30,0.9686,0.996,0.8316
30,0.9296,0.9572,0.978
30,0.7556,0.4898,0.4602
30,0.7698,0.3268,0.964
30,0.6344,0.7406,0.5466
30,0.6946,0.2806,0.9806
30,0.9872,0.9956,0.9246
30,0.7116,0.2348,0.9412
30,0.0106,0.0336,0.3626
30,0.7282,0.8396,0.9824
30,0.5802,0.249,0.3052
