"SNR","outMy","outGt","outEp"
0,0.0308,0.045,0.0328
0,0.0316,0.051,0.0364
0,0.0298,0.049,0.0334
0,0.0336,0.0524,0.0366
0,0.033,0.0492,0.0328
0,0.0354,0.0528,0.0366
0,0.0332,0.0472,0.0322
0,0.0332,0.0472,0.0318
0,0.0336,0.0496,0.032
0,0.0334,0.0548,0.0356
0,0.034,0.0516,0.0348
0,0.0322,0.0484,0.0334
0,0.0328,0.054,0.0354
0,0.0334,0.0466,0.041
0,0.036,0.0518,0.0412
0,0.0344,0.0504,0.0342
0,0.0302,0.0496,0.0356
0,0.0358,0.0558,0.0358
0,0.0332,0.0494,0.0334
0,0.0296,0.0494,0.0322
0,0.03,0.0452,0.0326
0,0.0308,0.0528,0.033
0,0.0366,0.0538,0.036
0,0.0282,0.0464,0.0318
0,0.0306,0.0524,0.0346
10,0.7482,0.947,0.4946
10,0.7834,0.9042,0.7192
10,0.9014,0.9982,0.7378
10,0.8198,0.9568,0.731
10,0.5608,0.3922,0.8476
10,0.4758,0.809,0.5558
10,0.8162,0.695,0.9848
10,0.23,0.2516,0.2276
10,0.2502,0.298,0.6774
10,0.9052,0.9402,0.8978
10,0.5302,0.7696,0.3206
10,0.3092,0.0852,0.447
10,0.968,0.991,0.929
10,0.5948,0.5358,0.8048
10,0.8464,0.9678,0.7742
10,0.9746,0.9944,0.7356
10,0.6334,0.8298,0.5218
10,0.1378,0.3186,0.393
10,0.6718,0.9014,0.5562
10,0.5416,0.816,0.6262
10,0.9994,1,0.9926
10,0.851,0.9742,0.6376
10,0.4894,0.5338,0.5862
10,0.567,0.6866,0.5682
10,0.6074,0.6658,0.7382
20,0.0878,0.0606,0.3226
20,0.9982,1,0.9984
20,0.6314,0.4096,0.5008
20,0.9098,0.6232,0.9984
20,1,1,1
20,0.4504,0.4342,0.8216
20,0.9756,0.9992,0.993
20,0.405,0.1822,0.8948
20,0.4156,0.7058,0.5082
20,0.9592,0.9958,0.615
20,0.985,0.998,0.9896
20,0.5316,0.7628,0.7882
20,0.8672,0.9632,0.913
20,0.4096,0.1192,0.7154
20,0.3248,0.054,0.594
20,0.278,0.7634,0.316
20,0.999,1,0.9924
20,0.9234,0.9412,0.9376
20,0.997,0.9952,0.9978
20,0.987,0.9908,0.9822
20,0.4064,0.9026,0.7772
20,0.0184,0.0042,0.0476
20,0.4974,0.4112,0.709
20,0.9982,1,0.9988
20,0.9244,0.9666,0.9914
30,0.1966,0.037,0.5416
30,0.9534,0.998,0.7936
30,0.0442,0.015,0.8002
30,0.9894,0.9996,0.9378
30,0.9784,0.994,0.9974
30,1,0.9996,1
30,0.0874,0.2326,0.6658
30,0.1248,0.1046,0.56
30,0.8708,0.7634,0.687
30,1,0.9948,0.9998
30,0.7686,0.8548,0.9866
30,0.9932,0.9984,0.9654
30,0.7902,0.1438,0.9872
30,0.962,0.997,0.933
30,0.999,0.9756,1
30,0.0362,0.3248,0.0954
30,0.9956,0.8984,0.9998
30,0.9926,0.9994,0.988
30,0.5736,0.7598,0.4062
30,0.6462,0.5764,0.8684
30,1,1,0.9998
30,0.9388,0.9742,0.908
30,0.6608,0.0436,0.9636
30,0.9538,0.9846,0.9402
30,0.9988,0.9998,0.9982
