"SNR","outMy","outGt","outEp"
0,0.0384,0.0528,0.0348
0,0.0398,0.056,0.0422
0,0.0404,0.052,0.0362
0,0.0392,0.0454,0.028
0,0.0386,0.0484,0.036
0,0.0392,0.0562,0.0346
0,0.035,0.0456,0.0312
0,0.04,0.0508,0.037
0,0.036,0.047,0.0336
0,0.0386,0.0496,0.0338
0,0.0348,0.05,0.0282
0,0.0398,0.0546,0.0338
0,0.0396,0.0548,0.0334
0,0.0376,0.0446,0.0378
0,0.0358,0.0478,0.0334
0,0.0398,0.0496,0.035
0,0.0368,0.0502,0.035
0,0.036,0.0454,0.0316
0,0.0374,0.0462,0.035
0,0.0406,0.0546,0.0364
0,0.0346,0.0488,0.0316
0,0.0386,0.051,0.0358
0,0.039,0.049,0.0346
0,0.0372,0.0442,0.0356
0,0.036,0.0498,0.0324
10,0.1048,0.1564,0.182
10,0.17,0.092,0.5984
10,0.2486,0.1514,0.2436
10,0.326,0.1286,0.5798
10,0.7142,0.7848,0.8388
10,0.2124,0.3944,0.5378
10,0.6876,0.9034,0.3882
10,0.7038,0.9472,0.744
10,0.1762,0.1226,0.1936
10,0.596,0.707,0.742
10,0.6918,0.822,0.8876
10,0.8616,0.9132,0.7134
10,0.797,0.9832,0.7642
10,0.946,0.9656,0.9302
10,0.5932,0.5598,0.6886
10,0.3716,0.4794,0.3912
10,0.9848,0.9968,0.994
10,0.3104,0.334,0.4608
10,0.786,0.8338,0.7722
10,0.3092,0.214,0.8318
10,0.66,0.9382,0.6562
10,0.8358,0.9486,0.7834
10,0.9254,0.9534,0.845
10,0.3964,0.5874,0.5734
10,0.9308,0.98,0.744
20,0.965,0.9692,0.9598
20,0.952,0.9068,0.908
20,0.8564,0.8554,0.9046
20,0.4634,0.7478,0.991
20,0.6048,0.7048,0.72
20,0.9032,0.974,0.8366
20,0.998,0.9996,0.9378
20,0.978,0.8524,0.954
20,0.8686,0.9898,0.9572
20,0.9142,0.7172,0.98
20,0.9272,0.96,0.9814
20,0.8638,0.9098,0.8766
20,0.9538,0.9364,0.9956
20,0.697,0.8952,0.8732
20,0.591,0.2748,0.6964
20,0.5264,0.7224,0.3842
20,0.6918,0.3584,0.6464
20,0.8152,0.7214,0.9708
20,0.575,0.5548,0.656
20,0.6906,0.5302,0.8196
20,0.27,0.0264,0.709
20,0.9658,0.9664,0.9966
20,0.7568,0.4966,0.9092
20,0.053,0.0418,0.1738
20,0.9966,0.999,0.9994
30,0.9936,0.999,0.9884
30,0.8952,0.793,0.9362
30,0.8626,0.9304,0.9544
30,1,1,1
30,0.9758,0.9824,0.9948
30,0.8994,0.9038,0.7918
30,0.479,0.6582,0.0962
30,0.0506,0.0486,0.1206
30,0.833,0.5622,0.9808
30,0.1082,0.0808,0.3104
30,0.989,0.9996,0.563
30,0.7152,0.2338,0.9762
30,0.9794,0.999,0.9802
30,0.999,0.9946,1
30,0.8114,0.2714,0.9684
30,0.966,0.9866,0.9534
30,0.9706,0.994,0.999
30,0.829,0.9834,0.6882
30,0.42,0.0348,0.3426
30,0.9928,0.9992,0.9944
30,0.8402,0.9838,0.7528
30,0.8172,0.5772,0.9762
30,0.3062,0.4026,0.3392
30,0.8732,0.5376,0.9814
30,0.9692,0.928,0.989
