"SNR","outMy","outGt","outEp"
0,0.0294,0.0458,0.036
0,0.033,0.0558,0.0292
0,0.0332,0.0514,0.0356
0,0.0334,0.0446,0.0342
0,0.034,0.0502,0.0326
0,0.0318,0.0476,0.0394
0,0.0334,0.054,0.0362
0,0.032,0.0532,0.0344
0,0.033,0.0558,0.0356
0,0.0338,0.0514,0.0302
0,0.0324,0.0508,0.0326
0,0.03,0.0464,0.0362
0,0.0284,0.0474,0.0284
0,0.0348,0.0506,0.0318
0,0.0336,0.048,0.0334
0,0.0326,0.0504,0.0352
0,0.03,0.0512,0.0336
0,0.0312,0.0468,0.032
0,0.0308,0.0484,0.0356
0,0.0322,0.0504,0.0346
0,0.03,0.0482,0.0326
0,0.0318,0.0478,0.034
0,0.0294,0.0476,0.0342
0,0.0314,0.048,0.0354
0,0.0316,0.0506,0.0312
10,0.34,0.345,0.1102
10,0.0088,0.0042,0.0564
10,0.9066,0.9254,0.6334
10,0.4126,0.584,0.0292
10,0.1338,0.0224,0.5788
10,0.8092,0.8246,0.511
10,0.499,0.633,0.389
10,0.2616,0.317,0.2552
10,0.3674,0.605,0.303
10,0.1816,0.356,0.0288
10,0.0018,0.0058,0.0034
10,0.014,0.0416,0.004
10,0.0888,0.0286,0.0956
10,0.1384,0.226,0.0558
10,0.4844,0.804,0.0078
10,0.1556,0.3198,0.0056
10,0.063,0.0898,0.05
10,0.1094,0.2396,0.0612
10,0.0012,0.0024,0.0064
10,0.1488,0.0952,0.1022
10,0.9974,0.9998,0.1764
10,0.936,0.8916,0.4054
10,0.1578,0.2154,0.048
10,0.9594,0.9932,0.2314
10,0.0378,0.0022,0.0696
20,4e-04,4e-04,0.0014
20,0.6452,0.8064,0.0682
20,0.7472,0.9426,0.0334
20,0.3284,0.5458,0.016
20,0.4406,0.3906,0.4618
20,0.9816,0.9842,0.7668
20,0.1432,0.007,0.9078
20,0.0116,0.0466,0.007
20,1,1,0.914
20,0.7608,0.4868,0.7918
20,0.074,0.3656,0.0034
20,0.191,0.1398,0.0708
20,0.9974,0.9992,0.1668
20,0.9234,0.9364,0.6252
20,0.1406,0.341,0.0014
20,0.0268,8e-04,0.0206
20,0.9954,1,0.3854
20,0.571,0.6058,0.0788
20,0.003,0.0018,0.0048
20,0.0478,0.0074,0.0814
20,0.2688,0.731,0.0016
20,0.9502,0.89,0.7164
20,0.0082,0.0278,0.016
20,0.6984,0.7626,0.296
20,0.002,4e-04,0.0034
30,0.11,0,0.9766
30,0.1512,0.0276,0.2738
30,0.0058,0.0904,0.006
30,0.2786,0.4456,0.0744
30,0.3524,0.1122,0.5586
30,0,0,0.0208
30,0.9536,0.999,0.0026
30,0.983,0.9976,0.0622
30,0.0014,4e-04,0.2772
30,0.0424,0.0284,0.0088
30,1,1,0.9616
30,0.0026,0.0046,0.0738
30,0.024,0.0034,0.3214
30,0,0,0.488
30,1,1,0.7508
30,0,0,0.015
30,1,1,0.9688
30,0.9906,0.9882,0.9904
30,0.003,0.0432,0.0012
30,0.1136,0.4566,0.0192
30,0.0108,0.005,0.0166
30,0.023,0,0.45
30,1,1,0.1024
30,0.802,0.9714,0.0992
30,0.9878,0.999,0.18
