"SNR","outMy","outGt","outEp"
0,0.0562,0.051,0.0334
0,0.0542,0.0502,0.0294
0,0.0508,0.0496,0.0376
0,0.0558,0.0498,0.0372
0,0.056,0.0492,0.0378
0,0.053,0.0528,0.0374
0,0.0554,0.0508,0.0328
0,0.0506,0.047,0.0386
0,0.0558,0.0462,0.0372
0,0.0556,0.05,0.0364
0,0.0506,0.0496,0.0322
0,0.061,0.0518,0.0388
0,0.0592,0.0472,0.038
0,0.0548,0.0472,0.0368
0,0.0512,0.0436,0.0344
0,0.0532,0.0502,0.0366
0,0.0524,0.0492,0.036
0,0.0568,0.0512,0.0342
0,0.0556,0.0512,0.0336
0,0.0468,0.045,0.0328
0,0.056,0.0514,0.0386
0,0.0524,0.0484,0.0352
0,0.0548,0.0504,0.038
0,0.0614,0.056,0.0426
0,0.0554,0.0486,0.0328
10,0.3016,0.2778,0.2594
10,0.3722,0.1628,0.242
10,0.143,0.0382,0.2448
10,0.322,0.2498,0.169
10,0.9928,0.9906,0.4758
10,0.0924,0.1088,0.03
10,0.3532,0.4798,0.0284
10,0.0018,4e-04,0.006
10,0.894,0.9036,0.5078
10,0.0248,0.0032,0.0092
10,0.2192,8e-04,0.0634
10,0.3494,0.459,0.0088
10,0.0834,0.1086,0.0252
10,0.0068,6e-04,0.3686
10,0.5604,0.4886,0.0624
10,0.9998,0.9998,0.9546
10,0.9874,0.9814,0.6498
10,0.697,0.8226,0.0526
10,0.0304,0.0044,0.3544
10,0.8556,0.7968,0.2682
10,0.0118,0.0204,0.0138
10,0.1848,0.2606,0.05
10,0.7476,0.9242,0.1884
10,0.8528,0.7488,0.311
10,0.5162,0.5756,0.1574
20,0.9786,0.9446,0.537
20,0.0016,0,0.0018
20,0.1828,0.5572,0.0336
20,0.0012,6e-04,0.0102
20,0.0306,0,0.4796
20,1,1,0.8482
20,0.3092,0.0592,0.1246
20,0.0492,0.0092,0.1652
20,0.3786,0.5788,0.0346
20,8e-04,0,0.0478
20,2e-04,0.001,0
20,0.9998,1,0.743
20,0,6e-04,0
20,0.236,0.349,0.0118
20,0.0192,6e-04,0.276
20,0.0016,2e-04,0.1314
20,0.9142,0.866,0.0264
20,0.987,0.9976,0.372
20,0.9788,0.9436,0.6272
20,0.006,0.0014,0.116
20,0.8676,0.9636,0.2818
20,0.0188,0.0086,0.1126
20,0.0014,4e-04,0.0038
20,0.0046,0.0068,0.0084
20,4e-04,0,0.0146
30,0.1484,0,0.0498
30,0.0116,0.0108,0
30,1,0.9946,0.9736
30,0.444,0.4846,0.0052
30,0.9998,1,0.0268
30,0.0378,0,0.0318
30,0.9772,0.9974,0.5378
30,1,0.9996,0.792
30,0.1604,0.138,0.717
30,0.9818,0.9934,0.1266
30,0.9174,0,0.9914
30,0.0166,0,0.4414
30,0.9684,0.9888,0.1528
30,1,1,0.9912
30,0.6688,0.6066,8e-04
30,0.9998,0.9996,0.8924
30,0.4502,0.155,0.0218
30,0.0076,0.01,0.0098
30,0.9078,0.3358,0.5296
30,0.998,1,0.0028
30,0.273,0.5676,0.391
30,0.0848,0.258,0.0074
30,0.6728,0.3942,0.7624
30,0.1318,0,0.1652
30,0.5234,0.4854,0.6446
