"SNR","outMy","outGt","outEp"
0,0.035,0.0506,0.0364
0,0.0354,0.0474,0.0326
0,0.0336,0.0494,0.0352
0,0.0376,0.0562,0.0348
0,0.0294,0.0434,0.0348
0,0.0336,0.0454,0.0338
0,0.0316,0.0456,0.0338
0,0.0354,0.05,0.0302
0,0.0322,0.0484,0.0318
0,0.035,0.0518,0.0354
0,0.0336,0.0496,0.0334
0,0.0376,0.0554,0.039
0,0.0318,0.0514,0.0322
0,0.0342,0.0518,0.0314
0,0.0326,0.047,0.0352
0,0.0366,0.054,0.0358
0,0.03,0.0482,0.0312
0,0.0342,0.052,0.034
0,0.035,0.0498,0.0308
0,0.0384,0.0524,0.0294
0,0.039,0.0558,0.0338
0,0.036,0.0552,0.0346
0,0.0306,0.0532,0.033
0,0.0312,0.047,0.0284
0,0.034,0.053,0.0316
10,0.7932,0.9366,0.127
10,0.0078,0.0092,0.0656
10,0.002,0.0222,0.0084
10,0.0062,0.0038,0.1712
10,0.5784,0.4312,0.1018
10,0.1546,0.279,0.03
10,0.0798,0.0548,0.14
10,0.1102,0.0578,0.2526
10,0.0766,0.0108,0.298
10,0.965,0.9732,0.5822
10,0.0036,0.0158,0.008
10,0.9774,0.9976,0.0754
10,0.0332,0.0154,0.1172
10,0.1092,0.1136,0.1462
10,0.2722,0.26,0.0876
10,0.7918,0.6774,0.6506
10,0.9968,0.997,0.3948
10,0.126,0.0082,0.4964
10,0.6722,0.7508,0.051
10,0.1612,0.2644,0.0238
10,0.0214,0.0058,0.0152
10,0.0032,0.001,0.0478
10,0.0072,0.0338,0.0042
10,0.8238,0.9192,0.0582
10,0.356,0.403,0.0964
20,0.9584,0.9964,0.1026
20,0.998,0.9976,0.4934
20,0.3726,0.3184,0.02
20,0.0518,0.0096,0.2038
20,0.8768,0.954,0.3796
20,0.4366,0.4236,0.5746
20,0.0838,0.018,0.67
20,0.986,0.9974,0.038
20,0.0472,0.0318,0.1098
20,0.0198,0.009,0.1272
20,0.6816,0.833,0.0698
20,0.9102,0.992,0.0254
20,0.0124,0.0122,0.0698
20,0.9912,0.9834,0.6602
20,0.005,0.0022,0.1408
20,1,1,0.0508
20,0.266,0.4058,0.0378
20,0.1638,0.1486,0.0962
20,0.3874,0.2594,0.4816
20,0.0192,0.0194,0.0262
20,0.89,0.9936,0.0072
20,0.8802,0.4232,0.8726
20,0.7662,0.8366,0.3442
20,0.1034,0.5058,2e-04
20,0,0,0.0104
30,0.001,2e-04,0.0044
30,0,0,2e-04
30,0.0994,0.0906,0.196
30,0.3874,0.8754,0
30,0.9814,0.989,0.708
30,0.0316,0.0458,0.0022
30,1,1,0.2494
30,1,1,0.7948
30,6e-04,2e-04,0.065
30,0.3962,0.6884,0.0468
30,0.003,0,0.4374
30,0.9328,0.9988,0.0414
30,0.9996,0.9998,0.137
30,0,2e-04,0.0074
30,0.9822,0.9996,0.0726
30,1,1,0.7348
30,0.0014,8e-04,0.0054
30,1,1,0.681
30,1,1,0.7458
30,0.101,0.2342,0.0134
30,0.986,0.997,0.3302
30,0,0,6e-04
30,0.057,0.0306,0.4014
30,8e-04,0,0.1546
30,0.7312,0.8444,0.4838
